year (AD) [1-1],d18O (permil) [1-1],d13C (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],d13C (permil) [1-2]
1260,-4.93,-4.59,-1598,-2.42,-4.66
1218,-5.24,-4.95,-1525,-2.88,-5.01
1204,-4.94,-5.41,-1489,-2,-4.99
1163,-5.01,-4.63,-1453,-2.33,-5.07
1135,-5.02,-4.05,-1416,-2.69,-4.91
1080,-5.06,-3.28,-1380,-2.38,-5.03
1052,-5.25,-3.4,-1344,-2.16,-4.99
1011,-5.2,-4.21,-1308,-2.72,-5.05
969,-5.04,-2.83,-1271,-2.72,-5.05
927,-5.07,-3.23,-1235,-2.57,-5.07
886,-5,-2.67,-1199,-2.42,-5.04
844,-4.69,-3.71,-1162,-2.81,-5.03
803,-4.92,-3.42,-1126,-2.37,-4.89
747,-4.65,-3.34,-1054,-1.87,-4.84
706,-4.97,-4.25,-1017,-1.89,-4.98
650,-5,-3.85,-981,-2.37,-5.21
623,-4.78,-4.67,-945,-2.28,-5.06
595,-5.25,-4.05,-909,-2.38,-5.02
540,-5.01,-4.59,-836,-1.8,-5.17
512,-5.17,-4.81,-800,-1.72,-5.13
484,-5.11,-4.41,-776,-1.53,-4.45
429,-4.91,-4.68,-764,-1.98,-5.15
373,-4.82,-3.85,-727,-2.18,-4.87
332,-5.03,-3.58,-727,-2.73,-5.09
290,-5.18,-4.05,-691,-2.37,-4.98
249,-4.79,-3.93,-691,-2.51,-5.15
207,-5.19,-4.43,-655,-1.43,-4.8
138,-4.81,-3.97,-619,-2.39,-4.8
96,-4.98,-3.79,-594,-1.75,-4.6
41,-4.96,-3.81,-582,-2.25,-5.26
-28,-4.46,-3.07,-546,-2.44,-5.24
-97,-4.76,-3.14,-546,-2.32,-5.21
-153,-4.78,-4.03,-510,-2.16,-4.99
-208,-4.76,-4.53,-498,-2.6,-5.29
-250,-5.16,-3.74,-474,-3.18,-5.32
-305,-5.06,-3.86,-437,-2.82,-5.04
-347,-4.79,-3.22,-437,-2.47,-5.09
-374,-4.84,-3.47,-401,-3.42,-5.19
-430,-4.8,-3.87,-389,-3.51,-5.35
-458,-4.9,-3.26,-365,-2.68,-5.27
-513,-4.91,-3.29,-341,-2.62,-5.01
-554,-4.77,-2.63,-316,-3.42,-4.81
-610,-4.72,-2.13,-292,-2.78,-5.12
-651,-4.87,-1.98,-232,-4.37,-5.34
-721,-4.91,-1.97,-220,-3.15,-5.02
-776,-4.95,-1.57,-159,-3.54,-4.02
-818,-5.01,-1.94,-147,-3.18,-5.39
-859,-4.66,-1.8,-87,-3.32,-4.96
-901,-4.84,-1.83,-75,-3.31,-4.98
-942,-4.5,-2.06,22,-3.21,-5.14
-998,-4.71,-2.22,46,-3.31,-4.87
-1053,-4.85,-1.93,95,-3.3,-5.14
-1095,-4.98,-2.24,143,-4.38,-5.28
-1150,-4.75,-2.11,NA,NA,NA
-1192,-4.69,-2.07,NA,NA,NA
-1233,-4.9,-2.08,NA,NA,NA
-1275,-4.78,-1.67,NA,NA,NA
-1330,-4.68,-1.9,NA,NA,NA
-1372,-4.73,-2.38,NA,NA,NA
-1427,-4.62,-2.23,NA,NA,NA
-1469,-5,-3.27,NA,NA,NA
-1496,-4.86,-3.1,NA,NA,NA
-1538,-4.81,-3.4,NA,NA,NA
-1579,-4.9,-2.94,NA,NA,NA
-1607,-4.87,-2.86,NA,NA,NA
-1649,-4.57,-3.14,NA,NA,NA
