Year (CE) (unitless) [1-1],d18O (per mil) [1-1],Sr/Ca (mmol/mol) [1-1],Year (CE) (unitless) [1-2],d18O (per mil) [1-2],Sr/Ca (mmol/mol) [1-2]
1954.04,NA,9.1631,1954.04,-4.3954,9.0269
1954.13,NA,9.2073,1954.13,-4.8284,8.9118
1954.21,NA,9.1292,1954.21,-5.0497,8.8069
1954.29,NA,9.0952,1954.29,-4.9542,8.7894
1954.38,NA,9.0072,1954.38,-5.1397,8.7505
1954.46,NA,8.9901,1954.46,-4.9828,8.7419
1954.54,NA,9.0381,1954.54,-4.9418,8.7409
1954.63,NA,9.0091,1954.63,-4.8923,8.8267
1954.71,NA,9.0125,1954.71,-4.7218,8.819
1954.79,NA,9.0571,1954.79,-4.4881,8.8975
1954.88,NA,9.0978,1954.88,-4.4553,8.9575
1954.96,NA,9.1385,1954.96,-4.5712,8.9831
1955.04,NA,9.1681,1955.04,-4.6152,8.9432
1955.13,NA,9.1355,1955.13,-4.7621,8.9003
1955.21,NA,9.1028,1955.21,-5.3435,8.7821
1955.29,NA,9.0702,1955.29,-5.3918,8.7801
1955.38,NA,9.0376,1955.38,-5.1572,8.7589
1955.46,NA,9.0017,1955.46,-4.9774,8.7546
1955.54,NA,9.0617,1955.54,-4.7077,8.7416
1955.63,NA,9.0866,1955.63,-4.8339,8.7703
1955.71,NA,9.022,1955.71,-4.4483,8.7998
1955.79,NA,9.076,1955.79,-4.4327,8.9826
1955.88,NA,9.1473,1955.88,-4.2458,9.0485
1955.96,NA,9.1984,1955.96,-4.2891,9.006
1956.04,NA,9.2351,1956.04,-4.2491,8.9733
1956.13,NA,9.2014,1956.13,-4.4595,8.9389
1956.21,NA,9.1678,1956.21,-4.9923,8.8621
1956.29,NA,9.1341,1956.29,-5.0571,8.7758
1956.38,NA,9.1288,1956.38,-5.2583,8.8337
1956.46,NA,9.1442,1956.46,-4.9895,8.7273
1956.54,NA,9.116,1956.54,-4.8748,8.7461
1956.63,NA,9.0786,1956.63,-4.6946,8.7342
1956.71,NA,9.0796,1956.71,-4.5802,8.8565
1956.79,NA,9.0886,1956.79,-4.5451,8.9427
1956.88,NA,9.1204,1956.88,-4.3372,8.94
1956.96,NA,9.1522,1956.96,-4.3154,9.0144
1957.04,NA,9.184,1957.04,-4.4349,8.9729
1957.13,NA,9.187,1957.13,-4.5483,8.9201
1957.21,NA,9.1531,1957.21,-4.6519,8.8491
1957.29,NA,9.0326,1957.29,-4.6836,8.8078
1957.38,NA,9.0065,1957.38,-4.8791,8.8229
1957.46,NA,8.9684,1957.46,-5.0097,8.7756
1957.54,NA,8.9571,1957.54,-5.0998,8.8042
1957.63,NA,8.9829,1957.63,-5.1888,8.7459
1957.71,NA,9.0088,1957.71,-4.5292,8.8371
1957.79,NA,9.0346,1957.79,-4.6982,8.9507
1957.88,NA,9.0521,1957.88,-4.511,9.0338
1957.96,NA,9.0673,1957.96,-4.2842,9.0011
1958.04,NA,9.0826,1958.04,-4.1891,9.0267
1958.13,NA,9.0918,1958.13,-4.853,8.9133
1958.21,NA,9.0722,1958.21,-5.0023,8.8076
1958.29,NA,9.0418,1958.29,-5.1758,8.8195
1958.38,NA,8.9623,1958.38,-5.2519,8.7791
1958.46,NA,9.0655,1958.46,-5.1731,8.7778
1958.54,NA,9.1345,1958.54,-5.0877,8.7075
1958.63,NA,9.1376,1958.63,-4.7911,8.7724
1958.71,NA,9.056,1958.71,-4.5973,8.9105
1958.79,NA,9.0502,1958.79,-4.6721,8.9714
1958.88,NA,9.1144,1958.88,-4.5932,9.043
1958.96,NA,9.1506,1958.96,-4.6689,8.9629
1959.04,NA,9.1868,1959.04,-4.934,8.978
1959.13,NA,9.1703,1959.13,-5.0155,8.9201
1959.21,NA,9.1489,1959.21,-5.0944,8.8155
1959.29,NA,9.0998,1959.29,-5.0389,8.7954
1959.38,NA,9.0546,1959.38,-4.9949,8.7825
1959.46,NA,9.0898,1959.46,-5.0004,8.8006
1959.54,NA,9.115,1959.54,-4.9765,8.8118
1959.63,NA,9.1292,1959.63,-4.7502,8.7756
1959.71,NA,9.1155,1959.71,-4.4703,8.9034
1959.79,NA,9.1018,1959.79,-4.5166,9.0288
1959.88,NA,9.1808,1959.88,-4.7217,9.1257
1959.96,NA,9.1558,1959.96,-4.8049,9.0197
1960.04,NA,9.1982,1960.04,-4.9331,8.9775
1960.13,NA,9.2406,1960.13,-4.9541,8.8712
1960.21,NA,9.1053,1960.21,-5.0822,8.8096
1960.29,NA,9.0094,1960.29,-5.087,8.7953
1960.38,NA,8.9765,1960.38,-5.0918,8.7811
1960.46,NA,8.9447,1960.46,-5.0953,8.7684
1960.54,NA,8.8897,1960.54,-5.0783,8.7809
1960.63,NA,8.9228,1960.63,-5.1948,8.8036
1960.71,NA,8.9575,1960.71,-4.5477,8.8604
1960.79,NA,9.0877,1960.79,-4.5245,8.924
1960.88,NA,9.0801,1960.88,-4.398,8.9596
1960.96,NA,9.1079,1960.96,-4.4863,8.9897
1961.04,NA,9.1357,1961.04,-4.8194,8.9745
1961.13,NA,9.1635,1961.13,-4.9154,8.8843
1961.21,NA,9.1323,1961.21,-5.0413,8.892
1961.29,NA,9.0545,1961.29,-5.0242000000000004,8.8146
1961.38,NA,8.9767,1961.38,-5.0913,8.8544
1961.46,NA,8.8857,1961.46,-5.6864,8.7635
1961.54,NA,8.9023,1961.54,-5.5413,8.7829
