age (BP),year (AD),dD C28 (per mil),compositeDepth (cm),Drilling project (unitless),site/hole (unitless),drive-type (unitless),section (unitless),sample # in section (unitless),top depth in section (cm),bottom depth in section (cm),dry sample mass (g),StDev C28 dD (per mil),n C28 (unitless)
24,1926,-158.22,1,LQDP05,1F,1H,1,1,0,2,1.355,0.94,3
170,1780,-156.15,7.3,LQDP05,1F,1H,1,2,6,8,1.692,1.22,3
315,1635,-147.72,13.5,LQDP05,1F,1H,1,3,12,14,1.082,0.26,3
460,1490,-155.85,19.7,LQDP05,1F,1H,1,4,18,20,1.632,1.14,3
606,1344,-162.02,25.9,LQDP05,1F,1H,1,5,24,26,1.421,0.83,3
751,1199,-159.43,32.2,LQDP05,1F,1H,1,6,30,32,1.623,0.25,3
897,1053,-151.38,38.4,LQDP05,1F,1H,1,7,36,38,1.495,0.79,3
1042,908,-149.41,44.6,LQDP05,1F,1H,1,8,42,44,1.35,1.4,3
1188,762,-164.92,50.8,LQDP05,1F,1H,1,9,48,50,1.887,0.43,3
1333,617,-158.34,57.1,LQDP05,1F,1H,1,10,54,56,1.559,1.21,3
1478,472,-152.71,63.3,LQDP05,1F,1H,1,11,60,62,1.212,0.73,3
1624,326,-153.99,69.5,LQDP05,1F,1H,1,12,66,68,1.909,1.76,3
1769,181,-158.15,75.8,LQDP05,1F,1H,1,13,72,74,1.919,0.83,3
1915,35,-159.16,82,LQDP05,1F,1H,1,14,78,80,1.598,1.14,3
2060,-111,-156.34,88.2,LQDP05,1F,1H,1,15,84,86,2.058,1.37,3
2205,-256,-153.87,94.4,LQDP05,1F,1H,1,16,90,92,1.958,1.97,3
2351,-402,-146.54,100.7,LQDP05,1F,1H,1,17,96,98,1.969,1.4,3
2496,-547,-153.67,106.9,LQDP05,1F,1H,1,18,102,104,2.246,2.34,3
2642,-693,-150.7,113.1,LQDP05,1F,1H,1,19,108,110,1.625,0.71,3
2811,-862,-169.98,120.4,LQDP05,1F,1H,2,1,0,2,2.235,3.07,3
2957,-1008,-170.27,126.6,LQDP05,1F,1H,2,2,6,8,1.735,3.53,3
3102,-1153,-179.61,132.8,LQDP05,1F,1H,2,3,12,14,2.606,5.03,3
