year (AD),depth (cm),d18O (permil),d18OUncertainty (permil)
1936,0.5,-2.57,0.07
1916,1.5,-2.42,NA
1906,2,-2.55,NA
1896,2.5,-2.7,NA
1876,3.5,-2.35,NA
1856,4.5,-2.48,NA
1846,5,-2.6,NA
1835,5.5,-2.54,NA
1815,6.5,-2.4,NA
1796,7.5,-2.66,NA
1776,8.5,-2.525,0.095
1756,9.5,-2.38,NA
1746,10,-2.51,NA
1737,10.5,-2.555,0.025
1717,11.5,-2.55,NA
1698,12.5,-2.465,0.005
1679,13.5,-2.56,NA
1661,14.5,-2.625,0.103
1651,15,-2.76,NA
1642,15.5,-2.51,0.14
1624,16.5,-2.335,0.015
1606,17.5,-2.76,NA
1588,18.5,-2.71,NA
1562,20,-2.53,NA
1554,20.5,-2.75,NA
1537,21.5,-2.79,NA
1521,22.5,-2.54,NA
1489,24.5,-2.56,NA
1481,25,-2.47,NA
1458,26.5,-2.44,NA
1443,27.5,-2.67,NA
1429,28.5,-2.73,NA
1414,29.5,-2.83,NA
1400,30.5,-2.57,NA
1386,31.5,-2.71,NA
1372,32.5,-2.98,0.03
1357,33.5,-2.68,NA
1343,34.5,-2.64,NA
1336,35,-2.66,NA
1315,36.5,-2.46,NA
1287,38.5,-2.53,NA
1265,40,-2.6,NA
1258,40.5,-2.66,NA
1243,41.5,-2.54,NA
1228,42.5,-2.335,0.025
1213,43.5,-2.61,NA
1197,44.5,-2.53,NA
1181,45.5,-2.71,NA
1165,46.5,-2.57,NA
1149,47.5,-2.71,NA
1132,48.5,-2.66,NA
1114,49.5,-2.81,NA
1096,50.5,-2.9,NA
1078,51.5,-2.3,NA
1060,52.5,-2.85,NA
1041,53.5,-2.5,NA
1022,54.5,-2.78,NA
1003,55.5,-2.62,NA
983,56.5,-2.46,NA
963,57.5,-2.56,NA
943,58.5,-2.73,NA
922,59.5,-2.9,NA
901,60.5,-2.78,NA
880,61.5,-2.52,NA
859,62.5,-2.48,NA
838,63.5,-2.45,NA
816,64.5,-2.6,NA
794,65.5,-2.24,NA
772,66.5,-2.61,NA
750,67.5,-2.7,NA
728,68.5,-2.57,NA
706,69.5,-2.39,NA
683,70.5,-2.55,NA
661,71.5,-2.47,NA
638,72.5,-2.59,NA
615,73.5,-2.62,NA
593,74.5,-2.86,NA
570,75.5,-2.86,NA
547,76.5,-2.7,NA
524,77.5,-2.83,NA
502,78.5,-2.58,NA
479,79.5,-2.63,NA
433,81.5,-2.78,NA
411,82.5,-2.57,NA
388,83.5,-2.51,NA
366,84.5,-2.48,NA
343,85.5,-2.9,NA
321,86.5,-2.41,NA
299,87.5,-2.48,NA
277,88.5,-2.53,NA
255,89.5,-2.67,NA
233,90.5,-2.6,NA
212,91.5,-2.38,NA
191,92.5,-2.42,NA
169,93.5,-2.61,NA
149,94.5,-2.62,NA
128,95.5,-2.57,NA
108,96.5,-2.77,NA
88,97.5,-2.47,NA
68,98.5,-2.85,NA
48,99.5,-2.63,NA
29,100.5,-2.59,NA
10,101.5,-2.45,0.14
-27,103.5,-2.6,NA
-44,104.5,-2.45,NA
-62,105.5,-2.54,NA
-80,106.5,-2.49,NA
-97,107.5,-2.6,NA
-114,108.5,-2.53,NA
-130,109.5,-2.67,NA
-147,110.5,-2.57,NA
-163,111.5,-2.64,NA
-179,112.5,-2.48,NA
-194,113.5,-2.57,NA
-210,114.5,-2.62,NA
-225,115.5,-2.35,NA
-241,116.5,-2.55,NA
-256,117.5,-2.66,NA
-271,118.5,-2.66,NA
-285,119.5,-2.54,NA
-300,120.5,-2.4,NA
-315,121.5,-2.37,NA
-329,122.5,-2.44,NA
-344,123.5,-2.4,NA
-358,124.5,-2.31,0.07
-372,125.5,-2.78,NA
-387,126.5,-2.585,0.255
-401,127.5,-2.66,NA
-415,128.5,-2.53,NA
-444,130.5,-2.64,NA
-473,132.5,-2.54,NA
-502,134.5,-2.59,NA
-561,138.5,-2.65,NA
-591,140.5,-2.57,NA
-622,142.5,-2.51,NA
-655,144.5,-2.51,NA
-687,146.5,-2.76,NA
-721,148.5,-2.56,NA
-756,150.5,-2.77,NA
-792,152.5,-2.57,NA
-830,154.5,-2.67,NA
-869,156.5,-2.56,NA
-910,158.5,-2.46,NA
-952,160.5,-2.54,NA
-973,161.5,-2.47,NA
-995,162.5,-2.22,NA
-1017,163.5,-2.33,NA
-1040,164.5,-2.41,NA
-1062,165.5,-2.68,NA
-1085,166.5,-2.34,NA
-1108,167.5,-2.47,NA
-1131,168.5,-2.49,NA
-1154,169.5,-2.5,NA
-1177,170.5,-2.54,NA
-1200,171.5,-2.52,NA
-1223,172.5,-2.45,NA
-1245,173.5,-2.59,NA
-1268,174.5,-2.51,NA
-1290,175.5,-2.355,0.085
-1313,176.5,-2.58,NA
-1335,177.5,-2.49,NA
-1356,178.5,-2.59,NA
-1378,179.5,-2.55,NA
-1400,180.5,-2.5,NA
-1421,181.5,-2.68,0.02
-1442,182.5,-2.82,NA
-1464,183.5,-2.58,NA
-1485,184.5,-2.85,NA
-1526,186.5,-2.35,0.11
-1567,188.5,-2.54,NA
-1608,190.5,-2.48,NA
-1648,192.5,-2.53,NA
-1688,194.5,-2.59,NA
-1728,196.5,-2.4,NA
-1767,198.5,-2.64,NA
-1806,200.5,-2.45,NA
-1845,202.5,-2.39,NA
-1884,204.5,-2.51,NA
-1922,206.5,-2.66,0.21
-1961,208.5,-2.49,NA
-1999,210.5,-2.5,NA
-2038,212.5,-2.55,NA
-2077,214.5,-2.77,NA
-2115,216.5,-2.68,NA
-2154,218.5,-2.72,NA
-2193,220.5,-2.77,NA
-2233,222.5,-2.72,NA
-2272,224.5,-2.44,NA
-2312,226.5,-2.4,NA
-2352,228.5,-2.37,0.16
-2393,230.5,-2.44,NA
-2434,232.5,-2.44,NA
-2476,234.5,-2.68,NA
-2518,236.5,-2.68,NA
-2560,238.5,-2.37,NA
-2603,240.5,-2.43,NA
-2646,242.5,-2.555,0.215
-2689,244.5,-2.495,0.195
-2732,246.5,-2.55,NA
-2775,248.5,-2.82,NA
-2819,250.5,-2.435,0.175
-2862,252.5,-2.61,NA
-2905,254.5,-2.68,NA
-2948,256.5,-2.54,NA
-2990,258.5,-2.76,NA
-3032,260.5,-2.45,NA
-3074,262.5,-2.29,NA
-3116,264.5,-2.38,NA
