year (AD) [1-1],depth (mm) [1-1],d18O (permil) [1-1],year (AD) [1-2],depth (mm) [1-2],d18O (permil) [1-2],year (AD) [1-3],depth (mm) [1-3],d18O (permil) [1-3]
-93150,4,-6.11,1834,1,-7.89,-8340,0,-7.68
-94650,7,-6.31,1810,2,-7.91,-8370,0.25,-8
-96150,10,-6.45,1786,3,-7.88,-8390,0.5,-7.76
-97650,13,-6.43,1762,4,-8.15,-8410,0.75,-7.76
-99150,16,-6.78,1738,5,-8.24,-8440,1,-7.58
-100250,19,-7.08,1714,6,-8.02,-8460,1.25,-7.51
-100450,22,-7.05,1690,7,-7.86,-8490,1.5,-8.11
-100750,25,-7.57,1666,8,-7.67,-8510,1.75,-8.53
-101050,28,-7.47,1642,9,-7.79,-8540,2,-8.24
-101250,31,-7.81,1618,10,-8.1,-8560,2.25,-7.89
-101550,34,-8.02,1594,11,-7.85,-8590,2.5,-8.54
-101750,37,-7.99,1573,12,-7.42,-8610,2.75,-8.61
-102050,40,-8.2,1553,13,-7.54,-8630,3,-8.57
-102250,43,-8.42,1460,14,-7.5,-8660,3.25,-8.5
-102550,46,-8.5,1368,15,-7.3,-8680,3.5,-8.44
-102750,49,-8.63,1275,16,-7.76,-8710,3.75,-8.25
-103250,52,-8.89,1182,17,-8.15,-8730,4,-7.75
-104150,55,-8.55,1090,18,-7.68,-8760,4.25,-7.75
-105150,58,-8.25,997,19,-7.67,-8780,4.5,-7.59
-106050,61,-8.37,900,20,-7.3,-8810,4.75,-7.75
-107050,64,-7.69,810,21,-7.13,-8830,5,-7.8
-108850,67,-8.63,720,22,-7.42,-8860,5.25,-7.77
-110650,70,-8.31,630,23,-7.69,-8880,5.5,-7.74
-112550,73,-6.21,530,24,-7.51,-8900,5.75,-7.76
-113050,76,-6.11,440,25,-7.56,-8930,6,-7.69
-113350,79,-5.9,290,26,-7.53,-8950,6.25,-7.8
-113650,82,-5.84,130,27,-7.35,-8980,6.5,-7.67
-113950,85,-5.68,-20,28,-7.49,-9000,6.75,-7.53
-114350,88,-5.96,-170,29,-7.38,-9050,7,-7.44
-114650,91,-5.89,-330,30,-6.8,-9080,7.25,-7.16
-114950,94,-5.57,-430,31,-6.97,-9100,7.5,-7.72
-115250,97,-5.58,-540,32,-7.28,-9120,7.75,-7.68
-115550,100,-4.98,-650,33,-7.13,-9140,8,-8.27
-116050,103,-5.5,-760,34,-7.08,-9170,8.25,-8.07
-116950,106,-4.88,-870,35,-7.49,-9190,8.5,-8.01
-117250,107,-4.92,-980,36,-7.45,-9210,8.75,-7.96
-117850,109,-5.6,-1080,37,-7.49,-9240,9,-7.83
-118750,112,-5.48,-1190,38,-7.69,-9260,9.25,-7.77
-119650,115,-5.63,-1300,39,-7.54,-9280,9.5,-7.85
-120050,116.5,-5.76,-1410,40,-8.1,-9310,9.75,-7.49
-120250,118,-3.2,-1520,41,-8.05,-9330,10,-7.62
-120350,119.5,-5.75,-1630,42,-8.08,-9350,10.25,-8.05
-120450,121,-5.06,-1730,43,-8.24,-9370,10.5,-7.91
-120550,124,-5.4,-1840,44,-8.59,-9400,10.75,-7.66
-120750,127,-5.94,-1950,45,-8.83,-9420,11,-7.68
-120950,130,-5.75,-2050,46,-8.78,-9430,11.25,-7.63
-121050,133,-6.32,-2150,47,-8.37,-9430,11.5,-7.83
-121250,136,-5.94,-2230,48,-8.27,-9440,11.75,-7.96
-121450,139,-6.27,-2310,49,-8.36,-9450,12,-7.86
-121650,142,-6.84,-2390,50,-8.28,-9450,12.17,-7.89
-121950,145,-8.2,-2470,51,-8.76,-9460,12.33,-7.82
-122250,148,-8.72,-2550,52,-8.41,-9470,12.5,-7.93
-122650,151,-8.88,-2630,53,-8.32,-9470,12.67,-7.72
-122950,154,-8.73,-2720,54,-8.53,-9480,12.83,-7.73
-123350,157,-8.57,-2800,55,-8.01,-9490,13,-7.62
-123650,160,-8.67,-2880,56,-8.74,-9490,13.17,-7.79
-123950,163,-8.4,-2960,57,-8.61,-9500,13.33,-7.56
-124250,166,-8.63,-3040,58,-8.3,-9510,13.5,-7.53
-124550,169,-8.9,-3120,59,-8.44,-9510,13.67,-7.57
-124850,172,-8.69,-3200,60,-8.27,-9520,13.83,-7.82
-125150,175,-8.51,-3280,61,-8.45,-9520,14,-7.84
-125350,178,-8.02,-3370,62,-8.48,-9530,14.17,-7.95
-125750,181,-8.93,-3440,64,-8.55,-9540,14.33,-7.98
-129150,183.5,-8.5,-3520,66,-8.66,-9540,14.5,-8.42
-131550,185,-7.89,-3590,68,-8.48,-9550,14.67,-8.28
