year (AD),d18O (permil)
1975.54,-3.07
1975.45,-3.07
1975.37,-3.01
1975.29,-3.02
1975.2,-3.26
1975.12,-3.23
1975.04,-3.14
1974.95,-3.36
1974.87,-3.48
1974.79,-3.5
1974.7,-3.53
1974.62,-3.44
1974.54,-3.37
1974.45,-3.38
1974.37,-3.29
1974.29,-3
1974.2,-2.89
1974.12,-2.96
1974.04,-3.06
1973.95,-3.18
1973.87,-3.08
1973.79,-2.94
1973.7,-3.59
1973.62,-3.27
1973.54,-3.24
1973.45,-3.37
1973.37,-3.44
1973.29,-3.25
1973.2,-3.2
1973.12,-3.32
1973.04,-3.45
1972.95,-3.44
1972.87,-3.43
1972.79,-3.53
1972.7,-3.69
1972.62,-3.26
1972.54,-3.12
1972.45,-3.1
1972.37,-2.98
1972.29,-2.98
1972.2,-3.02
1972.12,-3.07
1972.04,-3.22
1971.95,-3.36
1971.87,-3.48
1971.79,-3.59
1971.7,-3.59
1971.62,-3.26
1971.54,-3.38
1971.45,-3.32
1971.37,-3.03
1971.29,-2.86
1971.2,-3.47
1971.12,-3.11
1971.04,-3.04
1970.95,-3.29
1970.87,-3.58
1970.79,-3.54
1970.7,-3.66
1970.62,-3.46
1970.54,-3.16
1970.45,-3.39
1970.37,-3.12
1970.29,-2.88
1970.2,-2.8
1970.12,-2.99
1970.04,-3.08
1969.95,-3.34
1969.87,-3.53
1969.79,-3.45
1969.7,-3.83
1969.62,-3.34
1969.54,-3.46
1969.45,-3.29
1969.37,-3.57
1969.29,-3.37
1969.2,-3.04
1969.12,-2.99
1969.04,-2.93
1968.95,-3
1968.87,-2.95
1968.79,-2.76
1968.7,-3.51
1968.62,-3.38
1968.54,-3.26
1968.45,-3.14
1968.37,-3.03
1968.29,-2.92
1968.2,-2.83
1968.12,-2.84
1968.04,-2.9
1967.95,-3.1
1967.87,-3.08
1967.79,-2.92
1967.7,-3.22
1967.62,-3
1967.54,-2.81
1967.45,-2.83
1967.37,-2.9
1967.29,-3.06
1967.2,-3.2
1967.12,-3.3
1967.04,-3.36
1966.95,-3.39
1966.87,-3.54
1966.79,-3.71
1966.7,-2.89
1966.62,-2.99
1966.54,-3.06
1966.45,-2.9
1966.37,-2.82
1966.29,-2.86
1966.2,-2.97
1966.12,-3.15
1966.04,-3.28
1965.95,-3.38
1965.87,-3.43
1965.79,-3.47
1965.7,-3.7
1965.62,-3.51
1965.54,-3.32
1965.45,-3.15
1965.37,-3
1965.29,-2.94
1965.2,-2.94
1965.12,-2.94
1965.04,-2.91
1964.95,-2.89
1964.87,-2.88
1964.79,-2.86
1964.7,-3.5
1964.62,-3.37
1964.54,-3.16
1964.45,-2.85
1964.37,-3.13
1964.29,-3.47
1964.2,-3.74
1964.12,-3.74
1964.04,-3.64
1963.95,-3.63
1963.87,-3.68
1963.79,-3.78
1963.7,-3.92
1963.62,-3.49
1963.54,-3.05
1963.45,-3.15
1963.37,-3.39
1963.29,-3.46
1963.2,-3.42
1963.12,-3.35
1963.04,-3.24
1962.95,-3.2
1962.87,-3.43
1962.79,-3.66
1962.7,-3.88
1962.62,-3.21
1962.54,-3.34
1962.45,-3.06
1962.37,-2.92
1962.29,-2.95
1962.2,-3.12
1962.12,-3.24
1962.04,-3.33
1961.95,-3.63
1961.87,-3.59
1961.79,-3.52
1961.7,-3.79
1961.62,-3.47
1961.54,-3.3
1961.45,-3.33
1961.37,-3.25
1961.29,-3.14
1961.2,-3.03
1961.12,-3.07
1961.04,-3.19
1960.95,-3.41
1960.87,-3.47
1960.79,-3.39
1960.7,-3.52
1960.62,-3.31
1960.54,-3.08
1960.45,-2.86
1960.37,-2.75
1960.29,-2.65
1960.2,-2.51
1960.12,-2.56
1960.04,-2.69
1959.95,-2.89
1959.87,-2.99
1959.79,-3.02
1959.7,-3.32
1959.62,-3.09
1959.54,-3.14
1959.45,-3.09
1959.37,-3.01
1959.29,-2.94
1959.2,-3
1959.12,-2.85
1959.04,-3.35
1958.95,-3.19
1958.87,-3.4
1958.79,-3.38
1958.7,-3.45
1958.62,-3.21
1958.54,-3.05
1958.45,-2.98
1958.37,-3.05
1958.29,-2.98
1958.2,-3.07
1958.12,-3.3
1958.04,-3.43
1957.95,-3.45
1957.87,-3.44
1957.79,-3.47
1957.7,-3.56
1957.62,-3.37
1957.54,-3.24
1957.45,-3.18
1957.37,-3.24
1957.29,-3.31
1957.2,-3.46
1957.12,-3.66
1957.04,-3.65
1956.95,-3.6
1956.87,-3.53
1956.79,-3.45
1956.7,-3.67
1956.62,-3.4
1956.54,-3.45
1956.45,-3.35
1956.37,-3.15
1956.29,-3.17
1956.2,-3.24
1956.12,-3.49
1956.04,-3.53
1955.95,-3.59
1955.87,-3.77
1955.79,-3.79
1955.7,-3.77
1955.62,-3.63
1955.54,-3.67
1955.45,-3.65
1955.37,-3.51
1955.29,-3.32
1955.2,-2.97
1955.12,-2.98
1955.04,-3.04
1954.95,-3.1
1954.87,-3.21
1954.79,-3.43
1954.7,-3.78
1954.62,-3.63
1954.54,-3.64
1954.45,-3.53
1954.37,-3.43
1954.29,-3.34
1954.2,-3.29
1954.12,-3.2
1954.04,-3.03
1953.95,-2.97
1953.87,-3.09
1953.79,-3.38
1953.7,-3.56
1953.62,-3.32
1953.54,-3.21
1953.45,-2.98
1953.37,-3.08
1953.29,-2.78
1953.2,-2.75
1953.12,-2.7
1953.04,-2.79
1952.95,-2.87
1952.87,-3.42
1952.79,-3.35
1952.71,-3.46
1952.62,-3.16
1952.54,-3.16
1952.46,-2.9
1952.37,-2.9
1952.29,-2.62
1952.21,-2.72
1952.12,-2.53
1952.04,-2.77
1951.96,-2.77
1951.87,-3.13
1951.79,-3.09
1951.71,-3.29
1951.62,-3.24
1951.54,-3.23
1951.46,-3.01
1951.37,-2.97
1951.29,-2.85
1951.21,-2.73
1951.12,-2.7
1951.04,-2.74
1950.96,-2.98
1950.87,-2.93
1950.79,-3.26
1950.71,-3.21
1950.62,-3.2
1950.54,-3.01
1950.46,-3.04
1950.37,-2.79
1950.29,-2.77
1950.21,-2.68
1950.12,-2.61
1950.04,-2.65
1949.96,-2.65
1949.87,-2.98
1949.79,-3.08
1949.71,-3.3
1949.62,-3.19
1949.54,-3.29
1949.46,-3.17
1949.37,-3.18
1949.29,-2.99
1949.21,-2.87
1949.12,-2.67
1949.04,-2.6
1948.96,-2.47
1948.87,-2.76
1948.79,-2.78
1948.71,-2.97
1948.62,-2.91
1948.54,-2.87
1948.46,-2.7
1948.37,-2.66
1948.29,-2.69
1948.21,-2.76
1948.12,-2.78
1948.04,-2.67
1947.96,-2.77
1947.87,-3.46
1947.79,-3.3
1947.71,-3.66
1947.62,-3.22
1947.54,-3.12
1947.46,-2.82
1947.37,-2.43
1947.29,-2.72
1947.21,-2.63
1947.12,-2.86
1947.04,-2.6
1946.96,-2.44
1946.87,-2.57
1946.79,-2.49
1946.71,-3.15
1946.62,-2.97
1946.54,-2.95
1946.46,-3.14
1946.37,-2.81
1946.29,-2.5
1946.21,-2.52
1946.12,-2.38
1946.04,-2.27
1945.96,-2.61
1945.87,-2.75
1945.79,-2.74
1945.71,-3.32
1945.62,-2.74
1945.54,-2.95
1945.46,-2.57
1945.37,-2.87
1945.29,-3.19
1945.21,-2.81
1945.12,-3.08
1945.04,-2.66
1944.96,-2.61
1944.87,-3.2
1944.79,-3.1
1944.71,-3.5
1944.62,-3.2
1944.54,-2.98
1944.46,-3.08
1944.37,-3.08
1944.29,-2.86
1944.21,-2.7
1944.12,-2.59
1944.04,-2.81
