year (AD),depth (cm),dD (permil),dD (permil)
1970,NA,-285.7,-252.9
1969,NA,-290,-208
1968,NA,-279.2,-236.8
1967,NA,-286.2,-252
1966,NA,-294.8,-219.8
1965,NA,-278.9,-256.5
1964,NA,-287.5,-246.9
1963,NA,-281.7,-252.1
1962,NA,-259.4,-241.1
1961,NA,-284.6,-224.4
1960,NA,-286.5,-252.5
1959,NA,-299.5,-225.1
1958,NA,-280.7,-241.5
1957,NA,-303.3,-262.9
1956,NA,-311.2,-264.3
1955,NA,-287.3,-252.4
1954,NA,-294.1,-254.5
1953,NA,-285.8,-226.7
1952,NA,-284.8,-251.2
1951,NA,-292.2,-255.1
1950,NA,-295.7,-235.8
1949,NA,-294.9,-262.5
1948,NA,-294.6,-239.3
1947,NA,-269.4,-246.7
1946,NA,-275.8,-255.6
1945,NA,-308.8,-249.4
1944,NA,-300.9,-246.3
1943,NA,-280.4,-274.8
1942,NA,-265.6,-214.5
1941,NA,-281.3,-243
1940,NA,-280.4,-234.2
1939,NA,-278.5,-228.4
1938,NA,-282.5,-255.7
1937,NA,-309,-251.5
1936,NA,-273,-245.3
1935,NA,-281.9,-226.9
1934,NA,-284.4,-220.7
1933,NA,-295.1,-247.5
1932,NA,-274.4,-227.1
1931,NA,-305.1,-237.2
1930,NA,-292.6,-246.1
1929,NA,-292,-244.1
1928,NA,-294.5,-225.8
1927,NA,-272.3,-231.1
1926,NA,-311.7,-275.2
1925,NA,-306.9,-245.4
1924,NA,-305.4,-286.5
1923,NA,-318,-245.2
1922,NA,-312,-261.6
1921,NA,-300.4,-265
1920,NA,-293.4,-256.2
1919,NA,-300,-260.5
1918,NA,-331.7,-246.2
1917,NA,-295.6,-266.7
1916,NA,-278.8,-227.1
1915,NA,-333.3,-238.5
1914,NA,-312.4,-247.2
1913,NA,-304,-263.6
1912,NA,-296.2,-243.1
1911,NA,-301.2,-247.6
1910,NA,-299,-233.3
1909,NA,-283.4,-212.6
1908,NA,-268,-229
1907,NA,-325.3,-242.2
1906,NA,-310.7,-248.3
1905,NA,-270.8,-252.8
1904,NA,-312.8,-240.7
1903,NA,-269,-240
1902,NA,-346,-235.3
1901,NA,-303.7,-211.7
1900,NA,-310.8,-200.8
1899,NA,-300.1,-270.8
1898,NA,-279.1,-215.6
1897,NA,-325,-249.7
1896,NA,-314.4,-242.6
1895,NA,-282.5,-254.6
1894,NA,-303.5,-238
1893,NA,-316.1,-208.7
1892,NA,-275.6,-247.3
1891,NA,-310.6,-235.6
1890,NA,-286.6,-208.5
1889,NA,-307.9,-259.4
1888,NA,-269.6,-240.9
1887,NA,-304.5,-246.1
1886,NA,-327.2,-234.2
1885,NA,-306.5,-248.9
1884,NA,-286.3,-249
1883,NA,-302.8,-236.4
1882,NA,-297.1,-239.6
1881,NA,-290.6,-234.6
1880,NA,-312.7,-230.8
1879,NA,-267.8,-231.4
1878,NA,-309.8,-241.2
1877,NA,-313.1,-223.5
1876,NA,-287.6,-215.2
1875,NA,-271.7,-251.9
1874,NA,-289.7,-223.5
1873,NA,-315.8,-254.9
1872,NA,-271.9,-212.7
1871,NA,-282.1,-220.3
1870,NA,-291,-233.4
