year (AD),depth (cm),d18O (permil),dD (permil),deuteriumExcess (permil)
1977,NA,-14.98,-114,5.9
1976,NA,-14.39,-108.1,7
1975,NA,-13.42,-101.3,6
1974,NA,-14.04,-103.6,8.7
1973,NA,-14,-104.5,7.5
1972,NA,-13.9,-104.3,6.9
1971,NA,-14.24,-107.4,6.6
1970,NA,-14.19,-106.1,7.4
1969,NA,-14.32,-106.9,7.7
1968,NA,-14.09,-106.9,5.8
1967,NA,-14.43,-108.2,7.2
1966,NA,-16.33,-123.7,6.9
1965,NA,-15.72,-118.8,7
1964,NA,-12.68,-97.2,4.3
1963,NA,-12.64,-96,5.1
1962,NA,-13.7,-101.9,7.7
1961,NA,-14.68,-110.6,6.8
1960,NA,-13.73,-103.2,6.7
1959,NA,-13.59,-101.5,7.2
1958,NA,-13.89,-104.1,7
1957,NA,-13.8,-102.4,8
1956,NA,-14.26,-107.8,6.3
1955,NA,-13.83,-102.1,8.5
1954,NA,-14.07,-102.2,10.4
1953,NA,-14.23,-104.8,9
1952,NA,-13.8,-102.3,8.1
1951,NA,-14.12,-104.4,8.5
1950,NA,-13.68,-101,8.5
1949,NA,-13.01,-96.9,7.2
1948,NA,-13.31,-98.1,8.4
1947,NA,-13.5,-99.4,8.6
1946,NA,-12.66,-96.7,4.6
1945,NA,-12.21,-96.5,1.1
1944,NA,-12.32,-94.5,4.1
1943,NA,-12.04,-95.3,1.1
1942,NA,-12.21,-96.4,1.3
1941,NA,-12.52,-98.9,1.2
1940,NA,-12.38,-96.8,2.3
1939,NA,-13.8,-101.6,8.8
1938,NA,-13.11,-100.6,4.2
1937,NA,-13.62,-100.2,8.7
1936,NA,-14.46,-106.1,9.6
1935,NA,-14.16,-102.3,11
1934,NA,-15.61,-114,10.9
1933,NA,-14.48,-105.2,10.7
1932,NA,-14.9,-108.6,10.6
1931,NA,-15.29,-112.1,10.2
1930,NA,-14.9,-108.6,10.6
1929,NA,-14.36,-104.9,10
1928,NA,-14.17,-104.1,9.2
1927,NA,-14.5,-107.7,8.3
1926,NA,-15.02,-110.2,9.9
1925,NA,-15.2,-111.1,10.5
1924,NA,-15.62,-115.8,9.1
1923,NA,-15.65,-115.1,10.1
1922,NA,-15.61,-116,8.9
1921,NA,-15.68,-115.9,9.5
1920,NA,-15.08,-110.5,10.2
1919,NA,-15.2,-111.1,10.5
1918,NA,-15.15,-110.2,11.1
1917,NA,-14.71,-108.5,9.2
1916,NA,-14.61,-108.1,8.7
1915,NA,-15.31,-113.1,9.4
1914,NA,-14.9,-109,10.2
1913,NA,-14.96,-110,9.7
1912,NA,-14.61,-108.8,8.1
1911,NA,-14.78,-110,8.2
1910,NA,-15.43,-115.2,8.2
1909,NA,-15.29,-113.4,8.9
1908,NA,-15.29,-113.4,8.9
1907,NA,-15.68,-116.7,8.7
1906,NA,-16.43,-120.1,11.3
1905,NA,-16.02,-118.2,10
1904,NA,-15.82,-116.8,9.8
1903,NA,-15.55,-114.9,9.5
1902,NA,-16.12,-119.4,9.6
1901,NA,-16.81,-124.3,10.2
1900,NA,-16.03,-118.1,10.1
1899,NA,-15.69,-116.1,9.4
1898,NA,-15.94,-118.9,8.7
1897,NA,-14.86,-110.3,8.5
1896,NA,-15.25,-113.9,8.1
