year (AD),depth (m),d18O (permil)
1994,0.53,-36.1
1993,1.1,-34
1992,1.62,-32.2
1991,2.19,-34.5
1990,2.69,-33.1
1989,3.25,-35.9
1988,3.73,-32.6
1987,4.19,-31.5
1986,4.65,-33
1985,5.11,-33
1984,5.55,-32.6
1983,5.99,-34.6
1982,6.42,-34
1981,6.84,-33
1980,7.28,-35.5
1979,7.69,-35.1
1978,8.1,-33.7
1977,8.5,-33.4
1976,8.91,-33.6
1975,9.3,-33.2
1974,9.69,-33.2
1973,10.07,-33.5
1972,10.46,-34.6
1971,10.84,-33.6
1970,11.21,-36.6
1969,11.58,-34.5
1968,11.95,-31.9
1967,12.31,-34.7
1966,12.67,-33.5
1965,13.03,-33.1
1964,13.38,-34.2
1963,13.75,-34.8
1962,14.09,-34
1961,14.44,-32.3
1960,14.78,-31.5
1959,15.13,-37.1
1958,15.47,-35.1
1957,15.81,-35
1956,16.14,-33.9
1955,16.47,-32.4
1954,16.8,-32.6
1953,17.13,-30.5
1952,17.46,-33.1
1951,17.78,-32.4
1950,18.1,-34
1949,18.43,-35.7
1948,18.74,-34.1
1947,19.06,-34.2
1946,19.38,-35.7
1945,19.69,-34.7
1944,20.01,-35.4
1943,20.32,-34.1
1942,20.63,-34.6
1941,20.93,-33.6
1940,21.24,-30.8
1939,21.54,-33.7
1938,21.85,-34.9
1937,22.15,-34
1936,22.45,-33.6
1935,22.75,-33.9
1934,23.05,-32.7
1933,23.35,-33.9
1932,23.64,-32.5
1931,23.93,-32.5
1930,24.23,-33
1929,24.52,-31.3
1928,24.81,-29.4
1927,25.1,-31.5
1926,25.39,-34.1
1925,25.67,-35
1924,25.96,-34.5
1923,26.25,-33.4
1922,26.53,-35.1
1921,26.81,-35.1
1920,27.1,-33.3
1919,27.38,-33.9
1918,27.66,-34.8
1917,27.93,-35.7
1916,28.21,-34.1
1915,28.49,-33
1914,28.77,-34
1913,29.04,-35
1912,29.32,-33.3
1911,29.6,-34.1
1910,29.89,-35.2
1909,30.17,-32.7
1908,30.46,-34.3
1907,30.74,-35.1
1906,31.02,-34.7
1905,31.3,-34.9
1904,31.58,-33.1
1903,31.86,-33.5
1902,32.14,-35.3
1901,32.41,-33.1
1900,32.69,-32
1899,32.97,-35
1898,33.24,-35
1897,33.52,-34
1896,33.79,-33.8
1895,34.06,-34.1
1894,34.33,-32.7
1893,34.58,-29.4
1892,34.85,-30.2
1891,35.12,-30.8
1890,35.39,-34.3
1889,35.66,-34
1888,35.92,-33.6
1887,36.2,-34.6
1886,36.47,-34.7
1885,36.73,-35.1
1884,36.99,-35.7
1883,37.26,-33.4
1882,37.53,-34
1881,37.79,-32.8
1880,38.05,-31.6
1879,38.31,-32
1878,38.58,-31.9
1877,38.84,-32.8
1876,39.1,-32
1875,39.36,-33.1
1874,39.62,-33.7
1873,39.88,-34.5
1872,40.14,-34.2
1871,40.4,-32.6
1870,40.66,-30.2
1869,40.92,-32.2
1868,41.17,-34.6
1867,41.43,-35.3
1866,41.69,-35
1865,41.94,-34.7
1864,42.2,-33.7
1863,42.45,-34.6
1862,42.7,-34.9
1861,42.95,-35.8
1860,43.22,-33.5
1859,43.48,-33.6
1858,43.73,-34.1
1857,43.98,-32.7
1856,44.23,-33.1
1855,44.48,-32.5
1854,44.73,-33.8
1853,45,-34.5
1852,45.25,-36.2
1851,45.5,-33.1
1850,45.75,-31.8
1849,46,-31.7
1848,46.25,-34
1847,46.49,-34.7
1846,46.74,-33.3
1845,46.99,-32.3
1844,47.23,-34.1
1843,47.48,-35.1
1842,47.73,-34.6
1841,47.97,-33.7
