year (AD),depth (cm),d18O (permil)
1680,0,2.74
1620,1,2.87
1570,2,3.03
1520,3,2.87
1460,4,2.81
1410,5,2.92
1360,6,2.9
1300,7,2.86
1250,8,2.9
1200,9,2.91
1140,10,2.83
1090,11,2.73
970,12,2.79
900,13,2.68
840,13.5,2.91
780,14,2.74
720,14.5,2.95
600,15.5,2.84
540,16,2.72
480,16.5,2.61
420,17,2.91
360,17.5,2.69
300,18,2.9
240,18.5,2.97
180,19,2.51
120,19.5,2.74
60,20,2.78
0,20.5,2.77
-60,21,2.93
-120,21.5,2.86
-180,22,2.85
-240,22.5,2.95
-300,23,2.83
-420,24,2.89
-540,25,2.86
-580,25.5,2.91
-630,26,2.83
-670,26.5,2.8
-720,27,2.93
-760,27.5,2.74
-800,28,2.83
-850,28.5,2.76
-890,29,2.95
-930,29.5,2.89
-980,30,2.55
-1020,30.5,2.81
-1070,31,2.92
-1110,31.5,2.77
-1150,32,2.56
-1200,32.5,2.75
-1240,33,2.81
-1280,33.5,2.77
-1330,34,2.33
-1370,34.5,2.81
-1420,35,2.57
-1460,35.5,2.84
-1500,36,2.85
-1550,36.5,2.8
-1590,37,2.71
-1640,37.5,2.64
-1680,38,2.64
-1730,38.5,2.84
-1820,39.5,2.72
-1860,40,2.44
-1910,40.5,2.62
-1950,41,2.68
-2000,41.5,2.74
-2050,42,2.8
-2090,42.5,2.92
-2140,43,2.78
-2180,43.5,2.8
-2230,44,2.91
-2270,44.5,2.74
-2320,45,2.85
-2370,45.5,2.65
-2410,46,2.55
-2460,46.5,2.91
-2500,47,2.83
-2550,47.5,2.81
-2590,48,2.52
-2730,49.5,2.8
-2770,50,2.92
-2810,50.5,2.84
-2850,51,2.73
-2890,51.5,2.86
-2930,52,2.82
-2970,52.5,2.81
-3010,53,2.94
-3050,53.5,2.96
-3090,54,2.8
-3130,54.5,2.8
-3170,55,2.77
-3220,55.5,2.53
-3260,56,2.8
-3340,57,2.52
-3380,57.5,2.8
-3420,58,2.84
-3540,59.5,2.94
-3580,60,2.55
-3620,60.5,2.73
-3660,61,2.6
-3760,62,2.76
-3800,62.5,2.88
-3850,63,2.64
-3900,63.5,2.83
-3950,64,2.76
-4040,65,2.92
-4090,65.5,2.88
-4180,66.5,2.86
-4230,67,2.94
-4280,67.5,2.86
-4330,68,2.95
-4370,68.5,2.81
-4420,69,2.86
-4470,69.5,2.85
-4520,70,2.82
-4560,70.5,2.87
-4610,71,2.73
-4660,71.5,2.83
-4710,72,2.83
-4750,72.5,2.88
-4800,73,3.09
-4840,73.5,2.92
-4890,74,2.77
-4930,74.5,2.79
-4970,75,2.7
-5010,75.5,2.83
-5060,76,2.89
-5100,76.5,2.69
-5140,77,3.03
-5180,77.5,2.93
-5230,78,2.63
-5270,78.5,2.73
-5310,79,2.85
-5350,79.5,2.73
-5400,80,2.66
-5440,80.5,2.92
-5480,81,2.72
-5520,81.5,2.79
-5570,82,2.8
-5610,82.5,2.94
-5650,83,2.71
-5690,83.5,2.75
-5740,84,2.69
-5780,84.5,2.68
-5820,85,2.8
-5900,85.5,3.01
-5980,86,2.98
-6060,86.5,2.86
-6130,87,2.78
-6210,87.5,2.93
-6290,88,2.8
-6370,88.5,2.97
-6450,89,3.05
-6530,89.5,2.9
-6600,90,3.02
-6680,90.5,2.95
-6760,91,3.01
-6840,91.5,3
-6920,92,3.05
-7000,92.5,2.83
-7070,93,2.85
-7150,93.5,2.88
-7230,94,2.95
-7310,94.5,3.05
-7390,95,2.82
-7470,95.5,2.92
-7540,96,3.03
-7620,96.5,3.06
-7700,97,2.98
-7750,97.5,3.14
-7800,98,3.14
-7860,98.5,3.13
-7910,99,3.15
-7960,99.5,2.93
-8010,100,3.2
-8060,100.5,2.93
-8120,101,3.14
-8270,102.5,3.13
-8330,103,3.27
-8380,103.5,3.15
-8430,104,2.97
-8480,104.5,3.15
-8530,105,3.15
-8590,105.5,3.22
-8640,106,3.29
-8690,106.5,3.2
-8740,107,3.3
-8790,107.5,3.34
-8850,108,3.29
-8900,108.5,3.17
-8950,109,3.34
-8970,109.5,3.28
-8990,110,3.36
-9020,111,3.2
-9040,111.5,3.2
-9060,112,3.37
-9080,112.5,3.35
-9090,113,3.37
-9110,113.5,3.4
-9130,114,3.46
-9150,114.5,3.35
-9160,115,3.2
-9180,115.5,3.02
-9200,116,3.28
-9220,116.5,3.27
-9240,117,3
-9250,117.5,3.33
-9270,118,3.36
-9290,118.5,3.28
-9310,119,3.36
-9320,119.5,3.23
-9340,120,3.18
-9360,120.5,3.48
-9380,121,3.48
