year (AD) [1-1],temperature (degC) [1-1],year (AD) [1-2],depth (cm) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],core () [1-2]
1950,26.4,1950,0,NA,NA,-2.08,SO90_39KG
1944.2,26.5,1942.8,1,NA,NA,-2.05,SO90_39KG
1942.8,26.9,1932.9,3,NA,NA,-2.19,SO90_39KG
1932.9,26.6,1912.9,5,NA,NA,-2.06,SO90_39KG
1932.7,26.6,1912.2,9,NA,NA,-2.18,SO90_39KG
1921.2,26.4,1882.5,13,NA,NA,-1.91,SO90_39KG
1912.9,26.6,1852.8,15,NA,NA,-1.89,SO90_39KG
1912.6,26.8,1832.9,29,NA,NA,-1.93,SO90_39KG
1912.2,26.3,1832.7,31,NA,NA,-2.24,SO90_39KG
1909.7,26.6,1832.4,33,NA,NA,-2.1,SO90_39KG
1898.2,26.5,1832.1,35,NA,NA,-2.15,SO90_39KG
1882.8,26.4,1797.6,26.5,NA,NA,-2.13,SO90_56KA
1882.5,26.3,1780.4,29.5,NA,NA,-2,SO90_56KA
1852.8,26.2,1766,32,NA,NA,-1.91,SO90_56KA
1832.9,26.3,1763.1,32.5,NA,NA,-2.29,SO90_56KA
1832.7,26.7,1748.7,35,NA,NA,-2.28,SO90_56KA
1832.4,26.4,1731.5,38,NA,NA,-2.18,SO90_56KA
1832.1,26.6,1722.8,39,NA,NA,-2.06,SO90_56KA
1812,26.3,1722.4,41,NA,NA,-2.09,SO90_56KA
1800.5,26.6,1722.1,43,NA,NA,-2.15,SO90_56KA
1789,26.5,1682.1,46,NA,NA,-2.15,SO90_56KA
1777.5,25.2,1663.1,49,NA,NA,-2.25,SO90_56KA
1766,25.2,1637.8,53,NA,NA,-1.99,SO90_56KA
1754.5,27.4,1622,55.5,NA,NA,-2.09,SO90_56KA
1743,25.5,1559.5,61.5,NA,NA,-1.95,SO90_56KA
1731.5,25.3,1523.1,65,NA,NA,-2.22,SO90_56KA
1723.1,26.4,1481.5,69,NA,NA,-2.06,SO90_56KA
1722.8,26.6,1445,72.5,NA,NA,-1.93,SO90_56KA
1722.4,26.1,1403.4,76.5,NA,NA,-2.3,SO90_56KA
1722.1,26.7,1346.1,82,NA,NA,-2.13,SO90_56KA
1720,26.8,1283.7,88,NA,NA,-2.08,SO90_56KA
1707.4,27.1,1242,92,NA,NA,-1.98,SO90_56KA
1694.7,26.2,1221.2,94,NA,NA,-1.89,SO90_56KA
