year (AD) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2]
1951.94,-5.07,1891.75,-3.72
1952.05,-5.05,1892,-3.79
1952.15,-4.87,1892.25,-3.83
1952.19,-4.48,1892.5,-3.75
1952.23,-4.36,1892.75,-3.64
1952.27,-4.51,1893,-3.4
1952.31,-4.67,1893.25,-3.14
1952.36,-4.5,1893.5,-2.91
1952.4,-4.55,1893.75,-2.7
1952.44,-4.61,1894,-2.89
1952.48,-4.68,1894.25,-3.32
1952.52,-4.83,1894.5,-3.6
1952.56,-4.8,1894.75,-3.73
1952.66,-4.8,1895,-3.88
1952.76,-4.77,1895.25,-4.08
1952.87,-4.69,1895.5,-4.3
1952.97,-4.65,1895.75,-4.59
1953.07,-4.88,1896,-4.83
1953.17,-5.03,1896.25,-4.78
1953.25,-4.92,1896.5,-4.68
1953.34,-4.9,1896.75,-4.69
1953.42,-4.82,1897,-4.73
1953.5,-4.77,1897.25,-4.78
1953.59,-4.56,1897.5,-4.82
1953.67,-4.54,1897.75,-4.8
1953.7,-4.84,1898,-4.64
1953.73,-4.84,1898.25,-4.49
1953.76,-4.82,1898.5,-4.34
1953.79,-4.92,1898.75,-4.2
1953.81,-5.2,1899,-4.26
1953.84,-5.09,1899.25,-4.38
1953.87,-5.35,1899.5,-4.64
1953.9,-5.37,1899.75,-4.86
1953.94,-5.37,1900,-4.81
1953.99,-5.06,1900.25,-4.71
1954.03,-5.11,1900.5,-4.73
1954.07,-5.17,1900.75,-4.5
1954.12,-4.96,1901,-4.8
1954.16,-4.64,1901.25,-4.71
1954.2,-4.54,1901.5,-4.66
1954.25,-4.66,1901.75,-4.59
1954.29,-4.55,1902,-4.34
1954.33,-4.58,1902.25,-4.19
1954.38,-4.6,1902.5,-4.39
1954.42,-4.5,1902.75,-4.3
1954.48,-4.57,1903,-4.3
1954.54,-4.69,1903.25,-4.27
1954.61,-4.53,1903.5,-3.9
1954.67,-4.57,1903.75,-3.75
1954.73,-4.52,1904,-3.86
1954.79,-4.4,1904.25,-3.98
1954.86,-4.44,1904.5,-3.99
1954.92,-4.44,1904.75,-4.12
1954.98,-4.47,1905,-4.4
1955.04,-4.46,1905.25,-4.51
1955.1,-4.33,1905.5,-4.64
1955.17,-4.36,1905.75,-4.79
1955.23,-4.53,1906,-4.72
1955.29,-4.56,1906.25,-4.61
1955.35,-4.36,1906.5,-4.5
1955.42,-4.43,1906.75,-4.48
1955.48,-4.61,1907,-4.54
1955.54,-4.49,1907.25,-4.65
1955.57,-4.43,1907.5,-4.71
1955.61,-4.31,1907.75,-4.87
1955.64,-4.48,1908,-5
1955.67,-4.41,1908.25,-4.94
1955.71,-4.34,1908.5,-4.74
1955.74,-4.33,1908.75,-4.35
1955.77,-4.27,1909,-3.94
1955.8,-4.31,1909.25,-3.96
1955.84,-4.36,1909.5,-4.29
1955.87,-4.27,1909.75,-4.68
1955.93,-4.3,1910,-5
1955.99,-4.35,1910.25,-5.04
1956.05,-4.34,1910.5,-4.96
1956.12,-4.42,1910.75,-4.84
1956.18,-4.34,1911,-4.77
1956.24,-4.46,1911.25,-4.9
1956.3,-4.58,1911.5,-5.08
1956.36,-4.42,1911.75,-5.24
1956.42,-4.38,1912,-5.37
1956.49,-4.4,1912.25,-5.31
1956.55,-4.52,1912.5,-5.19
1956.61,-4.5,1912.75,-5.1
1956.67,-4.48,1913,-4.92
1956.73,-4.52,1913.25,-4.71
1956.79,-4.46,1913.5,-4.59
1956.85,-4.49,1913.75,-4.85
1956.92,-4.44,1914,-5.01
1956.98,-4.58,1914.25,-4.98
1957.04,-4.78,1914.5,-4.94
1957.1,-4.96,1914.75,-4.9
1957.18,-4.76,1915,-4.78
1957.26,-4.64,1915.25,-4.64
1957.34,-4.55,1915.5,-4.53
1957.43,-4.64,1915.75,-4.46
1957.51,-4.63,1916,-4.48
1957.59,-4.76,1916.25,-4.49
1957.67,-4.9,1916.5,-4.5
1957.75,-5.02,1916.75,-4.4
1957.82,-5.03,1917,-4.26
1957.9,-5.04,1917.25,-4.33
1957.97,-4.93,1917.5,-4.48
1958.04,-4.99,1917.75,-4.48
1958.11,-4.99,1918,-4.98
1958.19,-4.9,1918.25,-4.64
1958.26,-4.86,1918.5,-5.04
1958.33,-5.05,1918.75,-5.16
1958.4,-4.97,1919,-5.52
1958.48,-4.81,1919.25,-5.58
1958.55,-4.63,1919.5,-5.14
1958.62,-4.77,1919.75,-4.97
1958.69,-4.88,1920,-4.99
1958.77,-5.06,1920.25,-4.98
1958.84,-5.07,1920.5,-4.76
1958.91,-5.11,1920.75,-4.84
1958.94,-5.1,1921,-4.72
1958.97,-5.08,1921.25,-4.63
