year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1],year (AD) [3-1],d18O (permil) [3-1]
1994.12,-5.84,1994.12,-5.41,1994.04,-5.69
1994.04,-5.89,1994.04,-5.46,1993.96,-5.73
1993.95,-5.88,1993.95,-5.52,1993.87,-5.63
1993.87,-5.85,1993.87,-5.59,1993.79,-5.68
1993.79,-5.77,1993.79,-5.63,1993.71,-5.91
1993.7,-5.8,1993.7,-5.66,1993.62,-5.77
1993.62,-5.9,1993.62,-5.7,1993.54,-5.76
1993.54,-5.92,1993.54,-5.72,1993.46,-5.75
1993.45,-5.92,1993.45,-5.75,1993.37,-5.89
1993.37,-5.86,1993.37,-5.67,1993.29,-5.77
1993.29,-5.8,1993.29,-5.6,1993.21,-5.79
1993.2,-5.61,1993.2,-5.54,1993.12,-5.77
1993.12,-5.44,1993.12,-5.41,1993.04,-5.58
1993.04,-5.73,1993.04,-5.46,1992.96,-5.64
1992.95,-5.77,1992.95,-5.58,1992.87,-5.75
1992.87,-5.63,1992.87,-5.61,1992.79,-5.68
1992.79,-5.68,1992.79,-5.56,1992.71,-5.88
1992.7,-5.76,1992.7,-5.44,1992.63,-5.81
1992.62,-5.79,1992.62,-5.62,1992.54,-5.82
1992.54,-5.9,1992.54,-5.83,1992.46,-5.67
1992.45,-5.87,1992.45,-5.66,1992.38,-5.88
1992.37,-5.84,1992.37,-5.44,1992.29,-5.65
1992.29,-5.79,1992.29,-5.48,1992.21,-5.75
1992.2,-5.68,1992.2,-5.48,1992.13,-5.73
1992.12,-5.48,1992.12,-5.4,1992.04,-5.6
1992.04,-5.57,1992.04,-5.57,1991.96,-5.82
1991.95,-5.6,1991.95,-5.57,1991.88,-5.69
1991.87,-5.68,1991.87,-5.55,1991.79,-5.62
1991.79,-5.7,1991.79,-5.57,1991.71,-5.68
1991.7,-5.75,1991.7,-5.62,1991.63,-5.76
1991.62,-5.82,1991.62,-5.67,1991.54,-5.77
1991.54,-5.92,1991.54,-5.73,1991.46,-5.82
1991.45,-6.08,1991.45,-5.8,1991.38,-5.87
1991.37,-5.74,1991.37,-5.68,1991.29,-5.69
1991.29,-5.67,1991.29,-5.57,1991.21,-5.63
1991.2,-5.6,1991.2,-5.43,1991.13,-5.61
1991.12,-5.63,1991.12,-5.47,1991.04,-5.67
1991.04,-5.66,1991.04,-5.55,1990.96,-5.77
1990.95,-5.65,1990.95,-5.68,1990.88,-5.77
1990.87,-5.77,1990.87,-5.59,1990.79,-5.83
1990.79,-5.87,1990.79,-5.58,1990.71,-5.75
1990.7,-5.86,1990.7,-5.67,1990.63,-5.83
1990.62,-5.88,1990.62,-5.73,1990.54,-5.77
1990.54,-5.95,1990.54,-5.77,1990.46,-5.78
1990.45,-6.04,1990.45,-5.8,1990.38,-5.89
1990.37,-5.79,1990.37,-5.68,1990.29,-5.65
1990.29,-5.74,1990.29,-5.5,1990.21,-5.69
1990.2,-5.67,1990.2,-5.46,1990.13,-5.54
1990.12,-5.48,1990.12,-5.4,1990.04,-5.52
1990.04,-5.56,1990.04,-5.45,1989.96,-5.57
1989.95,-5.63,1989.95,-5.43,1989.88,-5.61
1989.87,-5.71,1989.87,-5.43,1989.79,-5.63
1989.79,-5.73,1989.79,-5.48,1989.71,-5.6
