year (AD),depth (cm),depth (cm),depth (cm),d18O (permil),d18O (permil),core ()
1985,NA,NA,1.25,1.53,1.98,JM97-948/2A
1980,NA,NA,1.75,1.28,2.1,JM97-948/2A
1975,NA,NA,2.25,1.45,2.15,JM97-948/2A
1970,NA,NA,2.75,1.4,1.95,JM97-948/2A
1965,NA,NA,3.25,1.37,2.04,JM97-948/2A
1960,NA,NA,3.75,1.33,2.1,JM97-948/2A
1955,NA,NA,4.25,1.33,2.17,JM97-948/2A
1951,NA,NA,4.75,1.42,2.13,JM97-948/2A
1943,NA,NA,5.75,1.49,2.17,JM97-948/2A
1940,NA,NA,6.25,1.45,2.02,JM97-948/2A
1937,NA,NA,6.75,1.4,2.12,JM97-948/2A
1934,NA,NA,7.25,1.56,2.29,JM97-948/2A
1932,NA,NA,7.75,1.52,2.18,JM97-948/2A
1930,NA,NA,8.25,1.44,2.06,JM97-948/2A
1928,NA,NA,8.75,1.43,1.88,JM97-948/2A
1925,NA,NA,9.25,1.55,2.49,JM97-948/2A
1923,NA,NA,9.75,1.71,2.31,JM97-948/2A
1905,NA,NA,10.75,1.52,2.22,JM97-948/2A
1889,NA,NA,11.25,1.36,2.19,JM97-948/2A
1873,NA,NA,11.75,1.79,2.22,JM97-948/2A
1857,NA,NA,12.25,1.72,2.21,JM97-948/2A
1841,NA,NA,12.75,1.48,2.29,JM97-948/2A
1825,NA,NA,13.25,1.27,2.22,JM97-948/2A
1809,NA,NA,13.75,1.57,2.25,JM97-948/2A
1793,NA,NA,14.25,1.21,2.14,JM97-948/2A
1777,NA,NA,14.75,1.33,2.13,JM97-948/2A
1745,NA,NA,15.75,1.39,2.04,JM97-948/2A
1728,NA,NA,16.25,1.38,2.24,JM97-948/2A
1712,NA,NA,16.75,1.46,2.16,JM97-948/2A
1696,NA,NA,17.25,1.52,2.26,JM97-948/2A
1680,NA,NA,17.75,1.54,2.18,JM97-948/2A
1664,NA,NA,18.25,1.33,2.24,JM97-948/2A
1648,NA,NA,18.75,1.43,2.02,JM97-948/2A
1632,NA,NA,19.25,1.43,2.13,JM97-948/2A
1616,NA,NA,19.75,1.69,2.1,JM97-948/2A
1600,NA,NA,20.25,1.25,NA,JM97-948/2A
1584,NA,NA,20.75,1.14,2.24,JM97-948/2A
1568,NA,NA,21.25,1.59,2.22,JM97-948/2A
1552,NA,NA,21.75,1.44,2.29,JM97-948/2A
1545,NA,NA,22.25,1.63,2.1,JM97-948/2A
1537,NA,NA,22.75,1.22,2,JM97-948/2A
1530,NA,NA,23.25,1.51,2.24,JM97-948/2A
1523,NA,NA,23.75,1.35,2.08,JM97-948/2A
1516,NA,NA,24.25,1.32,2.16,JM97-948/2A
1508,NA,NA,24.75,2.15,2.25,JM97-948/2A
1494,NA,NA,25.75,1.43,2.09,JM97-948/2A
1486,NA,NA,26.25,1.3,1.93,JM97-948/2A
1479,NA,NA,26.75,1.49,2.3,JM97-948/2A
1472,NA,NA,27.25,1.15,2.04,JM97-948/2A
1465,NA,NA,27.75,1.34,1.85,JM97-948/2A
1457,NA,NA,28.25,1.25,2.31,JM97-948/2A
1450,NA,NA,28.75,1.28,2.09,JM97-948/2A
1443,NA,NA,29.25,1.46,2.04,JM97-948/2A
1436,NA,NA,29.75,1.2,2.17,JM97-948/2A
1425,NA,NA,3.5,1.28,1.79,MD95-2011
1421,NA,NA,4.5,1.33,2.38,MD95-2011
1417,NA,NA,5.5,1.82,2.68,MD95-2011
1414,NA,NA,6.5,1.41,2.15,MD95-2011
1410,NA,NA,7.5,1.58,2.11,MD95-2011
1406,NA,NA,8.5,1.53,1.76,MD95-2011
1403,NA,NA,9.5,1.5,1.78,MD95-2011
1399,NA,NA,10.5,1.23,1.63,MD95-2011
1395,NA,NA,11.5,1.25,1.58,MD95-2011
1392,NA,NA,12.5,1.17,1.81,MD95-2011
1388,NA,NA,13.5,1.33,2.21,MD95-2011
1384,NA,NA,14.5,1.26,1.71,MD95-2011
1380,NA,NA,15.5,1.06,2.01,MD95-2011
1377,NA,NA,16.5,1.21,2.03,MD95-2011
1373,NA,NA,17.5,1.23,1.78,MD95-2011
1369,NA,NA,18.5,1.35,1.9,MD95-2011
1366,NA,NA,19.5,0.98,1.98,MD95-2011
1362,NA,NA,20.5,1.54,2.1,MD95-2011
1358,NA,NA,21.5,1.51,1.92,MD95-2011
1355,NA,NA,22.5,1.25,2.04,MD95-2011
1351,NA,NA,23.5,1.32,1.98,MD95-2011
1347,NA,NA,24.5,1.06,1.77,MD95-2011
1343,NA,NA,25.5,1.05,1.74,MD95-2011
1340,NA,NA,26.5,1.27,1.99,MD95-2011
1336,NA,NA,27.5,1.29,1.76,MD95-2011
1332,NA,NA,28.5,1.44,1.98,MD95-2011
1329,NA,NA,29.5,1.34,1.86,MD95-2011
1325,NA,NA,30.5,1.32,2.02,MD95-2011
1321,NA,NA,31.5,1.14,1.91,MD95-2011
1317,NA,NA,32.5,1.16,2.18,MD95-2011
1314,NA,NA,33.5,1.1,1.82,MD95-2011
1310,NA,NA,34.5,1.41,1.96,MD95-2011
1306,NA,NA,35.5,1.15,2.22,MD95-2011
1302,NA,NA,36.5,1.28,1.86,MD95-2011
1299,NA,NA,37.5,1.3,2.08,MD95-2011
1295,NA,NA,38.5,1.45,1.66,MD95-2011
1291,NA,NA,39.5,1.06,1.99,MD95-2011
1284,NA,NA,41.5,1.33,1.81,MD95-2011
1280,NA,NA,42.5,1.23,1.96,MD95-2011
1276,NA,NA,43.5,1.24,2.03,MD95-2011
1272,NA,NA,44.5,1.1,1.81,MD95-2011
1269,NA,NA,45.5,1.07,1.58,MD95-2011
1265,NA,NA,46.5,1.19,1.89,MD95-2011
1261,NA,NA,47.5,0.92,1.68,MD95-2011
1248,NA,NA,48.5,1.33,NA,MD95-2011
1235,NA,NA,49.5,1.32,1.92,MD95-2011
1222,NA,NA,50.5,1.3,1.61,MD95-2011
1209,NA,NA,51.5,1.26,1.98,MD95-2011
1196,NA,NA,52.5,1.4,1.91,MD95-2011
1183,NA,NA,53.5,1.38,1.95,MD95-2011
1170,NA,NA,54.5,1.14,1.98,MD95-2011
1157,NA,NA,55.5,0.99,1.89,MD95-2011
1144,NA,NA,56.5,1.43,2.05,MD95-2011
1131,NA,NA,57.5,1.37,2.04,MD95-2011
1118,NA,NA,58.5,1.32,1.97,MD95-2011
1106,NA,NA,59.5,1.37,1.86,MD95-2011
1093,NA,NA,60.5,1.39,1.8,MD95-2011
1080,NA,NA,61.5,1.55,2.12,MD95-2011
1067,NA,NA,62.5,1.44,2.04,MD95-2011
1054,NA,NA,63.5,1.42,2.08,MD95-2011
1041,NA,NA,64.5,1.55,1.95,MD95-2011
1028,NA,NA,65.5,1.01,1.84,MD95-2011
1015,NA,NA,66.5,1.18,1.83,MD95-2011
1002,NA,NA,67.5,1.1,1.75,MD95-2011
989,NA,NA,68.5,1.15,2.03,MD95-2011
