year (AD) [1-1],depth (mm) [1-1],d18O (permil) [1-1],year (AD) [1-2],depth (mm) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3],d18O (permil) [1-3]
2010.833333,NA,NA,2010.833333,0.3,-6.447,NA,1977,NA,-5.579
2010.75,NA,NA,2010.75,0.6,-6.43,NA,-2,0.115,-5.364
2010.666667,NA,NA,2010.666667,0.9,-6.059,NA,-2,0.025,-5.575
2010.583333,NA,NA,2010.583333,1.2,-5.981,NA,-2,0.081,-5.575
2010.5,NA,NA,2010.5,1.4,-6.099,NA,-2,0.242,-5.506
2010.416667,NA,NA,2010.416667,1.7,-5.99,NA,-2,0.065,-5.543
2010.333333,NA,NA,2010.333333,2,-5.826,NA,-2,0.033,-5.517
2010.25,NA,NA,2010.25,2.5,-5.537,NA,-2,-0.196,-5.778
2010.166667,NA,NA,2010.166667,2.8,-5.473,NA,-2,0.187,-5.432
2010.083333,NA,NA,2010.083333,3,-5.415,NA,-2,0.059,-5.756
2010,NA,NA,2010,3.3,-5.278,NA,-2,-0.217,-5.813
2009.916667,NA,NA,2009.916667,3.5,-5.14,NA,-2,-0.221,-5.956
2009.833333,NA,NA,2009.833333,4.8,-5.6,NA,NA,NA,NA
2009.75,NA,NA,2009.75,5.8,-6.07,NA,NA,NA,NA
2009.666667,NA,NA,2009.666667,6.7,-5.972,NA,NA,NA,NA
2009.583333,NA,NA,2009.583333,7.1,-5.684,NA,NA,NA,NA
2009.5,NA,NA,2009.5,7.6,-5.581,NA,NA,NA,NA
2009.416667,NA,NA,2009.416667,8,-5.648,NA,NA,NA,NA
2009.333333,NA,NA,2009.333333,8.4,-5.066,NA,NA,NA,NA
2009.25,NA,NA,2009.25,8.8,-4.679,NA,NA,NA,NA
2009.166667,NA,NA,2009.166667,9.3,-4.595,NA,NA,NA,NA
2009.083333,NA,NA,2009.083333,10.1,-3.944,NA,NA,NA,NA
2009,NA,NA,2009,11,-4.6,NA,NA,NA,NA
2008.916667,NA,NA,2008.916667,11.4,-5.439,NA,NA,NA,NA
2008.833333,NA,NA,2008.833333,11.8,-5.91,NA,NA,NA,NA
2008.75,NA,NA,2008.75,12.2,-5.954,NA,NA,NA,NA
2008.666667,NA,NA,2008.666667,12.5,-5.585,NA,NA,NA,NA
2008.583333,NA,NA,2008.583333,13,-4.782,NA,NA,NA,NA
2008.5,NA,NA,2008.5,13.5,-4.895,NA,NA,NA,NA
2008.416667,NA,NA,2008.416667,13.9,-4.767,NA,NA,NA,NA
2008.333333,NA,NA,2008.333333,14.4,-4.859,NA,NA,NA,NA
2008.25,NA,NA,2008.25,14.9,-4.981,NA,NA,NA,NA
2008.166667,NA,NA,2008.166667,15.4,-4.234,NA,NA,NA,NA
2008.083333,NA,NA,2008.083333,16,-4.37,NA,NA,NA,NA
2008,NA,NA,2008,16.2,-4.568,NA,NA,NA,NA
2007.916667,NA,NA,2007.916667,16.5,-4.764,NA,NA,NA,NA
2007.833333,NA,NA,2007.833333,16.8,-5.063,NA,NA,NA,NA
2007.75,NA,NA,2007.75,17.4,-5.696,NA,NA,NA,NA
2007.666667,NA,NA,2007.666667,18.3,-5.316,NA,NA,NA,NA
2007.583333,NA,NA,2007.583333,19.1,-4.047,NA,NA,NA,NA
2007.5,NA,NA,2007.5,20,-4.827,NA,NA,NA,NA
2007.416667,NA,NA,2007.416667,20.9,-4.896,NA,NA,NA,NA
2007.333333,NA,NA,2007.333333,21.5,-5.349,NA,NA,NA,NA
2007.25,NA,NA,2007.25,22.1,-3.937,NA,NA,NA,NA
2007.166667,NA,NA,2007.166667,22.8,-4.778,NA,NA,NA,NA
2007.083333,NA,NA,2007.083333,23.5,-4.998,NA,NA,NA,NA
2007,NA,NA,2007,23.9,-5.483,NA,NA,NA,NA
2006.916667,NA,NA,2006.916667,24.2,-5.714,NA,NA,NA,NA
2006.833333,NA,NA,2006.833333,24.6,-5.769,NA,NA,NA,NA
2006.75,NA,NA,2006.75,25.6,-5.929,NA,NA,NA,NA
2006.666667,NA,NA,2006.666667,26.6,-6.342,NA,NA,NA,NA
2006.583333,NA,NA,2006.583333,27.5,-5.207,NA,NA,NA,NA
2006.5,NA,NA,2006.5,28.5,-5.097,NA,NA,NA,NA
2006.416667,NA,NA,2006.416667,29.5,-5.267,NA,NA,NA,NA
2006.333333,NA,NA,2006.333333,29.7,-5.078,NA,NA,NA,NA
2006.25,NA,NA,2006.25,30,-4.885,NA,NA,NA,NA
2006.166667,NA,NA,2006.166667,30.3,-4.631,NA,NA,NA,NA
2006.083333,NA,NA,2006.083333,30.7,-4.713,NA,NA,NA,NA
2006,NA,NA,2006,31.1,-5.204,NA,NA,NA,NA
2005.916667,NA,NA,2005.916667,31.7,-5.307,NA,NA,NA,NA
2005.833333,NA,NA,2005.833333,32.4,-5.783,NA,NA,NA,NA
2005.75,NA,NA,2005.75,32.6,-6.078,NA,NA,NA,NA
2005.666667,NA,NA,2005.666667,32.9,-6.343,NA,NA,NA,NA
2005.583333,NA,NA,2005.583333,33.2,-6.408,NA,NA,NA,NA
2005.5,NA,NA,2005.5,33.5,-6.392,NA,NA,NA,NA
2005.416667,NA,NA,2005.416667,33.7,-6.251,NA,NA,NA,NA
2005.333333,NA,NA,2005.333333,34.2,-5.986,NA,NA,NA,NA
2005.25,NA,NA,2005.25,36.9,-5.606,NA,NA,NA,NA
2005.166667,NA,NA,2005.166667,38,-5.092,NA,NA,NA,NA
2005.083333,NA,NA,2005.083333,38.3,-5.277,NA,NA,NA,NA
2005,0,-5.4283,2005,38.7,-5.407,NA,NA,NA,NA
2004.916667,0.9,-5.3221,2004.916667,40.4,-5.284,NA,NA,NA,NA
2004.833333,1.6,-5.9089,2004.833333,41.9,-5.837,NA,NA,NA,NA
2004.75,1.9,-5.7453,2004.75,42.2,-6.227,NA,NA,NA,NA
2004.666667,2.1,-5.5691,2004.666667,42.4,-6.487,NA,NA,NA,NA
2004.583333,2.3,-5.3737,2004.583333,42.7,-6.505,NA,NA,NA,NA
2004.5,2.6,-5.2313,2004.5,42.9,-6.41,NA,NA,NA,NA
2004.416667,2.8,-5.2867,2004.416667,43.2,-6.344,NA,NA,NA,NA
2004.333333,3.1,-5.2983,2004.333333,43.4,-6.292,NA,NA,NA,NA
2004.25,5.2,-4.5281,2004.25,45.2,-5.524,NA,NA,NA,NA
2004.166667,7.3,-4.6678,2004.166667,46.7,-5.545,NA,NA,NA,NA
2004.083333,9.4,-5.0485,2004.083333,47.9,-5.149,NA,NA,NA,NA
2004,10.3,-5.1865,2004,48.7,-5.216,NA,NA,NA,NA
2003.916667,11.2,-5.4761,2003.916667,49.4,-5.586,NA,NA,NA,NA
2003.833333,11.7,-5.4669,2003.833333,50,-5.422,NA,NA,NA,NA
2003.75,12,-5.4404,2003.75,50.5,-6.388,NA,NA,NA,NA
2003.666667,12.2,-5.5362,2003.666667,51,-6.329,NA,NA,NA,NA
