year (AD),depth (cm),dD (permil)
1854,2.5,-102.962
1692,16.65,-101.987
1544,29.5,-105.778
1288,51.5,-107.577
1051,71.5,-104.848
1045,72,-106.813
777,94,-107.227
635,105.3,-112.561
404,123.3,-109.132
192,139.3,-112.071
-25,155.3,-105.353
