year (AD),d18O (permil),d18O (permil),d18O (permil),d18O (permil),d18O (permil),d18O (permil),d18O (permil),z-score (permil)
1724,NA,22.8,21.88,23.08,NA,NA,NA,-2.20113
1725,NA,24.11,23.1,24.31,NA,NA,NA,-0.692142
1726,NA,21.43,22.9,23.8,NA,NA,NA,-2.098482
1727,NA,23.44,22.52,24.61,NA,NA,NA,-1.048608
1728,NA,23.2,21.63,22.42,NA,NA,NA,-2.407298
1729,NA,24.48,22.15,24.27,24.17,NA,NA,-0.681375
1730,NA,23.75,20.47,21.43,21.08,NA,NA,-3.068738
1731,NA,22.6,22.1,21.85,23.04,NA,NA,-2.352866
1732,NA,23.19,22.17,23.8,23.09,NA,NA,-1.509698
1733,NA,21.8,21.86,22.62,21.99,NA,NA,-2.685005
1734,NA,23.64,22.09,22.71,22.21,NA,NA,-1.967057
1735,NA,21.12,20.65,22.69,22.37,NA,NA,-3.098786
1736,NA,22.91,23.13,23.23,23.06,NA,NA,-1.531947
1737,NA,23.19,23.42,23.96,23.38,NA,NA,-1.051419
1738,NA,23.06,22.84,23.29,22.4,NA,NA,-1.712295
1739,NA,23.03,23.27,23.6,23.63,NA,NA,-1.193937
1740,NA,22.46,23.12,24.53,23.31,NA,NA,-1.187554
1741,NA,23.39,21.67,23.16,22.45,NA,NA,-1.947459
1742,NA,22.79,22.2,22.26,22.73,NA,NA,-2.214869
1743,NA,22.4,22.6,22.27,22.81,NA,NA,-2.208968
1744,NA,24.73,23.64,24.36,24.85,NA,NA,-0.009153
1745,NA,22.59,22.75,23.19,22.18,NA,NA,-1.97305
1746,NA,23.83,23.35,24,24.83,NA,NA,-0.483524
1747,NA,23.95,24.39,23.61,24.86,NA,NA,-0.291391
1748,NA,23.92,22.03,24.48,23.75,NA,NA,-0.930706
1749,NA,NA,21.81,23.94,23.05,NA,NA,-1.494325
1750,NA,23.53,23.04,23.51,23.43,NA,NA,-1.1776199999999999
1751,NA,23.11,23.68,23.64,23.41,NA,NA,-1.102843
1752,NA,22.77,21.96,21.94,22.18,NA,NA,-2.528194
1753,NA,20.97,21.68,22,21.51,NA,NA,-3.314906
1754,NA,22.81,20.62,23.67,21.59,NA,NA,-2.465627
1755,NA,24.12,22.21,24.18,24.81,NA,NA,-0.644431
1756,NA,22.79,21.74,23.74,23.04,NA,NA,-1.77969
1757,NA,21.95,21.19,22.99,22.52,NA,NA,-2.559353
1758,NA,22.99,22.2,23.72,25.84,NA,NA,-0.884014
1759,NA,23.26,NA,24.32,23.76,NA,NA,-0.968183
1760,NA,22.7,21.41,24.21,21.72,NA,NA,-2.078682
1761,NA,NA,22.88,24.04,22.83,NA,NA,-1.147603
1762,NA,22.96,21.84,23.99,22.82,NA,NA,-1.675161
1763,NA,23.34,22.84,25.38,23.74,NA,NA,-0.60303
1764,NA,23.09,22.7,24.68,23.38,NA,NA,-1.039302
1765,NA,23.87,22.52,24.47,24.12,NA,NA,-0.725222
1766,NA,23.58,22.01,23.41,23.35,NA,NA,-1.488151
1767,NA,21.53,21.52,22.24,21.93,NA,NA,-2.998249
1768,NA,24.09,22.98,24.04,23.36,NA,NA,-0.86567
1769,NA,22.56,22.54,23.82,24.49,NA,NA,-1.239749
1770,NA,23.96,23.53,24.7,22.56,NA,NA,-0.751775
1771,NA,22.69,21.93,22.49,21.48,NA,NA,-2.563127
1772,NA,23.08,22.04,23.36,23.49,NA,NA,-1.617165
1773,NA,23.71,24.11,23.3,23.42,NA,NA,-0.909751
1774,NA,24.21,21.8,23.16,22.82,NA,NA,-1.568797
1775,NA,22.29,21.04,21.68,21.25,NA,NA,-3.24421
1776,NA,24.48,22.54,23.65,23.54,NA,NA,-0.942509
1777,NA,23.64,22.76,23.8,24.28,NA,NA,-0.908063
1778,NA,24.08,22.06,23.43,24.07,NA,NA,-1.131057
1779,NA,23.61,23.25,24.96,22.86,NA,NA,-0.770628
1780,NA,23.94,22.16,23.26,24.37,NA,NA,-1.123461
1781,NA,23.43,23.23,24.25,23.35,NA,NA,-0.937314
1782,NA,23.35,22.62,23.5,24.29,NA,NA,-1.128553
1783,NA,25.78,23.86,26.93,24.6,NA,NA,1.147614
1784,NA,23.41,22.6,23.19,NA,NA,NA,-1.647276
1785,NA,20.79,20.83,22.19,20.7,NA,NA,-3.739697
1786,NA,23.86,23.02,24.75,24.67,NA,NA,-0.358379
1787,NA,23.26,22.04,24.66,23.12,NA,NA,-1.235184
1788,NA,23.42,22.02,24.47,21.88,NA,NA,-1.568681
1789,NA,23.7,21.27,23.62,20.29,NA,NA,-2.364838
1790,NA,23.09,22.23,23.64,23.14,NA,NA,-1.562954
1791,NA,NA,23.23,23.6,22.74,NA,NA,-1.243195
1792,NA,24.87,23.8,25.83,23.48,NA,NA,0.2060807
1793,NA,25.04,22.9,25.51,24.08,NA,NA,0.0682063
1794,NA,23.82,23.04,24.78,23.46,NA,NA,-0.668627
1795,NA,24.8,23.77,25.56,26.21,NA,NA,0.7879968
1796,NA,24.93,22.74,24.9,24.71,NA,NA,-0.043664
1797,NA,23.2,22.51,23.53,22.84,NA,NA,-1.564453
1798,NA,22.9,21.36,22.79,23.14,NA,NA,-2.128368
1799,NA,24.51,22.24,24.02,24.07,NA,NA,-0.756624
1800,NA,21.74,20.3,22.33,21.82,NA,NA,-3.257556
1801,NA,21.48,19.82,23.03,22.9,NA,NA,-2.958227
1802,NA,23.57,22.17,23.23,22.45,NA,NA,-1.736386
1803,NA,23.62,23.14,25.62,24.11,NA,NA,-0.265779
1804,NA,22.91,22.29,25.18,23.42,NA,NA,-1.029192
1805,NA,24.38,22.51,25.6,22.6,NA,NA,-0.591883
1806,NA,24.32,21.31,22.69,22.06,NA,NA,-2.00709
1807,NA,NA,22.98,24.46,24.29,NA,NA,-0.434745
1808,NA,23.52,22.55,25.43,NA,NA,NA,-0.648373
1809,NA,23.87,23.04,24.1,22.99,NA,NA,-0.989908
1810,NA,21.77,22.88,23.45,22.29,NA,NA,-2.07947
1811,NA,24.48,24.13,25.46,24.48,NA,NA,0.3066492
1812,NA,23.37,23.32,25.5,23.89,NA,NA,-0.389898
1813,NA,23.03,22.22,23.4,23.06,NA,NA,-1.682839
1814,NA,24.48,23.4,25.77,24.04,NA,NA,0.100346
1815,NA,23.24,21.01,22.25,21.17,NA,NA,-2.794303
1816,NA,24.04,24.28,25.98,NA,NA,NA,0.4128061
1817,NA,23.53,24.9,25,23.98,NA,NA,-0.063899
1818,NA,24.28,24.27,24.78,23.41,NA,NA,-0.215034
1819,NA,23.77,22.69,24.35,21.04,NA,NA,-1.538361
1820,NA,21.56,22.2,23.25,21.96,NA,NA,-2.470781
1821,NA,23.83,22.92,25.65,24.13,NA,NA,-0.244745
1822,NA,22.95,22.24,23.48,21.17,NA,NA,-2.159292
1823,NA,23.23,23.18,24.24,24.12,NA,NA,-0.823291
1824,NA,23.36,22.42,24.28,24.17,NA,NA,-0.95596
1825,NA,23.45,23.79,24.22,22.17,NA,NA,-1.095287
1826,NA,23.22,22.55,23.4,22.9,NA,NA,-1.580925
1827,NA,24.43,23.16,24.81,24.15,NA,NA,-0.259213
1828,NA,24.11,22.35,25.58,24.65,NA,NA,-0.197286
1829,NA,23.64,21.81,24.56,24.25,NA,NA,-0.92
1830,NA,22.89,22.03,24.47,23.1,NA,NA,-1.41981
1831,NA,23.22,21.77,23.66,23.33,NA,NA,-1.590346
1832,NA,23.26,21.83,24.04,24.02,NA,NA,-1.261908
1833,NA,24.11,24.13,24.92,25.62,NA,NA,0.304535
1834,NA,24.17,24.21,24.85,24.84,NA,NA,0.1225103
1835,NA,23.16,22.6,24.12,23.82,NA,NA,-1.112833
1836,NA,23.51,22.85,23.15,24.94,NA,NA,-0.966894
1837,NA,22.42,21.91,22.77,22.63,NA,NA,-2.266771
1838,NA,23.77,21.92,24.59,23.33,NA,NA,-1.073058
1839,NA,22.88,22.92,24.06,23.57,NA,NA,-1.197262
1840,NA,22.28,21.92,23.29,22.03,NA,NA,-2.292666
1841,NA,22.5,22.66,24.05,23.58,NA,NA,-1.386412
1842,NA,23.47,23.02,24.12,23.84,NA,NA,-0.895154
1843,NA,22.87,23.42,25.47,23.39,NA,NA,-0.658042
1844,NA,22.2,21.88,23.07,21.96,NA,NA,-2.418115
1845,NA,23.14,23.59,24.07,23.63,NA,NA,-0.923339
1846,NA,22.96,22.78,25.36,22.96,NA,NA,-0.944619
1847,NA,23.19,22.34,23.83,22.84,NA,NA,-1.519
1848,NA,22.92,22.69,24.49,24.1,NA,NA,-0.970937
1849,NA,23.41,21.87,23.87,23.72,NA,NA,-1.333848
1850,NA,23.61,23.4,25.54,23.48,NA,NA,-0.386859
1851,NA,23.44,22.61,25.05,23.45,NA,NA,-0.814989
1852,NA,23.91,23.69,25.8,25.77,NA,NA,0.4513632
1853,NA,24.28,23.93,23.76,24.32,NA,NA,-0.401675
1854,NA,23.88,23.64,23.54,23.8,NA,NA,-0.804109
1855,NA,24.4,23.06,24.79,23.79,NA,NA,-0.39279
1856,NA,24.05,23.72,24.6,24.01,NA,NA,-0.335595
1857,NA,24.21,23.2,24.67,22.86,NA,NA,-0.691346
1858,NA,24.1,23.28,24.17,23.88,NA,NA,-0.611769
1859,NA,24.82,23.74,24.82,24.65,NA,NA,0.1444272
1860,NA,23.75,22.23,24.47,21.66,NA,NA,-1.467513
1861,NA,22.58,22.16,22.06,21.87,NA,NA,-2.577511
1862,NA,22.53,21.62,23.58,22,NA,NA,-2.208991
1863,NA,22.62,21.98,22.61,24.36,NA,NA,-1.795916
1864,NA,23.7,24.65,25.78,22.74,NA,NA,-0.142752
1865,NA,23.12,21.75,23.57,NA,NA,NA,-1.90078
1866,NA,24.27,23.15,24.14,24.08,NA,NA,-0.549856
1867,NA,24.33,23.58,24.11,23.29,NA,NA,-0.625234
1868,NA,23.93,22.71,24.61,23.74,NA,NA,-0.706912
1869,NA,24.58,22.91,25.21,25.48,24.39,NA,0.1931926
1870,NA,23.17,23.01,25.9,NA,23.44,NA,-0.489567
1871,NA,21.63,21.94,22.05,NA,21.23,NA,-2.994869
1872,NA,22.89,22.33,24.34,21.25,NA,NA,-1.853386
1873,NA,24.06,22.81,25.05,23.12,23.73,NA,-0.604728
1874,NA,23.61,22.19,23.64,21.41,22.49,NA,-1.789682
1875,NA,22.67,21.89,22.4,21.7,22.36,NA,-2.371783
1876,NA,24.03,23.23,24.01,24.67,23.8,NA,-0.464048
1877,NA,25.98,24.6,26.79,25.54,23.87,NA,1.224887
1878,NA,25.37,20.92,24.09,20.57,21.56,NA,-1.843398
1879,NA,21.65,22.92,23.17,22.06,22.09,NA,-2.181625
1880,NA,22.42,21.73,23.12,21.49,22.23,NA,-2.345398
1881,NA,23.5,23.2,24.02,23.39,22.6,NA,-1.077813
1882,NA,23.19,22.38,23.4,22.29,21.87,NA,-1.846311
1883,NA,23.56,22.39,24.07,23.81,22.42,NA,-1.168926
1884,NA,25.15,24.05,24.92,23.81,24.74,NA,0.2173814
1885,NA,25.33,24.84,26.27,24.23,24.12,NA,0.7532396
1886,NA,22.95,23.16,24.38,22.98,23.11,NA,-1.122899
1887,NA,22.78,23.58,23.21,22.28,22.71,NA,-1.59528
1888,NA,23.29,23.86,24.47,24.89,NA,NA,-0.353128
1889,NA,24.79,23.47,25.2,24.62,23.74,NA,0.0620366
1890,NA,23.58,23.32,22.49,22.68,22.44,NA,-1.603064
1891,NA,24.2,24.69,24.32,23.79,23.02,NA,-0.351464
1892,NA,24,22.61,23.83,NA,22.28,NA,-1.266041
1893,NA,22.3,22.84,23.19,21.05,22.4,NA,-2.180502
1894,NA,21.52,23.11,23.5,21.74,21.55,NA,-2.250103
1895,NA,23.86,23.94,25.86,23.63,24.2,NA,-0.016757
1896,NA,24.49,22.5,24.68,21.89,22.28,NA,-1.173791
1897,NA,24.21,22.8,24.64,23.07,23.96,NA,-0.646004
1898,NA,23.81,23.51,25.09,23.15,22.88,NA,-0.654661
1899,NA,24.34,23.36,25.3,24.41,24.23,NA,-0.004154
1900,NA,25.76,24.56,26.32,24.47,25.48,NA,1.108999
1901,NA,23.56,22.65,25.02,NA,23.52,NA,-0.725603
1902,NA,26.12,25.04,27.3,NA,25.48,NA,1.874757
1903,NA,25.67,23.78,25,NA,24.49,NA,0.438683
1904,NA,23.23,22.45,24.53,NA,23.84,NA,-0.970257
1905,NA,25.19,24.47,25.78,NA,NA,NA,0.8710273
1906,NA,24.86,23.89,26.37,NA,NA,NA,0.7854816
1907,NA,23.74,23.64,25.82,NA,23.65,NA,-0.122964
1908,NA,22.68,22.63,23.14,NA,21.9,NA,-1.985074
1909,NA,21.57,21.24,24.07,NA,22.23,NA,-2.321477
1910,NA,23.09,22.09,24.64,NA,23.4,NA,-1.17422
1911,NA,24.11,23.61,25.41,NA,24.14,NA,-0.03745
1912,NA,25.32,NA,24.34,NA,24.17,NA,0.0454969
1913,NA,23.55,NA,24.5,NA,25.17,NA,-0.32078
1914,NA,24.25,24.61,25.39,NA,24.3,NA,0.2977205
1915,NA,23.88,24.71,25.13,NA,23.9,NA,0.0346527
1916,NA,23.79,23.3,24.63,NA,23.49,NA,-0.620089
1917,NA,21.87,22.78,22.71,NA,22.79,NA,-2.134966
1918,NA,23.12,23.34,24.76,NA,23.71,NA,-0.729222
1919,NA,23.78,24.56,23.79,NA,23.81,NA,-0.486695
1920,NA,26.23,26.13,26.57,NA,25.91,NA,2.059408
1921,NA,23.98,23.49,24.56,NA,21.96,NA,-0.878225
1922,NA,23.9,23.53,24.01,NA,24.2,NA,-0.56519
1923,NA,25.11,24.27,25.22,NA,25.13,NA,0.604138
1924,NA,23.71,23.48,24.12,NA,23.45,NA,-0.772168
1925,NA,25.25,23.97,25.31,NA,24.68,NA,0.4968295
1926,NA,26.06,23.9,25.63,NA,24.81,NA,0.8680906
1927,NA,23.9,23.14,24.6,NA,23.47,NA,-0.641061
1928,NA,24.16,23.22,24.89,NA,24.55,NA,-0.205493
1929,NA,24.72,23.08,23.76,NA,22.99,NA,-0.783171
1930,NA,25.05,23.58,25.33,NA,23.97,NA,0.1818396
1931,NA,25.86,24.39,26.07,NA,24.03,NA,0.9001898
1932,NA,24.76,23.14,25.25,NA,23.11,NA,-0.246034
1933,NA,24.64,24.2,24.6,NA,24.52,NA,0.1028179
1934,NA,24.53,23.46,24.77,NA,22.55,NA,-0.514604
1935,NA,24.53,23.96,24.66,NA,24.05,NA,-0.082442
1936,NA,25.06,23.62,24.63,NA,23.88,NA,-0.051211
1937,NA,25.24,24.63,24.18,NA,26.26,NA,0.6593117
1938,NA,24.99,23.32,24.6,NA,NA,NA,-0.126167
1939,NA,NA,24.26,25.22,NA,25.84,NA,0.8209397
1940,NA,NA,24.52,25.38,NA,23.26,NA,0.2084569
1941,NA,NA,24.04,26.06,NA,23.76,NA,0.4787733
1942,NA,NA,23.3,24.95,NA,22.99,NA,-0.491419
1943,NA,NA,23.21,24.68,NA,24.04,NA,-0.323797
1944,NA,NA,22.95,23.89,NA,23.84,NA,-0.816731
1945,NA,NA,23.96,24.71,NA,23.07,NA,-0.335446
1946,NA,NA,22.74,24.44,NA,22.65,NA,-1.006459
1947,NA,NA,23.77,24.52,NA,23.71,NA,-0.293293
1948,NA,NA,23.31,24.5,NA,23.66,NA,-0.479601
1949,NA,NA,23.09,24.88,NA,23.9,NA,-0.322461
1950,NA,NA,24.58,24.42,NA,22.94,NA,-0.28216
1951,22.72,NA,22.47,25.3,NA,23.24,23.54,-0.609048
1952,24.27,NA,22.96,24.95,NA,23.01,22.12,-0.632772
1953,23.07,24.66,22.83,24.06,NA,22.97,22.9,-0.793729
1954,23.55,23.55,23.17,24.42,NA,22.47,21.8,-1.063271
1955,24.81,23.93,22.32,25.05,NA,21.43,22.45,-0.873587
1956,23.28,23,21.65,23.09,NA,21.54,21.34,-1.984449
1957,26.15,23.86,23.94,25.63,NA,25.08,23.78,0.4721116
1958,26,NA,23.97,24.51,NA,24.53,NA,0.3420685
1959,25.75,24.66,23.36,25.67,NA,24.47,24.14,0.4494959
1960,24.07,24.3,22.64,23.75,NA,22.88,22.57,-0.891925
1961,22.85,23.87,23.3,25.32,NA,24.3,22.66,-0.474171
1962,24.17,24.26,23.06,24.85,NA,23.05,23.25,-0.443223
1963,25.7,24.08,24.11,24.24,NA,24.1,23.78,0.0360235
1964,24.19,23.86,21.94,23.21,NA,22.72,23.06,-1.153
1965,25.24,23.89,24.17,24.56,NA,24.22,22.67,-0.14701
1966,25.99,25.85,23.92,24.44,NA,24.57,23.08,0.4131991
1967,25.18,24.86,24.06,24.82,NA,24.89,24.06,0.4019624
1968,25.33,24.83,23.9,24.8,NA,23.99,23.51,0.1624156
