year (AD) [1-1],depth (cm) [1-1],temperature (degC) [1-1],Mg_Ca (mmol/mol) [1-1],depth (cm) [1-2],year (AD) [1-2],d18O (permil) [1-2],temperature (degC) [1-2],Mg_Ca (mmol/mol) [1-2],d18O (permil) [1-2]
730,94,29,5.17,92,757.95455,NA,28.9,5.12,NA
698.33333,96,28.72,5.04,94,730,0.58,29,5.17,-2.63
666.66667,98,28.95,5.15,96,698.33333,0.37,28.72,5.04,-2.78
635,100,29.36,5.34,98,666.66667,0.4,28.95,5.15,-2.8
603.33333,102,28.56,4.96,100,635,0.53,29.36,5.34,-2.75
571.66667,104,28.79,5.07,102,603.33333,0.25,28.56,4.96,-2.87
540,106,29.19,5.26,104,571.66667,0.27,28.79,5.07,-2.89
508.33333,108,28.58,4.97,106,540,0.36,29.19,5.26,-2.89
476.66667,110,28.84,5.09,108,508.33333,0.31,28.58,4.97,-2.81
445,112,28.69,5.02,110,476.66667,0.38,28.84,5.09,-2.79
413.33333,114,28.07,4.75,112,445,0.17,28.69,5.02,-2.97
381.66667,116,28.75,5.05,114,413.33333,0.18,28.07,4.75,-2.83
350,118,28.75,5.05,116,381.66667,NA,28.75,5.05,NA
318.33333,120,28.83,5.09,118,350,0.21,28.75,5.05,-2.95
286.66667,122,28.43,4.91,120,318.33333,0.43,28.83,5.09,-2.74
255,124,28.48,4.93,122,286.66667,0.25,28.43,4.91,-2.84
223.33333,126,28.32,4.86,124,255,0.19,28.48,4.93,-2.91
191.66667,128,28.4,4.89,126,223.33333,0.14,28.32,4.86,-2.93
160,130,28.5,4.94,128,191.66667,0.26,28.4,4.89,-2.82
NA,132,NA,5.07,130,160,0.21,28.5,4.94,-2.89
NA,136,NA,4.93,132,128.33333,0.42,28.79,5.07,-2.74
NA,138,NA,5.55,134,96.66666,NA,NA,NA,-2.74
NA,140,NA,5.06,136,64.99999,0.14,28.48,4.93,-2.96
NA,NA,NA,NA,138,33.33332,0.47,29.79,5.55,-2.9
NA,NA,NA,NA,140,1.66665,0.17,28.77,5.06,-2.99
