year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],temperature (degC) [1-1],Mg_Ca (mmol/mol) [1-1],year (AD) [2-1],temperature (degC) [2-1],year (AD) [3-1],temperature (degC) [3-1]
1830,1,0.27,-2.43,28.18,4.48,1835,28.18,1835,28.1781
1660,3,0.28,-2.4,28.08,4.44,1660,28.08,1659.898,28.0847
1530,4.5,NA,-2.46,NA,NA,1441,28.76,1441.0204,28.7584
1440,5.5,NA,NA,28.76,4.72,1353,28.05,1353.4694,28.0521
1350,6.5,0.55,-2.12,27.65,4.27,1266,28.64,1265.9184,28.6436
1270,7.5,0.8,-2,28.64,4.67,1178,29.24,1178.3673,29.237
1180,8.5,0.63,-2.3,29.24,4.93,1091,27.89,1090.8163,27.8944
1090,9.5,0.47,-2.18,27.89,4.37,1003,27.81,1003.2653,27.8115
1000,10.5,NA,NA,27.81,4.34,916,27.93,915.71429,27.9311
920,11.5,0.39,-2.26,27.93,4.38,828,28.55,828.16327,28.5457
830,12.5,0.38,-2.4,28.55,4.63,741,27.87,740.61224,27.8666
740,13.5,NA,NA,27.87,4.36,653,28.77,653.06122,28.7744
650,14.5,0.38,-2.45,28.77,4.73,566,29.13,565.5102,29.1255
570,15.5,NA,NA,29.13,4.88,478,28.2,477.95918,28.197
480,16.5,0.29,-2.42,28.2,4.49,390,28.97,390.40816,28.9683
390,17.5,0.53,-2.33,28.97,4.81,303,28.42,302.85714,28.4209
300,18.5,0.35,-2.41,28.42,4.58,NA,NA,215.30612,28.3419
220,19.5,0.48,-2.26,28.34,4.55,NA,NA,127.7551,28.9546
130,20.5,0.55,-2.32,28.95,4.81,NA,NA,40.204082,27.4593
40,21.5,0.09,-2.46,27.46,4.2,NA,NA,-47.346939,28.4914
-50,22.5,0.36,-2.41,28.49,4.61,NA,NA,-134.89796,28.1812
-130,23.5,0.36,-2.34,28.18,4.48,NA,NA,-222.44898,27.8484
-220,24.5,0.29,-2.34,27.85,4.35,NA,NA,-310,28.7194
-310,25.5,0.41,-2.4,28.72,4.7,NA,NA,NA,NA
-490,26.5,0.3,-2.47,28.46,4.6,NA,NA,NA,NA
-680,27.5,0.42,-2.11,27.34,4.15,NA,NA,NA,NA
-860,28.5,0.26,-2.43,28.12,4.46,NA,NA,NA,NA
-1050,29.5,0.15,-2.58,28.31,4.54,NA,NA,NA,NA
-1230,30.5,0.21,-2.51,28.24,4.51,NA,NA,NA,NA
-1410,31.5,NA,NA,27.73,4.3,NA,NA,NA,NA
-1600,32.5,0.47,-2.3,28.49,4.61,NA,NA,NA,NA
-1780,33.5,0.35,-2.48,28.77,4.73,NA,NA,NA,NA
-1960,34.5,NA,NA,28.41,4.58,NA,NA,NA,NA
-2150,35.5,0.49,-2.36,28.91,4.79,NA,NA,NA,NA
-2330,36.5,NA,NA,28.49,4.61,NA,NA,NA,NA
-2520,37.5,0.36,-2.4,28.46,4.6,NA,NA,NA,NA
-2700,38.5,0.35,-2.21,27.49,4.21,NA,NA,NA,NA
-2880,39.5,0.45,-2.33,28.55,4.63,NA,NA,NA,NA
-3070,40.5,0.31,-2.45,28.42,4.58,NA,NA,NA,NA
-3250,41.5,0.36,-2.49,28.92,4.79,NA,NA,NA,NA
-3430,42.5,0.42,-2.42,28.87,4.77,NA,NA,NA,NA
-3620,43.5,0.31,-2.51,28.71,4.7,NA,NA,NA,NA
-3800,44.5,0.32,-2.51,28.82,4.75,NA,NA,NA,NA
-3990,45.5,0.28,-2.52,28.64,4.67,NA,NA,NA,NA
-4170,46.5,0.24,-2.46,28.15,4.47,NA,NA,NA,NA
-4350,47.5,0.26,-2.51,29.05,4.84,NA,NA,NA,NA
-4540,48.5,0.46,-2.27,28.34,4.55,NA,NA,NA,NA
-4720,49.5,0.38,-2.38,28.45,4.59,NA,NA,NA,NA
-4830,50.5,0.56,-2.31,28.95,4.8,NA,NA,NA,NA
-4940,51.5,0.55,-2.25,28.64,4.67,NA,NA,NA,NA
-5050,52.5,0.55,-2.29,28.83,4.75,NA,NA,NA,NA
-5160,53.5,0.55,-2.27,28.72,4.7,NA,NA,NA,NA
-5280,54.5,0.64,-2.18,28.77,4.73,NA,NA,NA,NA
-5390,55.5,0.54,-2.24,28.57,4.64,NA,NA,NA,NA
-5500,56.5,0.49,-2.32,28.68,4.69,NA,NA,NA,NA
-5610,57.5,0.5,-2.35,28.87,4.77,NA,NA,NA,NA
-5720,58.5,0.58,-2.22,28.63,4.66,NA,NA,NA,NA
-5830,59.5,0.65,-2.23,29.01,4.83,NA,NA,NA,NA
-5940,60.5,0.74,-2.16,29.12,4.88,NA,NA,NA,NA
-6050,61.5,0.44,-2.4,28.83,4.75,NA,NA,NA,NA
-6160,62.5,0.49,-2.22,28.23,4.5,NA,NA,NA,NA
-6280,63.5,0.69,-2.14,28.77,4.73,NA,NA,NA,NA
-6390,64.5,0.48,-2.36,28.83,4.75,NA,NA,NA,NA
-6500,65.5,0.74,-2.15,29.09,4.86,NA,NA,NA,NA
-6610,66.5,0.62,-2.23,28.87,4.77,NA,NA,NA,NA
-6720,67.5,0.59,-2.22,28.67,4.69,NA,NA,NA,NA
-6830,68.5,0.76,-2.04,28.62,4.66,NA,NA,NA,NA
-6940,69.5,0.65,-2.21,28.93,4.79,NA,NA,NA,NA
-7050,70.5,0.21,-2.37,27.82,4.34,NA,NA,NA,NA
