year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [1-2],depth (cm) [1-2],d18O (permil) [1-2]
660,NA,-6.14,-4260,NA,-5.16
650,NA,-6.48,-4260,NA,-4.45
640,NA,-6.05,-4270,NA,-4.88
630,NA,-6.18,-4270,NA,-5.25
620,NA,-5.83,-4280,NA,-4.9
610,NA,-5.91,-4290,NA,-5.3
590,NA,-5.99,-4290,NA,-5.69
580,NA,-5.83,-4300,NA,-5.62
570,NA,-5.4,-4300,NA,-5.64
550,NA,-5.82,-4310,NA,-5.43
540,NA,-5.83,-4310,NA,-4.78
530,NA,-5.2,-4320,NA,-5.3
520,NA,-5.28,-4320,NA,-5.29
510,NA,-5.48,-4330,NA,-5.36
500,NA,-5.98,-4340,NA,-5.39
490,NA,-6.28,-4340,NA,-4.99
480,NA,-6.46,-4350,NA,-5.17
470,NA,-6.06,-4350,NA,-5.43
460,NA,-6.09,-4360,NA,-4.68
450,NA,-6.2,-4360,NA,-5.21
440,NA,-6.06,-4370,NA,-5.23
430,NA,-5.92,-4380,NA,-5.36
420,NA,-6.42,-4380,NA,-5.64
400,NA,-6.11,-4390,NA,-5.37
390,NA,-6.19,-4400,NA,-5.13
380,NA,-5.85,-4400,NA,-5.48
370,NA,-6.42,-4410,NA,-5.82
360,NA,-6.28,-4420,NA,-6.12
350,NA,-5.97,-4420,NA,-5.41
340,NA,-5.88,-4430,NA,-5.97
330,NA,-6.43,-4440,NA,-5.49
320,NA,-6.47,-4450,NA,-5.39
310,NA,-6.67,-4450,NA,-4.85
300,NA,-6.37,-4460,NA,-5.25
290,NA,-6.18,-4470,NA,-4.96
280,NA,-6.32,-4470,NA,-4.83
270,NA,-6.49,-4480,NA,-5.45
260,NA,-6.65,-4490,NA,-5.13
250,NA,-6.44,-4500,NA,-5.37
240,NA,-6.39,-4500,NA,-4.74
230,NA,-6.34,-4510,NA,-5.2
220,NA,-6.08,-4520,NA,-5.24
210,NA,-6.12,-4520,NA,-5.42
200,NA,-6.27,-4530,NA,-5.91
190,NA,-6.36,-4540,NA,-5.85
180,NA,-6.16,-4550,NA,-6.91
170,NA,-6.44,-4550,NA,-6.39
150,NA,-5.87,-4560,NA,-6.31
140,NA,-6.34,-4570,NA,-6.01
130,NA,-6.35,-4570,NA,-6.39
130,NA,-6.05,-4580,NA,-6.15
130,NA,-5.29,-4590,NA,-5.46
120,NA,-4.96,-4590,NA,-6.08
120,NA,-4.9,-4600,NA,-6.01
120,NA,-4.89,-4610,NA,-6.25
110,NA,-5.01,-4620,NA,-6.18
