year (AD),d18O (permil),d18O (permil)
1820,NA,21.62
1821,NA,21.86
1822,NA,23.25
1823,NA,23.26
1824,NA,24.57
1825,NA,23.54
1826,NA,22.71
1827,NA,24.15
1828,NA,24.06
1829,NA,23.24
1830,NA,24.34
1831,NA,21.33
1832,NA,24.44
1833,NA,23.33
1834,NA,22.04
1835,NA,23.84
1836,NA,23.63
1837,NA,24.94
1838,NA,22.8
1839,NA,22.31
1840,NA,22.2
1841,NA,22.76
1842,NA,22.58
1843,NA,23.18
1844,NA,23.9
1845,NA,24.05
1846,NA,23.96
1847,NA,23.69
1848,NA,23.81
1849,NA,24.18
1850,NA,23.93
1851,NA,23.83
1852,NA,23.43
1853,NA,23.41
1854,NA,23.32
1855,NA,24.55
1856,NA,24.02
1857,NA,23.79
1858,NA,23.8
1859,NA,23.84
1860,NA,23.89
1861,NA,24.82
1862,NA,24.5
1863,NA,23.72
1864,NA,24.09
1865,22.56,24.45
1866,23.78,23.54
1867,22.84,25.43
1868,22.04,22.94
1869,22.11,23.39
1870,22.35,25.21
1871,23.89,23.56
1872,22.49,23.84
1873,23.01,25.4
1874,23.43,23.83
1875,22.68,24.22
1876,22.88,26.26
1877,24.71,24.62
1878,22.92,24.83
1879,23.82,27.01
1880,24.68,24.46
1881,22.04,25.95
1882,21.95,25.98
1883,24.12,25.53
1884,23.38,25.33
1885,22.47,25.18
1886,24.13,26.32
1887,22.81,25.01
1888,23.95,25.91
1889,23.49,23.73
1890,23.06,22.91
1891,23.09,24.12
1892,24.46,24.39
1893,22.51,26.79
1894,22.85,23.48
1895,22.04,25.27
1896,23.54,25.13
1897,22.65,24.96
1898,22.85,23.95
1899,21.98,23.52
1900,21.6,26.88
1901,22.35,26.44
1902,24.38,24.28
1903,22.21,25.44
1904,22.63,24.36
1905,22.07,24.73
1906,22.49,24.37
1907,22.9,25.66
1908,23.57,23.24
1909,22.02,22.69
1910,21.53,21.36
1911,21.96,21.85
1912,22.23,22.41
1913,24,25.47
1914,21.73,21.79
1915,22.05,22.5
1916,22.79,22.7
1917,25.42,23.33
1918,25.09,23.71
1919,23.97,22.49
1920,26.17,24.54
1921,25.46,23.32
1922,24.47,22.88
1923,25.01,23.84
1924,26.41,22.67
1925,21.86,25.56
1926,21.67,22.76
1927,25.23,25.35
1928,22.84,23.47
1929,21.98,24.18
1930,24.58,25.03
1931,23.72,24.81
1932,23.52,24.53
1933,22.21,24.18
1934,23.1,24.99
1935,21.16,21.76
1936,23.41,24.14
1937,23.66,24.7
1938,23,22.34
1939,22.39,23.32
1940,22.45,22.68
1941,24.84,24.93
1942,23.12,23.82
1943,21.65,25.23
1944,21.12,23.63
1945,21.3,23.38
1946,22.34,24.42
1947,22.07,23.88
1948,24.64,25.94
1949,23.37,24.62
1950,23.35,24.47
1951,22.85,21.65
1952,23.08,22.54
1953,21.97,22.84
1954,21.37,21.9
1955,20.6,22.28
1956,22.72,23.22
1957,21.73,23.06
1958,21.48,21.14
1959,22.63,25.35
1960,21.67,22.92
1961,21.68,23.11
1962,23.02,20.57
1963,23.08,22.65
1964,20.86,23
1965,24.02,24.24
1966,24.09,24.07
1967,24.17,24.95
1968,22.64,24.44
1969,21.08,25.7
1970,23.88,23.06
1971,21.68,22.23
1972,21.61,21.36
1973,21.96,23.06
1974,23.18,22.37
1975,21.81,21.65
1976,21.53,22.46
1977,22.02,22.01
1978,22.62,22.8
1979,24.45,22.22
1980,22.01,21.24
1981,23.69,24.59
1982,21.4,23.11
1983,21.44,22.18
1984,23.76,23.83
1985,21.24,23.71
1986,24.08,23.23
1987,21.75,21.07
1988,24.22,24.32
1989,22.98,21.33
1990,21.12,21.21
1991,23.37,22.41
1992,21.62,24.28
1993,21.75,24.03
1994,21.99,22.34
1995,21.78,23.46
1996,21.81,23.28
1997,21.86,21.62
1998,23.1,23.42
1999,22.64,23.14
2000,21.56,22.34
2001,22.64,23.63
2002,22.11,24.23
2003,22.31,23.23
2004,22,23.1
