year (AD),depth (cm),dD (permil),dDUncertainty (permil)
1643,112.5,-145.1,3.5
1641,113.5,-154,1
1639,114.5,-139.8,2.9
1637,115.5,-138.4,1.8
1635,116.5,-151.6,1
1633,117.5,-136.4,3.2
1605,130.5,-130.8,2.2
1602,131.5,-131.1,3.7
1600,132.5,-139.4,1.1
1598,133.5,-138.2,4.7
1594,135.5,-134.9,1.9
1592,136.5,-125.6,1.1
1574,144.5,-130.8,6
1514,172.5,-119.6,0.2
1422,215.5,-116,5.6
1388,253.5,-169.9,3.4
1352,294.5,-162,4.1
1326,324.5,-157.7,3.6
1281,352.5,-147.8,1.4
1237,381.5,-149,4.2
1174,423.5,-153.6,3
1146,441.5,-149.1,NA
1093,476.5,-154.9,4
1050,499.5,-160.9,1.3
