year (AD) [1-1],depth (cm) [1-1],temperature (degC) [1-1],year (AD) [1-2],depth (cm) [1-2],temperature (degC) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],Mg_Ca (mmol/mol) [1-2]
1908.6,15,29.29,1947.4,1,29.1,NA,NA,5.21
1905.6,16,28.59,1942.2,3,NA,NA,-2.81,NA
1896.5,19,27.94,1931.4,7,28.7,0.16,-2.57,5.01
1890.3,21,28.15,1920.2,11,NA,NA,-2.5,NA
1884,23,28.6,1917.3,12,NA,NA,-2.94,NA
1880.8,24,29.31,1908.6,15,29.3,-0.04,-2.9,5.3
1871.1,27,29.26,1905.6,16,28.6,0.04,-2.67,4.98
1861.1,30,28.9,1896.5,19,27.9,-0.4,-2.98,4.7
1857.8,31,28.32,1890.3,21,28.2,-0.11,-2.73,4.79
1847.5,34,28.87,1884,23,28.6,-0.19,-2.91,4.98
1833.4,38,30.17,1880.8,24,29.3,-0.16,-3.02,5.31
1822.6,41,28.56,1871.1,27,29.3,0.45,-2.4,5.29
1815.3,43,27.85,1861.1,30,28.9,-0.23,-3.01,5.12
1788.7,50,29.47,1857.8,31,28.3,0.2,-2.47,4.86
1765,56,28.34,1857.8,31,NA,NA,-2.55,NA
1744.5,61,29.51,1857.8,31,NA,NA,-2.51,NA
1723.3,66,30.15,1847.5,34,28.9,-0.03,-2.8,5.11
1710.3,69,28.46,1840.5,36,NA,NA,-3.21,NA
1701.6,71,29.01,1833.4,38,30.2,0.17,-2.88,5.74
1688.2,74,28.06,1822.6,41,28.6,-0.43,-3.14,4.97
1674.6,77,29.05,1822.6,41,NA,NA,-2.87,NA
1665.4,79,28.56,1815.3,43,27.9,NA,NA,4.66
1641.9,84,28.79,1804,46,NA,NA,-3,NA
1632.4,86,29.03,1788.7,50,29.5,-0.24,-3.14,5.39
1627.6,87,28.65,1788.7,50,NA,NA,-2.87,NA
1617.9,89,28.68,1765,56,28.3,-0.28,-2.95,4.87
1608.1,91,28.17,1744.5,61,29.5,-0.09,-3,5.41
1593.2,94,28.74,1723.3,66,30.2,0.02,-3.02,5.73
1583.1,96,29.69,1710.3,69,28.5,-0.28,-2.97,4.92
1536.6,105,30.04,1701.6,71,29,-0.24,-3.05,5.17
1509.9,110,30.46,1701.6,71,NA,NA,-2.42,NA
1493.6,113,30.11,1688.2,74,28.1,-0.23,-2.84,4.75
1482.6,115,29.19,1674.6,77,29.1,-0.08,-2.89,5.19
1471.5,117,30.14,1665.4,79,28.6,-0.28,-2.99,4.97
1454.7,120,28.71,1641.9,84,28.8,0.28,-2.49,5.07
1426.1,125,28.22,1632.4,86,29,0.41,-2.4,5.18
1391,131,29.29,1627.6,87,28.7,NA,NA,5.01
1330.6,141,29.39,1617.9,89,28.7,-0.03,-2.77,5.02
1228.9,157,29.62,1608.1,91,28.2,0.3,-2.33,4.8
1202.5,161,29.75,1593.2,94,28.7,-0.09,-2.84,5.05
1175.8,165,28.98,1583.1,96,29.7,-0.11,-3.06,5.5
1148.6,169,29.78,1567.9,99,NA,NA,-3.04,NA
1121.1,173,30.32,1567.9,99,NA,NA,-2.61,NA
1100.2,176,30.5,1536.6,105,30,0.08,-2.94,5.67
1079.1,179,29.89,1509.9,110,30.5,0.06,-3.05,5.89
992.5,191,28.56,1493.6,113,30.1,0.42,-2.62,5.71
962.9,195,29.06,1482.6,115,29.2,-0.07,-2.92,5.26
917.8,201,29.18,1471.5,117,30.1,0.48,-2.57,5.73
902.6,203,30.09,1454.7,120,28.7,-0.1,-2.84,5.03
871.9,207,29.75,1426.1,125,28.2,-0.39,-3.04,4.82
840.8,211,29.04,1391,131,29.3,-0.14,-3,5.3
809.4,215,29.71,1361.1,136,NA,NA,-2.84,NA
777.5,219,29.25,1330.6,141,29.4,0.06,-2.83,5.35
721,226,29.49,1299.5,146,NA,NA,-2.9,NA
712.8,227,30.12,1286.9,148,NA,NA,-2.72,NA
679.9,231,29.71,1267.8,151,NA,NA,-3.19,NA
646.6,235,29.31,1254.9,153,NA,NA,-2.83,NA
NA,NA,NA,1228.9,157,29.6,0.21,-2.72,5.46
NA,NA,NA,1202.5,161,29.8,0.13,-2.83,5.53
NA,NA,NA,1175.8,165,29,-0.04,-2.84,5.16
NA,NA,NA,1148.6,169,29.8,-0.01,-2.97,5.54
NA,NA,NA,1121.1,173,30.3,0.41,-2.67,5.82
NA,NA,NA,1100.2,176,30.5,0.07,-3.05,5.91
NA,NA,NA,1079.1,179,29.9,0.26,-2.73,5.6
NA,NA,NA,1050.6,183,NA,NA,-2.84,NA
NA,NA,NA,1021.8,187,NA,NA,-2.63,NA
NA,NA,NA,992.5,191,28.6,-0.15,-2.86,4.97
NA,NA,NA,962.9,195,29.1,0.28,-2.54,5.2
NA,NA,NA,955.5,196,NA,NA,-2.58,NA
NA,NA,NA,917.8,201,29.2,0.23,-2.62,5.25
NA,NA,NA,902.6,203,30.1,0.26,-2.77,5.7
NA,NA,NA,871.9,207,29.8,0.13,-2.83,5.53
NA,NA,NA,856.4,209,NA,NA,-2.65,NA
NA,NA,NA,840.8,211,29,0.37,-2.45,5.19
NA,NA,NA,809.4,215,29.7,0.11,-2.84,5.51
NA,NA,NA,777.5,219,29.3,0.21,-2.64,5.29
NA,NA,NA,745.4,223,NA,NA,-2.76,NA
NA,NA,NA,721,226,29.5,0.31,-2.6,5.4
NA,NA,NA,712.8,227,30.1,0.42,-2.62,5.72
NA,NA,NA,679.9,231,29.7,0.43,-2.52,5.51
NA,NA,NA,646.6,235,29.3,0.13,-2.74,5.31
NA,NA,NA,613,239,29.5,0.26,-2.66,5.42
NA,NA,NA,570.4,244,28.5,0.19,-2.51,4.94
NA,NA,NA,544.6,247,NA,NA,-2.6,NA
NA,NA,NA,536,248,28,-0.23,-2.81,4.71
NA,NA,NA,509.9,251,29.3,0.25,-2.63,5.33
NA,NA,NA,492.4,253,NA,NA,-2.68,NA
NA,NA,NA,457.2,257,28.9,0.19,-2.6,5.13
NA,NA,NA,421.6,261,NA,NA,-2.7,NA
NA,NA,NA,403.6,263,28.4,-0.2,-2.88,4.9
NA,NA,NA,385.6,265,NA,NA,-2.89,NA
NA,NA,NA,367.5,267,NA,NA,-3.06,NA
NA,NA,NA,349.3,269,28.4,-0.02,-2.69,4.89
NA,NA,NA,331,271,28.6,0.07,-2.65,4.98
NA,NA,NA,312.6,273,28.8,0.05,-2.72,5.09
NA,NA,NA,284.9,276,NA,NA,-3.23,NA
NA,NA,NA,275.6,277,NA,NA,-2.8,NA
NA,NA,NA,275.6,277,NA,NA,-2.72,NA
NA,NA,NA,257,279,28.5,-0.19,-2.89,4.94
NA,NA,NA,238.3,281,NA,NA,-3.4,NA
NA,NA,NA,191.1,286,28.7,-0.08,-2.81,5.02
NA,NA,NA,162.5,289,28.1,-0.22,-2.83,4.77
NA,NA,NA,124.1,293,NA,NA,-2.85,NA
NA,NA,NA,95.1,296,NA,NA,-2.48,NA
NA,NA,NA,85.4,297,28.6,-0.2,-2.93,5
NA,NA,NA,46.3,301,28.8,-0.08,-2.84,5.06
NA,NA,NA,46.3,301,NA,NA,-2.61,NA
NA,NA,NA,6.9,305,NA,NA,-2.63,NA
NA,NA,NA,-32.9,309,29.2,0.17,-2.68,5.27
NA,NA,NA,-73,313,NA,NA,-2.76,NA
NA,NA,NA,-93.2,315,NA,NA,-2.93,NA
NA,NA,NA,-113.5,317,29.2,0.04,-2.81,5.27
NA,NA,NA,-133.8,319,28.9,0.05,-2.74,5.13
NA,NA,NA,-154.3,321,NA,NA,-2.58,NA
NA,NA,NA,-195.4,325,28,-0.1,-2.7,4.73
NA,NA,NA,-205.7,326,NA,NA,-2.75,NA
NA,NA,NA,-236.8,329,28.8,0.1,-2.67,5.09
NA,NA,NA,-278.6,333,28.9,-0.04,-2.82,5.12
NA,NA,NA,-320.8,337,29.6,0.07,-2.86,5.44
NA,NA,NA,-363.2,341,28.4,-0.4,-3.09,4.9
NA,NA,NA,-406,345,28.3,-0.08,-2.74,4.83
NA,NA,NA,-449.1,349,NA,NA,-2.75,NA
NA,NA,NA,-470.8,351,30.1,0.29,-2.74,5.7
NA,NA,NA,-492.6,353,29.4,-0.01,-2.89,5.34
NA,NA,NA,-536.3,357,28,-0.09,-2.67,4.7
NA,NA,NA,-580.4,361,NA,NA,-2.95,NA
NA,NA,NA,-624.9,365,28.8,0.08,-2.67,5.05
NA,NA,NA,-669.6,369,29.2,0.15,-2.71,5.27
NA,NA,NA,-714.7,373,28.4,0.13,-2.54,4.88
NA,NA,NA,-748.7,376,28.8,0.02,-2.75,5.09
NA,NA,NA,-760.1,377,28.8,-0.06,-2.82,5.07
NA,NA,NA,-805.8,381,28.3,-0.14,-2.81,4.86
NA,NA,NA,-851.8,385,28.3,-0.19,-2.84,4.84
NA,NA,NA,-851.8,385,NA,NA,-2.84,NA
NA,NA,NA,-875,387,29.9,NA,NA,5.61
NA,NA,NA,-898.2,389,28.7,-0.31,-3.04,5.01
NA,NA,NA,-944.8,393,30,0.18,-2.83,5.65
NA,NA,NA,-991.8,397,NA,NA,-2.95,NA
NA,NA,NA,-1039.1,401,NA,NA,-2.59,NA
