year (AD) [1-1],d18O (permil) [1-1],d13C (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1],d13C (permil) [2-1]
2008.17,-5.7948,-3.0168,2008.17,-5.7525,-2.064
2008.08,-5.9789,-2.948,2008.08,-5.6928,-1.6292
2008,-6.0968,-3.0032,2008,-5.8325,-1.7015
2007.92,-6.1898,-2.9378,2007.92,-5.7752,-2.0109
2007.83,-6.1269,-2.7529,2007.83,-5.7137,-2.1681
2007.75,-6.2323,-2.6312,2007.75,-5.7815,-2.225
2007.67,-6.0399,-2.6214,2007.67,-5.7379,-2.5113
2007.58,-5.975,-3.0745,2007.58,-5.8062,-2.6042
2007.5,-5.8324,-2.3822,2007.5,-5.7644,-2.529
2007.42,-5.7222,-2.5463,2007.42,-5.65,-2.1678
2007.33,-5.5861,-2.5597,2007.33,-5.5929,-1.9471
2007.25,-5.68,-2.6106,2007.25,-5.5938,-2.1919
2007.17,-5.5943,-2.7109,2007.17,-5.5745,-2.3942
2007.08,-5.8893,-2.9904,2007.08,-5.7506,-2.5424
2007,-5.8749,-2.9317,2007,-5.8089,-2.7644
2006.92,-5.9583,-2.8477,2006.92,-5.9173,-2.7669
2006.83,-6.0408,-2.4167,2006.83,-5.7649,-2.4335
2006.75,-5.8828,-2.5953,2006.75,-5.69,-2.3113
2006.67,-6.0207,-2.7337,2006.67,-5.7804,-2.3238
2006.58,-5.9589,-2.7021,2006.58,-5.803,-2.4085
2006.5,-5.978,-2.7788,2006.5,-5.8607,-2.5023
2006.42,-6.1507,-2.7746,2006.42,-5.9495,-2.9354
2006.33,-5.8968,-2.7187,2006.33,-5.8859,-2.8874
2006.25,-5.7575,-2.5919,2006.25,-5.789,-2.6432
2006.17,-5.7607,-2.7739,2006.17,-5.7184,-2.2433
2006.08,-5.8842,-2.9617,2006.08,-5.7405,-2.1708
2006,-5.9601,-2.9323,2006,-5.7122,-2.5314
2005.92,-6.004,-3.1151,2005.92,-5.8608,-2.5427
2005.83,-6.1057,-2.8265,2005.83,-5.9879,-2.812
2005.75,-6.0416,-2.8189,2005.75,-6.0096,-2.8138
2005.67,-6.123,-2.9346,2005.67,-5.9122,-2.5329
2005.58,-5.9985,-3.4691,2005.58,-5.8444,-3.0065
2005.5,-6.0503,-3.3441,2005.5,-5.6972,-2.3411
2005.42,-6.105,-2.9939,2005.42,-5.8987,-2.581
2005.33,-5.7552,-2.7742,2005.33,-5.7421,-2.2527
2005.25,-5.6304,-2.7199,2005.25,-5.6946,-2.181
2005.17,-5.5271,-3.1022,2005.17,-5.5622,-2.2326
