year (AD),d18O (permil),depthice (m),depthwe (m)
1993,-35.5,0.3,0.1
1992,-38.6,0.6,0.19
1991,-31.5,0.89,0.29
1990,-32.8,1.18,0.38
1989,-35.2,1.47,0.48
1988,-32.9,1.75,0.58
1987,-31.7,2.02,0.67
1986,-36.5,2.3,0.77
1985,-37.2,2.56,0.86
1984,-36.7,2.83,0.96
1983,-38.7,3.09,1.05
1982,-36,3.35,1.15
1981,-35.8,3.61,1.25
1980,-36.9,3.87,1.34
1979,-33.2,4.12,1.44
1978,-31.3,4.37,1.53
1977,-34.8,4.61,1.63
1976,-33.4,4.86,1.73
1975,-33.6,5.1,1.82
1974,-35.1,5.34,1.92
1973,-35,5.58,2.01
1972,-37.3,5.81,2.11
1971,-39.1,6.05,2.2
1970,-38.1,6.28,2.3
1969,-37,6.51,2.4
1968,-34.3,6.74,2.49
1967,-36.2,6.96,2.59
1966,-34.7,7.19,2.68
1965,-33.4,7.41,2.78
1964,-33.8,7.63,2.88
1963,-32.9,7.85,2.97
1962,-33.6,8.07,3.07
1961,-35,8.29,3.16
1960,-35.9,8.5,3.26
1959,-36.5,8.72,3.35
1958,-37.5,8.93,3.45
1957,-36.6,9.14,3.55
1956,-33.9,9.35,3.64
1955,-33.2,9.56,3.74
1954,-34.4,9.76,3.83
1953,-35.8,9.97,3.93
1952,-35.8,10.18,4.03
1951,-35.4,10.38,4.12
1950,-35.5,10.58,4.22
1949,-36.6,10.78,4.31
1948,-36.2,10.98,4.41
1947,-35.3,11.18,4.51
1946,-35.7,11.38,4.6
1945,-34.2,11.58,4.7
1944,-33.9,11.77,4.79
1943,-34.9,11.97,4.89
1942,-35.5,12.16,4.98
1941,-35.4,12.36,5.08
1940,-34.1,12.55,5.18
1939,-33.4,12.74,5.27
1938,-32,12.93,5.37
1937,-33.1,13.12,5.46
1936,-35.2,13.31,5.56
1935,-37.3,13.5,5.66
1934,-37.6,13.69,5.75
1933,-34.5,13.87,5.85
1932,-33.7,14.06,5.94
1931,-34,14.24,6.04
1930,-32.5,14.43,6.13
1929,-30.7,14.61,6.23
1928,-31.2,14.79,6.33
1927,-32.1,14.98,6.42
1926,-32.6,15.16,6.52
1925,-32.9,15.34,6.61
1924,-34.2,15.52,6.71
1923,-35.2,15.7,6.81
1922,-35,15.88,6.9
1921,-34.6,16.05,7
1920,-35.2,16.23,7.09
1919,-37.1,16.41,7.19
1918,-38.6,16.58,7.28
1917,-38.3,16.76,7.38
1916,-35.3,16.93,7.48
1915,-34.5,17.11,7.57
1914,-35.5,17.28,7.67
1913,-34.7,17.45,7.76
1912,-33.5,17.63,7.86
1911,-34.5,17.8,7.96
1910,-36.3,17.98,8.06
1909,-36,18.15,8.15
1908,-35.7,18.33,8.25
1907,-36.5,18.5,8.35
1906,-38.7,18.67,8.45
1905,-39.2,18.84,8.55
1904,-37.2,19.02,8.64
1903,-35.9,19.19,8.74
1902,-35.2,19.36,8.84
1901,-36,19.53,8.94
1900,-35,19.7,9.04
1899,-33,19.87,9.13
1898,-34.3,20.04,9.23
1897,-37.3,20.21,9.33
1896,-37.4,20.37,9.43
1895,-36.4,20.54,9.53
1894,-36.6,20.71,9.62
1893,-37.1,20.87,9.72
1892,-36.2,21.04,9.82
1891,-34.3,21.21,9.92
1890,-33.9,21.37,10.02
1889,-35.4,21.54,10.11
1888,-35.7,21.7,10.21
1887,-35.1,21.86,10.31
1886,-35.2,22.03,10.41
1885,-35.4,22.19,10.51
1884,-34.5,22.35,10.6
1883,-34.4,22.52,10.7
1882,-34.1,22.68,10.8
1881,-34.5,22.84,10.9
1880,-35.4,23,11
1879,-37.6,23.16,11.09
1878,-36.5,23.32,11.19
1877,-33.9,23.48,11.29
1876,-33,23.64,11.39
1875,-33.2,23.8,11.49
1874,-33,23.96,11.58
1873,-35.8,24.12,11.68
1872,-38,24.28,11.78
1871,-38.2,24.43,11.88
1870,-37.5,24.59,11.98
1869,-37,24.75,12.07
1868,-38.5,24.9,12.17
1867,-38.5,25.06,12.27
1866,-36.8,25.22,12.37
1865,-36.9,25.37,12.47
1864,-36.8,25.53,12.56
1863,-36.7,25.68,12.66
1862,-35.8,25.84,12.76
1861,-35.8,25.99,12.86
1860,-34.2,26.15,12.96
1859,-34.9,26.3,13.05
1858,-35.4,26.45,13.15
1857,-35.3,26.61,13.25
1856,-36.2,26.76,13.35
1855,-36.8,26.91,13.45
1854,-35.9,27.07,13.54
1853,-35.3,27.22,13.64
1852,-34.7,27.37,13.74
1851,-34,27.52,13.84
1850,-34.2,27.67,13.94
1849,-35.2,27.82,14.03
1848,-34.6,27.97,14.13
1847,-34,28.12,14.23
1846,-34.5,28.27,14.33
1845,-34.8,28.43,14.43
1844,-35,28.57,14.52
1843,-34.4,28.72,14.62
1842,-34.9,28.87,14.72
1841,-36.5,29.02,14.82
1840,-38.1,29.17,14.92
1839,-37.6,29.32,15.01
1838,-36.9,29.47,15.11
1837,-37,29.62,15.21
1836,-35.8,29.76,15.31
1835,-34.3,29.91,15.41
1834,-34.4,30.06,15.5
1833,-36.7,30.2,15.6
1832,-37.1,30.35,15.7
1831,-35.9,30.5,15.8
1830,-35,30.64,15.9
1829,-35,30.79,15.99
1828,-35.8,30.94,16.09
1827,-35.3,31.08,16.19
1826,-35.2,31.23,16.29
1825,-36.2,31.37,16.39
1824,-36.2,31.52,16.48
1823,-35.7,31.66,16.58
1822,-33.2,31.81,16.68
1821,-31.7,31.95,16.78
1820,-34.4,32.09,16.88
1819,-36.1,32.24,16.97
1818,-35.6,32.38,17.07
1817,-34.8,32.53,17.17
1816,-34.7,32.67,17.27
1815,-34.9,32.8,17.36
1814,-34.5,32.94,17.45
1813,-35.8,33.07,17.54
1812,-36.2,33.21,17.64
1811,-34.6,33.34,17.73
1810,-33.8,33.48,17.82
1809,-34.1,33.61,17.92
1808,-35.3,33.75,18.01
1807,-37.2,33.88,18.1
1806,-36.8,34.01,18.19
1805,-33.7,34.15,18.29
1804,-35.4,34.28,18.38
1803,-35.5,34.41,18.47
1802,-37.4,34.55,18.56
1801,-37.9,34.68,18.66
1800,-37.1,34.81,18.75
1799,-37.3,34.94,18.84
1798,-36.1,35.08,18.93
1797,-35,35.21,19.03
1796,-34.6,35.34,19.12
1795,-33.9,35.47,19.21
1794,-33.2,35.6,19.31
1793,-32.6,35.74,19.4
1792,-32,35.87,19.49
1791,-31.4,36,19.58
1790,-35.3,36.13,19.68
1789,-35.8,36.26,19.77
1788,-36,36.39,19.86
1787,-36.2,36.52,19.95
1786,-36.3,36.65,20.05
1785,-35.8,36.78,20.14
1784,-35.7,36.91,20.23
1783,-35.9,37.04,20.32
1782,-34.3,37.18,20.42
1781,-33.3,37.32,20.52
1780,-33.8,37.45,20.62
1779,-34.4,37.59,20.71
1778,-35.6,37.73,20.81
1777,-37.2,37.86,20.91
1776,-37.6,38,21.01
1775,-34.5,38.13,21.11
1774,-33,38.27,21.2
1773,-32.7,38.41,21.3
1772,-33.4,38.54,21.4
1771,-34,38.68,21.5
1770,-34,38.81,21.59
1769,-35.2,38.95,21.69
1768,-36,39.08,21.79
1767,-35.6,39.22,21.89
1766,-34.8,39.35,21.99
1765,-34.9,39.49,22.08
1764,-35.7,39.62,22.18
1763,-36,39.76,22.28
1762,-35.3,39.89,22.38
1761,-34.4,40.02,22.47
1760,-35.3,40.16,22.57
1759,-36,40.29,22.67
1758,-36,40.42,22.77
1757,-35.8,40.56,22.86
1756,-36.3,40.69,22.96
1755,-36.7,40.83,23.06
1754,-36.3,40.96,23.16
1753,-35.7,41.09,23.26
1752,-35.1,41.22,23.35
1751,-35.8,41.36,23.45
1750,-36.5,41.49,23.55
1749,-36.2,41.62,23.65
1748,-35.4,41.75,23.74
1747,-34.6,41.89,23.84
1746,-34.7,42.02,23.94
1745,-35.2,42.15,24.04
1744,-35,42.28,24.14
1743,-34.8,42.41,24.23
1742,-35,42.55,24.33
1741,-35.3,42.68,24.43
1740,-35,42.81,24.53
1739,-35.1,42.94,24.62
1738,-34.3,43.08,24.72
1737,-32.3,43.21,24.83
1736,-32.7,43.35,24.93
1735,-34.5,43.48,25.03
1734,-35.7,43.61,25.13
1733,-35.8,43.75,25.23
1732,-35.1,43.88,25.33
1731,-35.1,44.02,25.43
1730,-35.6,44.15,25.53
1729,-35.6,44.29,25.63
1728,-35.1,44.42,25.73
1727,-34,44.55,25.83
1726,-33.6,44.69,25.93
1725,-34.9,44.82,26.03
1724,-35.4,44.96,26.13
1723,-34.5,45.09,26.24
1722,-34.1,45.22,26.34
1721,-34.5,45.36,26.44
1720,-35.4,45.49,26.54
1719,-35,45.62,26.64
1718,-34.3,45.75,26.74
1717,-34.1,45.89,26.84
1716,-34.8,46.02,26.94
1715,-34.8,46.15,27.04
1714,-33.8,46.28,27.14
1713,-33.2,46.42,27.24
1712,-33.7,46.55,27.34
1711,-34.1,46.68,27.44
1710,-34.8,46.81,27.54
1709,-35.4,46.95,27.65
1708,-36.7,47.08,27.75
1707,-38.8,47.21,27.85
1706,-37.8,47.34,27.95
1705,-36.9,47.47,28.05
1704,-36.1,47.6,28.15
1703,-35.6,47.73,28.25
1702,-35.4,47.87,28.35
1701,-34.7,48,28.45
1700,-38,48.13,28.55
1699,-39.3,48.26,28.65
1698,-37.1,48.39,28.75
1697,-35.6,48.52,28.85
1696,-36.5,48.65,28.95
1695,-36.9,48.78,29.06
1694,-37.7,48.91,29.16
1693,-37.8,49.05,29.26
1692,-35.1,49.18,29.37
1691,-35.4,49.32,29.47
1690,-35.2,49.46,29.58
1689,-35.5,49.59,29.68
1688,-35.6,49.73,29.79
1687,-35,49.86,29.89
1686,-36.1,50,30
1685,-37,50.13,30.1
1684,-36.1,50.27,30.21
1683,-35.9,50.4,30.31
1682,-36.4,50.54,30.42
1681,-36,50.67,30.52
1680,-35.7,50.81,30.63
1679,-35.3,50.94,30.73
1678,-35.6,51.08,30.84
1677,-37.8,51.21,30.94
1676,-38.2,51.35,31.05
1675,-37.2,51.48,31.15
1674,-37.1,51.61,31.26
1673,-37.1,51.75,31.36
1672,-36,51.88,31.47
1671,-36.1,52.02,31.57
1670,-37.6,52.15,31.68
1669,-36.6,52.28,31.78
1668,-35,52.42,31.89
1667,-34.6,52.55,31.99
1666,-35.3,52.68,32.1
1665,-35.7,52.82,32.2
1664,-35.9,52.95,32.31
1663,-35.8,53.08,32.41
1662,-35.2,53.21,32.51
1661,-35.1,53.34,32.62
1660,-35.3,53.48,32.72
1659,-35.7,53.61,32.83
1658,-35.3,53.74,32.93
1657,-34.4,53.87,33.03
1656,-36.1,54,33.14
1655,-36.7,54.13,33.24
1654,-36.6,54.26,33.35
1653,-35.8,54.39,33.45
1652,-35,54.53,33.55
1651,-35.2,54.66,33.66
1650,-35.5,54.79,33.76
1649,-35.4,54.92,33.87
1648,-35.1,55.05,33.97
1647,-35.7,55.18,34.07
1646,-36,55.31,34.18
1645,-36.2,55.44,34.28
1644,-36.4,55.57,34.39
1643,-35.4,55.7,34.49
1642,-34.3,55.83,34.59
1641,-34.9,55.96,34.7
1640,-35.3,56.09,34.8
1639,-35.3,56.22,34.9
1638,-36.6,56.34,35
1637,-37.5,56.47,35.1
1636,-37.4,56.59,35.2
1635,-36.8,56.72,35.3
1634,-35.8,56.84,35.4
1633,-35.4,56.96,35.5
1632,-34.8,57.09,35.6
1631,-33.2,57.21,35.7
1630,-32.7,57.34,35.8
1629,-33,57.46,35.9
1628,-33.8,57.59,36
1627,-34.8,57.71,36.1
1626,-34.7,57.83,36.2
1625,-34.1,57.96,36.3
1624,-36.2,58.08,36.4
1623,-38.4,58.21,36.5
1622,-37.4,58.33,36.6
1621,-36.3,58.45,36.7
1620,-35.5,58.58,36.8
1619,-36.4,58.7,36.9
1618,-37.4,58.82,37
1617,-37.1,58.95,37.1
1616,-35.5,59.07,37.2
1615,-34.9,59.19,37.3
1614,-36.3,59.32,37.4
1613,-38.2,59.44,37.5
1612,-38.3,59.56,37.6
1611,-37.6,59.69,37.7
1610,-37.4,59.81,37.8
1609,-37.2,59.93,37.9
1608,-38,60.05,38
1607,-38.3,60.18,38.1
1606,-37,60.3,38.2
1605,-35.6,60.42,38.3
1604,-35,60.55,38.4
1603,-34.9,60.67,38.5
1602,-34.9,60.79,38.6
1601,-34.7,60.91,38.7
1600,-34.3,61.04,38.8
1599,-34.2,61.17,38.9
1598,-36.1,61.29,39.01
1597,-36.7,61.42,39.11
1596,-37.4,61.55,39.21
1595,-37.2,61.67,39.32
1594,-36.2,61.8,39.42
1593,-36.4,61.93,39.52
1592,-37.8,62.05,39.63
1591,-36.7,62.18,39.73
1590,-36.5,62.31,39.83
1589,-36.6,62.43,39.94
1588,-36.6,62.56,40.04
1587,-35.7,62.68,40.14
1586,-34.4,62.81,40.25
1585,-32.9,62.94,40.35
1584,-33.3,63.06,40.45
1583,-36.7,63.19,40.56
1582,-35.4,63.31,40.66
1581,-34.2,63.44,40.76
1580,-33.9,63.56,40.87
1579,-33.3,63.69,40.97
1578,-34.4,63.82,41.07
1577,-36,63.94,41.18
1576,-35,64.07,41.28
1575,-33.7,64.19,41.38
1574,-34.3,64.32,41.49
1573,-35.5,64.44,41.59
1572,-36.3,64.57,41.69
1571,-35.9,64.69,41.8
1570,-35.3,64.82,41.9
1569,-36,64.95,42
1568,-36,65.07,42.11
1567,-33.3,65.2,42.21
1566,-32.6,65.32,42.31
1565,-32.3,65.45,42.42
1564,-32.4,65.57,42.52
1563,-33.2,65.69,42.62
1562,-33.7,65.82,42.73
1561,-34.1,65.94,42.83
1560,-34.6,66.07,42.93
1559,-35.6,66.19,43.04
1558,-35.4,66.32,43.14
1557,-34.5,66.44,43.24
1556,-33.8,66.57,43.35
1555,-33.5,66.69,43.45
1554,-33.9,66.82,43.55
1553,-35.9,66.94,43.66
1552,-35.9,67.07,43.76
1551,-37.3,67.19,43.86
1550,-38.3,67.31,43.97
1549,-38.5,67.44,44.07
1548,-36.1,67.56,44.17
1547,-35.2,67.69,44.28
1546,-35.3,67.81,44.38
1545,-35,67.93,44.48
1544,-34.7,68.06,44.59
1543,-34.6,68.18,44.69
1542,-35.5,68.31,44.79
1541,-35.3,68.43,44.9
1540,-35,68.55,45
1539,-35.1,68.68,45.1
1538,-35.4,68.8,45.21
1537,-35.8,68.92,45.31
1536,-36.5,69.05,45.41
1535,-35.1,69.17,45.52
1534,-34.1,69.3,45.62
1533,-33.1,69.42,45.72
1532,-33.3,69.54,45.83
1531,-35.3,69.67,45.93
1530,-35.9,69.79,46.03
1529,-34.2,69.91,46.14
1528,-33.9,70.04,46.24
1527,-35,70.16,46.34
1526,-33.8,70.28,46.45
1525,-33.5,70.41,46.55
1524,-33.3,70.53,46.66
1523,-33.9,70.65,46.76
