year (AD),depth (cm),d18O (permil)
1994,0.25,29.8
1968,0.75,28.6
1943,1.25,28.4
1918,1.75,27
1843,3.25,25.8
1818,3.75,26
1794,4.25,27.3
1769,4.75,27.4
1744,5.25,27.3
1387,12.75,29.2
1364,13.25,29
1341,13.75,28.7
1298,14.75,28.1
1254,15.75,27.6
1212,16.75,29
983,22.75,26.5
933,24.25,28.4
791,29.25,26.1
600,39.25,25.5
528,44.25,28.7
450,49.25,28.2
349,54.25,28.6
210,59.25,27.5
34,64.25,28.3
-170,69.25,27.1
-390,74.25,25.2
-611,79.25,29.1
-1005,89.25,28.8
-1307,99.25,28
-1542,109.25,28
-1737,119.25,28.4
-1919,129.25,28.7
-2105,138.75,29
-2380,149.75,28.6
-3086,168.75,28.5
-3532,178.75,28.5
-3601,180.25,28.4
-3967,188.25,29
-4414,198.25,29.6
-4803,207.25,28
-5223,217.25,28.6
-5632,227.25,27.4
-6423,247.25,28.1
-6809,257.25,29.4
-7173,266.75,28.3
-7554,276.75,29
