year (AD),d18O (),d18O ()
1970,2.277,2.028
1969,2.928,1.289
1968,-0.886,1.104
1967,-0.271,-2.122
1966,1.715,0.418
1965,3.63,0.398
1964,2.682,0.594
1963,3.092,-0.51
1962,0.618,-0.489
1961,2.096,0.944
1960,4.183,0.651
1959,1.336,2.653
1958,-0.662,-0.527
1957,-2.041,-2.4
1956,0.643,-3.199
1955,-0.506,-1.533
1954,0.846,0.111
1953,3.421,2.348
1952,-1.57,1.479
1951,0.568,0.146
1950,-0.539,2.443
1949,-1.425,-3.02
1948,2.647,-1.298
1947,5.455,2.261
1946,5.387,1.49
1945,-1.803,2.626
1944,-0.959,-1.222
1943,-0.361,-1.91
1942,3.396,-0.009
1941,0.766,3.66
1940,5.541,1.84
1939,0.967,4.004
1938,1.24,-2.526
1937,-1.732,-1.355
1936,0.788,1.092
1935,2.675,2.716
1934,3.906,3.656
1933,0.482,1.441
1932,2.819,5.772
1931,-0.246,2.854
1930,-0.388,1.654
1929,3.827,3.603
1928,-0.473,2.095
1927,-2.741,2.658
1926,1.875,-2.241
1925,-1.588,0.312
1924,-2.249,-5.176
1923,1.42,0.815
1922,-2.176,-3.3
1921,-2.401,-4.279
1920,-1.264,-0.782
1919,-3.102,1.407
1918,-2.353,0.626
1917,5.574,0.298
1916,3.482,5.395
1915,-3.439,-0.959
1914,-1.457,-0.171
1913,-1.973,-0.693
1912,1.85,0.332
1911,-0.271,-0.649
1910,-2.106,0.777
1909,2.325,0.957
1908,-0.434,4.541
1907,-5.378,-2.433
1906,-5.028,-1.39
1905,-2.887,-2.018
1904,-0.371,-0.623
1903,-1.585,-2.127
1902,-0.635,2.658
1901,0.973,0.768
1900,-4.145,-2.58
1899,-0.39,-0.643
1898,-2.485,2.106
1897,-0.128,-1.321
1896,1.045,-0.415
1895,2.3,4.018
1894,-1.262,5.292
1893,1.184,2.705
1892,0.381,-0.64
1891,-1.183,0.279
1890,-3.772,-0.191
1889,-0.478,4.261
1888,2.693,1.884
1887,-0.261,-1.721
1886,-0.943,-0.137
1885,-1.642,-0.41
1884,-1.481,-0.791
1883,-2.253,-1.412
1882,-2.797,-2.86
1881,1.666,0.327
1880,-0.357,2.566
1879,3.038,-2.705
1878,-1.08,-1.068
1877,-0.371,-0.386
1876,2.939,1.759
1875,1.464,-1.249
1874,-2.949,-2.271
1873,0.304,-1.807
1872,1.812,2.68
1871,2.183,4.486
1870,-1.419,2.167
1869,-2.365,-1.706
1868,0.309,-2.926
1867,-0.436,-0.813
1866,-1.077,-3.271
1865,0.784,-3.31
1864,-5.969,-0.518
1863,-4.336,-3.749
1862,-0.671,-2.146
1861,-0.276,-1.863
1860,-1.009,-1.659
1859,-0.052,-0.025
1858,-0.767,-0.038
1857,-1.937,1.205
1856,3.449,-0.559
1855,0.382,-0.224
1854,-0.554,0.093
1853,3.191,-0.327
1852,3.038,2.253
1851,1.697,0.203
1850,0.373,0.21
1849,-0.661,-0.973
1848,-1.731,-2.376
1847,3.71,1.836
1846,-1.284,-0.704
1845,-0.707,2.671
1844,-2.076,-0.67
1843,1.904,-1.081
1842,-1.201,1.216
1841,1.669,2.199
1840,-0.667,-0.418
1839,-1.963,-3.337
1838,1.857,2.182
1837,-4.312,1.201
1836,-1.907,-6.235
1835,-5.998,-4.628
1834,-2.981,-1.633
1833,-3.312,1.033
1832,1.682,-1.147
1831,2.133,1.957
1830,1.735,-2.036
1829,1.853,-0.881
1828,3.879,2.316
1827,-0.163,1.255
1826,-3.479,-0.43
1825,-3.674,2.766
1824,-0.355,-2.673
1823,-1.412,-2.649
1822,-2.737,2.444
1821,1.035,-1.657
1820,0.279,1.939
1819,-2.094,0.454
1818,-4.283,-3.907
1817,-2.961,-1.94
1816,2.425,2.17
1815,-1.368,1.732
1814,-3.21,0.352
1813,-1.428,-2.094
1812,0.787,-0.179
1811,-2.11,0.829
1810,0.511,0.297
1809,3.094,1.375
1808,2.477,1.391
1807,1.422,0.222
1806,2.704,-0.312
1805,2.444,4.926
1804,2.302,-0.414
1803,-3.577,-1.233
1802,-1.559,-5.276
1801,1.545,0.842
1800,2.735,0.78
1799,-0.35,-1.158
1798,-0.617,-2.312
1797,0.845,-0.029
1796,-1.259,-1.023
1795,2.387,-0.53
1794,-2.353,1.923
1793,-1.25,-2.873
1792,2.026,0.444
1791,-4.439,4.011
1790,-0.229,-0.176
1789,2.956,-0.401
1788,0.429,-0.712
1787,4.13,-0.251
1786,2.607,3.551
1785,2.423,0.661
1784,2.135,-2.312
1783,-2.774,-0.595
1782,0.4,-2.414
1781,-2.116,0.149
1780,1.763,-3.551
1779,-0.938,-1.769
1778,-2.265,-4.841
