year (AD),depth (cm),d18O (permil)
1660,0,-7.17
1650,0.05,-7.24
1650,0.15,NA
1640,0.67,-6.99
1630,1.19,-7.15
1630,1.71,-7.41
1620,2.24,-7.31
1610,2.76,-7.25
1540,3.28,-7.1
1460,3.8,NA
1380,4.29,-6.69
1300,4.78,-6.61
1220,5.27,-6.72
1140,5.76,-6.57
1070,6.25,-6.6
990,6.74,NA
910,7.23,-7.4
780,7.72,-7.2
650,8.21,-7.79
620,8.7,-7.31
590,9.11,-6.71
570,9.52,-6.26
540,9.93,-6.88
320,10.34,-6.93
290,10.75,-6.9
250,11.16,-6.84
220,11.57,NA
190,11.98,-6.5
160,12.39,-7.41
130,12.8,-6.89
80,13.31,-7
30,13.82,-6.95
-30,14.33,-7.01
-30,14.84,-6.96
-70,15.35,-7.01
-110,15.86,NA
-150,16.37,-6.81
-190,16.88,-6.74
-230,17.39,-7.11
-270,17.9,-6.68
-310,18.51,-6.82
-350,19.13,-7.47
-390,19.74,-6.78
-420,20.35,-6.97
-460,20.96,-7.06
-520,21.58,-6.95
-580,22.19,-7.1
-640,22.8,-7.61
-750,23,-6.92
-870,23.4,-6.71
-880,23.86,-6.65
-890,24.32,NA
-890,24.78,-6.94
-900,25.24,-7.02
-910,25.7,-6.77
-950,26.16,-6.88
-980,26.62,-6.88
-1020,27.08,-6.76
-1120,27.54,-6.86
-1230,28,-6.82
-1330,28.54,-7.81
-1430,29.08,-6.94
-1540,29.62,-6.75
-1640,30.16,-6.84
-1750,30.7,-6.74
-1850,31.24,-6.68
-1960,31.78,-6.86
-2060,32.32,NA
-2200,32.86,-7.02
-2330,33.4,-6.82
-2460,33.78,-6.99
-2600,34.15,-6.88
-2640,34.53,-6.83
-2690,34.9,-6.6
-2740,35.28,-6.79
-2780,35.65,-6.43
-2830,36.03,-6.5
-2870,36.4,-6.62
-2920,36.6,-6.58
-2960,36.9,-6.7
-3010,37.18,-6.71
-3050,37.46,-6.62
-3100,37.74,-6.76
-3140,38.02,-6.52
-3190,38.3,-6.46
-3230,38.58,-6.57
-3280,38.86,-6.63
-3330,39.14,-6.45
-3370,39.42,-6.43
-3420,39.7,-6.15
-3460,39.99,-7.06
-3510,40.28,-6.54
-3550,40.57,-6.87
-3600,40.86,-6.83
-3640,41.15,-6.92
-3690,41.44,-6.93
-3730,41.73,-6.93
-3780,42.02,-6.72
-3820,42.31,-6.92
-3870,42.6,-6.51
-3920,42.89,-6.38
-3960,43.18,-6.74
-4010,43.47,NA
-4050,43.76,-6.33
-4100,44.05,-6.51
-4140,44.34,-6.41
-4190,44.63,-6.53
-4230,44.92,-6.62
-4280,45.21,-6.48
-4320,45.5,-6.09
-4370,45.7,-5.95
