year (AD) [1-1],depth (m) [1-1],dD (permil) [1-1],year (AD) [1-2],depth (m) [1-2],dD (permil) [1-2]
1985,2.55,-258.06,1986.7942,1.1105,-204.03
1984,3.2,-256.06,1986.7519,1.1435,-212.57
1983,3.88,-282.71,1986.7096,1.1765,-221.11
1982,4.23,-285.05,1986.6673,1.2095,-236.64
1981,4.82,-273.57,1986.625,1.2425,-252.64
1980,5.34,-274.71,1986.5827,1.2755,-264.41
1979,5.67,-292.09,1986.5404,1.3085,-276.17
1978,6.22,-278.6,1986.4981,1.3415,-283.42
1977,6.86,-259.46,1986.4558,1.3745,-289.84
1976,7.26,-272.93,1986.4135,1.4075,-292.31
1975,7.83,-261.7,1986.3712,1.4405,-294.82
1974,8.22,-267.65,1986.3289,1.4735,-300
1973,8.69,-269.29,1986.2866,1.5065,-306.58
1972,9.07,-271.61,1986.2443,1.5395,-318.81
1971,9.53,-277.24,1986.202,1.5725,-326.21
1970,9.98,-265.19,1986.1597,1.6055,-325.7
1969,10.27,-269.06,1986.1174,1.6385,-319.1
1968,10.76,-256.37,1986.0751,1.6715,-307.73
1967,11.25,-265.62,1986.0327,1.7045,-293.27
1966,11.57,-259.34,1985.9851,1.7375,-277.75
1965,11.97,-270.22,1985.9191,1.7705,-269.36
1964,12.52,-262.73,1985.8531,1.8035,-261.05
1963,12.91,-268.3,1985.7871,1.8365,-248.55
1962,13.3,-254.97,1985.7211,1.8694,-239.21
1961,13.72,-253.68,1985.6551,1.9024,-237.67
1960,14.07,-271.76,1985.5891,1.9354,-241.75
1959,14.53,-256.87,1985.5231,1.9684,-252.19
1958,14.98,-267.23,1985.4571,2.0014,-269.12
1957,15.36,-276.36,1985.3911,2.0344,-289.53
1956,15.81,-283.28,1985.3251,2.0674,-304.51
1955,16.29,-269.69,1985.2591,2.1004,-318.1
1954,16.66,-277.43,1985.1931,2.1334,-312.31
1953,17.14,-264.03,1985.1272,2.1664,-303.59
1952,17.61,-263.36,1985.0612,2.1994,-282.98
1951,17.94,-271.32,1984.9964,2.2324,-269.2
1950,18.3,-271.5,1984.9471,2.2654,-258.61
1949,18.62,-276.8,1984.8979,2.2984,-249.39
1948,18.95,-270.26,1984.8486,2.3314,-239.04
1947,19.41,-264.18,1984.7994,2.3644,-226.17
1946,19.84,-267.85,1984.7501,2.3974,-220.69
1945,20.37,-264.67,1984.7009,2.4304,-221.75
1944,20.79,-274.86,1984.6516,2.4634,-234.4
1943,21.07,-284.36,1984.6024,2.4964,-250.77
1942,21.56,-257.09,1984.5531,2.5294,-263.22
1941,21.97,-254.02,1984.5039,2.5624,-272.3
1940,22.25,-261.19,1984.4546,2.5954,-275.84
1939,22.73,-249.26,1984.4054,2.6284,-274.52
1938,23.08,-269.87,1984.3561,2.6614,-272.5
1937,23.45,-277.02,1984.3069,2.6944,-271.76
1936,23.83,-262.21,1984.2576,2.7274,-268.31
1935,24.13,-260.46,1984.2084,2.7604,-262.46
1934,24.57,-252.64,1984.1591,2.7934,-249.55
1933,24.98,-264.86,1984.1099,2.8264,-235.97
1932,25.41,-252.69,1984.0606,2.8594,-231.23
1931,25.75,-268.17,1984.0114,2.8924,-226.95
1930,26.11,-277.52,1983.9648,2.9254,-223.43
1929,26.48,-263.87,1983.9189,2.9584,-223.12
1928,26.88,-257,1983.8731,2.9914,-225.39
1927,27.27,-264.28,1983.8273,3.0244,-231.58
1926,27.5,-279.27,1983.7814,3.0574,-239.95
1925,27.9,-282.55,1983.7356,3.0904,-250.27
1924,28.03,-294.6,1983.6898,3.1234,-261.16
1923,28.42,-281.41,1983.644,3.1564,-272.88
1922,28.75,-283.44,1983.5981,3.1894,-285.42
1921,29.04,-291.07,1983.5523,3.2224,-301.37
1920,29.43,-273.21,1983.5065,3.2553,-315.51
1919,29.7,-277.31,1983.4606,3.2883,-312.62
1918,30.07,-280.22,1983.4148,3.3213,-304.9
1917,30.37,-283.12,1983.369,3.3543,-294.59
1916,30.87,-250.72,1983.3231,3.3873,-285.05
1915,31.2,-278.93,1983.2773,3.4203,-276.66
1914,31.5,-284.62,1983.2315,3.4533,-270.41
1913,31.87,-280.93,1983.1857,3.4863,-259.25
1912,32.2,-275.72,1983.1398,3.5193,-248.64
1911,32.6,-270.82,1983.094,3.5523,-242.37
1910,32.93,-268.8,1983.0482,3.5853,-237.99
1909,33.27,-254.08,1983.0023,3.6183,-235.76
1908,33.53,-256.75,1982.9334,3.6513,-236.14
1907,33.93,-265.08,1982.8632,3.6843,-240.61
1906,34.13,-280.84,1982.793,3.7173,-250.15
1905,34.57,-263.14,1982.7227,3.7503,-269.8
1904,34.8,-270.05,1982.6525,3.7833,-295.07
1903,35.03,-263.7,1982.5823,3.8163,-315.67
1902,35.4,-261.63,1982.5121,3.8493,-329.95
1901,35.7,-265.19,1982.4419,3.8823,-339.72
1900,36.27,-270.61,1982.3717,3.9153,-347.89
1899,36.6,-271.22,1982.3015,3.9483,-345.15
1898,36.93,-269.17,1982.2313,3.9813,-332.89
1897,37.24,-289.63,1982.1611,4.0143,-300.53
1896,37.6,-275.14,1982.0908,4.0473,-273.77
1895,37.9,-258.93,1982.0206,4.0803,-253.03
1894,38.3,-271.74,1981.9314,4.1133,-248.76
1893,38.63,-268.35,1981.8343,4.1464,-257.64
1892,38.97,-265.24,1981.7372,4.1794,-277.55
1891,39.33,-266.36,1981.6401,4.2124,-290.01
1890,39.6,-269.45,1981.543,4.2454,-298.37
1889,40.03,-255.08,1981.4459,4.2784,-302.63
1888,40.4,-266.15,1981.3488,4.3114,-298.37
1887,40.73,-269.12,1981.2517,4.3444,-290.52
1886,41.02,-282.24,1981.1546,4.3774,-279.54
1885,41.32,-283.51,1981.0575,4.4105,-266.25
1884,41.69,-270.43,1980.9741,4.4435,-254.24
1883,41.98,-267.88,1980.9106,4.4765,-243.64
1882,42.24,-269.98,1980.8471,4.5095,-233.04
1881,42.57,-264.99,1980.7846,4.542,-234.43
1880,42.87,-265.86,1980.7211,4.575,-240.21
1879,43.22,-259.17,1980.6576,4.608,-249.53
1878,43.56,-261.91,1980.5941,4.6411,-256.4
1877,43.81,-267.69,1980.5307,4.6741,-263.04
1876,44.1,-259.68,1980.4672,4.7071,-270.41
1875,44.41,-260.74,1980.4037,4.7401,-282.59
1874,44.81,-265.93,1980.3402,4.7731,-295.59
1873,45.17,-267.47,1980.2767,4.8061,-307.74
1872,45.49,-254.65,1980.2132,4.8391,-315.85
1871,45.84,-246.38,1980.1497,4.8721,-311.13
1870,46.2,-262.5,1980.0862,4.9052,-298.2
1869,46.47,-273.31,1980.0228,4.9382,-280.17
1868,46.79,-273.24,1979.9641,4.9712,-263.51
1867,47.12,-271.74,1979.9081,5.0042,-248.96
1866,47.36,-285.06,1979.8522,5.0372,-242.39
1865,47.52,-280.07,1979.7962,5.0702,-238.55
1864,47.94,-266.72,1979.7403,5.1032,-240.82
1863,48.26,-268.87,1979.6843,5.1363,-248.94
1862,48.59,-268.73,1979.6284,5.1693,-262.14
1861,48.88,-268.94,1979.5724,5.2023,-274.59
1860,49.15,-273.09,1979.5165,5.2353,-285.16
1859,49.42,-279.27,1979.4605,5.2683,-294.05
1858,49.72,-282.56,1979.4045,5.3013,-301.54
1857,50.06,-281,1979.3486,5.3343,-307.74
1856,50.51,-268.77,1979.2926,5.3673,-311.1
1855,50.72,-269.05,1979.2367,5.4004,-303.8
1854,51.12,-265.21,1979.1807,5.4334,-290.85
1853,51.33,-271.3,1979.1248,5.4664,-276.86
1852,51.78,-255.68,1979.0688,5.4994,-271.13
1851,52.03,-258.23,1979.0129,5.5324,-269.69
1850,52.36,-270.24,1978.9331,5.5654,-272.64
1849,52.55,-281.19,1978.8462,5.5984,-288.23
1848,52.91,-266.24,1978.7593,5.6315,-303.89
1847,53.27,-256.28,1978.6725,5.6645,-316.34
1846,53.45,-270.45,1978.5856,5.6975,-322.25
1845,53.72,-270.4,1978.4987,5.7305,-316.87
1844,53.99,-280.48,1978.4132,5.763,-311.03
1843,54.27,-280.28,1978.3263,5.796,-306.46
1842,54.51,-274.95,1978.2394,5.829,-303.34
1841,54.72,-276.18,1978.1525,5.862,-295.88
1840,55,-264.76,1978.0656,5.8951,-283.08
1839,55.35,-265.62,1977.9868,5.9281,-266.89
1838,55.67,-252.21,1977.9327,5.9611,-248.69
1837,55.97,-265.73,1977.8785,5.9941,-242.18
1836,56.21,-289.35,1977.8244,6.0271,-242.36
1835,56.45,-289.78,1977.7703,6.0601,-249.34
1834,56.76,-278.74,1977.7162,6.0931,-259.23
1833,57.07,-271.3,1977.662,6.1262,-269.41
1832,57.41,-272.02,1977.6079,6.1592,-278.81
1831,57.76,-262.22,1977.5538,6.1922,-287.26
1830,58.22,-261.39,1977.4997,6.2252,-293.6
1829,58.62,-269.05,1977.4456,6.2582,-297.74
1828,58.93,-269.61,1977.3914,6.2912,-297.58
1827,59.17,-271.42,1977.3373,6.3242,-292.63
1826,59.54,-265.16,1977.2832,6.3572,-287.5
1825,59.81,-266.74,1977.2291,6.3903,-281.8
1824,60.03,-268.02,1977.175,6.4233,-272.96
1823,60.29,-263.03,1977.1209,6.4563,-260.54
1822,60.49,-276.62,1977.0667,6.4893,-245.13
1821,60.87,-266.63,1977.0126,6.5223,-228.66
1820,61.17,-265.24,1976.9578,6.5553,-220.3
1819,61.36,-262.74,1976.9028,6.5883,-216.63
1818,61.6,-273.77,1976.8478,6.6214,-218.39
1817,61.94,-275,1976.7927,6.6544,-223.7
1816,62.11,-274.62,1976.7377,6.6874,-236.84
1815,62.43,-258.8,1976.6827,6.7204,-246.78
1814,62.66,-272.38,1976.6277,6.7534,-257.89
1813,63.03,-262.87,1976.5726,6.7864,-272.27
1812,63.27,-274.73,1976.5176,6.8194,-285.08
1811,63.52,-275.93,1976.4626,6.8524,-292.7
1810,63.85,-271.66,1976.4076,6.8855,-292.17
1809,64.19,-268.27,1976.3526,6.9185,-285.39
1808,64.5,-271.24,1976.2975,6.9515,-268.14
1807,64.69,-284.43,1976.2425,6.9845,-257.23
1806,65.03,-265.7,1976.1883,7.017,-249.93
1805,65.3,-262.8,1976.1333,7.05,-246.31
1804,65.64,-249.72,1976.0783,7.083,-247.64
1803,65.85,-274.79,1976.0233,7.1161,-252.17
1802,66.15,-282.02,1975.964,7.1491,-262.74
1801,66.53,-264.14,1975.9017,7.1821,-283.38
1800,66.83,-269.65,1975.8395,7.2151,-302.03
1799,67.02,-277.41,1975.7772,7.2481,-313.73
1798,67.3,-286.79,1975.7149,7.2811,-313.91
1797,67.6,-287.98,1975.6526,7.3141,-305
1796,67.88,-275.37,1975.5903,7.3471,-285.57
1795,68.19,-249.23,1975.528,7.3802,-270.02
1794,68.45,-275.3,1975.4657,7.4132,-258.9
1793,68.7,-263.8,1975.4034,7.4462,-250.06
1792,68.96,-258.9,1975.3411,7.4792,-240.56
1791,69.18,-270.7,1975.2788,7.5122,-235.78
1790,69.48,-261.53,1975.2166,7.5452,-233.03
1789,69.67,-266.16,1975.1543,7.5782,-232.79
1788,69.87,-264.86,1975.092,7.6113,-234.48
1787,70.28,-252.65,1975.0297,7.6443,-242.58
1786,70.56,-276.93,1974.964,7.6773,-253.68
1785,71.03,-281.6,1974.8952,7.7103,-267.44
1784,71.21,-288.03,1974.8265,7.7433,-279.38
1783,71.45,-271.79,1974.7577000000001,7.7763,-284.88
1782,71.73,-266.92,1974.6889,7.8093,-286.62
1781,71.97,-283.16,1974.6201,7.8423,-284.24
1780,72.48,-273.99,1974.5513,7.8754,-280.09
1779,72.68,-273.54,1974.4826,7.9084,-277.05
1778,72.94,-266.87,1974.4138,7.9414,-269.64
1777,73.16,-258.36,1974.345,7.9744,-259.57
1776,73.35,-268.33,1974.2763,8.0074,-250.39
1775,73.58,-260.97,1974.2075,8.0404,-244.73
1774,73.84,-259.46,1974.1388,8.0734,-248.22
1773,74.1,-257.89,1974.0701,8.1064,-259.12
1772,74.42,-265.09,1974.0014,8.1393,-272.42
1771,74.68,-274.65,1973.8803,8.1723,-283.03
1770,74.97,-266.96,1973.7582,8.2053,-286.49
1769,75.19,-274.85,1973.636,8.2383,-284.49
1768,75.45,-272.8,1973.5139,8.2713,-278.98
1767,75.71,-268.23,1973.3917,8.3042,-271.91
1766,75.9,-276.19,1973.2696,8.3372,-262.52
1765,76.22,-264.58,1973.1474,8.3702,-255.61
1764,76.5,-255.99,1973.0252,8.4032,-252.97
1763,76.81,-269.37,1972.9362,8.4362,-253.55
1762,77.03,-281.16,1972.8557,8.4692,-253.41
1761,77.32,-273.15,1972.7753,8.5021,-254.5
1760,77.57,-283.87,1972.6949,8.5351,-259.38
1759,77.86,-282.14,1972.6144,8.5681,-269.31
1758,78.12,-282.18,1972.534,8.6011,-283
1757,78.35,-277.68,1972.4535,8.6341,-290.35
1756,78.67,-265.21,1972.3731,8.667,-293.97
1755,79.03,-273.2,1972.2926,8.7,-291.21
1754,79.26,-272.5,1972.2122,8.733,-280.94
1753,79.48,-275.98,1972.1305,8.7665,-263.69
1752,79.81,-272.2,1972.0501,8.7995,-253.58
1751,80.06,-273.18,1971.9761,8.8325,-246.59
1750,80.38,-267.37,1971.9126,8.8654,-245.09
1749,80.61,-269.14,1971.8492,8.8984,-250.3
1748,80.9,-268.58,1971.7858,8.9314,-266.82
1747,81.18,-276.73,1971.7223,8.9644,-279.98
1746,81.39,-288.38,1971.6589,8.9974,-290.92
1745,81.57,-279.52,1971.5955,9.0303,-297.9
1744,81.75,-260.92,1971.5321,9.0633,-299.11
1743,81.96,-266.58,1971.4687,9.0963,-299.12
1742,82.3,-274.19,1971.4052,9.1293,-298.67
1741,82.66,-258.68,1971.3418,9.1623,-296.7
1740,82.93,-260.18,1971.2784,9.1953,-292.96
1739,83.21,-265.78,1971.2149,9.2282,-284.97
1738,83.51,-276.91,1971.1515,9.2612,-270.67
1737,83.72,-280.67,1971.0881,9.2942,-255.85
1736,84.03,-278.59,1971.0247,9.3272,-245.76
1735,84.24,-282.24,1970.9496,9.3602,-243.91
1734,84.54,-269.77,1970.8672,9.3931,-257.96
1733,84.78,-266.03,1970.7847,9.4261,-270.97
1732,85.09,-263.86,1970.7022,9.4591,-282.7
1731,85.33,-266.25,1970.6198,9.4921,-291.45
1730,85.67,-257.91,1970.5373,9.5251,-294.69
1729,85.97,-270.96,1970.4549,9.5581,-292.6
1728,86.27,-253.28,1970.3724,9.591,-285.25
1727,86.45,-263.24,1970.29,9.624,-272.48
1726,86.8,-252.61,1970.2063,9.6575,-257.37
1725,87.01,-279.78,1970.1238,9.6905,-245.67
1724,87.25,-265.46,1970.0414,9.7235,-236.27
1723,87.49,-283.92,1969.9635,9.7564,-234
1722,87.7,-287.69,1969.8902,9.7894,-241.4
1721,88.04,-268.08,1969.8169,9.8224,-256.98
1720,88.24,-278.34,1969.7436,9.8554,-270.56
1719,88.55,-262.43,1969.6703,9.8884,-278.53
1718,88.78,-279.53,1969.597,9.9214,-281.53
1717,89,-257.72,1969.5237,9.9543,-282.53
1716,89.21,-286.35,1969.4504,9.9873,-283.28
1715,89.39,-284.31,1969.3771,10.0203,-276.4
1714,89.75,-260.49,1969.3038,10.0533,-271.99
1713,90.06,-263.24,1969.2305,10.0863,-264.22
1712,90.3,-260.99,1969.1572,10.1192,-256.98
1711,90.55,-263.54,1969.084,10.1522,-256.86
1710,90.82,-263.32,1969.0106,10.1852,-262.16
1709,91.13,-266.38,1968.9359,10.2182,-273.92
1708,91.32,-268.8,1968.861,10.2512,-281.84
1707,91.52,-279.95,1968.786,10.2842,-283.51
1706,91.77,-274,1968.7111,10.3171,-279.33
1705,92.06,-259.6,1968.6361,10.3501,-271.75
1704,92.24,-262.9,1968.5611,10.3831,-261.89
1703,92.5,-264.98,1968.4862,10.4161,-250.17
1702,92.74,-268.94,1968.4112,10.4491,-238.58
1701,92.91,-281.06,1968.3363,10.482,-229.57
1700,93.15,-275.32,1968.2613,10.515,-224.69
1699,93.42,-268.43,1968.1863,10.548,-226.03
1698,93.64,-279.13,1968.1103,10.5815,-232.25
1697,93.85,-268.84,1968.0353,10.6145,-241.27
1696,94.07,-270.23,1967.9585,10.6475,-253.58
1695,94.32,-280.83,1967.8799,10.6804,-270.59
1694,94.6,-273.54,1967.8014,10.7134,-288.26
1693,94.91,-267.57,1967.7229,10.7464,-298.07
1692,95.12,-274.92,1967.6443,10.7794,-298.44
1691,95.3,-265.46,1967.5658,10.8124,-291.64
1690,95.51,-256.87,1967.4873,10.8453,-281.68
1689,95.72,-274.89,1967.4087,10.8783,-273.08
1688,95.93,-277.05,1967.3302,10.9113,-266.43
1687,96.3,-257.79,1967.2517,10.9443,-260.54
1686,96.54,-275.25,1967.1732,10.9773,-254.42
1685,96.72,-277.74,1967.0946,11.0103,-247.87
1684,97.03,-252.49,1967.0161,11.0432,-244.38
1683,97.33,-260.03,1966.939,11.0762,-244.78
1682,97.58,-278.09,1966.8623,11.1092,-250.06
1681,97.85,-266.88,1966.7856,11.1422,-257.88
1680,98.03,-277.52,1966.7089,11.1752,-266.99
1679,98.42,-267.58,1966.6322,11.2081,-277.79
1678,98.63,-275.78,1966.5555,11.2411,-278.42
1677,98.93,-270.44,1966.4788,11.2741,-273.38
1676,99.15,-278.52,1966.4021,11.3071,-263.57
1675,99.46,-269.72,1966.3254,11.3401,-252.4
1674,99.77,-259.61,1966.2487,11.3731,-243.44
1673,100.03,-263.09,1966.172,11.406,-238.38
1672,100.24,-265.99,1966.0953,11.439,-243.95
1671,100.54,-268.34,1966.0186,11.472,-256.29
1670,100.75,-265.53,1965.9121,11.5055,-269.73
1669,100.96,-267.58,1965.7984,11.5385,-278.07
1668,101.19,-275.32,1965.6847,11.5714,-278.19
1667,101.65,-259.46,1965.5709,11.6044,-272.52
1666,101.81,-271.44,1965.4572,11.6374,-264.78
1665,101.94,-268.09,1965.3435,11.6704,-259.19
1664,102.16,-258.25,1965.2298,11.7034,-256.4
1663,102.42,-267.42,1965.116,11.7364,-257.35
1662,102.67,-286.57,1965.0023,11.7693,-263.05
1661,102.91,-272.7,1964.9248,11.8023,-271.97
1660,103.2,-258.85,1964.8481,11.8353,-277.34
1659,103.43,-273.91,1964.7714,11.8683,-279.23
1658,103.73,-270.3,1964.6947,11.9013,-279.66
1657,103.96,-264.49,1964.618,11.9343,-280.21
1656,104.29,-270.31,1964.5413,11.9672,-281.01
1655,104.49,-269.96,1964.4646,12.0002,-280.62
1654,104.72,-271.91,1964.3879,12.0332,-278.53
1653,104.85,-274.4,1964.3112,12.0662,-275.8
1652,105.14,-262,1964.2345,12.0992,-273.29
1651,105.4,-255.39,1964.1578,12.1321,-269.07
1650,105.67,-257.64,1964.0811,12.1651,-261.79
1649,106,-265.85,1964.0044,12.1981,-251.56
1648,106.16,-290.94,1963.9309,12.2311,-241.3
1647,106.44,-278.88,1963.8576,12.2641,-236.4
1646,106.72,-263.69,1963.7843,12.2971,-237.23
1645,107,-264.21,1963.711,12.33,-242.53
1644,107.23,-275.15,1963.6378,12.363,-250.65
1643,107.5,-275.69,1963.5634,12.3965,-260.63
1642,107.73,-268.84,1963.4901,12.4295,-268.51
1641,107.97,-272.89,1963.4168,12.4625,-275.76
1640,108.27,-278.21,1963.3435,12.4954,-281.2
1639,108.47,-289.38,1963.2702,12.5284,-283.68
1638,108.7,-291.36,1963.1969,12.5614,-282.53
1637,109.1,-279.09,1963.1236,12.5944,-278.08
1636,109.43,-263.54,1963.0503,12.6274,-269.79
1635,109.67,-276.17,1962.9765,12.6604,-259.03
1634,109.9,-273.38,1962.9015,12.6933,-253.52
1633,110.16,-263.68,1962.8266,12.7263,-254.01
1632,110.35,-262.63,1962.7516,12.7593,-258.2
1631,110.55,-263.65,1962.6767,12.7923,-263.93
1630,111.03,-259.39,1962.6017,12.8253,-271.3
1629,111.29,-268.8,1962.5267,12.8582,-276
1628,111.55,-277.02,1962.4518,12.8912,-277.81
1627,111.74,-276.86,1962.3768,12.9242,-277.98
1626,111.94,-273.31,1962.3019,12.9572,-276.11
1625,112.19,-275.15,1962.2269,12.9902,-271.31
1624,112.35,-273.99,1962.1519,13.0232,-264.88
1623,112.65,-269.21,1962.077,13.0561,-253.98
1622,112.9,-266.09,1962.002,13.0891,-246.57
1621,113.16,-268.76,1961.9271,13.1221,-241.44
1620,113.46,-275.13,1961.8521,13.1551,-240.06
1619,113.68,-261.2,1961.7771,13.1881,-242.26
1618,113.85,-263.86,1961.7022,13.221,-246.94
1617,114.13,-248.16,1961.6272,13.254,-252.88
1616,114.34,-262.96,1961.5523,13.287,-256.18
1615,114.83,-266.65,1961.4762,13.3205,-256.98
1614,115.07,-272.96,1961.4012,13.3535,-251.96
1613,115.37,-275.39,1961.3263,13.3865,-242.6
1612,115.56,-276.62,1961.2513,13.4194,-235.6
1611,115.8,-266.05,1961.1763,13.4524,-232.62
1610,116.01,-261.05,1961.1014,13.4854,-232.08
1609,116.23,-270.1,1961.0264,13.5184,-235.25
1608,116.39,-287.12,1960.9311,13.5514,-242.23
1607,116.59,-285.37,1960.8247,13.5843,-252.26
1606,116.83,-263.1,1960.7183,13.6173,-265.52
1605,117.06,-274.38,1960.6119,13.6503,-277.32
1604,117.33,-267.89,1960.5055,13.6833,-282.78
1603,117.6,-263.19,1960.3991,13.7163,-285.05
1602,117.81,-282.52,1960.2927,13.7493,-279.69
1601,118.06,-273.93,1960.1864,13.7822,-271.59
1600,118.27,-259.88,1960.08,13.8152,-264.16
1599,118.48,-266.97,1959.9833,13.8482,-258.97
1598,118.79,-263.95,1959.916,13.8812,-259.13
1597,119.06,-260.04,1959.8487,13.9142,-263.25
1596,119.3,-260.41,1959.7813,13.9471,-269.02
1595,119.52,-267.3,1959.714,13.9801,-277.49
1594,119.82,-268.21,1959.6467,14.0131,-282.84
1593,119.97,-285.64,1959.5794,14.0461,-286.27
1592,120.12,-276.86,1959.5121,14.0791,-287.09
1591,120.33,-279.07,1959.4448,14.1121,-282.77
1590,120.57,-282.86,1959.3775,14.145,-273.88
1589,120.87,-265.15,1959.3102,14.178,-260.17
1588,121.33,-274.36,1959.2419,14.2115,-245.44
1587,121.61,-272.18,1959.1745,14.2445,-234.29
1586,121.85,-267.67,1959.1072,14.2775,-227.57
1585,122.04,-266.14,1959.0399,14.3104,-226.14
1584,122.31,-268.73,1958.968,14.3434,-231.36
1583,122.56,-276.97,1958.8895,14.3764,-240.28
1582,122.8,-271.17,1958.811,14.4094,-252.31
1581,123.06,-268.57,1958.7325,14.4424,-266.51
1580,123.33,-266.77,1958.6539,14.4754,-279.13
1579,123.55,-275.35,1958.5754,14.5083,-290.64
1578,123.82,-274.03,1958.4969,14.5413,-292.15
1577,124.12,-262.26,1958.4184,14.5743,-287.4
1576,124.36,-263.98,1958.3398,14.6073,-278.9
1575,124.63,-262.53,1958.2613,14.6403,-268.69
1574,124.84,-270.66,1958.1828,14.6732,-258.3
1573,125.09,-269.61,1958.1042,14.7062,-249.59
1572,125.33,-274.19,1958.0257,14.7392,-245.46
1571,125.48,-289.99,1957.9472,14.7722,-247.42
1570,125.75,-273.86,1957.8686,14.8052,-252.62
1569,125.93,-275.53,1957.7901,14.8382,-260.65
1568,126.21,-279.11,1957.7116,14.8711,-269.55
1567,126.42,-288.49,1957.6331,14.9041,-276.11
1566,126.67,-283.98,1957.5545,14.9371,-280.41
1565,126.88,-271.95,1957.476,14.9701,-283.09
1564,127.03,-275.92,1957.3975,15.0031,-283.3
1563,127.29,-268.14,1957.319,15.036,-282.03
1562,127.53,-268.62,1957.2404,15.069,-278.58
1561,127.74,-280.45,1957.1619,15.102,-275.22
1560,127.88,-271.3,1957.0822,15.1355,-272.18
1559,128.03,-257.71,1957.0036,15.1685,-268.59
1558,128.25,-258.49,1956.9269,15.2015,-264.91
1557,128.53,-263.02,1956.8502,15.2344,-266.08
1556,128.8,-263.5,1956.7735,15.2674,-271.15
1555,128.96,-267.36,1956.6967,15.3004,-279.41
1554,129.22,-260.99,1956.62,15.3334,-289.67
1553,129.49,-259.18,1956.5433,15.3664,-295.21
1552,129.73,-261.18,1956.4667,15.3993,-295.99
1551,130,-261.06,1956.39,15.4323,-293.34
1550,130.24,-269.45,1956.3133,15.4653,-287.15
1549,130.48,-280.81,1956.2365,15.4983,-277.84
1548,130.76,-284.01,1956.1598,15.5313,-271.06
1547,130.94,-275.31,1956.0831,15.5643,-266.88
1546,131.24,-275.39,1956.0064,15.5972,-265.62
1545,131.42,-292.54,1955.9161,15.6302,-269.19
1544,131.67,-274.77,1955.8244,15.6632,-276.61
1543,132,-258.1,1955.7328,15.6962,-284.46
1542,132.21,-279.41,1955.6412,15.7292,-292.48
1541,132.42,-271.71,1955.5496,15.7621,-296.8
1540,132.79,-260.37,1955.458,15.7951,-297.32
1539,133.03,-267.1,1955.3664,15.8281,-291.96
1538,133.27,-272.92,1955.2748,15.8611,-282.44
1537,133.54,-265.08,1955.1831,15.8941,-270.32
1536,133.81,-260.34,1955.0915,15.9271,-262.48
1535,134.03,-262.92,1954.9999,15.96,-258.23
1534,134.31,-256.52,1954.934,15.993,-255.38
1533,134.56,-258.13,1954.868,16.026,-252.84
1532,134.78,-268.98,1954.801,16.0595,-254.33
1531,134.97,-275.36,1954.7351,16.0925,-256.81
1530,135.21,-269.5,1954.6691,16.1254,-259.82
1529,135.49,-260.81,1954.6032,16.1584,-266.09
1528,135.7,-267.06,1954.5372,16.1914,-274.37
1527,135.94,-269.83,1954.4712,16.2244,-283.97
1526,136.19,-272.78,1954.4053,16.2574,-291.86
1525,136.37,-268.91,1954.3393,16.2904,-294.5
1524,136.62,-264.55,1954.2733,16.3233,-289
1523,136.86,-279.82,1954.2074,16.3563,-281.19
1522,137.13,-292.73,1954.1414,16.3893,-272.68
1521,137.34,-285.83,1954.0754,16.4223,-262.85
1520,137.58,-275.56,1954.0095,16.4553,-261.57
1519,137.76,-273.65,1953.9412,16.4882,-263.01
1518,138,-272.01,1953.8725,16.5212,-268.02
1517,138.12,-279.39,1953.8037,16.5542,-276.62
1516,138.39,-265.33,1953.735,16.5872,-285.69
1515,138.51,-280.04,1953.6663,16.6202,-291.43
1514,138.78,-264.18,1953.5976,16.6532,-294.92
1513,139.08,-262.21,1953.5289,16.6861,-294.34
1512,139.35,-254.18,1953.4602,16.7191,-287.15
1511,139.57,-271.19,1953.3915,16.7521,-277.3
1510,139.81,-272.8,1953.3228,16.7851,-263
1509,140.08,-266.34,1953.254,16.8181,-251.5
1508,140.26,-272.49,1953.1853,16.851,-243.1
1507,140.57,-272.22,1953.1166,16.884,-236.92
1506,140.81,-276.04,1953.0469,16.9175,-236.61
1505,141.05,-277.46,1952.9762,16.9505,-242.41
1504,141.23,-276.37,1952.9012,16.9835,-251.39
1503,141.48,-264.11,1952.8263,17.0165,-266.49
1502,141.82,-260.03,1952.7513,17.0494,-274.9
1501,142.06,-268.09,1952.6763,17.0824,-280.22
1500,142.39,-261.1,1952.6014,17.1154,-283.28
1499,142.58,-276.14,1952.5264,17.1484,-281.9
1498,142.73,-260.55,1952.4515,17.1814,-279.21
1497,142.97,-257.97,1952.3765,17.2143,-274.25
1496,143.24,-261.51,1952.3015,17.2473,-265.51
1495,143.46,-272.24,1952.2266,17.2803,-257.52
1494,143.67,-270.42,1952.1516,17.3133,-249.91
1493,143.91,-281.43,1952.0767,17.3463,-243.08
1492,144.24,-271.83,1952.0017,17.3793,-243.12
1491,144.58,-245.21,1951.9267,17.4122,-246.19
1490,144.79,-268.06,1951.8518,17.4452,-254.97
1489,145,-272.33,1951.7768,17.4782,-262.51
1488,145.3,-268.55,1951.7019,17.5112,-270.48
1487,145.52,-274.82,1951.6269,17.5442,-275.95
1486,145.7,-277.74,1951.552,17.5771,-278.32
1485,145.91,-268.88,1951.477,17.6101,-278.58
1484,146.07,-277.4,1951.402,17.6431,-274.81
