year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1]
1940,-3.957,1922.09,-4.04
1940.09,-3.94,1922.17,-3.85
1940.17,-3.803,1922.25,-3.9
1940.35,-3.794,1922.42,-3.93
1940.44,-4.054,1922.58,-3.83
1940.53,-3.979,1922.67,-4.08
1940.63,-4.055,1922.75,-4.06
1940.72,-4.003,1922.84,-4.11
1940.81,-3.946,1922.92,-4.03
1940.9,-4.116,1923,-4.09
1940.99,-3.895,1923.17,-3.79
1941.17,-3.68,1923.33,-3.8
1941.27,-3.852,1923.42,-3.78
1941.47,-4.005,1923.5,-3.97
1941.57,-3.916,1923.58,-4.06
1941.67,-3.986,1923.67,-4.06
1941.77,-4.03,1923.75,-3.92
1941.88,-4.261,1923.84,-4.06
1941.97,-4.201,1923.92,-4.03
1942.08,-4.055,1924,-4.09
1942.17,-3.966,1924.09,-3.93
1942.25,-3.924,1924.17,-3.78
1942.33,-3.907,1924.28,-3.88
1942.42,-4.16,1924.39,-3.84
1942.5,-4.088,1924.5,-4.03
1942.59,-3.905,1924.61,-4.07
1944.75,-4.013,1924.72,-4.2
1944.84,-4.029,1924.84,-4.19
1945.01,-4.004,1924.95,-4.01
1945.09,-4.007,1925.06,-4.04
1945.17,-3.885,1925.17,-3.91
1945.35,-3.647,1925.29,-3.95
1945.44,-3.686,1925.42,-3.88
1945.53,-3.461,1925.54,-4.63
1945.62,-3.54,1925.67,-3.7
1945.72,-4.047,1927.67,-3.55
1945.81,-3.785,1927.79,-3.68
1945.9,-4.009,1927.92,-3.84
1945.99,-3.973,1928.04,-3.83
1946.08,-4.121,1928.17,-3.74
1946.17,-3.791,1928.42,-3.8
1946.26,-3.735,1928.54,-3.82
1946.35,-3.771,1928.79,-3.85
1946.44,-3.761,1929.04,-3.92
1946.53,-3.833,1929.17,-3.87
1946.62,-3.614,1929.33,-3.74
1946.72,-3.85,1929.5,-3.7
1946.81,-3.734,1930.3,-4.15
1946.9,-3.971,1930.33,-3.85
1946.99,-3.959,1930.44,-3.8
1947.17,-3.681,1930.59,-3.71
1947.24,-3.908,1930.73,-3.94
1947.31,-3.842,1930.88,-4.11
1947.38,-3.801,1931.02,-4.11
1947.52,-3.638,1931.17,-3.96
1947.6,-3.737,1931.5,-3.76
1947.67,-4.039,1931.67,-3.56
1947.74,-3.866,1931.84,-4.02
1947.81,-3.895,1932.17,-3.98
1947.88,-3.926,1932.29,-3.86
1947.92,-4.015,1932.42,-3.99
1948.26,-3.843,1932.54,-4.11
1948.44,-3.798,1932.67,-3.98
1948.53,-3.951,1932.79,-4.13
1948.72,-4.137,1932.92,-4.25
1948.81,-3.815,1933.04,-4.2
1948.9,-3.901,1933.17,-4.05
1949.08,-4.008,1933.29,-3.99
1949.17,-4.023,1933.42,-4.2
1949.27,-4.023,1933.54,-4.13
1949.37,-4.15,1933.67,-3.72
1949.47,-4.384,1933.79,-3.72
1949.57,-4.039,1933.92,-3.83
1949.67,-3.677,1934.04,-3.82
1949.77,-3.568,1934.17,-3.83
1949.88,-3.679,1934.33,-3.86
1949.98,-3.909,1934.5,-3.89
1950.08,-3.719,1934.67,-3.8
1950.17,-3.66,1935.17,-4
1950.25,-4.031,1935.25,-4.08
1950.33,-3.773,1935.33,-4.09
1950.42,-3.564,1935.42,-3.82
1950.5,-3.627,1935.5,-4.18
1950.59,-3.727,1935.67,-4.24
1950.67,-3.622,1936,-4.26
1950.75,-3.966,1936.33,-3.8
1950.84,-3.765,1936.67,-3.92
1950.92,-3.949,1937.01,-4
1951,-4.064,1937.17,-3.86
1951.09,-3.918,1937.29,-4.26
1951.17,-3.789,1937.42,-4.26
1951.35,-3.744,1937.54,-3.8
1951.44,-3.835,1937.67,-3.99
1951.53,-3.602,1937.92,-4.07
1951.72,-3.446,1938.04,-3.98
1951.81,-4.24,1938.17,-3.97
1951.9,-4.239,1938.25,-4.2
1951.99,-4.382,1938.33,-4.17
1952.08,-4.151,1938.42,-3.97
1952.17,-3.978,1938.5,-3.79
1952.27,-4.182,1938.59,-4.16
1952.37,-4.07,1938.67,-3.94
1952.47,-4.431,1938.75,-4.1
1952.67,-4.667,1938.84,-4.12
1952.77,-4.676,1938.92,-4.09
1952.88,-4.063,1939,-4.24
1952.98,-4.299,1939.09,-4.11
1953.08,-4.222,1939.17,-3.91
1953.17,-4.14,1939.44,-4.1
1953.27,-4.123,1939.59,-3.75
1953.37,-3.831,1939.73,-3.99
1953.47,-3.989,1939.88,-4.1
1953.57,-4.355,1940.02,-3.82
1953.57,-4.325,1940.17,-3.8
1953.67,-4.215,1940.28,-3.89
1953.77,-3.803,1940.5,-4.03
1953.88,-4.35,1940.72,-4.03
1953.98,-4.14,1940.84,-3.92
1954.08,-4.137,1940.95,-3.96
1954.17,-3.586,1941.06,-4.02
1954.25,-3.906,1941.17,-3.94
1954.33,-4.092,1941.3,-3.96
1954.42,-3.923,1941.59,-3.8
1954.5,-4.041,1941.73,-3.79
1954.59,-3.829,1941.88,-4.02
1954.75,-3.766,1942.02,-3.76
1954.84,-3.981,1942.17,-3.76
1954.92,-4.05,1942.25,-3.82
1955,-4.304,1942.33,-3.97
1955.09,-4.028,1942.42,-3.99
1955.17,-4.031,1942.5,-4.16
1955.37,-3.91,1942.59,-4.24
1955.47,-4.088,1942.75,-4.11
1955.57,-3.734,1942.84,-3.98
1955.67,-4.227,1942.92,-4.15
1955.77,-4.128,1943,-4.05
1955.88,-4.023,1943.09,-3.64
1955.97,-4.413,1943.17,-3.64
1956.08,-4.092,1943.25,-3.85
1956.17,-3.923,1943.37,-3.9
1956.34,-4.409,1943.5,-3.77
1956.42,-4.379,1943.58,-4.02
1956.5,-4.215,1943.67,-3.73
1956.59,-4.212,1943.75,-3.88
1956.67,-3.963,1943.84,-3.86
1956.75,-4.035,1943.92,-4.27
1956.84,-4.162,1944,-4.23
1956.92,-4.443,1944.09,-4.09
1957.01,-4.295,1944.17,-4.12
1957.09,-4.406,1944.25,-4.26
1957.17,-4.16,1944.33,-4.24
1957.45,-4.188,1944.42,-4.2
1957.85,-4.245,1944.5,-3.79
1958.05,-4.132,1944.59,-3.67
1958.17,-4.16,1944.67,-3.63
1958.3,-3.802,1944.75,-3.68
1958.44,-3.511,1944.84,-3.66
1958.73,-3.374,1944.92,-3.57
1958.88,-3.371,1945.01,-3.58
1959.02,-3.613,1945.09,-3.66
1959.17,-3.611,1945.17,-3.59
1959.3,-3.79,1945.28,-3.83
1959.44,-3.881,1945.39,-3.83
1959.59,-3.952,1945.5,-4.11
1959.73,-4.231,1945.61,-4.03
1959.88,-4.252,1945.72,-3.89
1960.02,-4.007,1945.84,-3.76
1960.17,-4.096,1945.94,-3.66
1960.28,-4.119,1946.06,-3.67
1960.39,-3.971,1946.17,-3.65
1960.61,-4.469,1946.33,-3.92
1960.72,-4.517,1946.5,-4.2
1960.95,-4.389,1946.67,-4.56
1961.17,-4.362,1947,-3.96
1961.3,-4.348,1947.17,-3.91
1961.44,-4.039,1947.29,-3.96
1961.59,-4.351,1947.37,-4.06
1961.73,-4.137,1947.49,-4.17
1961.88,-4.32,1948.17,-3.91
1962.02,-4.281,1948.34,-4.15
1962.17,-3.992,1948.5,-4.27
1962.33,-4.041,1948.67,-4.07
