year (AD),Depth (cm),d18O (per mil)
2014.9,0,-12.54
1977.8,1,-12.01
1940.6,2,-11.33
1903.4,3,-11.86
1866.3,4,-12.61
1791.9,6,-12.36
1717.6,8,-11.77
1643.3,10,-13.12
1568.9,12,-11.71
1494.6,14,-12.6
1453.8,16,-11.9
1439.8,20,-11.83
1429.5,23,-11.36
1419.3,26,-12.66
1402.3,31,-11.32
1395.2,33,-11.46
1384.8,36,-12.38
1374.5,39,-12.39
1367.6,41,-11.25
1360.7,43,-11.48
1357.3,44,-10.76
1350.5,46,-11.19
1340.2,49,-11.93
1333.3,51,-11.81
1326.7,53,-11.48
1316.3,56,-11.81
1309.4,58,-11.51
1305.9,59,-11.34
1299.1,61,-11.43
1292.2,63,-11.4
1288.7,64,-11.51
1281.8,66,-11.51
1274.9,68,-11.09
1271.4,69,-11.53
1264.6,71,-11.62
1257.7,73,-10.91
1254.4,74,-12.18
1247.5,76,-11.7
1237.5,79,-11.12
1230.8,81,-12.61
1224.2,83,-11.02
1220.9,84,-11.96
1214.3,86,-11.38
1204.2,89,-11.17
1197.9,91,-12.63
1190.9,93,-11.83
1187.4,94,-12.09
1180.4,96,-12.64
1173.5,98,-12.18
1170.2,99,-11.32
1163.2,101,-11.5
1156.2,103,-11.77
1152.9,104,-12.06
1145.9,106,-12.88
1138.9,108,-11.15
1135.5,109,-11.15
1128.4,111,-11.88
1121.4,113,-11.77
1118,114,-10.67
1111,116,-13.58
1104.2,118,-11.37
1100.9,119,-10.7
1094.2,121,-11.51
1087.3,123,-11.53
1083.9,124,-12.05
1077.1,126,-12.81
1070.3,128,-11.05
1067,129,-10.14
1059.9,131,-10.62
1053.2,133,-11.41
1049.8,134,-11.87
1046.4,135,-12.38
1042.5,136,-11.03
1035.6,138,-11.1
1035.6,138,-10.55
1024.9,141,-12.09
1018.1,143,-11.06
1014.6,144,-13.23
1007.8,146,-13.06
1001,148,-10.54
997.5,149,-10.89
986.5,151,-12.83
971.6,153,-11.38
964,154,-11.79
948.6,156,-10.62
926,159,-11.34
918.4,160,-11.04
910.6,161,-11.93
895.8,163,-10.55
888,164,-13.54
872.4,166,-13.71
864.5,167,-10.37
848.5,169,-11.25
840.4,170,-10.71
832.4,171,-11.63
816.7,173,-12.19
808.5,174,-10.74
792.6,176,-11.35
776.7,178,-11.36
768.6,179,-11.37
760.8,180,-11.5
753.5,181,-11.75
746.4,182,-10.5
739.1,183,-10.38
702.3,188,-11.25
680,191,-11.81
665.2,193,-11.07
658,194,-11.78
627.5,198,-11.61
619.8,199,-9.62
604.5,201,-12.45
589,203,-10.76
581.3,204,-12.63
565.5,206,-11.42
550.1,208,-11.67
526.7,211,-11.94
511.5,213,-10.7
503.5,214,-11.35
487.8,216,-10.74
464.4,219,-10.66
448.8,221,-11.69
433.1,223,-11.63
425.4,224,-11.27
408.4,226,-10.76
380.8,229,-10.98
371.8,230,-10.83
362.5,231,-11.06
353.4,232,-10.27
326.6,235,-11.19
299.3,238,-12.02
281.2,240,-11.38
262.7,242,-10.83
234.6,245,-11.43
206.9,248,-9.81
188.4,250,-11.37
169.8,252,-11.17
142.4,255,-11.48
133,256,-12.05
114.1,258,-11.69
95,260,-11.59
66.7,263,-12.63
47.3,265,-12.34
1.5,270,-11.89
-18.3,272,-10.75
-47.7,275,-11.24
-76.8,278,-10.17
-96.3,280,-10.59
-115.4,282,-10.73
-144.6,285,-11.95
-154,286,-11.51
-173.8,288,-12.12
-193.6,290,-11.2
-203.8,291,-11.14
-222.7,293,-11.64
-242.5,295,-12.05
-252.7,296,-11.83
-271.8,298,-10.93
-310.4,302,-10.77
-329,304,-10.96
-338.4,305,-11.59
-347.8,306,-10.36
-366.5,308,-11.73
-375.8,309,-10.31
-413.2,313,-13.88
-432.1,315,-11.83
-441.9,316,-10.68
-460.2,318,-10.12
-488.7,321,-11.36
-507.8,323,-10.97
-535.7,326,-10.74
-563.6,329,-10.62
-582.1,331,-11.35
-600.4,333,-10.98
-618.6,335,-11.93
-628,336,-11.3
-664.6,340,-10.56
-673.8,341,-11.18
-683.1,342,-11.41
-701.3,344,-14.14
-756.5,350,-12.32
-765.7,351,-11.17
-829.7,358,-10.41
-839.3,359,-11.27
-858.2,361,-10.68
-925.2,368,-12.16
-935,369,-9.96
-953.8,371,-11.39
-983.8,374,-14.05
-993.4,375,-13.12
-1002.8,376,-11.79
-1021.6,378,-10.35
-1031.5,379,-11.91
-1041.5,380,-10.25
-1050.5,381,-10.71
-1079.9,384,-11.21
-1098.8,386,-11.35
-1108.4,387,-9.79
-1128.2,389,-10.14
-1137.9,390,-10.58
-1155.9,392,-9.9
-1165,393,-11.18
-1183.2,395,-10.01
-1192.4,396,-15.03
-1201.9,397,-11.52
-1220.1,399,-9.66
-1229.5,400,-9.94
-1248.5,402,-12.81
-1257,403,-13.04
-1275.2,405,-11.63
-1284.5,406,-9.53
-1294,407,-11.08
-1303.5,408,-12.26
-1322.7,410,-10.92
-1332,411,-10.89
-1341.1,412,-11.98
-1350.6,413,-11.14
-1378.2,416,-9.85
-1387.8,417,-11.79
-1397.8,418,-12.08
-1416.3,420,-9.37
-1425.9,421,-10.57
-1435.4,422,-11.64
-1444.8,423,-10.55
-1464,425,-9.68
-1473.2,426,-9.63
-1502.5,429,-10.52
-1521.3,431,-12.2
-1531.2,432,-11.48
-1540.6,433,-11.17
-1559.8,435,-10.5
-1569.6,436,-9.53
-1579,437,-9.41
-1588.2,438,-10.47
-1662.9,446,-10.09
-1691,449,-11.7
-1750.7,455,-13.13
-1822.7,462,-10.03
-1832.6,463,-13.05
-1853.4,465,-11.33
-1951.1,469,-11.1
-1975.3,470,-10.91
-2000,471,-11.04
-2097.3,475,-11.93
-2146.3,477,-10.23
-2194.9,479,-10.04
-2242.8,481,-10.81
-2290.4,483,-9.7
-2313.8,484,-12.43
-2362.1,486,-11.86
-2385.5,487,-11.75
-2408.9,488,-10.95
-2432,489,-10.09
-2599.4,496,-12.57
-2649.2,498,-9.53
-2674,499,-11.95
-2748.3,502,-12.24
-2773.1,503,-11.66
-2822.8,505,-10.68
-2897.4,508,-11.47
-2921.7,509,-10.13
-2970.8,511,-13.09
-2995.6,512,-11.81
-3020.5,513,-10.57
-3069.4,515,-10.56
-3094.9,516,-10.99
-3120.4,517,-11.06
-3145.9,518,-10.72
-3170.7,519,-9.73
-3222.3,521,-10.92
-3247.6,522,-10.86
-3273.3,523,-11.32
-3298.5,524,-10.54
-3323.7,525,-11.44
-3345.9,526,-10.66
-3368.8,527,-10.39
-3391.6,528,-11.11
-3414.7,529,-9.96
-3437.5,530,-10.81
-3460.6,531,-10.29
-3483.4,532,-11.73
-3506.2,533,-10.64
-3529.2,534,-10.95
-3552.1,535,-10.82
-3575.3,536,-11.04
-3598.2,537,-10.63
-3621.2,538,-10.89
-3644.5,539,-10.55
-3667.2,540,-11.46
-3690.6,541,-11.53
-3714,542,-11.2
-3737.3,543,-12.04
-3760.7,544,-11.54
-3784.1,545,-11.26
-3807.3,546,-11.21
-3830.5,547,-12.24
-3877.2,549,-10.85
-3924,551,-11.01
-3947.6,552,-11.53
-3971.7,553,-11.04
-3995.6,554,-11.21
-4019.5,555,-10.01
-4035,556,-11.18
-4050.5,557,-11.26
-4066.2,558,-10.6
-4081.8,559,-10.98
-4097.2,560,-9.59
-4112.8,561,-11.19
-4128.3,562,-10.44
-4143.7,563,-11.22
-4159.1,564,-11.13
-4174.5,565,-10.07
-4189.5,566,-11.54
-4204.5,567,-10.95
-4219.7,568,-11.83
-4234.9,569,-10.99
-4250,570,-10.71
-4264.6,571,-10.85
-4279.4,572,-11.58
-4293.9,573,-11.2
-4308.7,574,-10.91
-4323.8,575,-9.92
-4338.7,576,-11.32
-4353.6,577,-10.79
-4368.7,578,-11.38
-4383.5,579,-10.75
-4398.5,580,-9.98
-4413.7,581,-11.32
-4443.6,583,-11.19
-4458.8,584,-11.03
-4489,586,-10.95
-4504.6,587,-10.31
-4520.3,588,-10.36
-4535.9,589,-10.4
-4551.6,590,-10.89
-4567.1,591,-10.81
-4582.9,592,-10.13
-4598.8,593,-10.92
-4614.4,594,-11.57
-4629.9,595,-10.41
-4645.4,596,-11
-4661.1,597,-10.83
-4676.9,598,-11.53
-4692.4,599,-11.59
-4708.1,600,-10.59
-4723.4,601,-10.78
-4738.2,602,-10.32
-4753.5,603,-10.66
-4768.4,604,-11.02
-4783.9,605,-10.34
-4799.1,606,-11.31
-4814.3,607,-11.75
-4829.6,608,-10.8
-4845,609,-10.15
-4860.7,610,-11.9
-4876.2,611,-11.08
-4891.5,612,-10.41
-4907,613,-10.93
-4937.8,615,-10.9
-4951.2,616,-10.08
-4964.9,617,-10.4
-4978.8,618,-10.52
-4992.4,619,-10.82
-5006.3,620,-10.37
-5020.1,621,-11.33
-5034.2,622,-10.8
-5047.9,623,-11.05
-5074.7,625,-10.91
-5088.3,626,-10.85
-5101.7,627,-10.22
-5115.1,628,-10.55
-5128.6,629,-10.36
-5141.8,630,-10.78
-5154.4,631,-10.66
-5167.1,632,-10.66
-5179.4,633,-10.82
-5191.9,634,-10.99
-5204.7,635,-10.54
-5217.1,636,-10.25
-5229.4,637,-11.03
-5241.7,638,-10.01
-5254.2,639,-10.01
-5266.4,640,-11.35
-5278.6,641,-10.29
-5290.5,642,-10.44
-5302.6,643,-11.36
-5314.6,644,-10.96
-5326.5,645,-10.18
-5338.7,646,-11.07
-5363.4,648,-9.78
-5375.1,649,-10.54
-5387.2,650,-9.9
-5399,651,-10.43
-5410.7,652,-10.22
-5423,653,-10.34
-5434.7,654,-10.86
-5446.8,655,-10.69
-5458.9,656,-10.6
-5471.1,657,-12.05
-5482.4,658,-11.3
-5494.5,659,-10.7
-5506.9,660,-10.71
-5519.4,661,-10.78
-5531.6,662,-11.48
-5543.8,663,-10.92
-5556.1,664,-10.65
-5568.3,665,-10.68
-5580.6,666,-10.02
-5593.1,667,-11.67
-5605.4,668,-11.2
-5617.4,669,-10.17
-5629.9,670,-10.68
-5641.9,671,-11.12
-5654.2,672,-10.72
-5666.8,673,-10.47
-5679.4,674,-11.25
-5691.5,675,-10.79
-5703.8,676,-10.13
-5715.6,677,-11.85
-5728.3,678,-11.18
-5741,679,-10.65
-5753.2,680,-11.5
-5778.9,682,-10.65
-5803.9,684,-10.61
-5816.4,685,-10.61
-5879.6,690,-10.08
-5922.1,691,-10.37
-5964.5,692,-10.65
-6007.1,693,-11.81
-6049.4,694,-11.2
-6092,695,-11.01
-6177.2,697,-11.71
-6219.4,698,-11.12
-6262.3,699,-11.16
-6305,700,-11.9
-6347.4,701,-11.56
-6389.2,702,-11.74
-6431.6,703,-11.2
-6474.4,704,-10.6
-6515.5,705,-10.92
-6630.1,707,-11.19
-6746.4,709,-11.94
-6804.5,710,-11.24
-6862.6,711,-11.62
-6921.1,712,-11.2
-6978.8,713,-12.43
-7094.5,715,-10.68
-7210.5,717,-11.25
-7268.3,718,-10.99
-7326.6,719,-11.87
-7384.3,720,-11.03
-7440.4,721,-13.18
-7497,722,-11.91
