year (AD),depth (cm),year (AD),depth (cm),d18O (permil),d18O (permil)
1989.3,1.3,2002,1,-6.06,-6.26
1901.9,7.75,1995.7,2,-6.35,-6.51
1847.3,18.25,1988.9,3,-6.25,-6.59
1806.6,28.75,1981,4,-6.17,-5.93
1768.2,38.9,1970.8,5,-6.08,-6.35
1731,48.67,1960.4,6,-6.02,-6.14
1692.9,58.45,1949.9,7,-6.04,-6.1
1647.1,68.23,1939.4,8,-6.24,-6.3
1583.8,78.01,1928.7,9,-6.61,-6.33
1510.2,87.79,1918.1,10,-6.39,-6.23
1414.5,97.57,1907.4,11,-6.23,-6.24
1326,107.35,1897.4,12,-5.98,-6.33
1239.8,117.13,1887.6,13,-6.06,-6.39
1152.9,126.91,1878,14,-5.98,-6.12
1060.1,136.69,1868.5,15,-5.82,-6.15
961.2,146.47,1859.3,16,-6.04,-6.14
883.1,156.25,1850.2,17,-6.14,-6.07
810.2,166.03,1841.3,18,-6.04,-6.44
739,175.81,1832.3,19,-6.11,-6.61
667.1,185.59,1823.4,20,-6.08,-6.17
592.8,195.37,1814.4,21,-6.1,-6.31
513.8,205.15,1805.3,22,-5.96,-6.03
423.4,214.985,1796.6,23,-6.1,-6.17
343,224.875,1787.9,24,-6.29,-6.29
267.3,234.77,1779.1,25,-6.4,-6.19
193.7,244.66,1770.3,26,-6.37,-6.29
120.3,254.55,1761.2,27,-6.27,-6.01
43.5,264.4,1752.1,28,-6.32,-5.9
-41.5,274.34,1742.9,29,-6.23,-5.9
-117.4,284.26,1733.7,30,-6.31,-6.1
-171.1,294.18,1724.5,31,-6.37,-5.95
-224.1,304.1,1715.2,32,-6.23,-6.13
-286.5,314,1705.6,33,-5.97,-5.99
-380.4,323.94,1695.8,34,-6.32,-5.86
-463.1,333.9,1685.8,35,-6.35,-6.08
-541.3,343.8,1675.7,36,-6.04,-6.22
-619.1,353.7,1665.7,37,-6.16,-6.3
-698.1,363.6,1655.1,38,-6.14,-6.02
-717.6,366.1,1644.7,39,-5.99,-5.99
-770,372.7,1634.2,40,-6.13,-6
-857.3,382.9,1623.5,41,-6.05,-6.08
-979.8,393.1,1612.2,42,-6.04,-6.26
-1107.9,403.3,1600.6,43,-6.11,-6.8
-1219.8,413.5,1588.9,44,-6.23,-6.68
-1330.1,423.7,1577,45,-6.02,-6.6
-1449.6,433.9,1565,46,-6.03,-6.47
-1589.9,444.1,1552.8,47,-6.02,-6.43
-1688,454.3,1540.6,48,-6.07,-6.66
-1776.7,464.5,1528.8,49,-6.23,-6.44
-1865.5,474.7,1517.1,50,-6.25,-6.42
-1968.3,484.9,1506,51,-6.32,-6.47
-2007.7,490.5,1495.1,52,NA,-6.19
