year (AD),depth (cm),d18O (permil)
2004,0,-4.65
2001.67,0.06,-5.31
2000.5,0.09,-6.11
2000.11,0.1,-6.17
1999.33,0.12,-6.19
1998.16,0.15,-5.69
1996.22,0.2,-4.91
1995.83,0.21,-5.25
1994.27,0.25,-5.13
1993.49,0.27,-5.16
1992.33,0.3,-4.86
1991.16,0.33,-5.08
1990.38,0.35,-4.84
1989.99,0.36,-5.04
1988.82,0.39,-4.92
1988.43,0.4,-4.82
1987.65,0.42,-4.97
1986.49,0.45,-5.12
1985.32,0.48,-4.95
1984.54,0.5,-5.24
1984.15,0.51,-5.33
1982.99,0.54,-5.39
1982.6,0.55,-5.42
1981.82,0.57,-5.39
1980.65,0.6,-5.24
1979.49,0.63,-5.27
1978.71,0.65,-5.51
1978.32,0.66,-5.29
1977.15,0.69,-5.4
1976.76,0.7,-5.36
1975.98,0.72,-5.42
1974.81,0.75,-5.91
1973.65,0.78,-5.59
1972.87,0.8,-5.74
1972.48,0.81,-5.83
1971.31,0.84,-6.02
1970.92,0.85,-5.81
1970.14,0.87,-6.02
1968.98,0.9,-5.98
1967.81,0.93,-5.94
1967.03,0.95,-5.92
1966.64,0.96,-5.96
1965.48,0.99,-5.83
1965.09,1,-5.2
1964.31,1.02,-6.03
1963.14,1.05,-5.33
1961.97,1.08,-5.59
1961.19,1.1,-4.78
1960.8,1.11,-4.81
1959.64,1.14,-5.11
1959.25,1.15,-4.52
1958.47,1.17,-4.79
1957.3,1.2,-4.93
1956.14,1.23,-4.65
1955.36,1.25,-5.46
1954.97,1.26,-4.79
1953.8,1.29,-4.89
1953.41,1.3,-5.36
1952.63,1.32,-4.9
1951.47,1.35,-5.55
1950.3,1.38,-5.38
1949.52,1.4,-4.9
1947.57,1.45,-4.68
1946.79,1.47,-4.97
1945.63,1.5,-4.88
1944.46,1.53,-4.7
1943.68,1.55,-4.97
1943.29,1.56,-5.02
1942.13,1.59,-4.83
1941.74,1.6,-4.61
1940.96,1.62,-4.84
1939.79,1.65,-4.76
1938.63,1.68,-4.97
1937.85,1.7,-5.12
1937.46,1.71,-5.03
1936.29,1.74,-5.06
1935.9,1.75,-4.88
1935.12,1.77,-5.12
1933.95,1.8,-5.62
1932.79,1.83,-5.68
1932.01,1.85,-5.31
1931.62,1.86,-5.55
1930.45,1.89,-5.74
1930.06,1.9,-4.76
1929.28,1.92,-5.3
1928.12,1.95,-5.02
1926.95,1.98,-4.99
1926.17,2,-4.76
1925.78,2.01,-4.96
1924.62,2.04,-4.97
1924.23,2.05,-4.83
1922.28,2.1,-4.89
1921.11,2.13,-4.96
1920.33,2.15,-5.01
1919.94,2.16,-4.95
1918.78,2.19,-5.16
1918.39,2.2,-5.61
1917.61,2.22,-4.84
1916.44,2.25,-5.1
1915.28,2.28,-6
1914.5,2.3,-4.52
1914.11,2.31,-5.13
1912.94,2.34,-5.01
1912.55,2.35,-3.84
1911.77,2.37,-3.9
1910.61,2.4,-4.67
1909.44,2.43,-4.36
1908.66,2.45,-5.08
1908.27,2.46,-5.94
1907.11,2.49,-5.35
1906.72,2.5,-5.5
1905.94,2.52,-6.49
1904.77,2.55,-5.65
1903.6,2.58,-5.41
1902.82,2.6,-5.59
1902.43,2.61,-5.8
1901.27,2.64,-6.78
1900.88,2.65,-5.77
1900.1,2.67,-5.6
1898.93,2.7,-5.99
1897.77,2.73,-5.47
1896.99,2.75,-5.27
1896.6,2.76,-6.19
1895.43,2.79,-5.15
1895.04,2.8,-5.15
1894.26,2.82,-5.53
1893.1,2.85,-5.26
1891.93,2.88,-5.58
1891.15,2.9,-5.48
1890.76,2.91,-5.27
1889.59,2.94,-5.38
1889.2,2.95,-5.79
1888.42,2.97,-5.44
1887.26,3,-5.96
1886.09,3.03,-6.22
1885.31,3.05,-4.94
1884.92,3.06,-5.72
1883.76,3.09,-4.77
1883.37,3.1,-4.72
1882.59,3.12,-5.11
1881.42,3.15,-4.82
1880.26,3.18,-4.75
1879.48,3.2,-5.23
1877.53,3.25,-5.21
1875.58,3.3,-5.12
1873.64,3.35,-5.11
1871.69,3.4,-4.72
