year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1]
1940.37,-3.937,1929.92,-4.186
1940.5,-4.141,1930.04,-3.923
1940.63,-4.247,1930.17,-3.725
1940.75,-4.283,1930.25,-4.126
1940.88,-4.309,1930.33,-4.276
1941.01,-4.116,1930.42,-4.149
1941.13,-4.052,1930.5,-4.05
1941.5,-4.476,1930.59,-4.146
1941.62,-4.067,1930.67,-4.379
1941.88,-4.244,1931.09,-4.067
1942.13,-3.656,1931.13,-4.024
1942.25,-4.509,1931.17,-3.962
1942.37,-4.08,1931.28,-4.015
1942.62,-4.361,1931.38,-4.083
1943.09,-3.916,1931.5,-4.499
1943.25,-4.427,1931.61,-4.33
1943.58,-4.034,1931.72,-4.542
1943.75,-4.658,1932.17,-4.177
1943.87,-4.393,1932.33,-4.371
1944,-3.924,1932.5,-4.358
1944.13,-3.802,1932.67,-999
1944.25,-3.744,1932.84,-4.17
1944.37,-4.542,1933.01,-4.007
1944.5,-4.538,1933.17,-3.874
1944.63,-4.457,1933.42,-4.036
1944.75,-3.896,1933.54,-3.955
1944.92,-3.866,1933.67,-4.211
1945.25,-4.314,1933.92,-4.118
1945.42,-3.838,1934.17,-4.202
1945.59,-3.97,1934.39,-4.07
1946.04,-3.995,1934.72,-3.814
1946.23,-4.211,1934.94,-4.04
1946.43,-4.271,1935.06,-4.002
1946.63,-3.784,1935.17,-3.777
1946.75,-4.128,1935.37,-4.019
1946.88,-3.948,1935.47,-3.742
1947.13,-4.283,1935.57,-3.7
1947.25,-4.281,1935.67,-3.674
1947.5,-4.024,1935.77,-3.953
1947.62,-4.033,1935.87,-3.997
1947.75,-3.892,1935.97,-3.996
1947.86,-3.849,1936.07,-3.875
1947.97,-4.016,1936.17,-3.774
1948.19,-4.168,1936.3,-3.935
1948.42,-4.074,1936.44,-3.839
1948.53,-3.656,1936.59,-3.815
1948.64,-4.013,1936.73,-4.065
1948.86,-3.694,1936.88,-4.31
1948.97,-3.86,1937.02,-4.28
1949.09,-3.681,1937.17,-4.112
1949.19,-4.152,1937.5,-4.375
1949.3,-3.911,1937.67,-4.057
1949.42,-3.618,1937.84,-3.804
1949.53,-3.805,1938,-4.165
1949.75,-4.055,1938.17,-3.996
1949.88,-4.079,1938.3,-3.962
1950.01,-3.683,1938.43,-3.954
1950.13,-3.912,1938.5,-3.91
1950.25,-4.341,1938.56,-4.243
1950.37,-3.953,1938.63,-4.083
1950.5,-3.594,1938.7,-4.192
1950.62,-3.709,1938.77,-4.01
1950.75,-3.702,1938.9,-4.031
1950.92,-3.751,1938.96,-3.994
1951.09,-4.15,1939.03,-3.929
1951.25,-4.21,1939.1,-3.898
1951.42,-4.161,1939.17,-3.873
1951.58,-3.861,1939.33,-3.909
1951.75,-4.327,1939.5,-4.123
1951.88,-4.064,1939.67,-4.276
1952,-3.597,1939.84,-4.184
1952.13,-3.739,1940,-4.098
1952.25,-3.737,1940.17,-3.816
1952.37,-4.144,1940.33,-4.48
1952.5,-3.832,1940.5,-4.154
1952.63,-3.957,1940.67,-4.381
1952.75,-3.782,1940.84,-4.056
1952.86,-3.599,1941.17,-3.758
1952.95,-3.694,1941.3,-3.855
1953.06,-3.787,1941.44,-4.297
1953.26,-4.103,1941.59,-4.296
1953.35,-4.277,1941.73,-4.152
1953.46,-4.31,1941.88,-4.097
1953.56,-3.967,1942.02,-4.1
1953.66,-3.999,1942.17,-4.071
1953.75,-3.986,1942.3,-3.96
1953.89,-3.721,1942.44,-4.176
1954.03,-3.987,1942.59,-4.217
1954.31,-4.403,1942.88,-4.03
1954.46,-4.157,1943.02,-3.992
1954.6,-4.278,1943.17,-3.868
1954.75,-4.025,1943.29,-3.951
1954.92,-3.664,1943.35,-999
1955.09,-3.475,1943.44,-3.98
1955.25,-3.637,1943.53,-4.092
1955.42,-3.712,1943.72,-3.961
1955.58,-3.861,1943.81,-4.058
1955.75,-4.269,1943.9,-3.746
1956.03,-3.643,1944.08,-999
1956.23,-3.854,1944.17,-4.053
1956.43,-3.994,1944.29,-4.082
1956.63,-4.12,1944.42,-4.055
1956.75,-3.998,1944.54,-4.15
1956.86,-3.888,1944.67,-4.018
1956.97,-3.561,1944.79,-3.948
1957.09,-3.857,1944.92,-3.821
1957.19,-3.396,1945.04,-3.771
1957.3,-3.489,1945.17,-3.69
1957.42,-3.762,1945.33,-3.79
1957.53,-3.824,1945.5,-4.01
1957.64,-3.897,1945.67,-4.093
1957.75,-4.295,1945.84,-4.067
1957.88,-4.056,1946.01,-4.215
1958.01,-3.936,1946.17,-4.22
1958.25,-3.522,1946.28,-4.364
1958.37,-3.812,1946.39,-4.208
1958.5,-3.684,1946.5,-3.938
1958.62,-4.184,1946.61,-4.41
1958.75,-4.311,1946.72,-4.3
1958.92,-3.628,1946.84,-4.843
1959.09,-3.699,1946.94,-4.387
1959.25,-3.947,1947.06,-4.14
1959.42,-3.912,1947.17,-4.141
1959.59,-3.915,1947.3,-4.261
1959.75,-4.382,1947.44,-4.173
1959.85,-4.21,1947.59,-3.954
1959.94,-4.326,1947.73,-4.538
1960.03,-4.098,1947.88,-4.138
1960.12,-3.875,1948.02,-4.373
1960.21,-3.711,1948.17,-3.998
1960.3,-3.587,1948.3,-4.13
1960.39,-3.334,1948.44,-4.088
1960.48,-3.748,1948.59,-4.057
1960.57,-4.27,1948.73,-4.035
1960.66,-4.574,1948.88,-4.492
1960.75,-4.362,1949.02,-4.655
1960.86,-4.377,1949.17,-4.099
1960.95,-4.003,1949.3,-4.127
1961.06,-4.146,1949.44,-3.989
1961.16,-3.833,1949.59,-3.963
1961.26,-4.309,1949.73,-3.873
1961.35,-3.902,1949.88,-4.149
1961.46,-3.619,1950.09,-4.136
1961.56,-3.799,1950.5,-3.918
1961.66,-3.85,1950.67,-3.702
1961.75,-3.99,1950.84,-3.908
1961.85,-3.873,1951,-4.282
1961.95,-3.627,1951.17,-3.86
1962.05,-3.899,1951.5,-3.854
1962.16,-3.685,1951.67,-3.733
1962.25,-3.865,1951.84,-3.737
1962.35,-3.945,1952,-4.17
1962.46,-3.995,1952.17,-4.114
1962.56,-4.029,1952.29,-4.223
1962.66,-4.118,1952.42,-3.702
1962.75,-4.274,1952.54,-4.016
1962.88,-4.371,1952.67,-3.938
1963,-4.306,1952.79,-4.088
1963.13,-4.513,1952.92,-3.81
1963.5,-3.934,1953.04,-3.706
1963.62,-4.215,1953.17,-3.726
1963.75,-4.083,1953.28,-3.998
1963.88,-3.668,1953.39,-3.902
1964,-4.252,1953.5,-3.767
1964.13,-4.112,1953.61,-3.804
1964.37,-4.017,1953.72,-3.653
1964.5,-4.009,1953.84,-3.905
1964.63,-3.933,1953.94,-3.91
1964.75,-3.95,1954.06,-4.087
1964.86,-3.908,1954.17,-3.917
1964.95,-3.782,1954.33,-4.093
1965.06,-3.968,1954.5,-4.007
1965.16,-4.042,1954.67,-999
1965.26,-3.95,1954.84,-4.181
1965.35,-4.16,1955,-4.117
1965.46,-4.327,1955.17,-3.718
1965.56,-4.412,1955.33,-4.074
1965.66,-4.296,1955.5,-4.087
1965.75,-4.166,1955.67,-3.527
1965.89,-4.021,1955.84,-3.988
1966.03,-4.25,1956,-4.243
1966.17,-4.101,1956.17,-4.163
1966.31,-4.638,1956.37,-3.568
1966.46,-4.647,1956.43,-4.027
1966.61,-4.503,1956.56,-4.05
1966.75,-4.214,1956.64,-4.206
1966.88,-4.159,1956.7,-4.148
1967,-4.415,1956.77,-3.953
1967.13,-4.344,1956.83,-3.997
1967.25,-4.554,1956.9,-3.746
1967.37,-4.2,1956.96,-3.754
1967.62,-4.438,1957.03,-3.978
1967.75,-4.41,1957.17,-3.899
1967.88,-4.038,1957.5,-3.951
1968,-4.397,1957.67,-3.887
1968.13,-4.122,1957.84,-3.834
1968.25,-4.191,1958.01,-3.817
1968.37,-4.435,1958.17,-3.628
1969.04,-4.077,1958.27,-3.82
1969.23,-4.203,1958.37,-4.101
1969.63,-3.88,1958.5,-3.613
1969.75,-3.869,1958.6,-4.061
1969.89,-3.545,1958.7,-3.817
1970.17,-3.548,1958.8,-3.732
1970.31,-3.747,1959.03,-4.224
1970.46,-3.899,1959.17,-4.002
1970.75,-3.915,1959.33,-3.809
1970.95,-3.931,1959.5,-4.004
1971.16,-3.838,1959.67,-3.964
1971.35,-4.02,1959.84,-3.908
1971.46,-3.915,1960,-4.012
1971.56,-3.691,1960.17,-3.939
1971.66,-3.823,1960.42,-4.632
1971.75,-4.313,1960.54,-4.55
1971.86,-3.969,1960.67,-3.878
1971.97,-3.969,1960.79,-4.149
1972.09,-3.834,1960.92,-4.071
1972.19,-3.765,1961.04,-4.09
1972.31,-4.489,1961.17,-3.977
1972.42,-4.035,1961.3,-3.984
1972.53,-4.038,1961.44,-4.047
1972.64,-3.609,1961.59,-4.065
1972.75,-4.235,1961.73,-3.894
1972.92,-3.861,1961.88,-4.193
1973.09,-4.091,1962.02,-3.836
1973.25,-4.171,1962.17,-4.007
1973.42,-4.344,1962.27,-999
1973.75,-4.188,1962.37,-3.888
1973.86,-3.841,1962.47,-3.779
1973.97,-3.821,1962.57,-4.375
1974.09,-3.865,1962.67,-4.176
1974.19,-3.974,1962.88,-3.943
1974.3,-4.169,1962.97,-3.814
1974.42,-4.198,1963.08,-3.96
1974.53,-4.42,1963.17,-3.64
1974.75,-4.419,1963.33,-3.889
1974.86,-3.979,1963.5,-3.762
1974.97,-4.037,1963.67,-3.87
1975.09,-3.899,1964,-3.862
1975.19,-3.758,1964.17,-3.767
1975.42,-4.02,1964.31,-3.883
1975.53,-3.856,1964.44,-4.18
1975.64,-3.874,1964.59,-3.986
1975.75,-4.33,1964.74,-4.106
1975.86,-3.92,1964.88,-4.157
1975.97,-3.906,1965.03,-4.383
1976.19,-3.786,1965.17,-4.23
1976.31,-4.263,1965.3,-4.269
1976.53,-4.235,1965.44,-4.113
1976.64,-4.091,1965.59,-4.184
1976.75,-4.129,1965.73,-3.867
1976.89,-3.98,1965.88,-4.066
1977.03,-3.898,1966.02,-3.895
1977.17,-3.799,1966.17,-3.933
1977.32,-3.877,1966.26,-4.203
1977.75,-3.985,1966.35,-4.126
1977.92,-3.674,1966.44,-4.137
1978.09,-3.814,1966.53,-3.71
1978.42,-4.079,1966.62,-3.943
1978.75,-3.647,1966.72,-3.588
1978.92,-3.651,1966.81,-4.041
1979.09,-3.712,1966.9,-4.382
1979.25,-4.267,1966.99,-4.035
1979.42,-4.112,1967.08,-4.333
1979.75,-4.013,1967.17,-3.776
1980.09,-4.04,1967.27,-3.846
1980.42,-4.008,1967.37,-3.938
1980.59,-4.027,1967.47,-4.207
1980.75,-4.158,1967.57,-3.864
1980.86,-3.963,1967.67,-3.952
1980.97,-3.789,1967.77,-4.081
1981.09,-4.034,1967.88,-4.211
1981.19,-4.407,1967.97,-4.04
1981.64,-3.959,1968.08,-3.999
1981.75,-4.082,1968.17,-3.827
1982.09,-3.714,1968.29,-4.011
1982.42,-3.725,1968.42,-4.412
1982.75,-3.737,1968.54,-4.088
1982.88,-3.709,1968.79,-4.403
1983.01,-3.858,1968.92,-4.334
1983.13,-3.594,1969.04,-4.263
1983.25,-3.41,1969.17,-3.793
1983.37,-3.45,1969.28,-4.085
1983.5,-3.751,1969.39,-3.998
1983.62,-3.467,1969.5,-4.26
1983.75,-4.127,1969.61,-4.245
1983.88,-3.532,1969.72,-4.233
1984,-3.785,1969.84,-4.308
1984.13,-3.646,1969.95,-4.131
1984.25,-4.072,1970.06,-3.837
1984.37,-4.058,1970.17,-3.734
1984.5,-3.884,1970.33,-3.993
1984.63,-3.934,1970.5,-3.911
1984.75,-3.647,1970.67,-3.948
1984.88,-3.567,1970.84,-4.002
1985.01,-3.594,1971,-4.011
1985.13,-3.716,1971.17,-3.972
1985.25,-3.831,1971.3,-4.131
1985.37,-3.701,1971.37,-4.643
1985.5,-3.679,1971.47,-4.196
1985.63,-3.651,1971.57,-3.94
1985.75,-3.71,1971.67,-4.227
1986.04,-3.475,1971.77,-4.249
1986.23,-3.626,1971.88,-4.319
1986.43,-3.688,1971.97,-4.334
1986.63,-3.536,1972.08,-4.482
1986.67,-3.78,1972.17,-4.268
1987.04,-3.62,1972.29,-4.286
1987.23,-3.685,1972.42,-3.864
1987.43,-3.901,1972.54,-4.087
1987.63,-3.807,1972.67,-3.978
1987.75,-3.838,1972.79,-4.235
1987.89,-3.963,1973.04,-4.367
1988.03,-3.714,1973.17,-4.358
1988.32,-3.969,1973.65,-4.129
1988.46,-3.888,1973.85,-4.069
1988.75,-3.897,1974.05,-4.278
1989.09,-3.696,1974.17,-4.334
1989.25,-3.863,1975.17,-4.132
1989.42,-3.665,1976.17,-4.356
1989.59,-3.658,1976.39,-4.348
1989.75,-4.185,1976.5,-4.001
1989.88,-4.204,1976.61,-4.193
1990.01,-3.725,1976.67,-4.039
1990.13,-3.896,1976.72,-4.436
1990.25,-3.704,1976.84,-4.192
1990.37,-3.781,1977.01,-4.196
1990.5,-3.809,1977.17,-4.312
1990.62,-4.195,1977.33,-4.289
1990.75,-4.054,1977.5,-4.143
1990.92,-3.779,1977.67,-4.253
1991.09,-3.626,1977.84,-4.09
1991.59,-3.445,1978.01,-4.283
1991.75,-3.773,1978.17,-4.081
1991.89,-3.62,1978.3,-4.172
1992.03,-3.432,1978.37,-4.216
1992.17,-3.689,1978.47,-4.03
1992.46,-4.194,1978.57,-3.936
1992.75,-3.769,1978.67,-4.193
1993.01,-3.955,1978.88,-3.873
1993.13,-3.785,1979.08,-3.981
1993.25,-3.933,1979.17,-4.104
1993.37,-4.156,1979.27,-4.144
1993.5,-4.185,1979.5,-4.229
1993.63,-4.062,1979.7,-4.338
1993.75,-3.966,1979.91,-4.308
1993.92,-3.719,1980.03,-4.137
1994.09,-3.747,1980.17,-4.054
1994.25,-4.339,1980.28,-4.168
1994.42,-4.021,1980.5,-4.189
1994.59,-4.104,1980.72,-4.293
1994.75,-3.888,1980.95,-4.192
1994.92,-4.033,1981.17,-3.835
1995.09,-3.891,1981.42,-3.828
1995.25,-3.946,1981.67,-3.956
1995.42,-4.053,1981.92,-4.052
1995.59,-3.942,1982.17,-3.939
1995.75,-3.894,1982.33,-3.977
1995.92,-4.108,1982.5,-3.937
1996.09,-4.201,1982.67,-4.151
1996.25,-4.28,1982.84,-4.175
1996.59,-4.279,1983.01,-4.206
1996.75,-4.064,1983.17,-4.186
1996.88,-4.21,1983.33,-4.021
1997.01,-4.015,1983.67,-4.099
1997.25,-4.016,1983.84,-3.863
1997.37,-4,1984,-4.065
1997.5,-4.221,1984.17,-4.128
1997.63,-4.288,1984.31,-4.003
1997.75,-4.181,1984.45,-4.252
1997.92,-4.215,1984.59,-4.058
1998.09,-3.933,1984.88,-4.064
1998.25,-3.886,1985.17,-4.18
1998.59,-3.541,1985.45,-4.011
1998.75,-3.444,1985.65,-3.947
1999.01,-3.589,1985.85,-3.791
1999.25,-3.746,1986.05,-3.91
1999.5,-4.214,1986.17,-4.111
1999.75,-3.985,1986.3,-4.103
1999.92,-3.581,1986.44,-4.165
2000.09,-3.785,1986.59,-4.296
2000.25,-4.023,1986.73,-3.903
2000.42,-3.722,1986.88,-4.13
2000.59,-4.146,1987.17,-3.818
2000.75,-4.578,1987.45,-3.981
2000.82,-4.295,1987.65,-3.873
2000.89,-4.316,1987.85,-3.834
2000.95,-4.127,1988.05,-4.039
2001.02,-4.293,1988.17,-3.845
2001.09,-4.108,1988.31,-3.843
2001.15,-4.215,1988.45,-3.855
2001.22,-3.925,1988.59,-3.973
2001.28,-3.953,1988.74,-3.99
2001.35,-3.819,1988.88,-3.947
2001.41,-3.992,1989.03,-3.97
2001.48,-4.32,1989.17,-3.784
2001.61,-4.087,1989.28,-4.185
2001.68,-4.15,1989.39,-4.167
2001.75,-4.268,1989.5,-4.326
2001.88,-4.015,1989.61,-3.971
2001.94,-4.206,1989.72,-4.168
2002,-4.008,1989.95,-3.882
2002.06,-4.043,1990.17,-3.74
2002.12,-4.17,1990.5,-3.987
2002.18,-4.362,1990.7,-3.993
2002.24,-4.008,1990.8,-4.106
2002.3,-4.199,1991.04,-4.103
2002.36,-4.193,1991.17,-3.945
2002.42,-4.241,1991.65,-4.048
2002.48,-4.484,1991.85,-3.831
2002.54,-4.489,1992.05,-4.296
2002.6,-4.256,1992.17,-3.929
2002.66,-4.051,1992.29,-4.424
2002.75,-4.396,1992.42,-4.426
2002.82,-4.257,1992.54,-3.91
2002.89,-4.474,1992.67,-4.484
2002.95,-4.456,1992.79,-4.139
2003.02,-4.035,1992.92,-4.004
2003.08,-3.81,1993.05,-4.165
2003.15,-3.758,1993.17,-3.813
2003.22,-3.941,1993.34,-4.186
2003.28,-3.844,1993.5,-3.964
2003.35,-4.167,1993.67,-4.38
2003.41,-4.288,1993.84,-4.276
2003.48,-4.134,1994.01,-4.43
2003.54,-4.12,1994.17,-3.822
2003.61,-4.206,1994.33,-4.066
2003.68,-4.146,1994.5,-4.407
2003.75,-4.215,1994.67,-4.037
2003.88,-3.904,1994.84,-4.311
2004,-3.902,1995.01,-4.065
2004.06,-3.993,1995.17,-4.003
2004.12,-4.168,1995.42,-4.221
2004.24,-3.901,1995.67,-4.856
2004.3,-4.387,1995.92,-4.192
2004.36,-4.204,1996.17,-4.049
2004.42,-4.374,1996.31,-3.822
2004.48,-4.374,1996.45,-3.848
2004.6,-4.289,1996.59,-4.143
2004.66,-4.132,1996.74,-3.729
2004.76,-4.392,1996.88,-3.883
2004.86,-4.12,1997.03,-3.935
2004.97,-4.088,1997.17,-3.848
2005.09,-3.638,1997.34,-4.173
2005.19,-3.639,1997.5,-3.951
2005.31,-3.835,1997.67,-4.108
2005.42,-3.783,1997.84,-3.998
2005.53,-4.227,1998.01,-4.053
2005.64,-4.022,1998.17,-3.837
2005.75,-4.313,1998.23,-4.376
2005.84,-4.402,1998.3,-4.182
2005.88,-4.109,1998.37,-4.539
2005.92,-4.18,1998.43,-4.742
2006.01,-4.117,1998.5,-4.398
NA,NA,1998.72,-4.517
NA,NA,1998.95,-4.756
NA,NA,1999.17,-4.222
NA,NA,1999.59,-4.435
NA,NA,2000.17,-4.222
NA,NA,2000.34,-3.997
NA,NA,2000.5,-4.168
NA,NA,2000.67,-4.213
NA,NA,2000.84,-4.025
NA,NA,2001.01,-4.365
NA,NA,2001.17,-4.66
NA,NA,2001.26,-4.735
NA,NA,2001.35,-4.736
NA,NA,2001.44,-4.806
NA,NA,2001.53,-4.725
NA,NA,2001.63,-4.348
NA,NA,2001.72,-4.703
NA,NA,2001.81,-4.729
NA,NA,2001.9,-4.797
NA,NA,2001.99,-4.613
NA,NA,2002.08,-4.702
NA,NA,2002.17,-4.454
NA,NA,2002.26,-4.624
NA,NA,2002.35,-4.494
NA,NA,2002.44,-4.244
NA,NA,2002.53,-4.505
NA,NA,2002.62,-4.434
NA,NA,2002.72,-4.268
NA,NA,2002.81,-4.43
NA,NA,2002.9,-4.725
NA,NA,2002.99,-4.342
NA,NA,2003.08,-4.522
NA,NA,2003.17,-4.01
NA,NA,2003.26,-3.953
NA,NA,2003.35,-4.355
NA,NA,2003.44,-3.954
NA,NA,2003.53,-4.127
NA,NA,2003.62,-4.034
NA,NA,2003.72,-4.481
NA,NA,2003.81,-4.21
NA,NA,2003.9,-4.192
NA,NA,2003.99,-4.111
NA,NA,2004.08,-4.072
