year (AD),dD (permil)
1995,-309.5080565
1994,-303.9172008
1993,-302.4586966
1992,-294.844
1991,-265.526
1990,-301.262
1989,-275.12
1988,-280.249
1987,-285.474
1986,-285.738
1985,-271.042
1984,-263.499
1983,-277.158
1982,-298.116
1981,-288.047
1980,-290.025
1979,-291.552
1978,-301.62
1977,-285.397
1976,-294.468
1975,-301.022
1974,-322.219
1973,-286.54
1972,-268.81
1971,-295.168
1970,-291.199
1969,-311.147
1968,-284.006
1967,-281.633
1966,-299.281
1965,-304.242
1964,-290.474
1963,-304.006
1962,-309.525
1961,-299.887
1960,-292.965
1959,-273.682
1958,-281.592
1957,-275.252
1956,-275.029
1955,-290.121
1954,-304.938
1953,-287.813
1952,-283.686
1951,-281.015
1950,-267.1
1949,-298.358
1948,-308.197
1947,-311.975
1946,-293.205
1945,-267
1944,-259.657
1943,-292.959
1942,-286.461
1941,-268.076
1940,-239.575
1939,-263.085
1938,-274.267
1937,-281.46
1936,-281.409
1935,-280.974
1934,-272.793
1933,-277.576
1932,-295.344
1931,-279.496
1930,-275.89
1929,-282.432
1928,-290.716
1927,-293.451
1926,-294.264
1925,-273.411
1924,-256.098
1923,-260.278
1922,-267.578
1921,-243.427
1920,-267.001
1919,-264.024
1918,-265.291
1917,-297.432
1916,-289.141
1915,-265.467
1914,-254.183
1913,-279.734
1912,-268.094
1911,-280.321
1910,-298.289
1909,-314.034
1908,-300.102
1907,-305.577
1906,-301.569
1905,-297.934
1904,-304.578
1903,-312.937
1902,-281.655
1901,-256.508
1900,-252.238
1899,-256.807
1898,-260.278
1897,-264.563
1896,-294.936
1895,-281.314
1894,-287.006
1893,-302.619
1892,-298.173
1891,-286.267
1890,-264.827
1889,-276.798
1888,-303.004
1887,-297.878
1886,-294.136
1885,-289.372
1884,-286.457
1883,-285.249
1882,-275.395
1881,-258.826
1880,-266.843
1879,-270.92
1878,-282.304
1877,-295.058
1876,-307.252
1875,-294.117
1874,-256.46
1873,-268.106
1872,-270.269
1871,-287.028
1870,-303.443
1869,-295.518
1868,-284.681
1867,-296.107
1866,-300.04
1865,-276.026
1864,-279.156
1863,-290.765
1862,-297.839
1861,-298.222
1860,-290.715
1859,-281.647
1858,-294.96
1857,-293.628
1856,-287.015
1855,-284.57
1854,-268.992
1853,-289.704
1852,-282.328
1851,-274.637
1850,-295.893
1849,-303.056
1848,-290.994
1847,-277.987
1846,-259.707
1845,-256.519
1844,-260.49
1843,-271.793
1842,-285.054
1841,-277.11
1840,-283.349
1839,-296.491
1838,-291.384
1837,-285.111
1836,-280.623
1835,-279.753
1834,-287.463
1833,-294.577
1832,-301.413
1831,-295.146
1830,-294.728
1829,-305.908
1828,-296.795
1827,-276.292
1826,-267.088
1825,-273.062
1824,-287.972
1823,-295.089
1822,-290.552
1821,-284.167
1820,-282.43
1819,-269.408
1818,-268.14
1817,-261.966
1816,-286.886
1815,-314.911
1814,-327.089
1813,-295.457
1812,-279.789
1811,-290.413
1810,-292.915
1809,-284.179
1808,-283.48
1807,-286.971
1806,-284.749
1805,-278.451
1804,-293.734
1803,-292.935
1802,-297.666
1801,-300.959
1800,-293.041
1799,-296.123
1798,-299.259
1797,-285.499
1796,-278.719
1795,-281.547
1794,-289.503
1793,-288.302
1792,-283.47
1791,-283.562
1790,-279.309
1789,-274.663
1788,-273.904
1787,-289.404
1786,-300.797
1785,-313.204
1784,-325.488
1783,-313.72
1782,-289.634
1781,-281.71
1780,-290.136
1779,-293.871
1778,-296.462
1777,-295.321
1776,-289
1775,-286.602
1774,-284.476
1773,-274.38
1772,-274.969
1771,-280.998
1770,-296.725
1769,-301.035
1768,-292.714
1767,-290.3
1766,-287.616
1765,-283.31
1764,-284.242
1763,-291.122
1762,-296.759
1761,-284.941
1760,-286.192
1759,-300.731
1758,-302.654
1757,-291.008
1756,-282.681
1755,-286.381
1754,-289.414
1753,-310.478
1752,-310.555
1751,-296.383
1750,-285.274
1749,-278.993
1748,-274.624
1747,-271.434
1746,-274.93
1745,-284.843
1744,-278.655
1743,-269.492
1742,-287.598
1741,-300.113
1740,-290.827
1739,-275.494
1738,-276.526
1737,-302.753
1736,-325.301
1735,-331.425
1734,-326.278
1733,-312.963
1732,-309.823
1731,-306.617
1730,-297.727
1729,-289.106
1728,-295.72
1727,-281.868
1726,-272.021
1725,-290.091
1724,-292.104
1723,-295.708
1722,-291.363
1721,-291.543
1720,-299.352
1719,-297.34
1718,-285.568
1717,-279.446
1716,-282.134
1715,-281.913
1714,-271.287
1713,-267.584
1712,-276.913
1711,-281.971
1710,-283.892
1709,-291.151
1708,-291.016
1707,-280.807
1706,-272.147
1705,-273.183
1704,-276.861
1703,-284.151
1702,-289.598
1701,-295.136
1700,-309.707
1699,-305.832
1698,-291.731
1697,-292.855
1696,-288.655
1695,-287.082
1694,-297.599
1693,-322.504
1692,-298.976
1691,-272.268
1690,-273.021
1689,-292.099
1688,-300.833
1687,-306.421
1686,-304.014
1685,-288.686
1684,-278.424
1683,-282.886
1682,-281.459
1681,-270.715
1680,-259.137
1679,-254.082
1678,-257.251
1677,-272.649
1676,-294.956
1675,-298.539
1674,-302.22
1673,-301.982
1672,-294.549
1671,-292.515
1670,-287.487
1669,-253.889
1668,-238.922
1667,-253.992
1666,-270.923
1665,-272.539
1664,-273.776
1663,-279.259
1662,-288.746
1661,-277.513
1660,-253.813
1659,-258.32
1658,-265.827
1657,-267.541
1656,-270.414
1655,-268.895
1654,-277.15
1653,-290.03
1652,-293.547
1651,-280.822
1650,-277.14
