year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil),d18O (permil)
1715,0,-0.02,-1.02,-1.11,-1.16
1524.55,6.5,-0.1,NA,-1.2,-0.84
1422,10,0.04,-1.49,-1.27,-1.2
1240,16.5,-0.2,NA,-1.49,-1.12
1142,20,0.01,-1.05,-1.39,-1.28
992,26,-0.06,NA,-1.01,-0.99
892,30,-0.03,-1,-1.32,-1.18
733.4,36.5,-0.23,NA,-1.47,-0.96
648,40,0.01,-1.59,-1.25,-1.2
522,45,-0.24,NA,-1.42,-1.22
396,50,-0.05,-1.53,-1.46,-1.35
253,55,-0.3,NA,-1.17,-1.09
120,60,-0.03,-1.14,-1.01,-1.29
-32,65,-0.18,NA,-1.38,-1.23
-174,70,-0.02,-1.23,-1.01,-1.25
-327.5,75,-0.06,NA,-1.36,-0.91
-481,80,-0.13,-1.47,-1.32,-1.27
-647,85,0,NA,-1.12,-1.11
-813,90,-0.03,-1.32,-1.16,-1.14
-986.5,95,-0.28,NA,-1.27,-0.93
-1160,100,0.04,-1.57,-1.11,-1.35
-1347,105,0.24,NA,-0.93,-1.1
-1534,110,-0.08,-1.46,-0.9,-1.24
-1729,115,-0.22,NA,-1.2,-0.76
-1924,120,-0.04,-1.56,-0.89,-1.06
-2059.5,125,-0.27,NA,-1.39,-0.87
-2295,130,0,-1.53,-1.15,-1.21
-2483,135,-0.35,NA,-1.35,-0.98
-2671,140,0.03,-1.52,-0.75,-1.09
-2873.5,145,-0.18,NA,-1.03,-0.93
-3076,150,0.04,-1.52,-1.04,-1.1
-3252.8,154,-0.27,NA,-0.98,-0.97
-3518,160,-0.54,-1.44,-0.95,-1.08
-3576,165,-0.02,NA,-1.28,-1.04
-3889.2,192,0.22,NA,-0.63,-0.77
-3924,195,0.02,NA,NA,-0.73
-3982,200,0.41,-1.78,-0.92,-0.95
-4222.5,205,0.01,NA,-1.21,-0.89
-4463,210,0.13,-1.36,-1.32,-0.8
-4675.5,215,0.16,NA,-1.63,-0.82
-4888,220,0.17,-1.75,-1.33,-0.78
-5081.5,225,0.05,NA,-0.82,-0.68
-5275,230,0.19,-1.25,-1.03,-0.63
-5467.5,235,0.04,NA,-1.09,-0.62
-5660,240,0.13,-0.88,-0.7,-0.64
-5837.5,245,0.49,NA,-0.48,-0.68
-6015,250,0.18,-1.19,-0.67,-0.51
