year (AD) [1-1],d18O (permil) [1-1],d13C (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1]
1899,-4.71,-3.46,1967,-1.86
1900,-5.55,-4.69,1968,-3.25
1901,-3.88,-2.55,1969,-3.98
1902,-4.59,-2.39,1970,-2.74
1903,-5.09,-3.02,1971,-2.07
1904,-4.96,-4.04,1972,-2.52
1905,-5.6,-3.37,1973,-1.72
1906,-4.78,-2.97,1974,-1.71
1907,-5.94,-3.96,1975,-1.21
1908,-3.42,-1.98,1976,-1.38
1909,-6.03,-5.43,1977,-1.79
1910,-4.38,-2.89,1978,-1.7
1911,-4,-2.64,1979,-2.68
1912,-4.07,-2.93,1980,-2.31
1913,-3.52,-2.22,1981,-2.61
1914,-5.75,-3.98,1982,-2
1915,-5.47,-4.72,1983,-2.06
1916,-4.39,-3.38,1984,-2.86
1917,-4.1,-3.4,1985,-2.54
1918,-4.51,-2.97,1986,-1.78
1919,-3.18,-4.77,1987,-1.41
1920,-4.8,-5.21,1988,-1.53
1921,-3.16,-4.96,1989,-1.63
1922,-5.16,-3.85,1990,-1.54
1923,-4.69,-2.62,1991,-1.18
1924,-4.59,-2.84,1992,-1.35
1925,-3.13,-2.52,1993,-1.3
1926,-5.78,-5.69,1994,-2.18
1927,-4.19,-3.46,1995,-1.78
1928,-5.38,-3.47,1996,-1.79
1929,-5.071,-4.018,NA,NA
1930,-4.96,-4.02,NA,NA
1931,-4.51,-3.36,NA,NA
1932,-4.34,-2.77,NA,NA
1933,-5.11,-3.83,NA,NA
1934,-4.28,-3.15,NA,NA
1935,-3.864,-2.9828,NA,NA
1936,-3.499,-2.549,NA,NA
1937,-3.57,-3.02,NA,NA
1938,-3.87,-2.82,NA,NA
1939,-3.51,-3.52,NA,NA
1940,-4.58,-3.25,NA,NA
1941,-6.23,-5.27,NA,NA
1942,-3.57,-3.51,NA,NA
1943,-3.57,-2.38,NA,NA
1944,-3.5,-2.06,NA,NA
1945,-3.56,-2.6,NA,NA
1946,-3.02,-2.46,NA,NA
1947,-3.85,-2.71,NA,NA
1948,-4.06,-3.99,NA,NA
1949,-5,-3.05,NA,NA
1950,-4.78,-3.48,NA,NA
1951,-6.43,-4.38,NA,NA
1952,-4.17,-3.59,NA,NA
1953,-5.15,-4.85,NA,NA
1954,-3.47,-1,NA,NA
1955,-6.09,-5.12,NA,NA
1956,-4.27,-2.66,NA,NA
1957,-4.14,-2.78,NA,NA
1958,-6.28,-4.9,NA,NA
1959,-4.72,-3.99,NA,NA
1960,-4.36,-3.76,NA,NA
1961,-4.94,-2.9,NA,NA
1962,-3.91,-2.67,NA,NA
1963,-3.89,-1.86,NA,NA
1964,-4.31,-2.7,NA,NA
1965,-3.62,-2.419,NA,NA
1966,-4.23,-2.04,NA,NA
1967,-5.35,-3.39,NA,NA
1968,-4.1,-2.78,NA,NA
1969,-4.3,-2.55,NA,NA
1970,-4.77,-4.3,NA,NA
1971,-6.21,-4.75,NA,NA
1972,-7.06,-5.55,NA,NA
1973,-4.38,-2.87,NA,NA
1974,-3.578,-2.049,NA,NA
1975,-5.96,-4.83,NA,NA
1976,-5.32,-4.08,NA,NA
1977,-6.24,-3.61,NA,NA
1978,-7.05,-6.52,NA,NA
1979,-5.56,-2.48,NA,NA
1980,-5.81,-2.82,NA,NA
1981,-4.98,-3.04,NA,NA
1982,-6.14,-2.5,NA,NA
1983,-4.85,-2.99,NA,NA
1984,-6.03,-3.62,NA,NA
1985,-5.82,-3.54,NA,NA
1986,-4.77,-3.5,NA,NA
1987,-6.43,-4,NA,NA
1988,-6.61,-3.92,NA,NA
1989,-5.57,-4.65,NA,NA
1990,-5.92,-5.26,NA,NA
1991,-6.61,-5.28,NA,NA
1992,-6.51,-3.93,NA,NA
1993,-5.7,-4.84,NA,NA
1994,-8.25,-7.53,NA,NA
1995,-5.95,-4.77,NA,NA
1996,-5.75,-3.94,NA,NA
