year (AD),d18O (permil),d18Osw (permil)
1255,-5.07,0.39
1254,-5.08,0.46
1253,-5.13,0.37
1252,-5.39,0.19
1251,-5.12,0.48
1250,-5.04,0.45
1249,-5.11,0.35
1248,-4.89,0.67
1247,-5.02,0.64
1246,-4.74,0.57
1245,-4.91,0.62
1244,-5.07,0.41
1243,-4.69,0.8
1242,-4.79,0.79
1241,-4.84,0.66
1240,-4.9,0.72
1239,-4.75,0.84
1238,-5.17,0.32
1237,-4.82,0.66
1236,-4.59,0.83
1235,-5.1,0.47
1234,-4.96,0.45
1233,-4.97,0.42
1232,-5.05,0.49
1231,-4.94,0.59
1230,-5.22,0.32
1229,-5.38,0.15
1228,-5.58,0.18
1227,-5.28,0.45
1226,-5.22,0.63
1225,-5.36,0.38
1224,-5.1,0.46
1223,-5.07,0.59
1222,-5.19,0.67
1221,-5.18,0.47
1220,-5.15,0.32
1219,-5.08,0.52
1218,-5.02,0.43
1217,-5.06,0.41
1216,-5.06,0.04
1215,-4.96,0.25
1214,-5.16,0.16
1213,-4.99,0.13
1212,-5.05,0.31
1211,-4.98,0.35
1210,-5.02,0.18
1209,-5.09,0.28
1208,-4.84,0.38
1207,-4.9,0.34
1206,-5.07,0.16
1205,-5.05,0.34
1204,-4.88,0.46
1203,-5.03,0.37
1202,-5.05,0.26
1201,-4.96,0.35
1200,-5.44,0
1199,-5.29,0.03
1198,-5.13,0.37
1197,-5.19,0.25
1196,-5.14,0.31
1195,-5.33,0.01
1194,-5.21,0.17
1193,-5.35,0.08
1192,-5.22,0.35
1191,-5.03,0.34
1190,-5.38,0.12
1189,-5.47,0.07
1188,-5.18,0.32
1187,-5.12,0.35
1186,-5.29,0.33
1185,-5.2,0.4
1184,-5.08,0.41
1183,-5.2,0.33
1182,-5.24,0.11
1181,-4.94,0.67
1180,-4.72,0.69
1179,-4.94,0.41
1178,-5.34,0.15
1177,-5.12,0.47
1176,-4.97,0.5
1175,-5.22,0.44
1174,-5.17,0.25
1173,-5.29,0.2
1172,-5.07,0.25
1171,-4.87,0.44
1170,-4.89,0.49
1169,-4.67,0.49
1168,-4.78,0.66
1167,-4.72,0.69
1166,-4.9,0.6
1165,-5.05,0.44
1164,-4.96,0.35
1163,-4.93,0.47
1162,-4.85,0.51
1161,-4.7,0.58
1160,-4.81,0.51
1159,-4.88,0.39
1158,-4.92,0.55
1157,-5.19,0.23
1156,-5.04,0.42
1155,-4.87,0.49
1154,-4.69,0.7
1153,-4.52,0.85
1152,-4.23,1.13
1151,-4.74,0.68
1150,-5.08,0.32
1149,-5.18,0.12
1148,-4.93,0.45
1147,-4.74,0.43
1146,-4.63,0.56
1145,-4.95,0.39
1144,-4.67,0.44
1143,-4.71,0.47
1142,-4.85,0.33
1141,-4.28,1.06
1140,-4.32,0.91
1139,-4.65,0.73
1138,-4.69,0.64
1137,-4.73,0.43
1136,-4.29,0.88
1135,-4.56,0.6
1134,-4.68,0.63
1133,-4.84,0.42
1132,-4.74,0.49
1131,-4.68,0.57
1130,-4.65,0.83
1129,-4.78,0.64
