year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [2-1]
1998,NA,-7.87,1958,NA,-7.96
1995,NA,-8.03,1912,NA,-8.37
1992,NA,-8.02,1865,NA,-8.51
1989,NA,-8.3,1819,NA,-9.2
1985,NA,-8.33,1772,NA,-10.24
1981,NA,-8.39,1726,NA,-9.41
1978,NA,-8.24,1679,NA,-8.46
1975,NA,-7.99,1663,NA,-9.41
1971,NA,-8.03,1646,NA,-8.81
1968,NA,-7.95,1630,NA,-9.05
1959,NA,-7.54,1616,NA,-8.73
1956,NA,-8.34,1601,NA,-6.88
1953,NA,-8.42,1586,NA,-7.47
1952,NA,-8.62,1572,NA,-8.75
1950,NA,-8.55,1557,NA,-8.67
1945,NA,-8.5,1541,NA,-9.18
1942,NA,-8.68,1526,NA,-9.67
1938,NA,-8.38,1511,NA,-8.75
1935,NA,-8.1,1497,NA,-7.74
1934,NA,-8.51,1482,NA,-8.51
1932,NA,-8.99,1467,NA,-9.36
1923,NA,-9.59,1451,NA,-9.44
1920,NA,-9.73,1435,NA,-9.29
1917,NA,-9.16,1419,NA,-9.83
1913,NA,-8.62,1402,NA,-8.98
1910,NA,-9.05,1386,NA,-8.43
1906,NA,-9.15,1370,NA,-8.76
1903,NA,-9.41,1353,NA,-9.25
1899,NA,-8.59,1337,NA,-8.83
1896,NA,-8.65,1321,NA,-9.63
1892,NA,-9,1305,NA,-9.03
1888,NA,-9.95,1288,NA,-7
1885,NA,-8.65,1272,NA,-7.86
1881,NA,-8.53,1217,NA,-9.04
1881,NA,-8.15,1162,NA,-9.54
1878,NA,-8.93,1107,NA,-8.31
1870,NA,-9.08,1052,NA,-8.5
1866,NA,-9.38,998,NA,-7.88
1863,NA,-10.39,943,NA,-8.82
1860,NA,-10.93,888,NA,-8.76
1856,NA,-9.54,833,NA,-9.58
1852,NA,-8.85,778,NA,-9.28
1849,NA,-8.77,737,NA,-7.9
