year (AD),depth (cm),dD (permil),dD (permil),dD (permil)
1712,6.5,-139,-127,-137
1691,7.5,-154,-127,-138
1630,10.5,-124,-115,-130
1609,11.5,-125,-118,-132
1589,12.5,-130,-122,-136
1569,13.5,-141,-125,-146
1507,16.5,-141,-133,-148
1487,17.5,-154,-133,-153
1466,18.5,-129,-120,-137
1446,19.5,-130,-129,-141
1426,20.5,-143,-130,-147
1385,22.5,-124,-115,-136
1336,27.5,-150,-128,-154
1315,35.5,-151,-111,-151
1300,41.5,-152,-112,-152
1279,49.5,-135,-102,-141
1264,55.5,-115,-100,-125
1256,58.5,-109,-96,-127
1213,61.5,-126,-105,-146
1187,62.5,-110,-98,-140
1135,64.5,-92,-92,-133
1109,65.5,-123,-102,-151
1083,66.5,-96,-94,-133
1057,67.5,-82,-85,-128
1031,68.5,-101,-94,-138
1006,69.5,-101,-94,-139
980,70.5,-121,-106,-143
954,71.5,-119,-107,-147
928,72.5,-123,-111,-151
902,73.5,-125,-111,-149
876,74.5,-117,-94,-138
798,77.5,-108,-100,-110
683,82.5,-144,-136,-174
622,85.5,-136,-113,-155
602,86.5,-126,-114,-154
561,88.5,-106,-88,-134
521,90.5,-111,-94,-141
501,91.5,-116,-101,-147
460,93.5,-119,-114,-158
420,95.5,-130,-114,-152
379,97.5,-137,-108,-139
339,99.5,-134,-100,-142
319,100.5,-144,-112,-148
299,101.5,-145,-118,-158
278,102.5,-139,-111,-142
238,104.5,-142,-115,-141
218,105.5,-149,-126,-155
72,111.5,-149,-116,-154
44,112.5,-148,-121,-153
-12,114.5,-133,-110,-144
-69,116.5,-153,-130,-164
-97,117.5,-149,-123,-162
-126,118.5,-137,-109,-155
-239,122.5,-140,-116,-163
-323,125.5,-146,-126,-161
-437,129.5,-135,-117,-155
-465,130.5,-141,-127,-155
-493,131.5,-141,-118,-147
-521,132.5,-150,-130,-138
-550,133.5,-136,-115,-150
-663,137.5,-151,-134,-155
-804,142.5,-131,-111,-150
-917,146.5,-136,-121,-154
