year (AD),depth (cm),d18O (permil),d18O (permil),dD (permil)
1920,3,NA,-1.74,-148
1860,8,NA,-1.77,-139
1799,13,NA,NA,-129
1739,18,NA,NA,-144
1679,23,NA,NA,-144
1619,28,NA,-1.85,-144
1558,33,NA,-1.47,-135
1498,38,NA,NA,-141
1438,43,NA,-1.72,-144
1378,48,NA,-1.71,-141
1317,53,NA,NA,-137
1257,58,NA,NA,-140
902,63,NA,NA,-142
546,68,NA,NA,-140
191,73,NA,-1.87,-142
-165,78,NA,NA,-142
-520,83,NA,-1.78,-144
-875,88,NA,NA,-138
-1231,93,NA,-1.97,-155
-1586,98,NA,-1.91,-152
-1942,103,NA,-1.96,NA
-2297,108,NA,-1.79,-150
-2504,113,NA,-1.86,-145
-2711,118,NA,-1.94,NA
-2918,123,NA,-1.86,-143
-3125,128,NA,-1.99,-150
-3332,133,NA,-2.01,-152
-3539,138,NA,-2.26,-148
-3746,143,NA,-2.25,-147
-3953,148,NA,-1.84,-155
-4160,153,NA,-2.2,-160
-4367,158,NA,-2.39,-151
-4448,163,NA,-2,-148
-4529,168,NA,-1.82,-150
-4609,173,NA,-1.74,-150
-4690,178,NA,-2.35,-159
-4771,183,NA,-2.01,-153
-4852,188,NA,-2.13,-161
-4933,193,NA,-1.98,-152
-5013,198,NA,-2.02,-158
-5094,203,NA,-1.43,-153
-5175,208,NA,-2.28,-154
-5317,213,NA,-1.99,-152
-5460,218,NA,-2.47,-149
-5602,223,NA,-2.25,-155
-5745,228,NA,-2.19,-157
-5887,233,NA,-2.07,-150
-6030,238,NA,-2.3,-160
-6172,243,NA,-1.95,-154
-6314,248,NA,-2.39,-158
-6457,253,NA,-2.04,-160
-6557,258,NA,-1.87,-158
-6614,263,NA,-1.76,-161
-6671,268,NA,-2.47,-163
-6728,273,NA,-2.48,-162
-6785,278,NA,-1.96,-163
-6843,283,NA,-2.12,-162
-6900,288,NA,-2.37,-162
-6957,293,NA,-2.02,-161
-7014,298,NA,-2.02,-161
-7071,303,NA,-2.31,-161
-7133,308,NA,-1.74,-162
-7199,313,NA,-2.65,-163
-7265,318,NA,-1.79,-157
-7331,323,NA,-2.06,-162
-7397,328,NA,-2.1,-155
-7463,333,NA,-2.17,-157
-7529,338,NA,-2.04,-158
-7595,343,NA,-1.9,-160
-7661,348,NA,-1.85,-153
-7727,353,NA,-1.66,-155
-7847,358,NA,-1.71,-154
-8020,363,NA,-1.73,-159
-8193,368,NA,-2.02,-148
-8366,373,NA,-1.81,-144
-8539,378,NA,-1.83,-149
-8713,383,NA,-1.3,-142
-8886,388,NA,-1.75,-143
-9059,393,NA,-1.2,-140
-9232,398,NA,-1.02,-135
-9405,403,NA,-1,-135
-9574,408,NA,-1.14,-130
-9738,413,NA,-1.55,-133
-9902,418,NA,-1.19,-130
-10065,423,NA,-1.18,-146
-10229,428,NA,-0.82,-137
-10393,433,NA,-0.8,-145
-10557,438,NA,-1.71,-141
-10721,443,NA,-0.98,-139
-10884,448,NA,-1.53,-140
-11048,453,NA,-1.33,-153
-11188,458,NA,-1.25,-138
-11304,463,NA,-1.27,-149
-11420,468,NA,-1.06,-141
-11535,473,NA,-1.16,-149
-11651,478,NA,-1,-138
-11767,483,NA,-0.95,-142
-11883,488,NA,-1.38,-145
-11999,493,NA,-1.22,-139
-12114,498,NA,-1.61,-140
-12230,503,NA,-0.69,-140
-12439,508,NA,-1.09,-143
-12740,513,NA,-1.08,-136
-13041,518,NA,-1.08,-139
-13342,523,NA,-0.55,-135
-13643,528,NA,-0.61,-131
-13945,533,NA,-0.55,-131
-14246,538,NA,-0.62,-127
-14547,543,NA,-0.28,-129
-14848,548,NA,-0.21,-124
-15149,553,NA,-0.26,-123
-15750,558,NA,-0.22,-125
-16649,563,NA,0.19,NA
-17548,568,NA,-0.19,-125
