year (AD),depth (cm),d18O (permil),d18O (permil)
1970,NA,-30.74,-27.2
1969,NA,-31.29,-28.1
1968,NA,-31.58,-26.41
1967,NA,-33.7,-28.13
1966,NA,-30.86,-26.78
1965,NA,-31.44,-26.82
1964,NA,-30.35,-26.04
1963,NA,-31.14,-26.58
1962,NA,-29.14,-26.14
1961,NA,-32.76,-24.03
1960,NA,-30.53,-28.86
1959,NA,-32.38,-26.13
1958,NA,-30.12,-26
1957,NA,-30.68,-28.26
1956,NA,-29.6,-26
1955,NA,-31.9,-27.6
1954,NA,-31.31,-25.4
1953,NA,-31.6,-25.4
1952,NA,-30.62,-25.91
1951,NA,-30.38,-26.83
1950,NA,-32.66,-27.24
1949,NA,-31.34,-29.18
1948,NA,-32.02,-27.04
1947,NA,-29.23,-28.05
1946,NA,-29.23,-26.01
1945,NA,-32.04,-26.64
1944,NA,-30.35,-28.63
1943,NA,-30.8,-28.95
1942,NA,-31.95,-25.03
1941,NA,-32.15,-23.78
1940,NA,-30.98,-28.86
1939,NA,-33.31,-25.81
1938,NA,-30.08,-28.32
1937,NA,-38.57,-29.29
1936,NA,-28.98,-26.47
1935,NA,-32.53,-26.37
1934,NA,-31.36,-26.13
1933,NA,-32.93,-26.58
1932,NA,-30.46,-24.96
1931,NA,-32.39,-25.22
1930,NA,-32.14,-26.72
1929,NA,-30.86,-24.94
1928,NA,-34.43,-23.75
1927,NA,-34.08,-25.39
1926,NA,-30.59,-28.8
1925,NA,-32.1,-27.75
1924,NA,-33.45,-29.45
1923,NA,-31.39,-25.26
1922,NA,-33.19,-28.63
1921,NA,-36.32,-29.57
1920,NA,-32.47,-27.17
1919,NA,-37.24,-27.22
1918,NA,-33.95,-29.26
1917,NA,-28.74,-27.1
1916,NA,-29.44,-21.66
1915,NA,-34.4,-26.74
1914,NA,-33.29,-27.05
1913,NA,-33.22,-26.39
1912,NA,-31.79,-25.61
1911,NA,-33.47,-29.23
1910,NA,-31.42,-24.68
1909,NA,-31.11,-25.29
1908,NA,-34.09,-25.65
1907,NA,-32.65,-23.81
1906,NA,-33.05,-28.22
1905,NA,-34.55,-26.92
1904,NA,-32.83,-31.53
1903,NA,-31.21,-26.07
1902,NA,-32.06,-21.91
1901,NA,-30.57,-27.26
1900,NA,-34.27,-27.97
1899,NA,-33.88,-27.19
1898,NA,-34.56,-25.51
1897,NA,-30.5,-26.78
1896,NA,-32.07,-26.05
1895,NA,-30.8,-23.09
1894,NA,-32.3,-25.43
1893,NA,-29.12,-27.11
1892,NA,-33.33,-25.78
1891,NA,-32.96,-26.89
1890,NA,-35.5,-27.84
1889,NA,-32.54,-26.57
1888,NA,-28.89,-26.83
1887,NA,-33.4,-27.49
1886,NA,-34.32,-26.93
1885,NA,-35.73,-27.34
1884,NA,-34.12,-29.42
1883,NA,-34.68,-28.4
1882,NA,-35.45,-26.62
1881,NA,-31.67,-26.92
1880,NA,-30.04,-26.21
1879,NA,-32.88,-27.51
1878,NA,-31.73,-26.11
1877,NA,-35.85,-24.05
1876,NA,-31.04,-27.22
1875,NA,-31.05,-28.64
1874,NA,-33.9,-27.03
1873,NA,-30.4,-28.3
1872,NA,-32.37,-25.31
1871,NA,-31.93,-25.41
1870,NA,-33.04,-24.65
1869,NA,-33.02,-26.37
1868,NA,-35.3,-28.85
1867,NA,-30.19,-27.27
1866,NA,-32.91,-26.28
1865,NA,-32.18,-28.41
1864,NA,-36.35,-26.09
1863,NA,-36.04,-26.29
1862,NA,-33.17,-30.02
1861,NA,-32.51,-27.07
1860,NA,-33.85,-27.66
1859,NA,-32.82,-27.15
1858,NA,-31.15,-28.46
1857,NA,-32.32,-23.79
1856,NA,-30.28,-27.36
1855,NA,-33.54,-28.75
1854,NA,-31.7,-26.33
1853,NA,-34.4,-27.03
1852,NA,-30.3,-25.24
1851,NA,-30.01,-26.5
1850,NA,-31.31,-26.72
1849,NA,-30.95,-24.45
1848,NA,-33.51,-26.25
1847,NA,-31.09,-26.29
1846,NA,-30.37,-27.04
1845,NA,-35.75,-26.14
1844,NA,-31.55,-26.94
1843,NA,-32.93,-26.61
1842,NA,-32.3,-25.79
1841,NA,-29.61,-25
1840,NA,-33.6,-27.88
1839,NA,-35.78,-26.33
1838,NA,-31.74,-25.42
1837,NA,-34.3,-26.63
1836,NA,-33.89,-29.32
1835,NA,-32.92,-27.69
1834,NA,-33.18,-25.59
1833,NA,-34.58,-24.47
1832,NA,-33.84,-26.72
1831,NA,-30.33,-26.76
1830,NA,-30.94,-27.4
1829,NA,-33.03,-26.71
1828,NA,-31.81,-25.19
1827,NA,-33.72,-28.06
1826,NA,-34.93,-27.98
1825,NA,-34.79,-24.22
