year (AD) [1-1],temperature (degC) [1-1],year (AD) [1-2],depth (cm) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],temperature (degC) [1-2],Mg_Ca (mmol/mol) [1-2]
1415.8,28.74,1824.3,1,0.1806666667,-2.561,28.364,4.88
1372.8,28.96,1802.8,3,0.1809583333,-2.603,28.567,4.97
1329.81,28.06,1781.3,5,0.3659583333,-2.558,29.239,5.28
1286.81,28.5,1759.8,7,0.37625,-2.44,28.722,5.04
1243.82,28.92,1738.3,9,-0.001333333333,-2.813,28.7,5.03
1200.82,28.81,1716.8,11,0.1111666667,-2.668,28.544,4.96
1179.32,28.61,1695.3,13,-0.2702083333,-2.915,27.899,4.68
1157.82,28.43,1673.8,15,0.01275,-2.676,28.11,4.77
1114.83,28.39,1652.3,17,0.326875,-2.41,28.341,4.87
1071.83,29.93,1630.8,19,0.08158333333,-2.578,27.97,4.71
1028.84,29.13,1609.3,21,-0.05579166667,-2.821,28.477,4.93
985.84,28.94,1587.8,23,0.166875,-2.735,29.133,5.23
942.8,28.13,1566.3,25,-0.07041666667,-2.905,28.81,5.08
910.6,29.45,1544.8,27,-0.2679583333,-3.019,28.409,4.9
899.8,28.7,1523.3,29,NA,-2.706,NA,NA
856.9,28.66,1501.8,31,-0.1090833333,-2.822,28.226,4.82
813.9,29.18,1480.3,33,-0.08158333333,-2.842,28.454,4.92
770.9,28.63,1458.8,35,-0.06591666667,-2.873,28.678,5.02
727.9,28.85,1448.1,36,0.278125,-2.715,29.571,5.44
684.9,29.49,1437.3,37,-0.07091666667,-2.803,28.318,4.86
NA,NA,1415.8,39,0.05483333333,-2.766,28.744,5.05
NA,NA,1372.8,43,0.16325,-2.703,28.962,5.15
NA,NA,1329.8,47,-0.1468333333,-2.826,28.064,4.75
NA,NA,1286.8,51,-0.06620833333,-2.836,28.499,4.94
NA,NA,1243.8,55,-0.1247083333,-2.982,28.919,5.13
NA,NA,1200.8,59,0.2625833333,-2.572,28.81,5.08
NA,NA,1179.3,61,-0.036875,-2.83,28.611,4.99
NA,NA,1157.8,63,0.02183333333,-2.734,28.432,4.91
NA,NA,1114.8,67,-0.13275,-2.879,28.386,4.89
NA,NA,1071.8,71,0.05033333333,-3.018,29.932,5.62
NA,NA,1028.8,75,0.086875,-2.815,29.133,5.23
