year (AD),depth (cm),d18O (permil)
1976,1,6.2
1957,2,6.3
1946,3,5.6
1936,4,2.2
1929,5,5.8
1915,6,4.1
1903,7,6.3
1884,8,6
1867,9,5.2
1854,10,6.8
1841,11,6.2
1828,12,7
1815,13,6
1803,14,6.5
1790,15,2.9
1777,16,7.1
1764,17,7.6
1751,18,7.2
1738,19,6.2
1725,20,6.8
1712,21,-0.6
1699,22,4.5
1686,23,3.6
1674,24,1.1
1661,25,2.5
1648,26,2.4
1635,27,2.5
1622,28,2.3
1609,29,2.9
1596,30,0.6
1583,31,-0.8
1570,32,3.7
1557,33,3.5
1545,34,4.8
1532,35,3.8
1519,36,0.3
1506,37,-0.5
1493,38,4.4
1480,39,-0.7
1467,40,4.6
1454,41,-1.5
1441,42,-1.9
1428,43,-2.6
1403,45,3.8
1390,46,3.5
1377,47,1.4
1351,49,-6
1338,50,0.4
1325,51,-7.4
1312,52,1.5
1299,53,-7.4
1287,54,-7.1
1274,55,2.6
1248,57,-3.6
1235,58,-1
1222,59,1
1209,60,1.4
1196,61,5.4
1183,62,5.5
1171,63,3
1158,64,5.6
1145,65,4.8
1132,66,-0.2
1119,67,4.9
1106,68,6.3
1093,69,5.3
1080,70,4.4
1067,71,2.8
1054,72,6.1
1042,73,-0.4
1029,74,6.4
1016,75,-0.6
1003,76,6.2
990,77,5.9
977,78,4.6
964,79,5.1
951,80,5
938,81,5.9
925,82,4.8
913,83,-2.2
900,84,6.8
887,85,6.9
874,86,2.3
861,87,5.4
848,88,-0.6
835,89,6.7
822,90,5.9
809,91,6.4
796,92,6.1
785,93,5.6
775,94,5.8
765,95,-0.3
755,96,-0.7
745,97,2.3
735,98,2.3
725,99,-1.8
715,100,-0.6
705,101,-3.7
695,102,1.3
685,103,0.4
675,104,2.1
665,105,3
655,106,2.6
645,107,0.8
635,108,0.9
625,109,3.3
615,110,3.7
565,115,4.2
515,120,4.3
465,125,4
372,130,4.4
236,135,4.4
100,140,4.8
-36,145,4.2
-172,150,4.5
-308,155,4.5
-444,160,3.8
