year (AD) [1-1],depth (cm) [1-1],temperature (degC) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],Mg_Ca (mmol/mol) [1-1],year (AD) [2-1],temperature (degC) [2-1],Mg_Ca (mmol/mol) [2-1]
1949,0.5,29.06,1.22,-1.58,5.2,1949,29.06,5.2
1844.19,2,28.52,1.1,-1.6,4.95,1844.19,28.52,4.95
1756.84,3.25,28.42,1.31,-1.37,4.91,1756.84,28.42,4.91
1721.91,3.75,28.06,1.11,-1.49,4.75,1721.91,28.06,4.75
1686.97,4.25,28.53,1.32,-1.37,4.95,1686.97,28.53,4.95
1652.03,4.75,26.8,1.05,-1.3,4.24,1652.03,26.8,4.24
1617.09,5.25,27.31,0.93,-1.53,4.44,1617.09,27.31,4.44
1582.16,5.75,28.7,1.28,-1.45,5.03,1582.16,28.7,5.03
1547.22,6.25,27.52,0.99,-1.5,4.53,1547.22,27.52,4.53
1512.28,6.75,26.76,0.71,-1.63,4.22,1512.28,26.76,4.22
1477.34,7.25,27.13,0.73,-1.69,4.37,1477.34,27.13,4.37
1442.41,7.75,29.25,1.1,-1.74,5.29,1442.41,29.25,5.29
1407.47,8.25,27.09,0.69,-1.72,4.35,1407.47,27.09,4.35
1385.08,8.75,28.45,1.01,-1.48,4.92,1385.08,28.45,4.92
1375.25,9.25,27.74,0.87,-1.67,4.61,1375.25,27.74,4.61
1365.42,9.75,27.42,0.99,-1.49,4.48,1365.42,27.42,4.48
1355.58,10.25,NA,NA,-1.67,NA,1345.75,27.47,4.5
1345.75,10.75,27.47,0.81,-1.66,4.5,1335.92,27.69,4.59
1335.92,11.25,27.69,0.86,-1.58,4.59,1326.08,28.29,4.85
1326.08,11.75,28.29,1.07,-1.61,4.85,1316.25,26.38,4.08
1316.25,12.25,26.38,0.66,-1.82,4.08,1306.42,27.35,4.46
1306.42,12.75,27.35,0.64,-1.66,4.46,1296.58,28.06,4.75
1296.58,13.25,28.06,0.94,-1.72,4.75,1286.75,28.29,4.85
1286.75,13.75,28.29,0.93,-1.46,4.85,1276.92,27.82,4.65
1276.92,14.25,27.82,1.1,-1.74,4.65,1267.08,28.3,4.85
