year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1],year (AD) [3-1],d18O (permil) [3-1]
1916.925,-5.3,1578.425,-4.8,1644.75,-4.84
1917.025,-5.35,1578.325,-4.92,1644.625,-4.65
1917.125,-5.37,1578.225,-4.91,1644.5,-4.97
1917.225,-5.64,1578.125,-4.84,1644.375,-4.8
1917.325,-5.46,1578.025,-4.81,1644.25,-5.06
1917.425,-5.33,1577.925,-4.64,1644.125,-4.82
1917.525,-5.1,1577.825,-4.87,1644,-4.86
1917.625,-5.05,1577.725,-4.95,1643.875,-4.99
1917.715909,-5.1,1577.625,-4.9,1643.75,-4.76
1917.806818,-5.21,1577.525,-4.94,1643.625,-4.6
1917.897727,-5.22,1577.425,-5.07,1643.513889,-4.69
1917.988636,-5.19,1577.325,-5.1,1643.402778,-4.83
1918.079545,-5.43,1577.225,-5,1643.291667,-4.95
1918.170455,-5.53,1577.125,-5.08,1643.180556,-5.01
1918.261364,-5.24,1577.025,-5.01,1643.069444,-4.97
1918.352273,-5.28,1576.925,-4.99,1642.958333,-4.92
1918.443182,-5.34,1576.825,-4.87,1642.847222,-4.96
1918.534091,-4.91,1576.725,-4.84,1642.736111,-4.81
1918.625,-4.6,1576.625,-4.76,1642.625,-4.76
1918.715909,-4.71,1576.525,-5.04,1642.548077,-4.87
1918.806818,-5.18,1576.425,-5.1,1642.471154,-4.99
1918.897727,-5.12,1576.325,-5.21,1642.394231,-5.06
1918.988636,-5.12,1576.225,-5.14,1642.317308,-5.21
1919.079545,-5.03,1576.125,-5.14,1642.240385,-5.24
1919.170455,-5.22,1576.025,-5.04,1642.163462,-5.2
1919.261364,-5.22,1575.925,-4.91,1642.086538,-5.21
1919.352273,-5.11,1575.825,-4.86,1642.009615,-4.98
1919.443182,-5.11,1575.725,-4.85,1641.932692,-4.97
1919.534091,-4.8,1575.625,-4.88,1641.855769,-4.79
1919.625,-4.75,1575.513889,-4.88,1641.778846,-4.77
1919.725,-4.92,1575.402778,-4.99,1641.701923,-4.8
1919.825,-5.05,1575.291667,-5.14,1641.625,-4.71
1919.925,-5.08,1575.180556,-5.18,1641.5,-4.86
1920.025,-5.19,1575.069444,-5.13,1641.375,-4.93
1920.125,-5.09,1574.958333,-4.95,1641.25,-5.01
1920.225,-5.03,1574.847222,-5.11,1641.125,-4.8
1920.325,-5.06,1574.736111,-4.87,1641,-4.69
1920.425,-5.03,1574.625,-4.8,1640.875,-4.73
1920.525,-5.01,1574.534091,-4.81,1640.75,-4.74
1920.625,-4.98,1574.443182,-5.13,1640.625,-4.57
1920.725,-4.98,1574.352273,-5.06,1640.534091,-4.78
1920.825,-5.07,1574.261364,-5.13,1640.443182,-4.96
1920.925,-5.34,1574.170455,-5,1640.352273,-4.97
1921.025,-5.35,1574.079545,-5.16,1640.261364,-4.84
1921.125,NA,1573.988636,-5.01,1640.170455,-4.79
1921.225,-5.43,1573.897727,-5.07,1640.079545,-4.79
1921.325,-5.48,1573.806818,-4.89,1639.988636,-4.7
1921.425,-5.3,1573.715909,-4.89,1639.897727,-4.78
1921.525,-5.11,1573.625,-4.85,1639.806818,-4.75
1921.625,-4.86,1573.525,-4.85,1639.715909,-4.75
1921.725,-5.09,1573.425,-5.08,1639.625,-4.84
1921.825,-5.1,1573.325,-5.08,1639.513889,-4.96
1921.925,-5.2,1573.225,-5.23,1639.402778,-5.03
1922.025,-5.36,1573.125,-5.24,1639.291667,-4.93
1922.125,-5.49,1573.025,-5.21,1639.180556,-4.75
1922.225,-5.63,1572.925,-5.05,1639.069444,-4.74
1922.325,-5.58,1572.825,-5.02,1638.958333,-4.68
1922.425,-5.51,1572.725,-4.99,1638.847222,-4.72
1922.525,-5.19,1572.625,-4.9,1638.736111,-4.81
1922.625,-5.2,1572.548077,-5.07,1638.625,-4.87
1922.696429,-5.35,1572.471154,-5.04,1638.513889,-4.88
1922.767857,-5.46,1572.317308,-5.09,1638.402778,-4.98
1922.839286,-5.42,1572.240385,-5.05,1638.291667,-5.06
1922.910714,-5.47,1572.163462,-4.97,1638.180556,-5.02
1922.982143,-5.46,1572.086538,-5.04,1638.069444,-5.02
1923.053571,-5.56,1572.009615,-5,1637.958333,-4.94
1923.125,-5.44,1571.932692,-4.9,1637.847222,-5.05
1923.196429,-5.47,1571.855769,-4.89,1637.736111,-4.95
1923.267857,-5.42,1571.778846,-4.8,1637.625,-4.9
1923.339286,-5.4,1571.701923,-4.81,1637.513889,-4.9
1923.410714,-5.29,1571.625,-4.87,1637.402778,-5.07
1923.482143,-5.2,1571.541667,-4.88,1637.291667,-5.07
1923.553571,-4.94,1571.458333,-4.95,1637.180556,-4.95
1923.625,-4.92,1571.375,-4.98,1637.069444,-4.85
1923.708333,-4.94,1571.291667,-5.08,1636.958333,-4.83
