year (AD),depth (cm),d18O (permil),d18O (permil),MgCa (mmol/mol),temperature (degC)
1479.9,13,-0.47,-2.88,3.84,26.774
1405.8,18,-0.423,-2.76,3.72,26.421
1331.6,23,-0.374,-2.79,3.85,26.803
1257.5,28,-0.056,-2.46,3.83,26.745
1183.4,33,-0.382,-2.75,3.77,26.57
1109.3,38,0.122,-2.54,4.28,27.98
1035.1,43,-0.218,-2.61,3.81,26.687
961,48,-0.211,-2.71,3.99,27.2
886.9,53,-0.316,-2.78,3.93,27.032
812.8,58,-0.202,-2.73,4.04,27.338
738.6,63,0.124,-2.58,4.36,28.185
672,68,-0.226,-2.69,3.93,27.032
610.2,73,-0.145,-2.69,4.07,27.421
548.5,78,-0.348,-2.87,4.03,27.311
486.7,83,-0.104,-2.66,4.09,27.475
425,88,-0.446,-2.77,3.7,26.362
335,93,-0.156,-2.56,3.83,26.745
245,98,0.03,-2.41,3.89,26.918
155,103,0.263,-2.31,4.12,27.556
75.3,108,-0.279,-2.79,4.01,27.256
37,113,-0.058,-2.62,4.1,27.502
-1.3,118,-0.039,-2.64,4.17,27.69
-42.8,123,-0.141,-2.64,3.99,27.2
-97.1,128,-0.258,-2.92,4.28,27.98
-151.3,133,-0.152,-2.72,4.11,27.529
-205.6,138,0.046,-2.61,4.27,27.954
-259.8,143,-0.128,-2.52,3.81,26.687
-314.1,148,-0.034,-2.63,4.16,27.664
-368.3,153,-0.106,-2.57,3.93,27.032
-422.5,158,-0.412,-2.84,3.87,26.861
-476.8,163,-0.047,-2.62,4.12,27.556
-531,168,-0.13,-2.54,3.84,26.774
-585.3,173,-0.342,-2.77,3.87,26.861
-639.5,178,-0.238,-2.63,3.81,26.687
-693.8,183,-0.25,-2.66,3.84,26.774
-748,188,0.212,-2.45,4.28,27.98
-825.6,193,-0.161,-2.74,4.13,27.583
-903.1,198,-0.264,-2.71,3.9,26.947
-980.7,203,-0.154,-2.63,3.95,27.088
-1058.2,208,-0.212,-2.78,4.11,27.529
-1213.4,218,-0.079,-2.73,4.26,27.928
-1290.9,223,0.104,-2.59,4.34,28.134
-1368.5,228,-0.096,-2.5,3.83,26.745
-1446.1,233,-0.271,-2.81,4.06,27.393
-1523.6,238,-0.168,-2.65,3.96,27.116
-1601.2,243,-0.153,-2.67,4.02,27.283
-1678.8,248,-0.279,-2.83,4.08,27.448
-1756.3,253,0.159,-2.42,4.13,27.583
-1833.9,258,-0.197,-2.82,4.21,27.796
-1911.4,263,-0.29,-2.73,3.89,26.918
-1989,268,-0.396,-2.86,3.93,27.032
-2060.5,273,0.006,-2.59,4.16,27.664
-2131.9,278,-0.285,-2.79,4,27.228
-2203.4,283,-0.114,-2.67,4.09,27.475
-2274.8,288,-0.023,-2.69,4.29,28.006
-2346.3,293,0.05,-2.67,4.39,28.262
-2417.7,298,-0.179,-2.78,4.17,27.69
-2489.2,303,-0.058,-2.67,4.19,27.743
-2560.6,308,-0.526,-2.93,3.83,26.745
-2632.1,313,-0.036,-2.67,4.23,27.849
-2703.5,318,-0.496,-2.9,3.83,26.745
-2775,323,-0.167,-2.74,4.12,27.556
-2846.5,328,-0.127,-2.81,4.32,28.083
-2917.9,333,-0.494,-3.05,4.09,27.475
-2989.4,338,-0.211,-2.79,4.13,27.583
-3060.8,343,-0.134,-2.73,4.16,27.664
-3132.3,348,-0.09,-2.73,4.24,27.875
-3203.7,353,-0.163,-2.83,4.29,28.006
-3275.2,358,0.002,-2.61,4.19,27.743
-3346.6,363,-0.033,-2.64,4.18,27.717
-3418.1,368,0.004,-2.7,4.36,28.185
-3489.5,373,-0.022,-2.64,4.2,27.77
-3561,378,0.217,-2.39,4.18,27.717
-3661.9,383,-0.065,-2.61,4.07,27.421
-3762.9,388,-0.143,-2.66,4.02,27.283
-3863.8,393,0.012,-2.6,4.19,27.743
-3964.8,398,0.134,-2.57,4.36,28.185
-4065.7,403,-0.301,-2.88,4.13,27.583
-4166.7,408,-0.207,-2.83,4.21,27.796
-4267.6,413,0.001,-2.74,4.43,28.362
-4368.6,418,-0.162,-2.78,4.2,27.77
-4469.5,423,-0.004,-2.6,4.16,27.664
-4570.4,428,0.042,-2.73,4.49,28.512
-4671.4,433,0.018,-2.66,4.31,28.057
-4772.3,438,-0.218,-2.83,4.19,27.743
-4873.3,443,0.001,-2.6,4.17,27.69
-4994.4,449,0.048,-2.74,4.52,28.586
-5075.2,453,-0.009,-2.61,4.17,27.69
-5176.1,458,0.168,-2.52,4.33,28.109
-5277.1,463,-0.034,-2.59,4.09,27.475
-5378,468,0.126,-2.53,4.27,27.954
-5497.2,473,-0.391,-3.02,4.22,27.823
-5616.3,478,-0.324,-2.92,4.16,27.664
-5735.5,483,0.174,-2.52,4.34,28.134
-5854.6,488,0.047,-2.62,4.29,28.006
-5973.8,493,0.177,-2.43,4.18,27.717
-6093,498,0.174,-2.29,3.93,27.032
-6212.1,503,-0.34,-2.93,4.15,27.637
-6331.3,508,-0.208,-2.87,4.28,27.98
-6450.4,513,0.166,-2.56,4.4,28.287
-6569.6,518,0.114,-2.58,4.34,28.134
-6688.8,523,-0.065,-2.65,4.14,27.61
-6807.9,528,-0.025,-2.61,4.14,27.61
-6927.1,533,0.191,-2.55,4.43,28.362
-7046.2,538,0.116,-2.48,4.16,27.664
-7165.4,543,-0.025,-2.61,4.14,27.61
-7284.6,548,0.358,-2.32,4.31,28.057
-7403.7,553,-0.192,-2.87,4.31,28.057
-7499,558,0.126,-2.6,4.4,28.287
-7642,563,0.319,-2.38,4.35,28.16
-7761.2,568,0.301,-2.44,4.43,28.362
-7880.4,573,0.29,-2.43,4.39,28.262
-7999.5,578,0.15,-2.56,4.37,28.211
-8118.7,583,0.354,-2.5,4.65,28.901
-8237.8,588,0.538,-2.35,4.72,29.067
-8357,593,-0.044,-2.64,4.16,27.664
-8511.4,598,0.646,-2.3,4.84,29.346
-8634.9,602,0.448,-2.34,4.52,28.586
-8665.8,603,0.293,-2.51,4.55,28.659
-8696.7,604,0.359,-2.34,4.35,28.16
-8758.5,606,0.385,-2.26,4.25,27.901
-8820.2,608,0.427,-2.35,4.505,28.535
-8882,610,0.678,-2.23,4.76,29.161
-8943.8,612,0.309,-2.32,4.22,27.823
-8974.6,613,0.418,-2.44,4.66,28.925
-9005.5,614,0.438,-2.13,4.11,27.529
-9067.3,616,0.637,-2.13,4.48,28.487
-9129.1,618,0.648,-2.09,4.43,28.349
-9190.8,620,0.498,-2.19,4.33,28.109
-9252.6,622,0.347,-2.32,4.29,28.006
-9283.5,623,0.563,-2.16,4.395,28.274
-9314.4,624,0.461,-2.14,4.17,27.69
-9376.1,626,0.507,-2.16,4.29,28.006
-9437.9,628,0.528,-2.1,4.22,27.818
-9499.6,630,0.612,-2.15,4.47,28.462
-9561.4,632,0.481,-2.26,4.43,28.362
-9592.3,633,0.799,-1.9,4.35,28.159
-9623.2,634,0.752,-2.02,4.49,28.512
-9684.9,636,0.768,-2.11,4.7,29.02
-9746.7,638,1,-1.73,4.41,28.309
-9808.5,640,0.706,-2.03,4.42,28.337
-9870.2,642,0.958,-1.9,4.66,28.925
-9901.1,643,0.822,-1.9,4.395,28.27
-9932,644,0.726,-1.87,4.16,27.664
-9985.6,646,0.723,-1.96,4.32,28.083
-10039.1,648,0.726,-1.87,4.16,27.664
-10092.7,650,1,-1.72,4.39,28.262
-10146.2,652,0.868,-1.7,4.11,27.529
-10173,653,0.831,-1.72,4.08,27.448
-10199.8,654,1.064,-1.77,4.61,28.805
-10253.3,656,1.007,-1.66,4.29,28.006
-10306.9,658,0.944,-1.52,3.93,27.032
-10360.4,660,0.94,-1.53,3.94,27.06
-10414,662,1.143,-1.67,4.57,28.708
-10440.7,663,0.756,-1.63,3.8,26.658
-10467.5,664,0.542,-1.91,3.91,26.975
-10521.1,666,0.869,-1.63,3.99,27.2
-10574.6,668,0.609,-1.74,3.74,26.481
-10628.2,670,0.698,-1.92,4.2,27.77
-10681.7,672,0.552,-1.84,3.81,26.687
-10708.5,673,0.652,-1.77,3.86,26.832
-10735.3,674,0.639,-1.94,4.13,27.583
-10788.8,676,0.636,-1.92,4.09,27.475
-10842.4,678,0.78,-1.66,3.89,26.918
-10895.9,680,1.095,-1.62,4.38,28.236
-10949.5,682,0.726,-1.72,3.9,26.947
-10976.2,683,0.816,-1.66,3.95,27.088
-11003,684,0.941,-1.66,4.17,27.69
-11056.6,686,1.022,-1.43,3.91,26.975
-11110.1,688,0.955,-1.55,4,27.228
-11217.2,692,0.568,-1.89,3.92,27.003
-11244,693,0.563,-1.78,3.73,26.451
-11309.2,694,0.79,-1.62,3.84,26.774
-11439.6,696,0.502,-2.02,4.03,27.311
-11570,698,1.167,-1.44,4.18,27.717
-11700.4,700,0.77,-1.7,3.94,27.06
-11830.7,702,0.669,-1.83,3.99,27.2
-11895.9,703,0.954,-1.58,4.05,27.366
-11961.1,704,0.552,-1.81,3.76,26.54
-12091.5,706,0.636,-1.75,3.8,26.658
-12221.9,708,0.936,-1.51,3.9,26.947
-12352.3,710,0.628,-1.8,3.87,26.861
-12482.7,712,0.978,-1.42,3.82,26.716
-12547.9,713,0.754,-1.65,3.83,26.745
-12613.1,714,0.956,-1.35,3.67,26.271
-12743.5,716,0.946,-1.5,3.9,26.947
-12873.8,718,0.964,-1.36,3.7,26.362
-13004.2,720,0.904,-1.42,3.7,26.362
-13134.6,722,0.939,-1.36,3.66,26.241
-13199.8,723,0.844,-1.62,3.93,27.032
-13265,724,0.814,-1.56,3.78,26.599
-13511.5,726,0.971,-1.36,3.71,26.392
-13758,728,1.16,-1.31,3.94,27.06
-14004.4,730,1.119,-1.07,3.49,25.712
-14250.9,732,1.269,-0.96,3.55,25.902
-14374.2,733,1.042,-1.2,3.57,25.964
-14497.4,734,1.218,-1.24,3.92,27.003
-14743.9,736,0.906,-1.48,3.8,26.658
-14990.4,738,1.301,-1.21,4.01,27.256
