year (AD),depth (cm),d18O (permil)
1339.2,0.01,-14.047
1332.4,0.02,-14.568
1325.6,0.03,-15.085
1318.8,0.04,-15.688
1312,0.05,-15.876
1305.2,0.06,-15.672
1298.4,0.07,-14.89
1291.6,0.08,-14.726
1284.8,0.09,-15.007
1278,0.1,-15.217
1271.2,0.11,-15.206
1264.4,0.12,-15.556
1257.6,0.13,-15.672
1250.8,0.14,-15.595
1244,0.15,-15.586
1237.2,0.16,-15.62
1230.4,0.17,-15.675
1223.6,0.18,-15.295
1216.8,0.19,-15.305
1210,0.2,-15.248
1203.2,0.21,-15.395
1196.4,0.22,-15.626
1189.6,0.23,-16.038
1182.8,0.24,-16.397
1176,0.25,-16.451
1169.2,0.26,-16.647
1162.4,0.27,-16.529
1155.6,0.28,-16.522
1148.8,0.29,-16.477
1142,0.3,-16.414
1135.2,0.31,-16.014
1128.4,0.32,-15.994
1121.6,0.33,-15.834
1114.8,0.34,-15.728
1108,0.35,-15.801
1101.2,0.36,-15.88
1094.4,0.37,-15.836
1087.6,0.38,-15.923
1080.8,0.39,-15.993
1074,0.4,-16.288
1067.2,0.41,-16.226
1060.4,0.42,-16.162
1053.6,0.43,-16.212
1046.8,0.44,-16.14
1040,0.45,-17.015
1033.2,0.46,-16.782
1026.4,0.47,-17.101
1019.6,0.48,-16.835
1012.8,0.49,-16.011
1006,0.5,-15.09
999.2,0.51,-14.432
999.2,0.51,-14.432
