year (AD),depth (cm),d18O (permil),d18O (permil)
1970,NA,-35.34,-31.99
1969,NA,-32.99,-26.4
1968,NA,-37.66,-30.45
1967,NA,-34.5,-31.74
1966,NA,-36.4,-29.72
1965,NA,-32.53,-32.29
1964,NA,-34.23,-30.19
1963,NA,-35.12,-30.61
1962,NA,-34.9,-30.37
1961,NA,-34.71,-30.35
1960,NA,-32.97,-31.81
1959,NA,-34.86,-32.13
1958,NA,-35.67,-31.24
1957,NA,-35.26,-30.64
1956,NA,-36.73,-33.41
1955,NA,-38.1,-34.43
1954,NA,-31.86,-32.5
1953,NA,-31.96,-31.41
1952,NA,-36.69,-32.23
1951,NA,-37.73,-28.92
1950,NA,-36.77,-30.15
1949,NA,-36.15,-31.04
1948,NA,-35.34,-31.99
1947,NA,-32.84,-28.87
1946,NA,-32.02,-30.53
1945,NA,-36.64,-29.31
1944,NA,-34.28,-32.48
1943,NA,-38.32,-30.95
1942,NA,-34.51,-31.32
1941,NA,-32.42,-28.77
1940,NA,-33.93,-29.93
1939,NA,-35.48,-30.15
1938,NA,-35.7,-32.35
1937,NA,-39.32,-32.58
1936,NA,-35.61,-28.69
1935,NA,-32.78,-29.91
1934,NA,-33.84,-28.97
1933,NA,-36.43,-29.27
1932,NA,-34.79,-27.44
1931,NA,-35.65,-30.66
1930,NA,-35.31,-30.87
1929,NA,-35.81,-29.22
1928,NA,-35.65,-32.46
1927,NA,-37.87,-28.23
1926,NA,-35.11,-32.12
1925,NA,-37.33,-32.62
1924,NA,-38.29,-33.34
1923,NA,-36.1,-30.75
1922,NA,-37.44,-32.51
1921,NA,-34.63,-30.63
1920,NA,-37.15,-32.08
1919,NA,-36.49,-30.34
1918,NA,-36.75,-30.29
1917,NA,-33.53,-30.56
1916,NA,-33.73,-29.49
1915,NA,-37.08,-32.49
1914,NA,-36.86,-29.99
1913,NA,-37.92,-32.3
1912,NA,-35.45,-31.2
1911,NA,-33.73,-31.37
1910,NA,-37.56,-31.39
1909,NA,-34.01,-32.41
1908,NA,-36.68,-31.53
1907,NA,-38.81,-31.5
1906,NA,-40.41,-33.06
1905,NA,-40.45,-34.04
1904,NA,-35.94,-29.65
1903,NA,-34.82,-32.12
1902,NA,-38.36,-32.83
1901,NA,-35.19,-27.87
1900,NA,-40.49,-35.81
1899,NA,-36.87,-30.41
1898,NA,-36.32,-32.92
1897,NA,-34.48,-31.29
1896,NA,-35.72,-32.51
1895,NA,-34.93,-26.41
1894,NA,-38.46,-29.26
1893,NA,-39.29,-33.26
1892,NA,-36.17,-33.01
1891,NA,-37.89,-31.63
1890,NA,-39.06,-33.59
1889,NA,-37.13,-26.63
1888,NA,-34.81,-30.52
1887,NA,-36.79,-32.66
1886,NA,-36.96,-31.86
1885,NA,-37.49,-31.59
1884,NA,-36.49,-30.75
1883,NA,-38.39,-29.1
1882,NA,-38.4,-31.38
1881,NA,-35.81,-30.9
1880,NA,-35.19,-29.18
1879,NA,-33.42,-33.34
1878,NA,-37.81,-32.39
1877,NA,-36.29,-32.14
1876,NA,-36.62,-29.68
1875,NA,-35.17,-31.08
1874,NA,-37.99,-29.9
1873,NA,-36.46,-33.04
1872,NA,-36.29,-29.64
1871,NA,-35.3,-29.98
1870,NA,-36.98,-29.7
1869,NA,-38.07,-32.83
1868,NA,-33.43,-31.07
1867,NA,-35.11,-30.36
1866,NA,-32.94,-31.55
1865,NA,-34.44,-31.42
1864,NA,-40.29,-30.43
1863,NA,-35.97,-34.03
1862,NA,-36.78,-31.54
1861,NA,-37.19,-33.46
1860,NA,-38.06,-33.77
1859,NA,-34.85,-32.23
1858,NA,-36.59,-29.89
1857,NA,-36.51,-32.6
1856,NA,-32.25,-31.93
1855,NA,-33.81,-29.57
1854,NA,-37.04,-31.26
1853,NA,-33.99,-33.7
1852,NA,-34.46,-30.96
1851,NA,-34.84,-31.37
1850,NA,-34.49,-32.89
1849,NA,-36.49,-32.05
1848,NA,-36.02,-32.68
1847,NA,-34.8,-31.55
1846,NA,-35.01,-31.21
1845,NA,-37.14,-30.23
1844,NA,-39.04,-34.22
1843,NA,-33.89,-32.62
1842,NA,-35.91,-28.99
1841,NA,-33.89,-29.69
1840,NA,-36.4,-30.15
1839,NA,-37.93,-30.98
1838,NA,-36.14,-32.5
1837,NA,-37.79,-30.63
1836,NA,-37.44,-32.69
1835,NA,-40.33,-34.4
1834,NA,-37.24,-32.88
1833,NA,-35.88,-30.81
1832,NA,-32.98,-31.93
1831,NA,-36.4,-29.45
1830,NA,-33.85,-33.4
1829,NA,-34.49,-33.04
1828,NA,-34.87,-30.12
1827,NA,-36.43,-31.85
1826,NA,-38.46,-32.72
1825,NA,-35.64,-30.59
1824,NA,-39.74,-30.87
1823,NA,-35.98,-35.06
1822,NA,-37.04,-29.66
1821,NA,-35.5,-33.11
1820,NA,-36.34,-29.01
1819,NA,-35.05,-33.16
1818,NA,-37.56,-31.9
1817,NA,-36.74,-30.5
1816,NA,-33.42,-32.75
1815,NA,-39.01,-30.09
1814,NA,-36.23,-31.1
1813,NA,-35.62,-30.05
1812,NA,-35.68,-32.96
1811,NA,-41.4,-28.8
1810,NA,-33.96,-30.73
1809,NA,-33.33,-29.65
1808,NA,-38.5,-30.63
1807,NA,-36.15,-31.99
1806,NA,-35.53,-29.92
1805,NA,-37.29,-27.84
1804,NA,-33.29,-31.74
1803,NA,-39.26,-31.24
1802,NA,-38.77,-36.98
1801,NA,-35.03,-32.44
1800,NA,-36.57,-29.48
1799,NA,-36.06,-33.3
1798,NA,-34.26,-32.85
1797,NA,-35.92,-31.96
1796,NA,-35.99,-31.71
1795,NA,-34.88,-31.58
1794,NA,-36.74,-31.44
1793,NA,-36.3,-33.31
1792,NA,-35.46,-30.37
1791,NA,-36.65,-29.42
1790,NA,-37.87,-28.08
1789,NA,-35.17,-31.15
1788,NA,-36.3,-32.79
1787,NA,-33.81,-28.58
1786,NA,-36.38,-29.94
1785,NA,-35.73,-30.39
1784,NA,-34.02,-31.84
1783,NA,-35.25,-28.48
1782,NA,-33.74,-33.78
1781,NA,-35.83,-30.67
1780,NA,-35.55,-30.62
1779,NA,-39.32,-32.46
1778,NA,-36.65,-35.2
