Age (years),d18O (per mil),Sr/Ca (mmol/mol)
1949.3333,-3.6304,NA
1949.1667,-3.6129,NA
1949,-3.5404,NA
1948.8333,-3.5062,NA
1948.6667,-3.5288,NA
1948.5,-3.7105,NA
1948.3333,-3.9453,NA
1948.1667,-3.8132,NA
1948,-3.6811,NA
1947.8333,-3.62,NA
1947.6667,-3.6521,NA
1947.5,-3.7473,NA
1947.3333,-3.9357,NA
1947.1667,-3.527,NA
1947,-3.4149,NA
1946.8333,-3.4694,NA
1946.6667,-3.6081,NA
1946.5,-3.7467,NA
1946.3333,-3.8853,NA
1946.1667,-3.7791,NA
1946,-3.673,NA
1945.8333,-3.6398,NA
1945.6667,-3.6796,NA
1945.5,-3.8568,NA
1945.3333,-4.0797,NA
1945.1667,-3.8421,NA
1945,-3.7183,NA
1944.8333,-3.7387,NA
1944.6667,-3.8654,NA
1944.5,-3.9921,NA
1944.3333,-4.1188,NA
1944.1667,-3.8922,NA
1944,-3.6655,NA
1943.8333,-3.5922,NA
1943.6667,-3.6721,NA
1943.5,-3.8435,NA
1943.3333,-4.0454,NA
1943.1667,-3.7538,NA
1943,-3.6566,NA
1942.8333,-3.6975,NA
1942.6667,-3.8118,NA
1942.5,-4.0028,NA
1942.3333,-4.2192,NA
1942.1667,-3.6294,NA
1942,-3.5627,NA
1941.8333,-3.4689,NA
1941.6667,-3.6025,NA
1941.5,-3.9025,9.3693
1941.3333,-3.9127,9.0052
1941.1667,-3.6891,9.3788
1941,-3.4654,9.3477
1940.8333,-3.4401,9.134
1940.6667,-3.613,9.0196
1940.5,-3.8605,9.3733
1940.3333,-4.1328,9.3467
1940.1667,-3.708,9.3119
1940,-3.0943,9.4478
1939.8333,-3.2552,9.3635
1939.6667,-3.6298,9.2724
1939.5,-3.8452,9.2955
1939.3333,-4.0547,9.2899
1939.1667,-3.0041,9.3375
1939,-3.5265,9.2614
1938.8333,-3.2582,9.4289
1938.6667,-3.3828,9.3539
1938.5,-3.3328,9.2721
1938.3333,-3.7003,NA
1938.1667,-3.3656,9.2067
1938,-3.1518,9.4186
1937.8333,-3.1364,9.3895
1937.6667,-3.279,9.3397
1937.5,-3.4347,9.2997
1937.3333,-3.5947,9.1609
1937.1667,-3.3281,9.1113
1937,-2.9969,9.236
1936.8333,-2.8675,9.2237
1936.6667,-3.0456,9.2513
1936.5,-3.3528,9.1481
1936.3333,-3.4638,8.9831
1936.1667,-3.2198,9.1703
1936,-2.9757,9.25
1935.8333,-3.2666,9.1628
1935.6667,-3.5362,9.2078
1935.5,-3.4981,9.255
1935.3333,-3.7716,9.352
1935.1667,-3.5233,9.4032
1935,-3.275,9.4352
1934.8333,-3.2705,9.412
1934.6667,-3.466,9.3671
1934.5,-3.6111,9.3604
1934.3333,-3.939,9.215
1934.1667,-3.3796,9.3645
1934,-3.3269,9.3386
1933.8333,-3.2913,9.3366
1933.6667,-3.3571,9.2442
1933.5,-3.434,9.3706
1933.3333,-3.4831,9.321
1933.1667,-3.1064,9.3356
1933,-2.9331,9.3914
1932.8333,-2.9285,9.3559
1932.6667,-3.0247,9.392
1932.5,-3.2417,9.426
1932.3333,-3.4989,9.3039
1932.1667,-3.3751,9.2828
1932,-3.0579,9.3494
1931.8333,-3.0938,9.3497
1931.6667,-3.2689,9.3511
1931.5,-3.6279,9.3243
1931.3333,-4.0482,9.1681
1931.1667,-3.598,9.3028
1931,-3.1507,9.3219
1930.8333,-3.1756,9.3095
1930.6667,-3.6717,9.353
1930.5,-3.8466,9.241
1930.3333,-3.9145,9.295
1930.1667,-3.6133,9.3478
1930,-3.3368,9.3452
1929.8333,-3.2476,9.3853
1929.6667,-3.2352,9.2223
1929.5,-3.3737,9.2748
1929.3333,-3.5682,9.339
1929.1667,-3.4779,9.4236
1929,-3.2007,9.448
1928.8333,-3.0802,9.4432
1928.6667,-3.3392,9.4194
1928.5,-3.8584,9.376
1928.3333,-4.0734,9.393
1928.1667,-3.2213,NA
1928,-3.155,9.2762
1927.8333,-3.2998,9.3851
1927.6667,-3.3937,9.501
1927.5,-3.4815,9.5321
1927.3333,-3.5673,9.665
1927.1667,-3.2562,9.6
1927,-3.4227,9.561
1926.8333,-3.3841,9.5622
1926.6667,-3.468,9.3388
1926.5,-3.1777,9.5126
1926.3333,-3.2388,9.54
1926.1667,-3.074,9.5374
1926,-2.9074,9.4945
1925.8333,-2.8775,9.5731
1925.6667,-2.9846,9.5453
1925.5,-3.1397,9.5496
1925.3333,-3.3107,9.452
1925.1667,-3.2645,9.4909
1925,-3.1702,9.507
1924.8333,-3.0324,9.4638
1924.6667,-3.2729,9.3976
1924.5,-3.5135,9.3904
1924.3333,-3.7541,9.4029
1924.1667,-3.579,9.4712
1924,-3.4024,9.4064
1923.8333,-3.3587,9.5848
1923.6667,-3.4056,9.4441
1923.5,-3.633,9.5533
1923.3333,-3.9205,9.4769
1923.1667,-3.576,9.3495
1923,-3.33,9.5384
1922.8333,-3.2081,9.4944
1922.6667,-3.5649,9.3175
1922.5,-3.8495,9.3113
1922.3333,-3.881,9.375
1922.1667,-3.6762,9.3174
1922,-3.5732,9.4495
1921.8333,-3.6276,NA
1921.6667,-3.7536,NA
1921.5,-3.7809,NA
1921.3333,-3.8338,NA
1921.1667,-3.8344,NA
1921,-3.835,NA
1920.8333,-3.8911,NA
1920.6667,-4.0027,NA
1920.5,-4.2046,NA
1920.3333,-4.4365,NA
1920.1667,-4.2036,NA
1920,-3.8864,NA
1919.8333,-3.785,NA
1919.6667,-3.893,NA
1919.5,-4.001,NA
1919.3333,-4.1089,NA
1919.1667,-3.9698,NA
1919,-3.8307,NA
1918.8333,-3.7633,NA
1918.6667,-3.8477,NA
1918.5,-4.0982,NA
1918.3333,-4.3803,NA
1918.1667,-4.2969,NA
1918,-4.0059,NA
1917.8333,-3.9128,NA
1917.6667,-4.0868,NA
1917.5,-4.2608,NA
1917.3333,-4.4348,NA
