year (AD),d18O (permil),Sr_Ca (mmol/mol),d13C (permil)
1997.54,-5.374,8.7482,-1.315
1997.46,-5.4193,8.7378,-1.352
1997.37,-5.3403,8.7102,-1.3107
1997.29,-5.164,8.7123,-1.0011
1997.21,-5.0856,8.7433,-0.66924
1997.12,-5.0304,8.7784,-0.65864
1997.04,-4.9118,8.8238,-0.76795
1996.96,-4.8473,8.8597,-0.99039
1996.87,-4.8979,8.9,-1.3671
1996.79,-4.8566,8.9332,-1.4188
1996.71,-4.8716,8.9434,-1.5836
1996.62,-4.8694,8.9304,-1.6244
1996.54,-4.996,8.9012,-1.489
1996.46,-5.1986,8.8478,-1.1276
1996.37,-5.1821,8.8027,-0.69264
1996.29,-5.1853,8.7861,-0.66042
1996.21,-5.2908,8.7957,-0.97125
1996.12,-5.3709,8.8163,-1.339
1996.04,-5.4831,8.8027,-1.2598
1995.96,-5.4908,8.7734,-1.0201
1995.87,-5.4543,8.7567,-0.84403
1995.79,-5.4842,8.7509,-0.65321
1995.71,-5.5512,8.741,-0.93944
1995.62,-5.7311,8.7223,-1.2357
1995.54,-5.8122,8.7138,-1.2823
1995.46,-5.808,8.713,-1.2291
1995.37,-5.7536,8.7107,-1.1553
1995.29,-5.7065,8.7157,-1.0851
1995.21,-5.7539,8.7296,-1.023
1995.12,-5.7933,8.7328,-0.95241
1995.04,-5.8061,8.717,-0.91131
1994.96,-5.8317,8.6958,-0.97802
1994.87,-5.8813,8.7089,-1.021
1994.79,-5.8873,8.7469,-0.94093
1994.71,-5.75,8.7745,-0.5409
1994.62,-5.5902,8.8024,-0.044468
1994.54,-5.2422,8.903,-0.32041
1994.46,-5.0955,8.9709,-0.32639
1994.37,-5.2197,8.9636,-0.39863
1994.29,-5.3559,8.9274,-0.58759
1994.21,-5.3731,8.8752,-0.73851
1994.12,-5.4136,8.8671,-0.82112
1994.04,-5.486,8.8884,-0.82507
1993.96,-5.4048,8.9097,-0.75479
1993.87,-5.3155,8.9047,-0.81285
1993.79,-5.2076,8.9106,-0.91796
1993.71,-5.0626,8.895,-0.96562
1993.62,-5.0056,8.8704,-1.0673
1993.54,-5.0054,8.8563,-1.1263
1993.46,-5.0103,8.8436,-1.1785
1993.37,-5.0153,8.831,-1.2308
1993.29,-5.0323,8.818,-1.2942
1993.21,-5.1068,8.804,-1.4115
1993.12,-5.1889,8.7898,-1.5359
1993.04,-5.271,8.7757,-1.6603
1992.96,-5.3358,8.7644,-1.6757
1992.87,-5.3029,8.7742,-1.1713
1992.79,-5.2174,8.7798,-0.88754
1992.71,-5.1833,8.7648,-1.0079
1992.62,-5.1813,8.7624,-0.87964
1992.54,-5.0848,8.7926,-0.87948
1992.46,-5.0074,8.822,-1.1144
1992.37,-5.0782,8.8429,-1.6254
1992.29,-5.2143,8.8005,-1.6447
1992.21,-5.3466,8.7763,-1.3807
1992.12,-5.4243,8.7779,-1.4751
1992.04,-5.2825,8.7951,-1.5762
1991.96,-5.2115,8.7879,-1.4376
1991.87,-5.1971,8.7489,-1.2691
1991.79,-5.1327,8.7884,-1.2138
1991.71,-5.1047,8.8178,-1.3289
1991.62,-5.2111,8.7757,-1.5247
1991.54,-5.2385,8.765,-1.6071
1991.46,-5.2544,8.7799,-1.6719
1991.37,-5.2736,8.7666,-1.5561
1991.29,-5.3275,8.7513,-1.3903
1991.21,-5.3943,8.7525,-1.2981
1991.12,-5.44,8.755,-1.2908
1991.04,-5.4435,8.7519,-1.2616
1990.96,-5.3974,8.7606,-1.1287
1990.87,-5.3549,8.758,-1.0741
1990.79,-5.2959,8.7554,-1.1752
1990.71,-5.2575,8.7932,-1.3643
1990.62,-5.2164,8.8087,-1.5972
1990.54,-5.2454,8.8079,-1.6471
1990.46,-5.2961,8.796,-1.5725
1990.37,-5.336,8.7844,-1.484
1990.29,-5.3804,8.7658,-1.3408
1990.21,-5.4057,8.7375,-1.1883
1990.12,-5.3685,8.7432,-1.2477
1990.04,-5.338,8.7532,-1.395
1989.96,-5.2925,8.7427,-1.4358
1989.87,-5.1864,8.7365,-1.3746
1989.79,-5.1917,8.7383,-1.3856
1989.71,-5.2159,8.7336,-1.4376
1989.62,-5.1786,8.7316,-1.3979
1989.54,-5.1561,8.7382,-1.3165
1989.46,-5.1762,8.7524,-1.2943
1989.37,-5.1651,8.7672,-1.3192
1989.29,-5.1562,8.7759,-1.2766
1989.21,-5.1944,8.7766,-1.0919
1989.12,-5.3028,8.7348,-1.1342
1989.04,-5.3418,8.7231,-1.1306
1988.96,-5.3214,8.7207,-1.0358
1988.87,-5.2649,8.724,-1.0731
1988.79,-5.1733,8.746,-1.1816
1988.71,-5.1575,8.75,-1.2357
1988.62,-5.2321,8.7193,-1.2436
1988.54,-5.2499,8.7033,-1.2716
1988.46,-5.2739,8.7043,-1.2635
1988.37,-5.2659,8.717,-1.201
1988.29,-5.2865,8.7326,-1.2452
1988.21,-5.2996,8.724,-1.2275
1988.12,-5.3472,8.7186,-1.1735
1988.04,-5.3445,8.7433,-1.2069
1987.96,-5.2995,8.7432,-1.2756
1987.87,-5.2121,8.7378,-1.3795
1987.79,-5.0421,8.7587,-1.4879
1987.71,-4.8807,8.7851,-1.505
1987.62,-4.8684,8.8256,-1.5266
1987.54,-4.9067,8.8355,-1.4701
1987.46,-4.9687,8.8393,-1.5352
1987.37,-5.073,8.8287,-1.5219
1987.29,-5.2446,8.7753,-1.5228
1987.21,-5.4855,8.73,-1.3571
1987.12,-5.4456,8.7421,-1.2296
1987.04,-5.3907,8.7447,-1.3776
1986.96,-5.3515,8.7335,-1.3345
1986.87,-5.2699,8.7385,-1.2891
1986.79,-5.2239,8.7785,-1.2663
1986.71,-5.2081,8.815,-1.3262
1986.62,-5.1757,8.8229,-1.4856
1986.54,-5.2137,8.7964,-1.4164
1986.46,-5.2202,8.8135,-1.3059
1986.37,-5.2963,8.8286,-1.2576
1986.29,-5.4606,8.8138,-1.0997
1986.21,-5.5026,8.7722,-0.8214
1986.12,-5.4937,8.7523,-0.81934
1986.04,-5.462,8.764,-0.87939
1985.96,-5.345,8.7505,-0.79876
1985.87,-5.2974,8.7221,-0.82976
1985.79,-5.3969,8.7077,-1.0554
1985.71,-5.45,8.7155,-1.1639
1985.62,-5.3307,8.72,-1.1353
1985.54,-5.2615,8.7246,-1.0084
1985.46,-5.3462,8.7337,-1.0579
1985.37,-5.4153,8.7435,-1.1367
1985.29,-5.4207,8.7409,-1.1989
1985.21,-5.4232,8.7219,-1.2237
1985.12,-5.4281,8.6808,-1.2294
1985.04,-5.3803,8.6673,-1.126
1984.96,-5.3866,8.6813,-1.0247
1984.87,-5.3386,8.6815,-1.0128
1984.79,-5.2987,8.7078,-0.99833
1984.71,-5.2428,8.7243,-1.1095
1984.62,-5.2098,8.7188,-1.3356
1984.54,-5.1817,8.7278,-1.31
1984.46,-5.2228,8.7241,-1.1208
1984.37,-5.3217,8.6867,-1.0607
1984.29,-5.503,8.6445,-1.0967
1984.21,-5.6088,8.6328,-1.0864
1984.12,-5.6507,8.6561,-0.83612
1984.04,-5.565,8.6827,-0.63328
1983.96,-5.4231,8.6949,-0.73723
1983.87,-5.3077,8.7109,-1.026
1983.79,-5.2061,8.7675,-1.2117
1983.71,-5.075,8.8088,-1.2315
1983.62,-5.0065,8.8258,-1.3891
1983.54,-5.0498,8.8197,-1.4665
1983.46,-5.1442,8.8015,-1.4807
1983.37,-5.2789,8.7681,-1.4321
1983.29,-5.3873,8.7124,-1.3469
1983.21,-5.4668,8.6854,-1.2621
1983.12,-5.5176,8.6841,-1.169
1983.04,-5.4956,8.7022,-0.99509
1982.96,-5.3728,8.7265,-0.82959
1982.87,-5.1862,8.7552,-0.73199
1982.79,-5.0339,8.7922,-0.82459
1982.71,-4.9073,8.8314,-0.93976
1982.62,-4.8415,8.8659,-1.1013
1982.54,-4.9593,8.864,-1.4596
1982.46,-5.1423,8.8173,-1.7075
1982.37,-5.3905,8.7588,-1.2171
1982.29,-5.3847,8.7455,-0.87514
1982.21,-5.3325,8.7271,-0.784
1982.12,-5.2866,8.7007,-0.91313
1982.04,-5.2405,8.7102,-1.0204
1981.96,-5.2721,8.7135,-1.0741
1981.87,-5.3922,8.7184,-0.96911
1981.79,-5.4239,8.7208,-0.90438
1981.71,-5.4083,8.7198,-0.99918
1981.62,-5.4187,8.7163,-1.1573
1981.54,-5.3165,8.7603,-1.2656
1981.46,-5.2958,8.7775,-1.5978
1981.37,-5.4234,8.745,-1.6075
1981.29,-5.5918,8.7061,-1.5252
1981.21,-5.6171,8.6944,-1.3309
1981.12,-5.5839,8.7099,-1.1568
1981.04,-5.5387,8.7233,-1.0769
1980.96,-5.4615,8.7338,-0.97053
1980.87,-5.3509,8.7327,-0.8757
1980.79,-5.1362,8.7687,-0.78208
1980.71,-5.0811,8.7864,-1.0223
1980.62,-5.0713,8.8196,-1.3485
1980.54,-5.1556,8.8174,-1.6393
1980.46,-5.2564,8.7836,-1.7512
1980.37,-5.3148,8.763,-1.5057
1980.29,-5.3787,8.7353,-1.2797
1980.21,-5.3388,8.7276,-1.1216
1980.12,-5.1512,8.7348,-0.91234
1980.04,-5.0809,8.7555,-0.74178
1979.96,-5.0598,8.7775,-0.66535
1979.87,-5.093,8.7985,-0.81101
1979.79,-5.1042,8.7951,-0.97103
1979.71,-5.1283,8.7758,-1.073
1979.62,-5.133,8.7454,-1.1555
1979.54,-5.129,8.7348,-1.1642
1979.46,-5.1109,8.7313,-1.1318
1979.37,-5.1665,8.7207,-1.1005
1979.29,-5.1586,8.7227,-1.1233
1979.21,-5.1605,8.7184,-1.2566
1979.12,-5.1907,8.7045,-1.2725
1979.04,-5.2416,8.6977,-1.1871
1978.96,-5.2799,8.6996,-1.1151
1978.87,-5.3227,8.7048,-1.1268
1978.79,-5.3913,8.7052,-1.0905
1978.71,-5.3636,8.7109,-1.0539
