year (ad),d18O LW-P1 (permil),d18O LW-P5 (permil),d18O LW-P6 (permil),d18O LW-P7 (permile),d18O MW-P1 (permil),d18O MW-P5 (permil),d18O MW-P6 (permil),d18O MW-P7 (permil)
1950,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA
1952,28.67,28.52,28.71,NA,28.03,27.75,28.13,NA
1953,28.62,27.78,28.77,NA,28.04,28.05,28.68,NA
1954,28.59,27.64,28.19,NA,28.28,28.25,28.47,NA
1955,28.03,26.91,28.48,26.73,27.67,28.46,28.26,27.07
1956,28.98,28.65,28.98,27.6,28.44,NA,28.89,27.25
1957,28.8,28.08,29.07,27.77,28.69,28.54,29.12,27.75
1958,28.54,29,29.11,27.98,27.38,NA,27.93,27.42
1959,28.25,28.08,28.89,27.69,28.14,29.39,28.43,26.61
1960,29.14,29.57,29.93,28.13,28.74,29.39,29.25,27.89
1961,29.31,29.26,30,28.16,27.98,28.58,27.96,27.53
1962,27.55,27.21,27.6,26.82,28.33,27.79,29.17,27.17
1963,28.13,28.05,27.96,26.95,28.25,28.97,29.18,27.09
1964,29.14,29.13,28.96,27.55,28.11,NA,28.41,27.52
1965,28.76,29.76,29.5,27.59,28.74,29.1,28.96,27.65
1966,28.61,28.55,29.06,27.28,28.52,29.23,28.85,27.77
1967,28.27,28.45,28.75,27.55,27.92,28.35,28.36,28.06
1968,28.29,27.19,28.15,27.42,28.47,28.12,28.37,27.54
1969,28.41,28.57,29.1,27.49,26.81,28.35,27.76,26.98
1970,29.26,30.3,29.63,28.9,29.15,29.61,29.09,27.25
1971,28.93,28.12,28.64,27.48,27.71,27.58,27.54,26.78
1972,29.76,29.57,29.63,28.23,28.98,29.33,29.36,27.75
1973,28.49,28.61,28.73,27.69,28.48,29.08,28.45,27.57
1974,28.56,29.18,30.12,27.37,28.43,28.94,28.59,26.67
1975,28.54,28.01,28.37,27.39,28.24,28.91,28.39,27.2
1976,28.54,29.29,28.35,27.92,28.22,28.21,28.72,27.16
1977,28.11,27.94,NA,26.67,29.12,29.17,28.6,27.53
1978,28.67,28.77,28.75,27.68,27.76,28.89,28.01,27.37
1979,29.06,28.87,28.51,27.72,29.23,29.29,28.59,27.33
1980,29.01,29.42,29.33,27.63,28.31,29.25,28.02,26.72
1981,28.9,28.38,28.32,26.88,NA,28.7,27.82,26.8
1982,28.36,28.2,28.25,27.34,28.19,27.74,28.17,27.84
1983,28.42,27.34,27.74,25.79,27.77,27.97,28.01,26.74
1984,29.41,29.72,29.36,28.09,29.74,30.22,29.63,27.51
1985,29.12,29.03,29.13,27.33,29.27,28.87,29.17,27.12
1986,29.1,28.87,28.97,27.72,29.2,28.82,28.64,27.45
1987,29.3,29.63,29.55,28.11,28.85,29.14,28.51,27.52
1988,29.4,29.24,29.15,27.81,28.9,28.74,28.57,27.66
1989,28.51,28.54,28.45,27.56,28.6,28.03,27.66,27.05
1990,28.77,28.8,28.6,27.6,27.75,28.13,27.41,26.91
1991,30.07,29.92,29.91,28.42,28.7,NA,28.5,27.23
1992,29.62,29.69,29.17,28.81,28.96,29.27,28.54,27.58
1993,29.65,29.76,28.47,28.09,28.92,28.9,27.83,27.79
1994,28.83,28.84,28.28,27.94,28.63,28.91,28.14,27.24
1995,28.83,28.73,28.64,27.52,27.04,27.33,26.65,26.67
1996,29.15,29.59,29.34,28.15,29.3,30.05,29.21,28.3
1997,28.52,28.22,28.13,27.56,28.96,28.64,28.46,27.88
1998,28.63,28.79,28.69,27.58,27.73,28.02,27.7,26.68
1999,28.59,29.02,29.17,27.8,27.36,27.79,27.27,26.94
2000,29.05,29.02,29.13,28.07,28.22,28.73,27.72,27.63
2001,29.14,29.18,28.6,27.92,28.22,28.59,27.94,27.43
2002,28.19,29.76,29.03,28.37,28.49,29.59,28.91,27.95
2003,NA,29.1,28.01,NA,NA,28.83,28.42,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA
