year (AD),d18O (permil),Sr_Ca (mmol/mol)
1996.5,-5.32,9.2135
1995.5,-5.25,9.1882
1994.5,-5.12,9.2138
1993.5,-5.01,9.2476
1992.5,-5,9.207
1991.5,-5.16,9.1997
1990.5,-5.18,9.1909
1989.5,-5.41,9.1628
1988.5,-5.27,9.2103
1987.5,-5.03,9.2417
1986.5,-5.11,9.2185
1985.5,-5.15,9.2209
1984.5,-5.21,9.2303
1983.5,-4.94,9.2403
1982.5,-5.25,9.2406
1981.5,-5.21,9.2478
1980.5,-5.15,9.2128
1979.5,-5.2,9.2276
1978.5,-4.99,9.248
1977.5,-5,9.2366
1976.5,-5.17,9.1994
1975.5,-5.17,9.2021
1974.5,-5.18,9.2165
1973.5,-5.06,9.2201
1972.5,-5.08,9.2412
1971.5,-5.36,9.2253
1970.5,-5.18,9.2409
1969.5,-5.11,9.2708
1968.5,-5.22,9.2541
1967.5,-5.13,9.2592
1966.5,-5.05,9.2861
1965.5,-5.11,9.3018
1964.5,-5.08,9.2247
1963.5,-5.2,9.2369
1962.5,-5.25,9.2553
1961.5,-5.26,9.2307
1960.5,-5.12,9.2315
1959.5,-5.04,9.2036
1958.5,-4.93,9.2687
1957.5,-5.12,9.2271
1956.5,-5.25,9.1991
1955.5,-5.18,9.2085
1954.5,-4.99,9.2202
1953.5,-4.87,9.2366
1952.5,-5.02,9.2009
1951.5,-5.26,9.2305
1950.5,-5.36,9.2365
1949.5,-5.21,9.2475
1948.5,-5.09,9.1714
1947.5,-5.06,9.1961
1946.5,-5.19,9.235
1945.5,-4.98,9.2503
1944.5,-5.12,9.2618
1943.5,-5.13,9.2578
1942.5,-4.98,9.2858
1941.5,-4.93,9.2794
1940.5,-4.87,9.2972
1939.5,-5.07,9.305
1938.5,-5,9.2396
1937.5,-4.92,9.2421
1936.5,-5.15,9.2273
1935.5,-5,9.2367
1934.5,-5.07,9.2208
1933.5,-5.08,9.2241
1932.5,-5.06,9.2154
1931.5,-4.84,9.2784
1930.5,-4.79,9.3031
1929.5,-4.87,9.2471
1928.5,-4.92,9.2442
1927.5,-5.14,9.2161
1926.5,-4.85,9.2617
1925.5,-4.98,9.2597
1924.5,-4.91,9.2651
1923.5,-4.91,9.2615
1922.5,-5.14,9.2259
1921.5,-5.07,9.2462
1920.5,-4.93,9.2493
1919.5,-4.9,9.2555
1918.5,-5.14,9.2509
1917.5,-5.31,9.221
1916.5,-5.2,9.2401
1915.5,-4.94,9.2414
1914.5,-4.87,9.2626
1913.5,-4.82,9.2716
1912.5,-4.76,9.2726
1911.5,-5.08,9.2418
1910.5,-5.14,9.2467
1909.5,-4.94,9.2879
1908.5,-4.99,9.305
1907.5,-4.96,9.2943
1906.5,-4.85,9.267
1905.5,-4.66,9.3201
1904.5,-4.86,9.2953
1903.5,-4.8,9.323
1902.5,-4.83,9.3102
1901.5,-4.76,9.343
1900.5,-4.72,9.3106
1899.5,-4.88,9.2897
1898.5,-4.98,9.245
1897.5,-4.86,9.2388
1896.5,-4.93,9.2086
1895.5,-4.94,9.229
1894.5,-4.96,9.2564
1893.5,-5.24,9.2017
1892.5,-5.09,9.2127
1891.5,-5.06,9.234
1890.5,-5.16,9.2229
1889.5,-4.9,9.2624
1888.5,-4.87,9.2947
1887.5,-4.99,9.2967
1886.5,-4.76,9.3132
1885.5,-4.78,9.3149
1884.5,-4.75,9.3225
1883.5,-4.87,9.3108
1882.5,-4.89,9.3352
1881.5,-4.97,9.297
1880.5,-5.02,9.3395
1879.5,-5.16,9.2306
1878.5,-4.7,9.2852
