year (AD),depth (m),d18O (permil)
1960,NA,-27.18
1940,NA,-27.03
1920,NA,-27.24
1900,NA,-27.25
1880,NA,-27.67
1860,NA,-28.49
1840,NA,-28.02
1820,NA,-27.84
1800,NA,-27.8
1780,NA,-27.62
1760,NA,-27.62
1740,NA,-28.31
1720,NA,-28.47
1700,NA,-28.55
1680,NA,-28.53
1660,NA,-28.02
1640,NA,-28.36
1620,NA,-27.79
1600,NA,-28.14
1580,NA,-27.72
1560,NA,-28.36
1540,NA,-27.97
1520,NA,-28.12
1500,NA,-28.76
1480,NA,-28.05
1460,NA,-27.86
1440,NA,-27.62
1420,NA,-27.81
1400,NA,-28.05
1380,NA,-27.89
1360,NA,-27.85
1340,NA,-28.15
1320,NA,-28.14
1300,NA,-27.43
1280,NA,-27.82
1260,NA,-28.23
1240,NA,-28.01
1220,NA,-27.68
1200,NA,-27.6
1180,NA,-27.57
1160,NA,-28.1
1140,NA,-27.58
1120,NA,-27.15
1100,NA,-28.45
1080,NA,-28.25
1060,NA,-28.11
1040,NA,-27.67
1020,NA,-27.55
1000,NA,-27.86
980,NA,-27.81
960,NA,-27.51
940,NA,-27.49
920,NA,-27.26
900,NA,-27.86
880,NA,-27.69
860,NA,-26.9
840,NA,-26.87
820,NA,-28.12
800,NA,-27.46
780,NA,-27.36
760,NA,-27.75
740,NA,-27.48
720,NA,-28.08
700,NA,-27.63
680,NA,-27.13
660,NA,-27
640,NA,-27.61
620,NA,-27.91
600,NA,-27.92
580,NA,-27.55
560,NA,-27.91
540,NA,-27.92
520,NA,-27.62
500,NA,-27.82
480,NA,-27.75
460,NA,-27.45
440,NA,-27.27
420,NA,-27.09
400,NA,-27.17
380,NA,-27.66
360,NA,-27.28
340,NA,-27.3
320,NA,-27.18
300,NA,-27.33
280,NA,-27.42
260,NA,-27.52
240,NA,-27.05
220,NA,-27.31
200,NA,-27.31
180,NA,-27.33
160,NA,-27.63
140,NA,-27.68
120,NA,-27.59
100,NA,-27.82
80,NA,-27.23
60,NA,-27.53
40,NA,-27.94
20,NA,-28.58
0,NA,-28.09
-20,NA,-27.44
-40,NA,-26.86
-60,NA,-27.36
-80,NA,-26.71
-100,NA,-27.25
-120,NA,-27.36
-140,NA,-27.57
-160,NA,-27.42
-180,NA,-27.39
-200,NA,-27.55
-220,NA,-27.63
-240,NA,-27.8
-260,NA,-28.03
-280,NA,-27.88
-300,NA,-28.16
-320,NA,-28.2
-340,NA,-27.48
-360,NA,-26.71
-380,NA,-27.1
-400,NA,-26.87
-420,NA,-26.9
-440,NA,-27.05
-460,NA,-26.9
-480,NA,-27.21
-500,NA,-27.39
-520,NA,-26.99
-540,NA,-27.02
-560,NA,-27.19
-580,NA,-27.24
-600,NA,-27.07
-620,NA,-27.56
-640,NA,-28.08
-660,NA,-27.46
-680,NA,-28.31
-700,NA,-27.79
-720,NA,-27.82
-740,NA,-27.22
-760,NA,-26.44
-780,NA,-26.63
-800,NA,-27.78
-820,NA,-27.64
-840,NA,-27.46
-860,NA,-27.44
-880,NA,-26.97
-900,NA,-27.11
-920,NA,-26.82
-940,NA,-26.79
-960,NA,-27.8
-980,NA,-26.43
-1000,NA,-27.13
-1020,NA,-27.15
-1040,NA,-26.57
-1060,NA,-27.54
-1080,NA,-26.57
-1100,NA,-27.32
-1120,NA,-27.46
-1140,NA,-27.61
-1160,NA,-26.8
-1180,NA,-26.99
-1200,NA,-26.77
-1220,NA,-26.66
-1240,NA,-26.41
-1260,NA,-27.18
-1280,NA,-27.17
-1300,NA,-26.77
-1320,NA,-27.02
-1340,NA,-27.31
-1360,NA,-27.45
-1380,NA,-27
-1400,NA,-27.63
-1420,NA,-27.12
-1440,NA,-27.27
-1460,NA,-26.62
-1480,NA,-26.71
-1500,NA,-27.23
-1520,NA,-27.28
-1540,NA,-27
-1560,NA,-27.22
-1580,NA,-27.42
-1600,NA,-27.04
-1620,NA,-27.47
-1640,NA,-27.88
-1660,NA,-27.65
-1680,NA,-27.25
-1700,NA,-27.06
-1720,NA,-27.14
-1740,NA,-26.91
-1760,NA,-27.25
-1780,NA,-27.49
-1800,NA,-27.43
-1820,NA,-27.17
-1840,NA,-27.68
-1860,NA,-27.35
-1880,NA,-27.43
-1900,NA,-26.81
-1920,NA,-27.16
-1940,NA,-27.22
-1960,NA,-27.35
-1980,NA,-27.01
-2000,NA,-27.34
-2020,NA,-27.46
-2040,NA,-27.01
-2060,NA,-27.23
-2080,NA,-26.74
-2100,NA,-26.81
-2120,NA,-27
-2140,NA,-27.03
-2160,NA,-27.1
-2180,NA,-26.44
-2200,NA,-26.23
-2220,NA,-26.63
-2240,NA,-26.74
-2260,NA,-26.66
-2280,NA,-27.16
-2300,NA,-27.76
-2320,NA,-27.57
-2340,NA,-28.03
-2360,NA,-27.13
-2380,NA,-27.07
-2400,NA,-27.49
-2420,NA,-26.93
-2440,NA,-27.31
-2460,NA,-27.17
-2480,NA,-26.88
-2500,NA,-27.36
-2520,NA,-27.31
-2540,NA,-26.78
-2560,NA,-27.45
-2580,NA,-26.78
-2600,NA,-26.54
-2620,NA,-27.01
-2640,NA,-27.05
-2660,NA,-26.9
-2680,NA,-26.46
-2700,NA,-26.77
-2720,NA,-26.77
-2740,NA,-26.44
-2760,NA,-26.28
-2780,NA,-26.69
-2800,NA,-26.68
-2820,NA,-26.83
-2840,NA,-27.55
-2860,NA,-26.93
-2880,NA,-27.22
-2900,NA,-27.37
-2920,NA,-27.19
-2940,NA,-26.36
-2960,NA,-26.36
-2980,NA,-26.49
-3000,NA,-26.15
-3020,NA,-26.33
-3040,NA,-26.66
-3060,NA,-27.06
-3080,NA,-26.86
-3100,NA,-26.61
-3120,NA,-26.85
-3140,NA,-26.69
-3160,NA,-26.99
-3180,NA,-26.65
-3200,NA,-26.33
-3220,NA,-27.36
-3240,NA,-26.71
-3260,NA,-26.7
-3280,NA,-26.93
-3300,NA,-26.97
-3320,NA,-26.86
