year (AD),depth (cm),dD (permil),dD (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty ()
2008,0,-150,-146,NA,NA,-159,0.4,1.3,6.9,NA,NA,-159,0.5
2007,1,-149,-143,NA,NA,-158,4.1,0.1,5.2,NA,NA,-155,3.1
2006,2,-144,-153,NA,NA,NA,NA,3.2,4.5,NA,NA,NA,NA
2004,4,-152,-140,NA,NA,-144,0.2,4.5,NA,NA,NA,-159,0.8
2002,6,-151,-145,NA,NA,-130,0.1,0.1,3.7,NA,NA,-164,1.9
2000,8,-155,-152,NA,NA,-168,0.9,0.9,1.4,-149,NA,-168,0.8
1997,10,-157,-155,NA,NA,-162,0.6,0.5,2.2,-150,0.2,-165,1.6
1995,12,-153,-155,NA,NA,-153,0.4,1.5,3.1,NA,NA,-164,2.9
1993,14,-155,-151,NA,NA,-158,0.2,0.8,2.4,-148,NA,-168,0.9
1991,16,-147,-151,NA,NA,-151,2.2,0.8,5.8,NA,NA,-152,0.1
1989,18,-130,-132,NA,NA,-143,0.5,2.7,5.5,NA,NA,-146,1.4
1987,20,-152,NA,NA,NA,-154,0.3,3.2,NA,NA,NA,-161,1.3
1985,22,-140,NA,NA,NA,-151,0.7,0.6,NA,NA,NA,-152,0.4
1983,24,-142,NA,NA,NA,-151,1.2,1.1,NA,NA,NA,-150,2.1
1980,26,-151,NA,NA,NA,-153,0.1,1.7,NA,NA,NA,-163,2
1978,28,NA,NA,NA,NA,-149,0.4,NA,NA,NA,NA,-159,1.8
1976,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,32,NA,NA,NA,NA,-133,2.8,NA,NA,NA,NA,-133,1.2
1972,34,-153,-149,NA,NA,-159,0.2,0.4,0.3,-148,1.6,-163,0.5
1970,36,-154,-150,NA,NA,-160,2.7,3.1,0.8,-147,3.2,-168,0.5
1968,38,-154,-151,NA,NA,-161,1.4,1.2,0.6,-149,NA,-162,2
1966,40,-159,-155,NA,NA,-161,1.6,1,0.4,-150,2.4,-165,1
1964,42,-127,NA,NA,NA,-131,0.1,1.6,NA,NA,NA,-138,0
1961,44,-135,-134,NA,NA,-134,0.7,2.6,1.3,NA,NA,-148,1.5
1958,46,-146,NA,NA,NA,-152,1.3,2.6,NA,NA,NA,-193,0.6
1955,48,-155,-129,NA,NA,-143,4.1,3.1,2.7,NA,NA,-168,2.2
1952,50,-159,-132,NA,NA,-144,0.9,0.4,2.6,NA,NA,-165,1.5
1949,52,NA,-144,NA,NA,-164,3.6,3.3,5.1,NA,NA,-167,0
1946,54,-158,-154,NA,NA,-164,1.9,1.7,1.9,-149,1.4,-167,0.2
1943,56,-158,-155,NA,NA,-163,0.4,1.7,0.7,-143,3.1,-173,0.7
