depth (cm) [1-1],year (AD) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2]
0,1994.38,-4.57,1993.92,-4.16
0.2,1994.25,-4.41,1993.75,-3.86
0.5,1994.07,-4.4,1993.58,-3.85
0.75,1993.91,-4.15,1993.42,-4.01
0.9,1993.81,-3.9,1993.25,-4
1.05,1993.71,-3.83,1993.08,-3.96
1.2,1993.58,-3.85,1992.92,-3.9
1.4,1993.4,-4.02,1992.75,-3.59
1.5,1993.32,-4.05,1992.58,-4.02
1.6,1993.23,-3.98,1992.42,-4.22
1.8,1993.06,-3.96,1992.25,-4.08
1.9,1992.97,-4.06,1992.08,-4.12
2,1992.88,-3.79,1991.92,-4.11
2.1,1992.79,-3.69,1991.75,-3.73
2.2,1992.71,-3.49,1991.58,-3.84
2.3,1992.63,-4,1991.42,-4.21
2.4,1992.56,-4.03,1991.25,-4.43
2.5,1992.49,-3.85,1991.08,-4.23
2.6,1992.41,-4.24,1990.92,-3.91
2.68,1992.36,-4.09,1990.75,-3.56
2.75,1992.3,-4.08,1990.58,-3.88
2.95,1992.15,-4.07,1990.42,-4.14
3.05,1992.08,-4.13,1990.25,-4.21
3.15,1992,-4.26,1990.08,-4.39
3.25,1991.93,-4.16,1989.92,-3.93
3.35,1991.86,-3.89,1989.75,-3.82
3.55,1991.71,-3.67,1989.58,-4.11
3.68,1991.63,-3.75,1989.42,-4.24
3.8,1991.56,-3.88,1989.25,-4.34
3.9,1991.5,-3.78,1989.08,-4.38
4,1991.44,-4.17,1988.92,-4.04
4.13,1991.37,-4.27,1988.75,-3.82
4.25,1991.3,-4.42,1988.58,-3.97
4.45,1991.18,-4.43,1988.42,-4.11
4.55,1991.12,-4.22,1988.25,-4.18
4.65,1991.06,-4.24,1988.08,-4.2
4.73,1991.02,-4.06,1987.92,-3.85
4.8,1990.97,-4.26,1987.75,-3.76
4.95,1990.88,-3.71,1987.58,-3.84
5.05,1990.83,-3.6,1987.42,-4.02
5.15,1990.77,-3.59,1987.25,-4.06
5.25,1990.71,-3.5,1987.08,-4.14
5.35,1990.62,-3.87,1986.92,-4.13
5.43,1990.55,-3.9,1986.75,-3.58
5.5,1990.48,-4,1986.58,-3.77
5.58,1990.41,-4.15,1986.42,-4
5.65,1990.34,-4.11,1986.25,-3.97
5.75,1990.25,-4.2,1986.08,-4.12
5.85,1990.16,-4.48,1985.92,-3.7
5.95,1990.07,-4.38,1985.75,-3.7
6.05,1989.98,-4.08,1985.58,-3.78
6.15,1989.89,-3.87,1985.42,-4
6.25,1989.8,-3.89,1985.25,-4.26
6.35,1989.71,-3.76,1985.08,-3.84
6.45,1989.66,-3.88,1984.92,-3.92
6.65,1989.56,-4.19,1984.75,-3.66
6.78,1989.5,-3.99,1984.58,-4.07
6.9,1989.43,-4.24,1984.42,-4.21
7.03,1989.37,-4.25,1984.25,-4.16
7.15,1989.31,-4.17,1984.08,-4.03
7.28,1989.25,-4.35,1983.92,-4.01
7.4,1989.18,-4.42,1983.75,-3.63
7.53,1989.12,-4.53,1983.58,-3.76
7.65,1989.06,-4.28,1983.42,-4.23
7.78,1989,-4.24,1983.25,-4.22
7.9,1988.93,-4.09,1983.08,-4.34
8,1988.88,-3.96,1982.92,-3.91
8.1,1988.83,-3.83,1982.75,-3.66
8.23,1988.77,-3.85,1982.58,-3.99
8.35,1988.71,-3.76,1982.42,-4.08
8.55,1988.6,-3.99,1982.25,-4.39
8.65,1988.55,-3.93,1982.08,-3.83
8.75,1988.5,-4.08,1981.92,-3.77
8.83,1988.46,-4.05,1981.75,-3.69
8.9,1988.42,-4.1,1981.58,-3.75
9.05,1988.34,-4.15,1981.42,-3.96
9.2,1988.27,-4.12,1981.25,-4.12
9.33,1988.2,-4.38,1981.08,-4.03
9.45,1988.14,-4.3,1980.92,-3.84
9.58,1988.07,-4.18,1980.75,-3.58
9.7,1988.01,-3.97,1980.58,-3.69
10,1987.85,-3.75,1980.42,-4.05
10.1,1987.8,-3.75,1980.25,-4.14
10.2,1987.75,-3.76,1980.08,-4.4
10.28,1987.71,-3.68,1979.92,-4.13
10.35,1987.64,-3.72,1979.75,-3.65
10.5,1987.5,-4.02,1979.58,-4.04
10.65,1987.36,-4.02,1979.42,-4.13
10.8,1987.22,-4.07,1979.25,-4.17
10.88,1987.15,-4.14,1979.08,-4.05
10.95,1987.08,-4.14,1978.92,-4.35
11.05,1986.99,-4.05,1978.75,-3.89
11.15,1986.89,-4.16,1978.58,-3.82
11.25,1986.8,-3.68,1978.42,-4.3
11.35,1986.71,-3.49,1978.25,-4.56
11.45,1986.65,-3.59,1978.08,-4.38
11.55,1986.59,-3.76,1977.92,-4.2
11.63,1986.54,-3.82,1977.75,-3.83
11.7,1986.5,-4,1977.58,-3.88
11.8,1986.44,-4.01,1977.42,-3.98
11.9,1986.37,-3.98,1977.25,-4.16
12.1,1986.25,-3.97,1977.08,-4.04
12.3,1986.13,-4.03,1976.92,-4.1
12.38,1986.09,-4.13,1976.75,-3.88
12.45,1986.04,-4.01,1976.58,-3.9
12.55,1985.98,-4.07,1976.42,-4.14
12.65,1985.92,-3.7,1976.25,-4.13
12.9,1985.77,-3.73,1976.08,-4.36
13,1985.71,-3.62,1975.92,-4.03
13.1,1985.66,-3.63,1975.75,-3.89
13.35,1985.52,-3.9,1975.58,-3.84
13.48,1985.46,-3.95,1975.42,-4.28
13.6,1985.39,-4.03,1975.25,-4.19
13.7,1985.34,-4.21,1975.08,-3.99
13.8,1985.29,-4.1,1974.92,-3.79
13.93,1985.22,-4.39,1974.75,-3.8
14.05,1985.16,-4.19,1974.58,-4.17
14.18,1985.09,-3.85,1974.42,-4.27
14.3,1985.02,-3.77,1974.25,-4.23
14.43,1984.96,-3.8,1974.08,-3.96
14.55,1984.89,-3.99,1973.92,-3.79
14.7,1984.81,-3.79,1973.75,-3.76
14.8,1984.76,-3.7,1973.58,-3.91
14.9,1984.71,-3.48,1973.42,-3.98
15.05,1984.61,-4.04,1973.25,-4.04
15.25,1984.47,-4.18,1973.08,-4.12
15.5,1984.31,-4.26,1972.92,-3.93
15.7,1984.17,-4.02,1972.75,-3.81
15.9,1984.04,-4.03,1972.58,-3.84
16.05,1983.94,-4.05,1972.42,-4.23
16.25,1983.81,-3.83,1972.25,-4.21
16.4,1983.71,-3.5,1972.08,-4.03
16.6,1983.62,-3.67,1971.92,-4.03
16.8,1983.54,-3.85,1971.75,-3.69
16.95,1983.47,-4.05,1971.58,-3.8
17.15,1983.39,-4.32,1971.42,-3.86
17.35,1983.3,-4.17,1971.25,-3.91
17.55,1983.22,-4.26,1971.08,-4.08
17.75,1983.13,-4.29,1970.92,-3.89
17.95,1983.05,-4.38,1970.75,-3.62
18.15,1982.96,-3.97,1970.58,-3.61
18.35,1982.88,-3.86,1970.42,-3.84
18.55,1982.79,-3.68,1970.25,-4.1
18.75,1982.71,-3.64,1970.08,-4.22
18.95,1982.58,-3.99,1969.92,-4.12
19.15,1982.46,-4.12,1969.75,-3.77
19.35,1982.33,-3.98,1969.58,-3.73
19.5,1982.24,-4.44,1969.42,-4.06
19.7,1982.11,-3.84,1969.25,-4.12
19.9,1981.99,-3.81,1969.08,-4.02
20.1,1981.86,-3.74,1968.92,-3.71
20.35,1981.71,-3.67,1968.75,-3.55
20.65,1981.48,-3.82,1968.58,-3.55
20.85,1981.32,-4.18,1968.42,-3.78
21.05,1981.17,-4.06,1968.25,-4.06
21.2,1981.05,-4.02,1968.08,-4.07
21.4,1980.9,-3.82,1967.92,-3.92
21.65,1980.71,-3.51,1967.75,-3.66
21.9,1980.58,-3.69,1967.58,-3.69
22.1,1980.48,-3.81,1967.42,-4.06
22.25,1980.4,-4.12,1967.25,-4.09
22.45,1980.3,-4.14,1967.08,-4.17
22.65,1980.2,-4.13,1966.92,-4.16
22.85,1980.09,-4.42,1966.75,-3.7
23.05,1979.99,-4.24,1966.58,-3.66
23.25,1979.89,-4.09,1966.42,-4.03
23.4,1979.81,-3.71,1966.25,-4.04
23.6,1979.71,-3.61,1966.08,-4.06
23.8,1979.55,-4.14,1965.92,-3.93
24,1979.4,-4.12,1965.75,-3.66
24.2,1979.25,-4.17,1965.58,-4.08
24.4,1979.09,-4.04,1965.42,-4.15
24.65,1978.9,-4.38,1965.25,-4.4
24.9,1978.71,-3.76,1965.08,-4.36
25.15,1978.57,-3.82,1964.92,-3.98
25.4,1978.43,-4.27,1964.75,-3.6
25.65,1978.29,-4.57,1964.58,-3.8
25.9,1978.15,-4.53,1964.42,-3.83
26.2,1977.99,-4.17,1964.25,-3.88
26.35,1977.9,-4.21,1964.08,-4.02
26.55,1977.79,-3.83,1963.92,-3.93
26.7,1977.71,-3.83,1963.75,-3.86
26.9,1977.57,-3.89,1963.58,-4.03
