year (AD),depth (cm),d18O (permil)
1932,0.5,-8.3
1931,0.6,-8.5
1926,1,-9.1
1925,1.1,-8.7
1919,1.5,-9.5
1912,2.1,-8.2
1907,2.5,-7.2
1905,2.6,-9.2
1900,3,-7.3
1895,3.4,-9.5
1894,3.5,-10.5
1886,4.1,-9.4
1881,4.5,-8.6
1876,4.9,-8.4
1875,5,-8.6
1868,5.5,-9.3
1862,6,-7.3
1857,6.4,-10.6
1856,6.5,-7.8
1850,6.9,-10.6
1849,7,-9.6
1843,7.5,-8.3
1841,7.6,-9.2
1836,8,-8.9
1830,8.5,-9.8
1824,9,-10.9
1817,9.5,-10.7
1811,10,-10.2
1810,10.1,-10.7
1797,10.9,-9.5
1786,11.6,-9.6
1780,12,-9.8
1778,12.1,-11
1772,12.5,-9.4
1764,13,-10
1762,13.1,-11.2
1756,13.5,-10.3
1748,14,-11.2
1743,14.3,-9.7
1740,14.5,-9.6
1738,14.6,-9.5
1732,15,-9.9
1724,15.5,-10.3
1716,16,-9.7
1714,16.1,-10.4
1708,16.5,-9.4
1703,16.8,-9.1
1700,17,-8.9
1683,18,-10.1
1675,18.5,-10.2
1664,19.2,-9.1
1659,19.5,-6.2
1651,20,-6.6
1635,21,-10.8
1623,21.8,-10.6
1603,23,-10.8
1594,23.6,-9.9
1586,24.1,-7.5
1578,24.6,-7.4
1568,25.2,-9.1
1546,25.5,-6.8
1516,25.9,-7.4
1486,26.3,-8.2
1449,26.8,-7.3
1397,27.5,-8.1
1375,27.8,-8.5
1337,28.3,-7.1
1300,28.8,-7.6
1263,29.3,-7.2
1258,29.8,-9
1255,30.2,-9.2
1249,30.8,-10.3
1242,31.6,-7.2
1237,32.3,-8.1
1233,32.8,-9.3
1229,33.3,-9.7
1225,33.8,-8.8
1221,34.3,-10.1
1217,34.8,-8.8
1214,35.2,-9.3
1210,35.7,-10.6
1205,36.3,-10.2
1202,36.7,-10.2
1198,37.2,-10.3
1194,37.7,-9.1
1190,38.2,-9.4
1187,38.7,-8.6
1183,39.1,-8.9
1181,39.4,-9.3
1177,39.9,-10
1169,40.9,-10.2
1162,41.8,-10.5
1155,42.7,-10.6
1152,43.1,-9.5
1149,43.5,-9.2
1145,44,-9.1
1141,44.5,-9
1133,45,-8.8
1109,45.8,-8.7
1091,46.4,-8.5
1061,47.4,-8
1046,47.9,-8.2
1031,48.4,-8.6
1004,49.3,-9
992,49.7,-7.7
978,50.2,-8.4
966,50.6,-8.1
951,51.1,-8.6
936,51.6,-8
924,52,-8.5
909,52.5,-7.8
894,53,-8.4
879,53.5,-8.1
864,54,-8
837,54.9,-7.6
826,55.4,-9.8
819,55.9,-9.6
811,56.4,-9.9
805,56.8,-9.1
797,57.4,-10.2
784,58.5,-10.5
778,59,-10.6
771,59.6,-10.6
766,60.1,-8.9
756,60.9,-10.1
751,61.3,-8.7
744,61.9,-8.4
733,62.9,-9.2
727,63.4,-9.3
722,63.8,-10.3
715,64.4,-10.6
708,65,-11.3
702,65.5,-11.5
697,65.9,-9.5
690,66.5,-9.4
683,67.1,-10.3
676,67.6,-8.4
667,68.2,-7.8
662,68.5,-9.6
655,69,-8.3
645,69.5,-8.9
622,70.4,-9.7
620,70.5,NA
607,71,-8.1
595,71.5,-8.7
584,72,-8.7
575,72.4,-9
562,73,-9
549,73.6,-8.5
528,74.6,-10
517,75.1,-9.7
507,75.6,-9.4
487,76.5,-8.7
477,77,-10
459,77.8,-9.7
444,78.4,-8.5
434,78.8,-8.1
416,79.5,-10.4
404,80,-10.1
391,80.5,-10.2
376,81.1,-10
364,81.6,-9.4
346,82.3,-9.4
334,82.8,-8.5
323,83.3,-9.1
308,83.8,-7.8
295,84.3,-9
274,85.1,-8.7
261,85.6,-9.7
248,86.1,-9
232,86.7,-8.3
219,87.2,-8
206,87.7,-8.2
190,88.3,-8.4
167,89.2,-8.5
145,89.5,-7.4
126,89.7,-6.9
98,90,-8.1
79,90.2,-7.9
41,90.6,-7.2
12,90.9,-7.5
-7,91.1,-8
-35,91.4,-8.2
-54,91.6,-8.3
-82,91.9,-7.5
-111,92.2,-8
-139,92.5,-8.6
-168,92.8,-8.1
-196,93.1,-7.2
-225,93.4,-7.7
-262,93.8,-8.9
-291,94.1,-8.1
-338,94.6,-8
-367,94.9,-8.8
-395,95.2,-8.8
-424,95.5,-8
-452,95.8,-7.2
-490,96.3,-7.1
-528,96.8,-8.1
-559,97.2,-6.1
-597,97.7,-7.5
-642,98.3,-8.1
-680,98.8,-7.9
-726,99.4,-7.1
-772,100,-8.1
-810,100.5,-7.9
-859,101.2,-8.1
-891,101.7,-8.5
-923,102.2,-7.3
-949,102.6,-7.4
-980,103.1,-8.4
-1012,103.6,-7.9
-1044,104.1,-7
-1076,104.6,-6.7
-1108,105.1,-5.8
-1186,106.1,-7.3
-1232,106.6,-7.2
-1269,107,-8.2
