year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],Sr_Ca (mmol/mol) [2-1]
1604.21,-3.1,1603.79,9
1604.12,-3.2,1603.71,9.03
1604.04,-3.19,1603.62,9.02
1603.96,-3.43,1603.54,9.09
1603.87,-3.69,1603.46,9.15
1603.79,-3.9,1603.37,9.17
1603.71,-3.79,1603.29,9.32
1603.62,-3.66,1603.21,9.26
1603.54,-3.58,1603.12,9.35
1603.46,-3.36,1603.04,9.25
1603.37,-3.19,1602.96,9.19
1603.29,-3.14,1602.87,9.1
1603.21,-3,1602.79,9.03
1603.12,-3.17,1602.71,8.97
1603.04,-3.33,1602.62,9.05
1602.96,-3.54,1602.54,9.16
1602.87,-3.61,1602.46,9.03
1602.79,-3.79,1602.37,9.19
1602.71,-3.88,1602.29,9.19
1602.62,-3.79,1602.21,9.27
1602.54,-3.77,1602.12,9.29
1602.46,-3.62,1602.04,9.27
1602.37,-3.35,1601.96,9.13
1602.29,-3.07,1601.87,9.12
1602.21,-2.96,1601.79,9.09
1602.12,-3.04,1601.71,9.03
1602.04,-3.14,1601.62,9.03
1601.96,-3.32,1601.54,9.03
1601.87,-3.49,1601.46,9.07
1601.79,-3.63,1601.37,9.1
1601.71,-3.8,1601.29,9.24
1601.62,-3.75,1601.21,9.12
1601.54,-3.74,1601.12,9.26
1601.46,-3.59,1601.04,9.25
1601.37,-3.39,1600.96,9.23
1601.29,-3.14,1600.87,9.05
1601.21,-3.02,1600.79,9
1601.12,-3.09,1600.71,9.02
1601.04,-3.18,1600.62,8.96
1600.96,-3.38,1600.54,9.08
1600.87,-3.72,1600.46,9.14
1600.79,-3.79,1600.37,9.25
1600.71,-3.94,1600.29,9.2
1600.62,-3.81,1600.21,9.26
1600.54,-3.64,1600.12,9.28
1600.46,-3.47,1600.04,9.17
1600.37,-3.2,1599.96,9.09
1600.29,-3.14,1599.87,9.04
1600.21,-3.01,1599.79,8.95
1600.12,-3.34,1599.71,8.94
1600.04,-3.53,1599.62,9.01
1599.96,-3.7,1599.54,8.94
1599.87,-3.87,1599.46,9.18
1599.79,-4.05,1599.37,9.2
1599.71,-3.99,1599.29,9.22
