year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],Sr_Ca (mmol/mol) [2-1]
1998,-3.619,1998,9.288
1997,-3.482,1997,9.28
1996,-3.405,1996,9.291
1995,-3.588,1995,9.309
1994,-3.593,1994,9.281
1993,-3.533,1993,9.306
1992,-3.491,1992,9.31
1991,-3.632,1991,9.298
1990,-3.507,1990,9.254
1989,-3.484,1989,9.291
1988,-3.515,1988,9.354
1987,-3.643,1987,9.281
1986,-3.599,1986,9.277
1985,-3.597,1985,9.28
1984,-3.568,1984,9.281
1983,-3.575,1983,9.295
1982,-3.587,1982,9.286
1981,-3.488,1981,9.386
1980,-3.649,1980,9.32
1979,-3.984,1979,9.266
1978,-3.923,1978,9.327
1977,-3.899,1977,9.275
1976,-3.685,1976,9.263
1975,-3.635,1975,9.279
1974,-3.818,1974,9.251
1973,-3.525,1973,9.322
1972,-3.716,1972,9.259
1971,-3.74,1971,9.268
1970,-3.733,1970,9.256
1969,-3.638,1969,9.236
1968,-3.777,1968,9.248
1967,-3.808,1967,9.276
1966,-4.022,1966,9.16
1965,-3.689,1965,9.236
1964,-3.74,1964,9.223
1963,-3.842,1963,9.246
1962,-3.835,1962,9.189
1961,-3.881,1961,9.196
1960,-3.922,1960,9.234
1959,-3.406,1959,9.259
1958,-3.936,1958,9.157
1957,-3.295,1957,9.241
1956,-3.387,1956,9.259
1955,-3.765,1955,9.222
1954,-3.709,1954,9.159
1953,-3.672,1953,9.189
1952,-3.707,1952,9.221
1951,-3.672,1951,9.239
1950,-3.529,1950,9.296
1949,-3.574,1949,9.342
1948,-3.402,1948,9.358
1947,-3.571,1947,9.385
1946,-3.693,1946,9.303
1945,-3.5,1945,9.346
1944,-3.655,1944,9.329
1943,-3.622,1943,9.34
1942,-3.785,1942,9.273
1941,-3.513,1941,9.266
1940,-3.799,1940,9.264
1939,-3.818,1939,9.228
1938,-3.709,1938,9.228
1937,-3.686,1937,9.245
1936,-3.697,1936,9.278
1935,-3.75,1935,9.276
1934,-3.792,1934,9.262
1933,-3.74,1933,9.287
1932,-3.669,1932,9.34
1931,-3.672,1931,9.26
1930,-3.736,1930,9.287
1929,-3.814,1929,9.297
1928,-3.801,1928,9.249
1927,-3.609,1927,9.243
1926,-3.638,1926,9.278
1925,-3.647,1925,9.286
1924,-3.767,1924,9.263
1923,-3.763,1923,9.302
1922,-3.78,1922,9.282
1921,-3.729,1921,9.253
1920,-3.607,1920,9.346
1919,-3.653,1919,9.381
1918,-3.628,1918,9.374
1917,-3.555,1917,9.392
1916,-3.706,1916,9.321
1915,-3.58,1915,9.351
1914,-3.652,1914,9.339
1913,-3.852,1913,9.343
1912,-3.628,1912,9.373
1911,-4.028,1911,9.291
1910,-3.926,1910,9.246
1909,-3.906,1909,9.245
1908,-3.676,1908,9.303
1907,-3.865,1907,9.306
1906,-3.603,1906,9.393
1905,-3.904,1905,9.276
1904,-3.776,1904,9.341
1903,-3.645,1903,9.362
1902,-3.992,1902,9.315
1901,-3.767,1901,9.378
1900,-3.37,1900,9.436
1899,-3.668,1899,9.302
1898,-3.659,1898,9.288
1897,-3.722,1897,9.28
1896,-3.691,1896,9.314
1895,-3.207,1895,9.407
1894,-3.371,1894,9.421
1893,-3.385,1893,9.313
1892,-3.741,1892,9.221
1891,-3.848,1891,9.184
1890,-3.855,1890,9.169
1889,-3.852,1889,9.212
1888,-3.752,1888,9.211
1887,-3.725,1887,9.232
1886,-3.715,1886,9.304
1885,-3.712,1885,9.297
1884,-3.547,1884,9.325
1883,-3.673,1883,9.313
1882,-3.498,1882,9.331
1881,-3.44,1881,9.36
1880,-3.553,1880,9.307
1879,-3.608,1879,9.321
1878,-3.712,1878,9.263
1877,-3.809,1877,9.318
1876,-3.703,1876,9.262
1875,-3.746,1875,9.32
1874,-3.826,1874,9.302
1873,-3.77,1873,9.263
1872,-3.813,1872,9.272
1871,-4.026,1871,9.227
1870,-3.673,1870,9.351
1869,-3.649,1869,9.413
1868,-3.66,1868,9.328
1867,-3.545,1867,9.389
1866,-3.592,1866,9.424
1865,-3.66,1865,9.331
1864,-3.312,1864,9.439
1863,-3.662,1863,9.406
1862,-3.588,1862,9.34
1861,-3.167,1861,9.48
1860,-3.455,1860,9.436
1859,-3.349,1859,9.418
1858,-3.371,1858,9.461
1857,-3.861,1857,9.337
1856,-3.579,1856,9.417
1855,-3.344,1855,9.454
1854,-3.17,1854,9.386
1853,-3.176,1853,9.446
1852,-3.56,1852,9.385
1851,-3.869,1851,9.413
1850,-3.774,1850,9.396
1849,-3.29,1849,9.489
1848,-3.619,1848,9.502
1847,-3.707,1847,9.408
1846,-3.418,1846,9.493
1845,-3.555,1845,9.434
1844,-3.605,1844,9.364
1843,-3.43,1843,9.333
1842,-3.528,1842,9.317
1841,-3.545,1841,9.35
1840,-3.485,1840,9.43
1839,-3.624,1839,9.425
1838,-3.536,1838,9.34
1837,-3.759,1837,9.329
1836,-3.533,1836,9.381
1835,-3.344,1835,9.414
1834,-3.399,1834,9.371
1833,-3.699,1833,9.346
1832,-3.534,1832,9.452
1831,-3.746,1831,9.411
1830,-3.471,1830,9.408
1829,-3.626,1829,9.418
1828,-3.545,1828,9.478
1827,-3.681,1827,9.371
1826,-3.706,1826,9.445
1825,-3.726,1825,9.472
1824,-3.702,1824,9.416
1823,-3.796,1823,9.368
1822,-3.554,1822,9.429
1821,-3.472,1821,9.424
1820,-3.732,1820,9.299
1819,-3.711,1819,9.404
1818,-3.72,1818,9.4
1817,-3.767,1817,9.366
1816,-3.897,1816,9.322
1815,-3.968,1815,9.299
1814,-3.731,1814,9.335
1813,-3.531,1813,9.36
1812,-3.53,1812,9.382
1811,-3.67,1811,9.363
1810,-3.751,1810,9.32
1809,-3.777,1809,9.289
1808,-3.715,1808,9.365
1807,-3.762,1807,9.333
1806,-3.55,1806,9.366
1805,-3.691,1805,9.309
1804,-3.879,1804,9.257
1803,-3.699,1803,9.339
1802,-3.745,1802,9.303
1801,-3.788,1801,9.275
1800,-3.689,1800,9.326
1799,-3.675,1799,9.318
1798,-3.674,1798,9.325
1797,-3.686,1797,9.296
1796,-3.523,1796,9.345
1795,-3.376,1795,9.344
1794,-3.54,1794,9.301
1793,-3.674,1793,9.277
1792,-3.586,1792,9.222
1791,-3.595,1791,9.301
1790,-3.747,1790,9.315
1789,-3.893,1789,9.3
1788,-3.838,1788,9.266
1787,-3.599,1787,9.301
1786,-3.464,1786,9.333
1785,-3.48,1785,9.342
1784,-3.435,1784,9.359
1783,-3.247,1783,9.448
1782,-3.379,1782,9.352
NA,NA,1781,9.328
