year (AD) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],depthice (m) [1-2],depthwe (m) [1-2]
1992,-40.7,1992,-40.7,0.33,0.1
1991,-37.4,1991,-37.4,0.68,0.21
1990,-38.1,1990,-38.1,1.03,0.31
1989,-37.5,1989,-37.5,1.36,0.42
1988,-37.1,1988,-37.1,1.7,0.52
1987,-36.4,1987,-36.4,2.02,0.63
1986,-37.5,1986,-37.5,2.35,0.73
1985,-34.4,1985,-34.4,2.66,0.84
1984,-33.2,1984,-33.2,2.97,0.94
1983,-35.7,1983,-35.7,3.26,1.05
1982,-37,1982,-37,3.56,1.15
1981,-36.5,1981,-36.5,3.85,1.26
1980,-35.9,1980,-35.9,4.16,1.36
1979,-40.2,1979,-40.2,4.44,1.47
1978,-38.6,1978,-38.6,4.72,1.57
1977,-35.4,1977,-35.4,4.99,1.68
1976,-34.8,1976,-34.8,5.27,1.78
1975,-36.4,1975,-36.4,5.54,1.89
1974,-37,1974,-37,5.82,1.99
1973,-36.9,1973,-36.9,6.07,2.09
1972,-37.2,1972,-37.2,6.35,2.2
1971,-36.3,1971,-36.3,6.62,2.3
1970,-37.3,1970,-37.3,6.88,2.41
1969,-34.6,1969,-34.6,7.19,2.51
1968,-36.3,1968,-36.3,7.46,2.62
1967,-36.2,1967,-36.2,7.71,2.72
1966,-38.4,1966,-38.4,7.96,2.83
1965,-34.3,1965,-34.3,8.19,2.93
1964,-34.8,1964,-34.8,8.44,3.04
1963,-34,1963,-34,8.69,3.14
1962,-34.9,1962,-34.9,8.92,3.25
1961,-36.2,1961,-36.2,9.16,3.35
1960,-36.9,1960,-36.9,9.39,3.46
1959,-35.5,1959,-35.5,9.67,3.56
1958,-34.2,1958,-34.2,9.89,3.67
1957,-33.2,1957,-33.2,10.12,3.77
1956,-33.3,1956,-33.3,10.35,3.88
1955,-34,1955,-34,10.58,3.98
1954,-36.1,1954,-36.1,10.8,4.08
1953,-36.6,1953,-36.6,11.02,4.19
1952,-35.5,1952,-35.5,11.25,4.29
1951,-37.4,1951,-37.4,11.46,4.4
1950,-38.2,1950,-38.2,11.68,4.5
1949,-37.7,1949,-37.7,11.89,4.61
1948,-36.8,1948,-36.8,12.12,4.71
1947,-36.1,1947,-36.1,12.33,4.82
1946,-36.6,1946,-36.6,12.54,4.92
1945,-36.1,1945,-36.1,12.75,5.03
1944,-36,1944,-36,12.97,5.13
1943,-37.1,1943,-37.1,13.18,5.24
1942,-35.8,1942,-35.8,13.4,5.34
1941,-33.5,1941,-33.5,13.6,5.45
1940,-33.8,1940,-33.8,13.81,5.55
1939,-33.7,1939,-33.7,14.01,5.66
1938,-35.9,1938,-35.9,14.22,5.76
1937,-37.7,1937,-37.7,14.41,5.87
1936,-37.2,1936,-37.2,14.59,5.97
1935,-35.2,1935,-35.2,14.79,6.07
1934,-35.2,1934,-35.2,14.99,6.18
1933,-34.6,1933,-34.6,15.19,6.28
1932,-34.7,1932,-34.7,15.39,6.39
1931,-34.4,1931,-34.4,15.59,6.49
1930,-34.4,1930,-34.4,15.78,6.6
1929,-34.6,1929,-34.6,15.97,6.7
1928,-34.1,1928,-34.1,16.17,6.81
1927,-35.3,1927,-35.3,16.36,6.91
1926,-35.7,1926,-35.7,16.56,7.02
1925,-35,1925,-35,16.74,7.12
1924,-35.8,1924,-35.8,16.94,7.23
1923,-34.9,1923,-34.9,17.13,7.33
1922,-34.1,1922,-34.1,17.33,7.44
1921,-36,1921,-36,17.5,7.54
1920,-37.4,1920,-37.4,17.71,7.65
1919,-36.7,1919,-36.7,17.89,7.75
1918,-36.6,1918,-36.6,18.08,7.86
1917,-36.6,1917,-36.6,18.27,7.96
1916,-35.3,1916,-35.3,18.45,8.07
1915,-35.8,1915,-35.8,18.64,8.17
1914,-35.7,1914,-35.7,18.82,8.27
1913,-34.5,1913,-34.5,19.01,8.38
1912,-33.2,1912,-33.2,19.19,8.48
1911,-35.2,1911,-35.2,19.38,8.59
1910,-37.6,1910,-37.6,19.57,8.7
1909,-38,1909,-38,19.75,8.81
1908,-37.2,1908,-37.2,19.94,8.92
1907,-36.4,1907,-36.4,20.04,9.03
1906,-37.3,1906,-37.3,20.23,9.14
1905,-37.1,1905,-37.1,20.41,9.24
1904,-36.2,1904,-36.2,20.6,9.35
1903,-34.5,1903,-34.5,20.79,9.46
1902,-34.5,1902,-34.5,20.96,9.57
1901,-35.6,1901,-35.6,21.14,9.68
1900,-36.9,1900,-36.9,21.32,9.79
1899,-36.3,1899,-36.3,21.5,9.9
1898,-35.9,1898,-35.9,21.68,10
1897,-36.1,1897,-36.1,21.86,10.11
1896,-37.2,1896,-37.2,22.06,10.22
1895,-37,1895,-37,22.24,10.33
1894,-35.2,1894,-35.2,22.42,10.44
1893,-34.6,1893,-34.6,22.6,10.55
1892,-34.4,1892,-34.4,22.78,10.66
1891,-34.3,1891,-34.3,22.95,10.76
1890,-33.1,1890,-33.1,23.13,10.87
1889,-31.8,1889,-31.8,23.31,10.98
1888,-33,1888,-33,23.66,11.09
1887,-34.8,1887,-34.8,24.11,11.2
1886,-34.9,1886,-34.9,24.28,11.31
1885,-33.7,1885,-33.7,24.46,11.42
1884,-33,1884,-33,24.63,11.52
1883,-34.2,1883,-34.2,24.8,11.63
1882,-35.1,1882,-35.1,24.98,11.74
1881,-35.2,1881,-35.2,25.15,11.85
1880,-34.9,1880,-34.9,25.32,11.96
1879,-32.9,1879,-32.9,25.49,12.07
1878,-32.5,1878,-32.5,25.66,12.18
1877,-34.6,1877,-34.6,25.83,12.29
1876,-37,1876,-37,26,12.39
1875,-36.6,1875,-36.6,26.17,12.5
1874,-34.8,1874,-34.8,26.34,12.61
1873,-34.7,1873,-34.7,26.51,12.72
1872,-36.5,1872,-36.5,26.68,12.83
1871,-38.3,1871,-38.3,26.85,12.94
1870,-35.8,1870,-35.8,27.11,13.05
1869,-32.5,1869,-32.5,27.27,13.15
1868,-33,1868,-33,27.44,13.26
1867,-36.6,1867,-36.6,27.61,13.37
1866,-37.9,1866,-37.9,27.77,13.48
1865,-36.8,1865,-36.8,27.94,13.59
1864,-36.5,1864,-36.5,28.11,13.7
1863,-37.1,1863,-37.1,28.26,13.81
1862,-38.4,1862,-38.4,28.43,13.91
1861,-38.7,1861,-38.7,28.6,14.02
1860,-37.4,1860,-37.4,28.76,14.13
1859,-37,1859,-37,28.94,14.24
1858,-37.4,1858,-37.4,29.08,14.35
1857,-37.2,1857,-37.2,29.26,14.46
1856,-36,1856,-36,29.42,14.57
1855,-35.4,1855,-35.4,29.58,14.67
1854,-35.6,1854,-35.6,29.74,14.78
1853,-35.4,1853,-35.4,29.91,14.89
1852,-35.5,1852,-35.5,30.06,15
1851,-35.9,1851,-35.9,30.23,15.11
1850,-35.1,1850,-35.1,30.38,15.22
1849,-34.5,1849,-34.5,30.54,15.33
1848,-36.6,1848,-36.6,30.71,15.43
1847,-37.1,1847,-37.1,30.86,15.54
1846,-36,1846,-36,30.99,15.65
1845,-35.6,1845,-35.6,31.12,15.76
1844,-35.2,1844,-35.2,31.28,15.87
1843,-34.8,1843,-34.8,31.44,15.98
1842,-35.2,1842,-35.2,31.6,16.09
1841,-36.4,1841,-36.4,31.76,16.19
1840,-37.4,1840,-37.4,31.92,16.3
1839,-37.6,1839,-37.6,32.08,16.41
1838,-37.9,1838,-37.9,32.24,16.52
1837,-38.1,1837,-38.1,32.39,16.63
1836,-37.9,1836,-37.9,32.55,16.74
1835,-37.6,1835,-37.6,32.71,16.85
1834,-35.6,1834,-35.6,32.86,16.96
1833,-33.8,1833,-33.8,33.02,17.06
1832,-35.2,1832,-35.2,33.18,17.17
1831,-37.3,1831,-37.3,33.34,17.28
1830,-37.7,1830,-37.7,33.48,17.39
1829,-37.8,1829,-37.8,33.65,17.5
1828,-37.7,1828,-37.7,33.8,17.61
1827,-37.6,1827,-37.6,33.96,17.72
1826,-37.6,1826,-37.6,34.11,17.82
1825,-36.9,1825,-36.9,34.27,17.93
1824,-36.3,1824,-36.3,34.42,18.04
1823,-38,1823,-38,34.58,18.15
1822,-38.8,1822,-38.8,34.73,18.26
1821,-38.5,1821,-38.5,34.89,18.37
1820,-38.6,1820,-38.6,35.08,18.48
1819,-37.5,1819,-37.5,35.23,18.58
1818,-36.4,1818,-36.4,35.39,18.69
1817,-36.7,1817,-36.7,35.54,18.8
1816,-37.7,1816,-37.7,35.69,18.91
1815,-38.5,1815,-38.5,35.85,19.02
1814,-39,1814,-39,35.98,19.12
1813,-39.1,1813,-39.1,36.11,19.23
1812,-37.5,1812,-37.5,36.26,19.34
1811,-36.1,1811,-36.1,36.41,19.45
1810,-36.3,1810,-36.3,36.56,19.55
1809,-37.7,1809,-37.7,36.71,19.66
1808,-37.8,1808,-37.8,36.85,19.77
1807,-37.7,1807,-37.7,37.01,19.87
1806,-38.3,1806,-38.3,37.15,19.98
1805,-38.7,1805,-38.7,37.3,20.09
1804,-39.2,1804,-39.2,37.45,20.2
1803,-38,1803,-38,37.6,20.3
1802,-37.2,1802,-37.2,37.75,20.41
1801,-37.2,1801,-37.2,37.89,20.52
1800,-36.8,1800,-36.8,38.05,20.63
1799,-36.9,1799,-36.9,38.19,20.73
1798,-36.8,1798,-36.8,38.34,20.84
1797,-36.5,1797,-36.5,38.49,20.95
1796,-36.5,1796,-36.5,38.64,21.05
1795,-36,1795,-36,38.78,21.16
1794,-35.6,1794,-35.6,38.93,21.27
1793,-35.5,1793,-35.5,39.08,21.38
1792,-35,1792,-35,39.22,21.48
1791,-34.2,1791,-34.2,39.37,21.59
1790,-34,1790,-34,39.5,21.7
1789,-34.4,1789,-34.4,39.64,21.8
1788,-35,1788,-35,39.79,21.91
1787,-35.7,1787,-35.7,39.94,22.02
1786,-35.5,1786,-35.5,40.09,22.13
1785,-35.1,1785,-35.1,40.23,22.23
1784,-35.2,1784,-35.2,40.38,22.34
1783,-34.7,1783,-34.7,40.52,22.45
1782,-34.9,1782,-34.9,40.66,22.55
1781,-36.1,1781,-36.1,40.8,22.65
1780,-36.4,1780,-36.4,40.93,22.75
1779,-36.7,1779,-36.7,41.03,22.85
1778,-36.9,1778,-36.9,41.17,22.95
1777,-36.3,1777,-36.3,41.3,23.05
1776,-35.2,1776,-35.2,41.44,23.16
1775,-33.8,1775,-33.8,41.58,23.26
1774,-33.1,1774,-33.1,41.71,23.36
1773,-33.7,1773,-33.7,41.85,23.46
1772,-34.9,1772,-34.9,41.98,23.56
1771,-36.2,1771,-36.2,42.12,23.66
1770,-36.8,1770,-36.8,42.25,23.76
1769,-36.9,1769,-36.9,42.39,23.86
1768,-36.9,1768,-36.9,42.52,23.96
1767,-37.2,1767,-37.2,42.66,24.07
1766,-36.4,1766,-36.4,42.79,24.17
1765,-35.3,1765,-35.3,42.92,24.27
1764,-35.8,1764,-35.8,43.06,24.37
1763,-37.6,1763,-37.6,43.2,24.47
1762,-39.8,1762,-39.8,43.33,24.57
1761,-41.5,1761,-41.5,43.45,24.67
1760,-41,1760,-41,43.6,24.77
1759,-39.4,1759,-39.4,43.73,24.87
1758,-38.1,1758,-38.1,43.87,24.97
1757,-37.5,1757,-37.5,44,25.08
1756,-38,1756,-38,44.14,25.18
1755,-38.6,1755,-38.6,44.27,25.28
1754,-37.4,1754,-37.4,44.41,25.38
1753,-35.4,1753,-35.4,44.6,25.48
1752,-35.1,1752,-35.1,44.73,25.58
1751,-36.6,1751,-36.6,44.86,25.68
1750,-38,1750,-38,44.98,25.78
1749,-38.4,1749,-38.4,45.09,25.88
1748,-37.9,1748,-37.9,45.22,25.99
1747,-37.3,1747,-37.3,45.35,26.09
1746,-37.2,1746,-37.2,45.49,26.19
1745,-37.6,1745,-37.6,45.62,26.29
1744,-38.1,1744,-38.1,45.75,26.39
1743,-38.4,1743,-38.4,45.88,26.49
1742,-37.5,1742,-37.5,46.02,26.59
1741,-36.2,1741,-36.2,46.15,26.69
1740,-35.7,1740,-35.7,46.28,26.79
1739,-36.5,1739,-36.5,46.41,26.9
1738,-36.9,1738,-36.9,46.56,27.01
1737,-36.4,1737,-36.4,46.7,27.12
1736,-35.5,1736,-35.5,46.84,27.22
1735,-35,1735,-35,46.98,27.33
1734,-35.1,1734,-35.1,47.13,27.44
1733,-35.7,1733,-35.7,47.27,27.55
1732,-36.7,1732,-36.7,47.41,27.66
1731,-36.8,1731,-36.8,47.56,27.77
1730,-36.2,1730,-36.2,47.7,27.88
1729,-36.8,1729,-36.8,47.84,27.99
1728,-38.1,1728,-38.1,47.98,28.1
1727,-38.9,1727,-38.9,48.13,28.21
1726,-38.5,1726,-38.5,48.27,28.32
1725,-38.5,1725,-38.5,48.42,28.43
1724,-39,1724,-39,48.62,28.54
1723,-39,1723,-39,48.76,28.65
1722,-38.4,1722,-38.4,48.9,28.76
1721,-37.6,1721,-37.6,49.01,28.87
1720,-37.4,1720,-37.4,49.15,28.98
1719,-37,1719,-37,49.29,29.09
1718,-36.5,1718,-36.5,49.43,29.2
1717,-37.3,1717,-37.3,49.57,29.31
1716,-38.9,1716,-38.9,49.71,29.42
1715,-38.9,1715,-38.9,49.85,29.53
1714,-37.1,1714,-37.1,49.99,29.64
1713,-35.9,1713,-35.9,50.13,29.75
1712,-34.7,1712,-34.7,50.28,29.86
1711,-34.3,1711,-34.3,50.42,29.97
1710,-35.7,1710,-35.7,50.55,30.08
1709,-36.5,1709,-36.5,50.69,30.19
1708,-36.7,1708,-36.7,50.83,30.3
1707,-36.3,1707,-36.3,50.98,30.41
1706,-35.8,1706,-35.8,51.12,30.52
1705,-35.9,1705,-35.9,51.26,30.63
1704,-36.8,1704,-36.8,51.39,30.74
1703,-37.9,1703,-37.9,51.53,30.85
1702,-38.2,1702,-38.2,51.68,30.96
1701,-38,1701,-38,51.82,31.07
1700,-37.5,1700,-37.5,51.96,31.18
1699,-36.7,1699,-36.7,52.09,31.29
1698,-36,1698,-36,52.23,31.4
1697,-35.6,1697,-35.6,52.37,31.51
1696,-36.1,1696,-36.1,52.56,31.62
1695,-37.4,1695,-37.4,52.7,31.73
1694,-37.5,1694,-37.5,52.84,31.84
1693,-36.8,1693,-36.8,52.97,31.95
1692,-36.6,1692,-36.6,53.15,32.05
1691,-36.6,1691,-36.6,53.28,32.16
1690,-37.3,1690,-37.3,53.41,32.26
1689,-37.5,1689,-37.5,53.54,32.36
1688,-37.2,1688,-37.2,53.67,32.47
1687,-37.8,1687,-37.8,53.79,32.57
1686,-38.2,1686,-38.2,53.94,32.67
1685,-37.9,1685,-37.9,54.06,32.78
