year (AD),depth (mm),d18O (permil),d13C (permil)
1716,0.03,-8.747,-3.445
1713,0.06,-8.619,-3.44
1711,0.09,-8.686,-3.42
1709,0.12,-8.618,-3.434
1707,0.15,-8.695,-3.438
1704,0.18,-8.635,-3.43
1702,0.21,-8.766,-3.468
1700,0.24,-8.569,-3.414
1697,0.27,-8.701,-3.457
1695,0.3,-8.584,-3.348
1693,0.33,-8.811,-3.464
1691,0.36,-8.631,-3.48
1688,0.39,-8.728,-3.402
1684,0.45,-8.691,-3.477
1682,0.48,-8.772,-3.603
1679,0.51,-8.725,-3.75
1677,0.54,-8.864,-3.76
1675,0.57,-8.781,-3.545
1672,0.6,-8.969,-3.819
1670,0.63,-8.778,-3.686
1668,0.66,-8.924,-3.77
1666,0.69,-8.78,-3.626
1663,0.72,-8.897,-3.588
1661,0.75,-8.854,-3.519
1659,0.78,-8.94,-3.363
1656,0.81,-8.871,-3.203
1654,0.84,-9.061,-3.29
1652,0.87,-8.982,-3.346
1647,0.93,-9.078,-3.226
1645,0.96,-8.963,-3.223
1643,0.99,-8.994,-3.218
1640,1.02,-8.921,-3.203
1638,1.05,-8.915,-3.245
1636,1.08,-8.761,-3.34
1634,1.11,-8.958,-3.404
1631,1.14,-8.742,-3.437
1629,1.17,-8.814,-3.471
1627,1.2,-8.837,-3.594
1625,1.23,-8.82,-3.669
1622,1.26,-8.673,-3.788
1620,1.29,-8.844,-3.789
1618,1.32,-8.757,-3.777
1615,1.35,-8.807,-3.923
1613,1.38,-8.816,-3.69
1611,1.41,-8.821,-3.852
1609,1.44,-8.857,-3.881
1604,1.5,-8.876,-3.779
1602,1.53,-8.91,-3.86
1599,1.56,-8.983,-3.93
1597,1.59,-8.945,-3.856
1595,1.62,-9.085,-3.922
1593,1.65,-9.081,-3.771
1586,1.74,-9.133,-3.659
1583,1.77,-9.042,-3.708
1581,1.8,-9.098,-3.781
1579,1.83,-9.183,-3.972
1577,1.86,-9.016,-3.621
1574,1.89,-9.132,-3.885
1572,1.92,-9.023,-3.599
1570,1.95,-8.873,-3.468
1568,1.98,-8.943,-3.58
1565,2.01,-9.002,-3.434
1563,2.04,-8.915,-3.324
1561,2.07,-8.819,-3.215
1558,2.1,-8.781,-3.186
1556,2.13,-8.896,-3.144
1554,2.16,-8.872,-3.409
1552,2.19,-8.809,-3.087
1549,2.22,-8.952,-3.432
1547,2.25,-8.79,-3.027
1545,2.28,-8.956,-3.354
1542,2.31,-8.883,-3.233
1540,2.34,-8.871,-3.125
1538,2.37,-8.917,-3.225
1536,2.4,-8.747,-3.263
1533,2.43,-8.901,-3.564
1531,2.46,-8.725,-3.139
1529,2.49,-8.808,-3.272
1526,2.52,-8.72,-3.076
1524,2.55,-8.939,-3.514
1522,2.58,-8.719,-3.329
1520,2.61,-8.825,-3.351
1517,2.64,-8.725,-3.298
1515,2.67,-8.832,-3.52
1513,2.7,-8.834,-3.44
1511,2.73,-8.792,-3.489
1508,2.76,-8.852,-3.492
1506,2.79,-8.846,-3.499
1504,2.82,-8.809,-3.571
1501,2.85,-8.908,-3.694
1499,2.88,-8.837,-3.608
1497,2.91,-8.882,-3.424
1495,2.94,-8.923,-3.594
1492,2.97,-8.894,-3.41
1490,3,-8.901,-3.506
1488,3.03,-8.942,-3.465
1485,3.06,-8.94,-3.355
1483,3.09,-8.882,-3.578
1481,3.12,-8.949,-3.211
1479,3.15,-8.812,-3.41
1476,3.18,-8.837,-3.218
1474,3.21,-8.837,-3.372
1472,3.24,-8.759,-3.315
1469,3.27,-8.838,-3.511
1467,3.3,-8.735,-3.036
1465,3.33,-8.858,-3.207
1463,3.36,-8.717,-3.017
1458,3.42,-8.639,-3.379
1456,3.45,-8.623,-3.086
1454,3.48,-8.703,-2.958
1451,3.51,-8.8,-2.915
1449,3.54,-8.632,-3.082
1447,3.57,-8.793,-3.146
1444,3.6,-8.671,-2.867
1442,3.63,-8.736,-3.435
1440,3.66,-8.831,-3.345
1438,3.69,-8.719,-3.197
1435,3.72,-8.85,-3.03
1433,3.75,-8.848,-3.128
1431,3.78,-8.813,-3.268
1428,3.81,-8.754,-3.232
1426,3.84,-8.822,-3.35
1424,3.87,-8.819,-3.301
1422,3.9,-8.931,-3.415
1419,3.93,-8.944,-3.417
1417,3.96,-8.883,-3.442
1415,3.99,-8.791,-3.434
1413,4.02,-8.999,-3.405
1410,4.05,-8.927,-3.323
1408,4.08,-8.913,-3.383
1406,4.11,-8.927,-3.427
1404,4.14,-8.861,-3.387
1401,4.17,-8.825,-3.349
1399,4.2,-8.815,-3.41
1397,4.23,-8.845,-3.469
1395,4.26,-8.74,-3.461
1393,4.29,-8.832,-3.471
1390,4.32,-8.829,-3.632
1388,4.35,-8.913,-3.547
1386,4.38,-8.89,-3.688
1384,4.41,-8.802,-3.761
1381,4.44,-8.867,-3.581
1379,4.47,-8.902,-3.372
1377,4.5,-8.869,-3.593
1375,4.53,-8.829,-4.049
1372,4.56,-8.886,-3.463
1370,4.59,-8.888,-3.921
1368,4.62,-8.943,-3.646
1366,4.65,-9.02,-4.244
1363,4.68,-9.061,-3.719
1361,4.71,-8.928,-3.805
1359,4.74,-9.082,-3.583
1356,4.77,-9.002,-3.774
1354,4.8,-9.047,-3.978
1352,4.83,-8.954,-3.731
1350,4.86,-9.061,-3.352
1347,4.89,-9.066,-3.585
1345,4.92,-9.08,-3.823
1343,4.95,-8.923,-3.416
1341,4.98,-9.038,-3.755
1338,5.01,-8.986,-3.331
1336,5.04,-9.068,-3.921
1334,5.07,-8.975,-3.394
1331,5.1,-9.091,-3.864
1329,5.13,-8.983,-3.325
1327,5.16,-9.068,-3.672
1325,5.19,-9.014,-3.524
1322,5.22,-8.965,-3.113
1320,5.25,-8.903,-3.072
1318,5.28,-9.018,-3.292
1315,5.31,-9.011,-3.029
1313,5.34,-9.047,-3.161
1311,5.37,-8.995,-3.02
1309,5.4,-8.89,-3.267
1306,5.43,-8.834,-2.798
1304,5.46,-8.847,-2.723
1302,5.49,-8.855,-2.621
1300,5.52,-8.952,-2.995
1297,5.55,-8.853,-2.781
1295,5.58,-8.938,-2.816
1293,5.61,-8.828,-2.807
1291,5.64,-8.934,-2.821
1288,5.67,-8.819,-2.909
1286,5.7,-8.941,-2.845
1284,5.73,-8.793,-2.78
1282,5.76,-8.893,-2.822
1280,5.79,-8.834,-2.903
1277,5.82,-8.865,-2.851
1275,5.85,-8.848,-2.817
1273,5.88,-8.829,-2.772
1271,5.91,-8.867,-2.733
1268,5.94,-8.854,-2.84
1266,5.97,-8.893,-2.801
1264,6,-8.76,-2.67
1262,6.03,-8.83,-2.82
1259,6.06,-8.859,-2.576
1257,6.09,-8.894,-2.719
1255,6.12,-8.844,-2.721
1253,6.15,-8.902,-2.811
1250,6.18,-8.864,-2.732
1248,6.21,-8.844,-2.694
1246,6.24,-8.726,-2.839
1243,6.27,-8.966,-2.712
1241,6.3,-8.9,-2.878
1239,6.33,-8.943,-2.938
1237,6.36,-8.895,-2.805
1234,6.39,-8.935,-3.005
1232,6.42,-8.909,-3.113
1230,6.45,-8.957,-3.258
1228,6.48,-8.946,-3.429
1225,6.51,-8.931,-3.196
1223,6.54,-8.93,-3.387
1221,6.57,-8.914,-3.991
1219,6.6,-8.889,-4.033
1216,6.63,-8.872,-4.076
1214,6.66,-8.957,-3.804
1212,6.69,-8.733,-4.195
1210,6.72,-8.722,-4.113
1207,6.75,-8.668,-4.172
1205,6.78,-8.649,-4.106
1203,6.81,-8.623,-4.222
1201,6.84,-8.63,-4.061
1199,6.87,-8.625,-4.246
1196,6.9,-8.487,-4.097
1194,6.93,-8.575,-4.142
1190,6.99,-8.613,-4.234
1187,7.02,-8.616,-4.243
1185,7.05,-8.587,-4.194
1183,7.08,-8.627,-4.273
1181,7.11,-8.593,-4.172
1178,7.14,-8.555,-4.274
1176,7.17,-8.609,-4.194
1174,7.2,-8.539,-4.189
1172,7.23,-8.762,-4.236
1169,7.26,-8.692,-4.187
1167,7.29,-8.645,-4.191
1165,7.32,-8.641,-4.222
1162,7.35,-8.819,-4.33
1160,7.38,-8.709,-4.21
1158,7.41,-8.804,-4.319
1156,7.44,-8.889,-4.371
1153,7.47,-8.993,-4.398
1151,7.5,-9.008,-4.428
1150,7.53,-8.981,-4.391
1150,7.56,-8.975,-4.403
1149,7.59,-9.067,-4.411
1148,7.62,-8.981,-4.32
1148,7.65,-9.178,-4.384
1147,7.68,-9.063,-4.313
1146,7.71,-9.014,-4.329
1146,7.74,-9.146,-4.263
1145,7.77,-8.988,-4.074
1144,7.8,-9.16,-4.093
1144,7.83,-9.182,-4.037
1143,7.86,-9.166,-4.2
1142,7.89,-9.149,-3.976
1142,7.92,-9.107,-4.001
1141,7.95,-9.09,-4.033
1140,7.98,-9.132,-3.975
1140,8.01,-9.106,-3.828
1139,8.04,-9.14,-3.738
1138,8.07,-8.951,-3.624
1138,8.1,-8.974,-3.699
1137,8.13,-8.957,-3.498
1136,8.16,-8.933,-3.715
1135,8.19,-8.897,-3.513
1135,8.22,-8.845,-3.596
1134,8.25,-8.849,-3.521
1133,8.31,-8.804,-3.416
1132,8.34,-8.761,-3.292
1131,8.37,-8.811,-3.481
1130,8.4,-8.847,-3.643
1130,8.43,-8.804,-3.514
1129,8.46,-8.666,-3.448
1128,8.49,-8.808,-3.419
1128,8.52,-8.793,-3.398
1127,8.55,-8.735,-3.325
1126,8.58,-8.824,-3.555
1125,8.61,-8.673,-3.034
1125,8.64,-8.842,-3.439
1124,8.67,-8.705,-3.17
1123,8.7,-8.756,-3.103
1122,8.73,-8.838,-3.381
1122,8.76,-8.829,-3.182
1121,8.79,-8.76,-3.314
1120,8.82,-8.856,-3.22
1120,8.85,-8.908,-3.205
1119,8.88,-8.838,-3.229
1118,8.91,-8.842,-3.22
1117,8.94,-8.767,-3.194
1117,8.97,-8.786,-3.242
1116,9,-8.695,-3.505
1115,9.03,-8.566,-3.301
1113,9.12,-8.763,-3.362
1112,9.15,-8.667,-3.399
1112,9.18,-8.668,-3.534
1111,9.21,-8.734,-3.356
1110,9.24,-8.781,-3.42
1110,9.27,-8.737,-3.384
1109,9.3,-8.769,-3.168
1108,9.33,-8.603,-3.342
1107,9.36,-8.726,-3.174
1107,9.39,-8.598,-3.362
1106,9.42,-8.535,-3.273
1105,9.45,-8.521,-3.382
1104,9.48,-8.529,-3.058
1104,9.51,-8.335,-2.935
1103,9.54,-8.449,-3.016
1102,9.57,-8.517,-3.051
1102,9.6,-8.571,-3.019
1101,9.63,-8.603,-3.009
1100,9.66,-8.53,-2.864
1100,9.69,-8.574,-2.812
1099,9.72,-8.61,-2.76
1098,9.75,-8.544,-2.926
1098,9.78,-8.559,-2.736
1097,9.81,-8.658,-2.942
1097,9.84,-8.555,-2.884
1096,9.87,-8.784,-2.872
1095,9.9,-8.787,-2.805
1095,9.93,-8.737,-2.716
1094,9.96,-8.772,-2.745
1091,10.02,-8.814,-2.779
1087,10.05,-8.911,-2.823
1083,10.08,-8.818,-2.715
1079,10.11,-8.849,-2.749
1076,10.14,-8.871,-2.664
1072,10.17,-8.792,-2.712
1068,10.2,-8.905,-2.731
1064,10.23,-8.88,-2.77
1061,10.26,-8.922,-2.797
1057,10.29,-8.904,-2.864
1053,10.32,-8.881,-2.996
1050,10.35,-9.075,-2.964
1046,10.38,-8.889,-2.995
1042,10.41,-8.9,-2.952
1038,10.44,-8.919,-3.047
1035,10.47,-8.911,-2.984
1031,10.5,-9.028,-3.023
1027,10.53,-8.909,-2.941
1024,10.56,-8.948,-2.918
1016,10.62,-9.02,-2.972
1012,10.65,-8.947,-2.952
1009,10.68,-8.899,-2.962
1005,10.71,-8.931,-2.941
1001,10.74,-8.813,-2.975
998,10.77,-8.843,-2.901
994,10.8,-9.051,-2.858
990,10.83,-8.734,-2.971
986,10.86,-8.803,-2.955
983,10.89,-8.808,-2.907
979,10.92,-8.727,-3.001
975,10.95,-8.682,-2.966
971,10.98,-8.829,-3.196
968,11.01,-8.691,-3.07
964,11.04,-8.715,-2.988
957,11.1,-8.673,-3.121
953,11.13,-8.636,-3.125
949,11.16,-8.766,-2.945
945,11.19,-8.714,-3.039
942,11.22,-8.684,-2.948
938,11.25,-8.928,-2.957
934,11.28,-8.813,-2.987
931,11.31,-8.751,-3.137
927,11.34,-8.676,-3.21
923,11.37,-8.833,-3.216
919,11.4,-8.757,-3.319
916,11.43,-8.847,-3.328
912,11.46,-8.866,-3.319
908,11.49,-8.862,-3.214
905,11.52,-8.8,-3.248
901,11.55,-8.922,-3.378
897,11.58,-8.867,-3.174
894,11.61,-8.93,-3.483
890,11.64,-8.835,-3.412
886,11.67,-8.897,-3.493
883,11.7,-8.901,-3.512
875,11.76,-8.726,-3.565
872,11.79,-8.584,-3.575
868,11.82,-8.566,-3.616
864,11.85,-8.532,-3.519
861,11.88,-8.449,-3.725
857,11.91,-8.542,-3.467
853,11.94,-8.397,-3.437
850,11.97,-8.52,-3.613
846,12,-8.518,-3.791
842,12.03,-8.559,-3.895
839,12.06,-8.553,-4.096
835,12.09,-8.581,-3.962
827,12.15,-8.791,-3.968
824,12.18,-8.541,-3.862
820,12.21,-8.584,-3.951
816,12.24,-8.611,-3.922
