year (AD),depth (cm),d18O (permil)
1936,NA,-13.6
1937,NA,-15.4
1938,NA,-17.3
1939,NA,-16.6
1940,NA,-16.3
1941,NA,-15.4
1942,NA,-16.1
1943,NA,-16.3
1944,NA,-17.4
1945,NA,-15.6
1946,NA,-15.7
1947,NA,-16.8
1948,NA,-16.9
1949,NA,-14.4
1950,NA,-14
1951,NA,-22.1
1952,NA,-12.9
1953,NA,-13.4
1954,NA,-14.7
1955,NA,-15
1956,NA,-14.8
1957,NA,-15.1
1958,NA,-14.8
1959,NA,-18.7
1960,NA,-14.8
1961,NA,-14.7
1962,NA,-17.8
1963,NA,-15.6
1964,NA,-14.7
1965,NA,-14.5
1966,NA,-16
1967,NA,-17.4
1968,NA,-13.5
1970,NA,-13.4
1971,NA,-17.2
1972,NA,-16.6
1973,NA,-15.5
1974,NA,-17.2
1975,NA,-16.7
1976,NA,-17.3
1977,NA,-15
1978,NA,-17.6
1979,NA,-18.9
1980,NA,-20
1981,NA,-15.9
1982,NA,-18.8
1983,NA,-18.5
1984,NA,-20.9
1985,NA,-19.5
1986,NA,-18.1
1987,NA,-18.6
1988,NA,-16.7
1989,NA,-17.7
1990,NA,-17.3
1991,NA,-16.1
1992,NA,-17.2
1993,NA,-14.2
1994,NA,-16.4
