year (AD),d18O (permil),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1993,-30.5,0.47,0.14,141
1992,-32.7,0.9,0.28,141
1991,-33.2,1.32,0.42,141
1990,-35,1.73,0.56,141
1989,-33.7,2.13,0.7,141
1988,-35.2,2.53,0.85,141
1987,-32.4,2.92,0.99,141
1986,-33.9,3.3,1.13,141
1985,-36.4,3.68,1.27,141
1984,-34.3,4.06,1.41,141
1983,-32.5,4.42,1.55,141
1982,-34.6,4.79,1.69,141
1981,-34.5,5.14,1.83,141
1980,-33.6,5.5,1.97,141
1979,-31.4,5.85,2.11,141
1978,-35.9,6.19,2.26,141
1977,-36.2,6.53,2.4,141
1976,-34.3,6.87,2.54,141
1975,-36.7,7.2,2.68,141
1974,-32.1,7.53,2.82,141
1973,-34.2,7.86,2.96,141
1972,-34.2,8.18,3.1,141
1971,-33.4,8.5,3.24,141
1970,-33.6,8.82,3.38,141
1969,-34,9.13,3.52,141
1968,-36.7,9.44,3.66,141
1967,-35.5,9.75,3.81,141
1966,-32.7,10.06,3.95,141
1965,-31.3,10.36,4.09,141
1964,-33.3,10.66,4.23,141
1963,-33.9,10.96,4.37,141
1962,-34,11.26,4.51,141
1961,-35.2,11.55,4.65,141
1960,-36.1,11.85,4.79,141
1959,-35.1,12.14,4.93,141
1958,-33.7,12.42,5.07,141
1957,-35.3,12.71,5.22,141
1956,-33.6,12.99,5.36,141
1955,-34.6,13.28,5.5,141
1954,-33.7,13.56,5.64,141
1953,-29.8,13.84,5.78,141
1952,-34.7,14.11,5.92,141
1951,-34.9,14.39,6.06,141
1950,-34.8,14.66,6.2,141
1949,-35.5,14.93,6.34,141
1948,-36.1,15.21,6.48,141
1947,-36.1,15.47,6.62,141
1946,-32.2,15.74,6.77,141
1945,-31.1,16.01,6.91,141
1944,-32.6,16.27,7.05,141
1943,-35,16.54,7.19,141
1942,-36.9,16.8,7.33,141
1941,-36.7,17.06,7.47,141
1940,-37,17.32,7.61,141
1939,-35,17.58,7.75,141
1938,-33.7,17.83,7.89,141
1937,-35.4,18.09,8.03,141
1936,-33,18.34,8.18,141
1935,-31.1,18.6,8.32,141
