year (AD),depth (cm),dD (permil)
1980,2,-108.8
1942,6,-103.7
1904,10,-103.5
1867,14,-101.2
1830,18,-106.1
1794,22,-110.7
1759,26,-108.4
1725,30,-108.4
1692,34,-109.5
1660,38,-106.8
1629,42,-106.6
1599,46,-106.2
1569,50,-104.3
1541,54,-102.6
1513,58,-99.1
1485,62,-105.1
1457,66,-101
1429,70,-101.2
1400,74,-99.7
1371,78,-101.5
1341,82,-98.8
1309,86,-99.2
1277,90,-104.1
1243,94,-106.3
1207,98,-104.9
1170,102,-103.4
1132,106,-104.2
1092,110,-102.9
1051,114,-105.2
1009,118,-102.1
922,126,-107.9
877,130,-108.6
832,134,-107
785,138,-103.4
739,142,-101.7
691,146,-100.3
643,150,-98.8
595,154,-101.5
546,158,-96.9
496,162,-101.8
446,166,-99.6
396,170,-101.3
345,174,-100.7
293,178,-97
241,182,-101.6
189,186,-108.1
136,190,-108.3
82,194,-108.4
28,198,-97.3
-26,202,-97.8
-81,206,-100
-249,218,-100.3
-420,230,-108.5
-593,242,-110.3
-763,254,-109.3
-927,266,-108
-1082,278,-102.9
-1226,290,-101.2
-1363,302,-99.5
-1781,338,-92.1
-2311,374,-91.9
-2758,398,-108.8
-2982,410,-111.9
-3362,434,-105.4
-3523,446,-101.8
-3806,470,-114.6
-3938,482,-112.5
-4037,518,-113.4
-4315,542,-119
-4772,578,-113.1
-5092,602,-109
-5729,650,-113.5
-6028,674,-115.7
-6211,722,-120
-6363,734,-115.2
-6525,746,-115.1
-6705,758,-110.5
-7137,782,-111.9
-7646,806,-106.8
-7901,818,-106.5
-8138,830,-125.4
-8349,842,-114.3
-8691,866,-118.4
-8958,890,-122.9
-9185,914,-118.1
-9295,926,-115.8
-9410,938,-118.7
-9533,950,-121.4
-9622,958,-117.3
-9669,962,-109.5
-9717,966,-110.4
-9818,974,-95.9
-9978,986,-97.3
-10321,1010,-84.3
-10675,1034,-87.6
-10851,1046,-105.7
-10908,1050,-112.6
-11022,1058,-117.3
-11190,1070,-101.3
-11357,1082,-110.1
-11699,1106,-109.2
-12058,1130,-114.8
-12246,1142,-113
-12440,1154,-111.8
-12639,1166,-110.3
-12841,1178,-106.5
-13045,1190,-106.6
-13247,1202,-105.7
-13640,1226,-110.3
-13826,1238,-110.2
-14166,1262,-102.5
-14457,1286,-95.4
-14710,1310,-98.4
-14941,1334,-121.7
-15162,1358,-109.3
-15382,1382,-106.3
-15604,1406,-109.1
-15828,1430,-110.2
-16055,1454,-106.3
-16285,1478,-106.4
-16628,1514,-108.1
-16957,1550,-104.1
-17273,1586,-99.3
-17638,1622,-104.1
-18053,1658,-112.7
-18413,1694,-104.1
-18629,1730,-105.6
-18762,1766,-110.6
-18946,1802,-109.6
-19419,1850,-116.7
-19729,1874,-114.8
-20064,1898,-113
-20387,1934,-118.9
-20852,1970,-118.8
-21276,2006,-115.6
-21417,2018,-113.4
-21623,2054,-117.3
-22065,2090,-98.2
-22509,2126,-120.7
-22972,2162,-120.9
